日期,收盘价
2022-12-27,43.60
2022-12-28,43.11
2022-12-29,42.49
2022-12-30,43.99
2023-01-03,43.82
2023-01-04,43.46
2023-01-05,44.10
2023-01-06,44.31
2023-01-09,46.22
2023-01-10,45.93
2023-01-11,46.03
2023-01-12,45.45
2023-01-13,46.74
2023-01-16,46.83
2023-01-17,46.41
2023-01-18,46.20
2023-01-19,45.70
2023-01-20,46.00
2023-01-30,45.73
2023-01-31,46.50
2023-02-01,46.18
2023-02-02,45.79
2023-02-03,46.58
2023-02-06,46.06
2023-02-07,45.25
2023-02-08,45.21
2023-02-09,45.26
2023-02-10,46.31
2023-02-13,48.34
2023-02-14,49.33
2023-02-15,50.06
2023-02-16,49.29
2023-02-17,50.55
2023-02-20,51.53
2023-02-21,50.92
2023-02-22,50.17
2023-02-23,50.21
2023-02-24,49.90
2023-02-27,49.68
2023-02-28,50.02
2023-03-01,49.82
2023-03-02,51.25
2023-03-03,53.26
2023-03-06,51.39
2023-03-07,50.41
2023-03-08,49.82
2023-03-09,49.18
2023-03-10,48.73
2023-03-13,52.59
2023-03-14,50.96
2023-03-15,50.09
2023-03-16,50.72
2023-03-17,49.65
2023-03-20,47.79
2023-03-21,49.19
2023-03-22,48.30
2023-03-23,48.18
2023-03-24,47.56
2023-03-27,47.22
2023-03-28,46.81
2023-03-29,47.21
2023-03-30,49.64
2023-03-31,48.51
2023-04-03,48.45
2023-04-04,48.14
2023-04-06,47.58
2023-04-07,47.55
2023-04-10,47.26
2023-04-11,46.78
2023-04-12,46.71
2023-04-13,46.45
2023-04-14,46.44
2023-04-17,46.54
2023-04-18,47.37
2023-04-19,45.83
2023-04-20,45.39
2023-04-21,46.17
2023-04-24,44.97
2023-04-25,45.34
2023-04-26,45.66
2023-04-27,46.61
2023-04-28,45.51
2023-05-04,46.51
2023-05-05,45.61
2023-05-08,46.34
2023-05-09,45.43
2023-05-10,46.09
2023-05-11,46.07
2023-05-12,46.25
2023-05-15,45.44
2023-05-16,45.49
2023-05-17,45.18
2023-05-18,45.38
2023-05-19,46.30
2023-05-22,48.33
2023-05-23,48.39
2023-05-24,47.35
2023-05-25,47.60
2023-05-26,47.17
2023-05-29,47.29
2023-05-30,47.39
2023-05-31,46.49
2023-06-01,46.00
2023-06-02,47.47
2023-06-05,47.44
2023-06-06,47.72
2023-06-07,46.59
2023-06-08,45.77
2023-06-09,45.94
2023-06-12,47.96
2023-06-13,47.82
2023-06-14,47.95
2023-06-15,48.62
2023-06-16,48.17
2023-06-19,47.83
2023-06-20,47.96
2023-06-21,47.20
2023-06-26,45.32
2023-06-27,45.89
2023-06-28,45.52
2023-06-29,45.19
2023-06-30,44.63
2023-07-03,44.93
2023-07-04,44.56
2023-07-05,44.14
2023-07-06,43.41
2023-07-07,43.01
2023-07-10,44.32
2023-07-11,44.46
2023-07-12,44.34
2023-07-13,44.72
2023-07-14,44.47
2023-07-17,44.63
2023-07-18,44.57
2023-07-19,44.30
2023-07-20,44.44
2023-07-21,44.30
2023-07-24,44.30
2023-07-25,45.07
2023-07-26,44.97
2023-07-27,44.55
2023-07-28,45.69
2023-07-31,47.16
2023-08-01,46.58
2023-08-02,46.83
2023-08-03,47.20
2023-08-04,46.98
2023-08-07,46.50
2023-08-08,46.92
2023-08-09,47.06
2023-08-10,47.48
2023-08-11,47.21
2023-08-14,47.21
2023-08-15,46.57
2023-08-16,46.53
2023-08-17,46.91
2023-08-18,49.99
2023-08-21,49.28
2023-08-22,49.07
2023-08-23,48.42
2023-08-24,48.16
2023-08-25,48.06
2023-08-28,47.23
2023-08-29,47.73
2023-08-30,48.93
2023-08-31,49.25
2023-09-01,49.69
2023-09-04,50.03
2023-09-05,49.66
2023-09-06,49.39
2023-09-07,49.48
2023-09-08,49.36
2023-09-11,48.90
2023-09-12,48.54
2023-09-13,48.22
2023-09-14,48.17
2023-09-15,48.32
2023-09-18,47.50
2023-09-19,47.85
2023-09-20,47.60
2023-09-21,47.84
