日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,3.85,1.65,0.21,0.96,-0.35,46.62
2025-12-15,2.60,1.12,0.14,0.35,-0.30,48.52
2025-12-16,2.26,0.97,0.13,-1.07,-0.30,43.41
2025-12-17,2.35,1.00,0.13,0.07,-0.29,43.83
2025-12-18,1.45,0.62,0.08,-0.47,-0.30,41.63
2025-12-19,2.33,0.99,0.13,0.00,-0.30,41.63
2025-12-22,2.97,1.25,0.17,-0.82,-0.33,37.80
2025-12-23,2.78,1.16,0.15,-0.64,-0.36,35.11
2025-12-24,2.01,0.84,0.11,0.17,-0.38,36.37
2025-12-25,1.65,0.69,0.09,-0.07,-0.40,36.05
2025-12-26,2.22,0.93,0.12,-0.26,-0.41,34.82
