代码,简称,公告标题,公告时间,公告链接
603195,公牛集团,关于公牛集团股份有限公司回购注销部分限制性股票实施情况的法律意见书,2025-12-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224891095&orgId=9900037723&announcementTime=2025-12-23 00:00:00
603195,公牛集团,公牛集团股份有限公司部分股权激励限制性股票回购注销实施公告,2025-12-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224891079&orgId=9900037723&announcementTime=2025-12-23 00:00:00
603195,公牛集团,公牛集团股份有限公司关于董事辞任暨选举职工代表董事的公告,2025-12-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224868466&orgId=9900037723&announcementTime=2025-12-12 00:00:00
603195,公牛集团,关于公牛集团股份有限公司2025年第二次临时股东会的法律意见书,2025-11-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224812554&orgId=9900037723&announcementTime=2025-11-19 00:00:00
603195,公牛集团,公牛集团股份有限公司2025年第二次临时股东会决议公告,2025-11-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224812537&orgId=9900037723&announcementTime=2025-11-19 00:00:00
603195,公牛集团,公牛集团股份有限公司关于注销部分回购股份并减少注册资本暨通知债权人的公告,2025-11-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224812536&orgId=9900037723&announcementTime=2025-11-19 00:00:00
603195,公牛集团,公牛集团股份有限公司股东大宗交易减持股份结果公告,2025-11-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224809331&orgId=9900037723&announcementTime=2025-11-18 00:00:00
603195,公牛集团,公牛集团股份有限公司关于持股5%以上股东权益变动触及1%刻度的提示性公告,2025-11-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224798694&orgId=9900037723&announcementTime=2025-11-12 00:00:00
603195,公牛集团,公牛集团股份有限公司关于持股5%以上股东权益变动触及1%刻度的提示性公告,2025-11-04 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224784763&orgId=9900037723&announcementTime=2025-11-04 00:00:00
603195,公牛集团,公牛集团董事会薪酬与考核委员会实施细则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772648&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团董事会提名委员会实施细则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772653&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团董事会战略委员会实施细则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772652&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团投资者关系管理制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772651&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团信息披露事务管理制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772650&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司董事会审计与风险委员会实施细则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772649&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团2025年第二次临时股东会会议材料,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772605&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司第三届董事会第十三次会议决议公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772647&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于回购注销部分限制性股票通知债权人的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772607&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司2025年第三季度报告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772606&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团董事会议事规则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772655&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于召开2025年第二次临时股东会的通知,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772604&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司第三届监事会第十一次会议决议公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772603&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股东会议事规则（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772654&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团募集资金使用管理办法（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772719&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团信息披露暂缓与豁免业务管理制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772656&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团重大信息内部报告制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772714&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团内幕信息知情人登记管理制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772716&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团董事和高级管理人员持股变动管理制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772717&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团内部审计制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772721&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团独立董事工作制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772723&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司会计师事务所选聘制度（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772725&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于部分募集资金投资项目调整投资规模、结项并将节余募集资金永久补充流动资金的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772727&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,国金证券股份有限公司关于公牛集团股份有限公司部分募集资金投资项目调整投资规模、结项并将节余募集资金永久补充流动资金的核查意见,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772729&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于回购注销部分限制性股票的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772731&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,关于公牛集团股份有限公司回购注销部分限制性股票的法律意见书,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772734&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于变更回购股份用途并注销的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772736&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于取消监事会、变更注册资本及住所、修改经营范围并修订《公司章程》的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772738&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团公司章程（2025年10月修订）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224772740&orgId=9900037723&announcementTime=2025-10-31 00:00:00
603195,公牛集团,公牛集团股份有限公司关于召开2025年第三季度业绩说明会的公告,2025-10-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224757472&orgId=9900037723&announcementTime=2025-10-30 00:00:00
603195,公牛集团,公牛集团股份有限公司关于提前归还暂时补充流动资金的闲置募集资金的公告,2025-10-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224719327&orgId=9900037723&announcementTime=2025-10-18 00:00:00
603195,公牛集团,公牛集团股份有限公司股东大宗交易减持股份计划公告,2025-10-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224702984&orgId=9900037723&announcementTime=2025-10-10 00:00:00
603195,公牛集团,公牛集团股份有限公司关于股份回购实施结果暨股份变动的公告,2025-09-20 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224672264&orgId=9900037723&announcementTime=2025-09-20 00:00:00
603195,公牛集团,公牛集团股份有限公司关于召开2025年半年度业绩说明会的公告,2025-09-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224651696&orgId=9900037723&announcementTime=2025-09-12 00:00:00
603195,公牛集团,公牛集团股份有限公司关于以集中竞价交易方式回购股份的进展公告,2025-09-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224633684&orgId=9900037723&announcementTime=2025-09-03 00:00:00
603195,公牛集团,公牛集团股份有限公司关于调整2020年特别人才持股计划管理模式的公告,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604109&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司2025年半年度募集资金存放与实际使用情况的专项报告,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604106&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司第三届董事会第十二次会议决议公告,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604108&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司第三届监事会第十次会议决议公告,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604107&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,国金证券公牛集团2020年特别人才持股单一资产管理计划提前终止暨受托资产现状返还协议,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604110&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司2025年半年度报告摘要,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604111&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司2025年半年度报告,2025-08-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224604112&orgId=9900037723&announcementTime=2025-08-29 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2025年特别人才持股计划第一次预留授予部分完成非交易过户的公告,2025-08-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224501791&orgId=9900037723&announcementTime=2025-08-19 00:00:00
603195,公牛集团,公牛集团股份有限公司关于以集中竞价交易方式回购股份的进展公告,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224366255&orgId=9900037723&announcementTime=2025-08-02 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2025年特别人才持股计划第一次持有人会议决议的公告,2025-07-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224298897&orgId=9900037723&announcementTime=2025-07-26 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2025年限制性股票激励计划授予结果的公告,2025-07-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224143422&orgId=9900037723&announcementTime=2025-07-12 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2024年限制性股票激励计划第一个解除限售期解除限售暨上市的公告,2025-07-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224131334&orgId=9900037723&announcementTime=2025-07-11 00:00:00
603195,公牛集团,公牛集团股份有限公司关于股份性质变更暨2025年限制性股票激励计划权益授予的进展公告,2025-07-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224090883&orgId=9900037723&announcementTime=2025-07-08 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2025年特别人才持股计划首次授予部分完成非交易过户的公告,2025-07-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224068046&orgId=9900037723&announcementTime=2025-07-03 00:00:00
603195,公牛集团,公牛集团股份有限公司关于以集中竞价交易方式回购股份的进展公告,2025-07-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1224056225&orgId=9900037723&announcementTime=2025-07-02 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2023年限制性股票激励计划第二个解除限售期解除限售暨上市的公告,2025-06-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223972888&orgId=9900037723&announcementTime=2025-06-25 00:00:00
603195,公牛集团,关于公牛集团股份有限公司2025年特别人才持股计划相关调整事项的法律意见书,2025-06-21 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223951494&orgId=9900037723&announcementTime=2025-06-21 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2020年特别人才持股计划存续期展期的进展公告,2025-06-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223909236&orgId=9900037723&announcementTime=2025-06-19 00:00:00
603195,公牛集团,国金证券公牛集团2020年特别人才持股单一资产管理计划资产管理合同之补充协议一,2025-06-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223909238&orgId=9900037723&announcementTime=2025-06-19 00:00:00
603195,公牛集团,公牛集团股份有限公司关于2022年限制性股票激励计划第三个解除限售期解除限售暨上市的公告,2025-06-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223900442&orgId=9900037723&announcementTime=2025-06-18 00:00:00
603195,公牛集团,关于公牛集团股份有限公司部分股权激励限制性股票回购注销实施的法律意见书,2025-06-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223858715&orgId=9900037723&announcementTime=2025-06-13 00:00:00
603195,公牛集团,公牛集团股份有限公司部分股权激励限制性股票回购注销实施公告,2025-06-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223858714&orgId=9900037723&announcementTime=2025-06-13 00:00:00
603195,公牛集团,公牛集团公司章程（2025年6月）,2025-06-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223834288&orgId=9900037723&announcementTime=2025-06-11 00:00:00
603195,公牛集团,公牛集团股份有限公司关于完成工商变更登记并换发营业执照的公告,2025-06-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223834286&orgId=9900037723&announcementTime=2025-06-11 00:00:00
603195,公牛集团,公牛集团股份有限公司关于调整2025年特别人才持股计划购买价格及规模上限的公告,2025-06-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223826225&orgId=9900037723&announcementTime=2025-06-10 00:00:00
603195,公牛集团,公牛集团股份有限公司2022年限制性股票激励计划第三个解除限售期解除限售条件成就的公告,2025-06-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603195&announcementId=1223826231&orgId=9900037723&announcementTime=2025-06-10 00:00:00
