SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
603195.SH,603195,公牛集团,10982007,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,14432865116.97,,,,,,,,,,,,13668931.38,264644529.61,,0,14711178577.96,6754398258.0,,,,,,1793219741.18,1494937469.8,1047136234.11,,0,11089691703.09,,0,3621486874.87,,250883553.63,199955.0,,,12673867484.74,,0,12924950993.37,412571935.28,,,,,14245968890.74,,0,14658540826.02,,0,-1733589832.65,119246155.16,,1270000000.0,,,,0.0,1389246155.16,327651481.79,3107892405.22,,,276030327.03,,,0.0,3711574214.04,,0.0,-2322328058.88,2499513.49,,0,-431931503.17,836314404.91,,0,404382901.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8013314577,,,,,,,,,,,,-10.8620783423,15.3452479741,,,2.0033308035,-2.7543626594,,,,,,-1.5772532926,12.3117026383,-19.9812023837,,,-2.784585862,,,20.1190656199,,-43.6794618435,-96.476287127,,,-10.3515146009,,,-11.4026819781,-42.1111455663,,,,,5.9414976998,,,3.2944828055,,,-536.2304506896,-0.7057538325,,277.4100456642,,,,,204.2604047477,-66.0403076209,11.8314504441,,,-18.1779692784,,,,-9.0582485255,,,35.929903156,30.689538755,,,-105.2530986701,-37.222409181,,,-63.9506376522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603195.SH,603195,公牛集团,10982007,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,9548401827.59,,,,,,,,,,,,9215232.95,193302420.87,,0,9750919481.41,4459177588.36,,,,,,1271042813.78,963688760.9,679207468.64,,0,7373116631.68,,0,2377802849.73,,185130814.32,124955.0,,,9448980855.36,,0,9634236624.68,335243272.27,,,,,9040268292.21,,0,9375511564.48,,0,258725060.2,116614655.95,,1270000000.0,,,,0.0,1386614655.95,248651482.79,3103951810.63,,,261016715.99,,,0.0,3613620009.41,,0.0,-2227005353.46,2342909.72,,0,411865466.19,836314404.91,,0,1248179871.1,2063149514.88,15334557.89,141694586.07,141694586.07,,6251331.13,7514968.95,,,,-282817.35,,,5308957.2,-184052094.09,10089318.97,-8673685.02,18763003.99,,347876679.43,-13312161.34,-89218230.57,53572001.54,,0.0,2377802849.73,,,,,1248179871.1,836314404.91,,,,,411865466.19,-0.5845497077,,,,,,,,,,,,-11.8748541298,44.9134422436,,,0.0259087395,2.4694216046,,,,,,0.7912809014,5.2552369651,-20.937537691,,,-0.1937517982,,,0.7132241346,,-43.0883034839,-96.6748073015,,,-7.3317179012,,,-8.4686744331,-4.8093446225,,,,,0.175542618,,,-0.0116873482,,,-77.4827726586,-2.8969584881,,376.5406424714,,,,,258.6711677114,-62.0277757874,11.8831455008,,,-22.5194100205,,,,-4.0458167073,,,34.1003180898,35.7303585592,,,211.2827415002,-37.222409181,,,-14.7708354717,-7.7883490253,4.302955543,18.2092583224,18.2092583224,,8.8446628465,54.7263021236,,,,47.8461197164,,,-39.9505242397,44.5495996704,202.4362854203,45.2234577871,-2.1265870449,,452.8079952465,82.9392953099,-135.6415938424,5.0566130024,,,0.7132241346,,,,,-14.7708354717,-37.222409181,,,,,211.2827415002,,,,,7581955.39,10.1982263812
603195.SH,603195,公牛集团,10982007,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,5086117115.67,,,,,,,,,,,,2816239.7,149579513.35,,0,5238512868.72,2423813466.95,,,,,,722610274.11,495220088.73,184433522.36,,0,3826077352.15,,0,1412435516.57,,59858742.86,85800.0,,,2845464405.0,,0,2905408947.86,294473763.48,,,,,4104536455.9,,0,4399010219.38,,0,-1493601271.52,,,449987728.04,,,,0.0,449987728.04,,1237030.64,,,,,,0.0,1237030.64,,0.0,448750697.4,1713009.8,,0,369297952.25,836314404.91,,0,1205612357.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799435387,,,,,,,,,,,,,22.7445633819,,,0.6648087192,0.9537831584,,,,,,-1.6763642961,17.0542923057,45.9909554857,,,3.821513504,,,-6.9953275692,,-34.5616700566,-90.5118917347,,,16.5251364109,,,14.6430134261,-0.5361597558,,,,,60.7444490039,,,54.377470207,,,-373.8492010576,,,79.995091216,,,,,79.995091216,,-80.0953913671,,,,,,,-99.2152587477,,,385.8474850486,217.354040532,,,-71.5129168432,-56.5628395094,,,-62.5785302943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603195.SH,603195,公牛集团,10982007,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,18601142796.67,,,,,,,,,,,,15786459.02,355145443.1,,0,18972074698.79,9726711927.75,,,,,,2423958676.6,1855102751.85,1235954446.32,,0,15241727802.52,,0,3730346896.27,,541099431.51,8297330.4,,,18922934976.07,,0,19472331737.98,938519618.43,,,31308628.23,,19208813252.21,,0,20178641498.87,,0,-706309760.89,120093721.2,,384244915.37,,200662465.75,,0.0,705001102.32,1084824646.03,2778937711.08,,,363543780.01,,,0.0,4227306137.12,,0.0,-3522305034.8,2396099.03,,0,-495871800.39,1332186205.3,,0,836314404.91,4269175911.2,40011850.69,249347395.38,249347395.38,,12408400.51,578929.57,,,,-1531409.03,909942.78,,-95614916.8,-549160107.06,-48946.07,18949300.37,-18998246.44,,-215653479.25,-86777929.59,-34492747.77,122973177.9,,0.0,3730346896.27,,,,,836314404.91,1332186205.3,,,,,-495871800.39,4.2896436637,,,,,,,,,,,,2.6698294957,-26.6941477399,,,3.4696316202,13.724696954,,,,,,16.6368840309,10.7662883435,2.7609349584,,,12.8297699965,,,-22.7236606415,,178.696363714,213.2342477874,,,108.4811488642,,,109.9811459038,43.2412636084,,,,,59.3754718388,,,58.7899787597,,,79.434161724,8.1993069051,,-73.4815518705,,,,,-54.8066123834,-17.3151946623,38.1199376574,,,62.9970743219,,,,19.1793803086,,,-77.2633706138,141.8753217763,,,16.4012519894,-30.8078568739,,,-37.222409181,10.4765842299,-36.1290907745,3.24207536,3.24207536,,-36.3374838254,-92.9410485534,,,,-127.9226234716,598.5627281219,,-48.4323384148,-176.3893187536,99.8135141736,146.6836237916,-232.4440341876,,-40.4864687161,-241.8007061929,-103.6461122473,34.8929959049,,,-22.7236606415,,,,,-37.222409181,-30.8078568739,,,,,16.4012519894,标准无保留意见,,,,15177575.94,10.9441671256
603195.SH,603195,公牛集团,10982007,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,14177481679.57,,,,,,,,,,,,15334586.14,229436872.57,,0,14422253138.28,6945708252.54,,,,,,1821956611.83,1331061175.89,1308612807.62,,0,11407338847.88,,0,3014914290.4,,445456598.68,5674554.29,,,14137291252.97,,0,14588422405.94,712696665.56,,,31308628.23,,13447014814.83,,0,14191020108.62,,0,397402297.32,120093721.2,,336504026.48,,,,0.0,456597747.68,964824646.03,2779086198.81,,,337354529.82,,,0.0,4081265374.66,,0.0,-3624667626.98,1912558.2,,0,-210438481.06,1332186205.3,,0,1121747724.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.868603118,,,,,,,,,,,,80.460941906,-37.768759429,,,3.7836229073,16.4903048888,,,,,,15.2546799498,2.3073962508,26.8329394549,,,15.5046205526,,,-25.0091201633,,180.6888512768,-26.8906063251,,,107.3902151678,,,108.9067544619,49.5706506902,,,,,55.5375583149,,,55.5690931811,,,118.5807693596,8.1993069051,,-73.057522594,,,,,-66.4257761553,-10.1653029767,38.6371640271,,,2867.29400477,,,,32.0821669056,,,-109.5208877258,4.7083059081,,,-237.1477542081,-30.8078568739,,,-46.0382331269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603195.SH,603195,公牛集团,10982007,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-29 00:00:00,CNY,9604545168.3,,,,,,,,,,,,10456984.62,133391642.54,,0,9748393795.46,4351715388.39,,,,,,1261064253.19,915573218.67,859077049.72,,0,7387429909.97,,0,2360963885.49,,325294843.86,3757827.33,,,10196564176.39,,0,10525616847.58,352180863.7,,,,,9024426577.54,,0,9376607441.24,,0,1149009406.34,120093721.2,,266504026.48,,,,0.0,386597747.68,654824646.03,2774280072.96,,,336880134.83,,,0.0,3765984853.82,,0.0,-3379387106.14,1726150.1,,0,132312335.79,1332186205.3,,0,1464498541.09,2237406545.78,14701939.95,119867587.43,119867587.43,,5743351.09,4856943.42,,,,-542274.8,,,8840971.77,-331922029.41,3336014.71,-15834670.59,19170685.3,,62929024.62,-78028203.3,250320541.12,50993459.63,,0.0,2360963885.49,,,,,1464498541.09,1332186205.3,,,,,132312335.79,6.2328539232,,,,,,,,,,,,89.6901428999,-50.1296097872,,,4.6636529008,15.7547762689,,,,,,15.0393791464,9.4062761444,33.7040332355,,,16.6128307475,,,-20.7468052126,,310.0335431763,614.5126138377,,,146.1350193718,,,149.272714052,3.7051699863,,,,,81.1119187752,,,76.1729346782,,,204.4689353712,8.1993069051,,-65.3428224939,,,,,-56.0666985011,27.3977910564,38.8970917989,,,4957.406780792,,,,49.5610701861,,,-106.3042764984,-5.4960471492,,,-45.5333436287,-30.8078568739,,,-32.4576389281,22.9055538939,89.8795402221,1.4490182554,1.4490182554,,-44.4580840204,111.0984588677,,,,-449.3750290327,,,-38.3007238602,-312.2792011649,124.2327726799,31.5377747043,104.7598737612,,-71.2373442781,-243.8561051977,-66.7991632134,4.7454667317,,,-20.7468052126,,,,,-32.4576389281,-30.8078568739,,,,,-45.5333436287,,,,,6880288.04,9.5926177451
603195.SH,603195,公牛集团,10982007,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,5082054341.59,,,,,,,,,,,,,121862434.66,,0,5203916776.25,2400913954.01,,,,,,734930384.68,423068713.65,126332156.5,,0,3685245208.84,,0,1518671567.41,,91473518.52,904289.85,,,2441931837.75,,0,2534309646.12,296061124.08,,,,,2553454555.56,,0,2849515679.64,,0,-315206033.52,,,250000000.0,,,,0.0,250000000.0,150000000.0,6214795.09,,,1420684.93,,,0.0,157635480.02,,0.0,92364519.98,539778.79,,0,1296369832.66,1925343174.98,,0,3221713007.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2541930935,,,,,,,,,,,,,-12.9246981458,,,17.1968370928,44.4146927298,,,,,,22.7616960367,-2.6041893326,-58.660853986,,,22.794107165,,,5.5245787331,,123.1392805476,159.5526522658,,,11.3731157264,,,13.4472175503,49.3962738063,,,,,-7.7275844484,,,-3.910204673,,,56.9132197756,,,-35.0649350649,,,,,-35.0649350649,-58.4487534626,-17.4179197582,,,-27.7740586924,,,,-57.4524617689,,,536.6717046169,204.163512964,,,79.48106409,0.0,,,21.6828567033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603195.SH,603195,公牛集团,10982007,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,17836040227.21,,,,,,,,,,,,15375947.44,484470792.1,,0,18335886966.75,8552858075.92,,,,,,2078209390.4,1674790028.26,1202747373.62,,0,13508604868.2,,0,4827282098.55,,194153746.5,2648921.84,,,9076568830.88,,0,9273371499.22,655201996.12,,,,,12052553025.0,,0,12707755021.12,,0,-3434383521.9,110993059.6,3800000.0,1448972102.34,,,,0.0,1559965161.94,1312000000.0,2011974345.06,,,223036997.15,,,0.0,3547011342.21,,0.0,-1987046180.27,990633.94,,0,-593156969.68,1925343174.98,,0,1332186205.3,3864326491.41,62644874.13,241517224.94,241517224.94,,19490904.94,8201353.62,,,,5484474.02,130259.28,-18200000.0,-64416499.68,-198690784.99,-26246536.24,-40590894.26,14344358.02,,-153504804.57,-25388458.25,946014423.86,91163501.17,,0.0,4827282098.55,,,,,1332186205.3,1925343174.98,,,,,-593156969.68,14.0310558933,,,,,,,,,,,,-39.8978995975,30.925483628,,,14.3348452144,4.5376221025,,,,,,9.2374647776,-6.0979134969,8.2126780312,,,4.079732261,,,57.8619200592,,-33.0895870314,-23.5052547102,,,-5.5872933736,,,-6.3990525073,-35.6903686418,,,,,13.5373088879,,,9.0473219507,,,-96.6906629695,17.2005788846,,-14.0075903656,,,,,-12.3469075086,-34.7263681592,36.0810754131,,,-5.7514623941,,,,-4.782288377,,,-2.1378277055,-84.1545479744,,,5.4538996239,-24.5766927106,,,-30.8078568739,21.3079478341,444.5270463611,8.58577858,8.58577858,,-4.8974979321,2.43682157,,,,74.6822075422,-84.5151300949,,-109.9120836709,26.9489124985,-24.4827336222,-63.0613208673,276.6361709698,,-252.6737042682,65.0114566662,529.3914545832,17.6766707206,,,57.8619200592,,,,,-30.8078568739,-24.5766927106,,,,,5.4538996239,标准无保留意见,,,,13680373.05,-3.044879145
603195.SH,603195,公牛集团,10982007,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-31 00:00:00,CNY,13519281518.05,,,,,,,,,,,,8497454.34,368684394.63,,0,13896463367.02,5962477529.07,,,,,,1580809224.08,1301041004.53,1031761002.5,,0,9876088760.18,,0,4020374606.84,,158701208.35,7761730.75,,,6816759046.0,,0,6983221985.1,476494995.69,,,,,8645509779.45,,0,9122004775.14,,0,-2138782790.04,110993059.6,,1248972102.34,,,,0.0,1359965161.94,1074000000.0,2004575193.32,,,11369096.87,,,0.0,3089944290.19,,0.0,-1729979128.25,1826558.25,,0,153439246.8,1925343174.98,,0,2078782421.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8134661077,,,,,,,,,,,,-61.343816915,78.8494006434,,,14.7843880802,-7.3192522883,,,,,,8.7552200588,-5.2266342961,19.1758814789,,,-2.4625914017,,,102.9321010322,,-38.9956819984,97.5441365547,,,-17.6875342349,,,-18.2832184904,-42.4162770155,,,,,8.8745438677,,,3.8013933719,,,-782.6982353101,17.2005788846,,-25.4345013528,,,,,-23.1529374388,-38.5934819897,36.4160587799,,,-95.1889126798,,,,-10.5599865023,,,-2.6655010327,-66.9951930669,,,158.6955683165,-24.5766927106,,,-20.4150365843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603195.SH,603195,公牛集团,10982007,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2024-08-30 00:00:00,CNY,9041030918.03,,,,,,,,,,,,5512666.32,267476636.88,,0,9314020221.23,3759426201.37,,,,,,1096202241.83,836856212.4,642521417.59,,0,6335006073.19,,0,2979014148.04,,79333715.32,525928.76,,,4142671043.89,,0,4222530687.97,339598174.08,,,,,4982790000.0,,0,5322388174.08,,0,-1099857486.11,110993059.6,,768972102.34,,,,0.0,879965161.94,514000000.0,1997363686.33,,,6661123.96,,,0.0,2518024810.29,,0.0,-1638059648.35,1826537.46,,0,242923551.04,1925343174.98,,0,2168266726.02,1820427535.53,7742772.04,118155492.77,118155492.77,,10340570.7,2300795.3,,,,155212.81,,,14329133.7,-80509040.59,-13766541.51,-23129062.08,9362520.57,,218787253.96,54240453.12,753958530.41,48683213.91,,0.0,2979014148.04,,,,,2168266726.02,1925343174.98,,,,,242923551.04,18.8652539095,,,,,,,,,,,,-69.1858521604,51.8050894177,,,19.4073774919,-8.7903742023,,,,,,8.7156718353,-14.5496046099,17.6990689622,,,-4.8127920728,,,160.2003212266,,-35.6838194217,-85.0300578236,,,-14.6229709195,,,-15.1944033392,-21.9300613483,,,,,25.4636787108,,,20.4964239303,,,-295.6971956767,17.2005788846,,-39.6884625616,,,,,-35.7550625518,-62.726613488,36.8654386331,,,-97.112706257,,,,-17.9547360251,,,3.6075067472,-58.8004158716,,,1927.4577162001,-24.5766927106,,,-15.4572346992,20.8317116229,102.8406182758,6.6643991823,6.6643991823,,-0.4978636973,-36.3761318697,,,,0.6423199356,,,2.6206624785,29.1274230767,-289.6759060491,-1418.2378818591,70.1229576988,,817.5310724091,152.2639788924,346.9726970657,85.2427431998,,,160.2003212266,,,,,-15.4572346992,-24.5766927106,,,,,1927.4577162001,,,,,6278057.94,-31.3579210971
