日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-08,50.82,52.31,50.82,51.53,3692537.0,637301598.0,60000000.0,0.0615
2020-07-09,51.27,53.81,50.88,52.07,4253162.0,740923745.0,60000000.0,0.0709
2020-07-10,51.42,51.86,49.82,50.03,4113450.0,697811903.0,60000000.0,0.0686
2020-07-13,49.97,50.52,49.73,50.4,3737641.0,626581416.0,60000000.0,0.0623
2020-07-14,50.52,51.02,49.43,50.56,3519183.0,590884871.0,60000000.0,0.0587
2020-07-15,50.82,50.96,49.39,49.71,2392546.0,400653953.0,60000000.0,0.0399
2020-07-16,49.91,50.14,46.09,46.34,3380613.0,547060888.0,60000000.0,0.0563
2020-07-17,46.33,46.78,45.05,45.29,2567247.0,392639850.0,60000000.0,0.0428
2020-07-20,45.8,46.48,45.11,46.45,1896783.0,291140857.0,60000000.0,0.0316
2020-07-21,46.56,46.75,46.25,46.64,1621171.0,252389917.0,60000000.0,0.027
2020-07-22,46.63,47.56,46.35,46.92,2045077.0,322004438.0,60000000.0,0.0341
2020-07-23,46.33,46.92,45.67,45.87,2591847.0,398763955.0,60000000.0,0.0432
2020-07-24,45.66,45.99,43.85,43.91,2491100.0,373797311.0,60000000.0,0.0415
2020-07-27,43.92,44.38,43.02,43.21,1794944.0,261294989.0,60000000.0,0.0299
2020-07-28,43.58,45.1,43.52,44.36,2024561.0,300408240.0,60000000.0,0.0337
2020-07-29,44.36,45.47,43.79,45.12,1678034.0,252330843.0,60000000.0,0.028
2020-07-30,45.06,45.23,44.49,44.78,1120570.0,168001925.0,60000000.0,0.0187
2020-07-31,44.7,45.68,44.44,45.26,1599827.0,241678784.0,60000000.0,0.0267
2020-08-03,45.56,46.39,45.38,45.99,1900047.0,291934076.0,60000000.0,0.0317
2020-08-04,45.77,46.59,45.3,45.32,1603561.0,245237652.0,60000000.0,0.0267
2020-08-05,45.14,46.33,45.02,46.27,1825499.0,280744203.0,60000000.0,0.0304
2020-08-06,46.04,47.79,45.89,47.53,2742796.0,431231088.0,60000000.0,0.0457
2020-08-07,47.38,48.0,46.45,46.93,2395132.0,376807811.0,60000000.0,0.0399
2020-08-10,46.89,48.59,46.33,48.0,1958886.0,312607994.0,60000000.0,0.0326
2020-08-11,47.87,48.76,46.93,47.29,1835562.0,294223667.0,60000000.0,0.0306
2020-08-12,47.31,48.07,46.51,47.53,1509471.0,238942269.0,60000000.0,0.0252
2020-08-13,47.51,48.28,47.11,47.33,1410515.0,225528916.0,60000000.0,0.0235
2020-08-14,47.23,47.47,46.33,47.02,1022990.0,160408012.0,60000000.0,0.017
2020-08-17,46.83,48.37,46.63,48.36,1702937.0,270526991.0,60000000.0,0.0284
2020-08-18,47.98,50.73,47.34,50.22,3868017.0,639936554.0,60000000.0,0.0645
2020-08-19,49.9,51.71,49.62,50.18,3180332.0,541446621.0,60000000.0,0.053
2020-08-20,50.45,51.27,49.02,49.34,1595601.0,266258498.0,60000000.0,0.0266
2020-08-21,48.99,50.25,48.73,49.75,1675718.0,277590446.0,60000000.0,0.0279
2020-08-24,49.92,50.22,48.86,49.02,1224548.0,202925370.0,60000000.0,0.0204
2020-08-25,48.85,49.2,47.58,48.24,1485016.0,239521778.0,60000000.0,0.0248
2020-08-26,48.21,48.62,47.59,48.13,1072413.0,172537527.0,60000000.0,0.0179
2020-08-27,48.1,48.69,47.53,48.43,946130.0,153142595.0,60000000.0,0.0158
2020-08-28,48.43,48.49,47.53,48.42,1081800.0,174056882.0,60000000.0,0.018
2020-08-31,48.28,48.75,47.77,47.79,1103721.0,177960027.0,60000000.0,0.0184
2020-09-01,47.79,47.83,46.81,47.77,1366299.0,216424004.0,60000000.0,0.0228
2020-09-02,47.77,50.72,47.52,50.36,2740574.0,458159438.0,60000000.0,0.0457
2020-09-03,49.98,51.31,49.92,50.18,1606071.0,271854030.0,60000000.0,0.0268
2020-09-04,49.41,50.17,49.02,49.29,885700.0,146227588.0,60000000.0,0.0148
2020-09-07,49.32,50.75,48.99,49.45,1429800.0,238400427.0,60000000.0,0.0238
2020-09-08,49.86,49.86,47.23,47.81,1436858.0,231924684.0,60000000.0,0.0239
2020-09-09,47.02,47.02,45.44,45.79,1601418.0,246845631.0,60000000.0,0.0267
2020-09-10,46.33,46.33,44.99,45.11,854162.0,130164428.0,60000000.0,0.0142
2020-09-11,44.75,46.15,44.54,45.12,1201348.0,181906755.0,60000000.0,0.02
2020-09-14,45.2,45.68,44.87,45.56,1204550.0,182643130.0,60000000.0,0.0201
2020-09-15,45.74,46.21,44.96,45.56,1225410.0,186229265.0,60000000.0,0.0204
2020-09-16,45.52,45.73,44.84,44.9,843536.0,127195978.0,60000000.0,0.0141
2020-09-17,44.81,45.14,44.48,45.05,681523.0,102179290.0,60000000.0,0.0114
2020-09-18,44.99,45.62,44.84,45.56,815845.0,123614183.0,60000000.0,0.0136
2020-09-21,45.68,48.81,45.55,48.06,2474582.0,395369366.0,60000000.0,0.0412
2020-09-22,47.88,48.47,47.32,47.98,1202385.0,192888812.0,60000000.0,0.02
2020-09-23,48.05,48.15,47.09,47.15,878759.0,139024433.0,60000000.0,0.0146
2020-09-24,46.97,46.97,45.98,45.98,746503.0,115644604.0,60000000.0,0.0124
2020-09-25,46.11,46.44,45.4,45.61,658203.0,100511358.0,60000000.0,0.011
2020-09-28,45.67,46.06,45.01,45.14,858253.0,130157027.0,60000000.0,0.0143
2020-09-29,45.29,45.64,44.97,45.23,803245.0,121666238.0,60000000.0,0.0134
2020-09-30,45.32,45.44,44.99,45.14,761276.0,115074717.0,60000000.0,0.0127
2020-10-09,45.85,46.03,45.35,45.49,1016293.0,154960922.0,60000000.0,0.0169
2020-10-12,45.74,46.63,45.74,46.63,1601673.0,247406148.0,60000000.0,0.0267
2020-10-13,46.63,49.2,46.63,48.77,2538266.0,410266071.0,60000000.0,0.0423
2020-10-14,48.87,50.82,48.87,50.22,2819345.0,473708263.0,60000000.0,0.047
2020-10-15,50.22,50.74,49.63,49.96,1390512.0,233576496.0,60000000.0,0.0232
2020-10-16,50.14,51.18,49.47,49.92,1379683.0,231962141.0,60000000.0,0.023
2020-10-19,50.82,50.85,49.32,49.47,1219810.0,204157470.0,60000000.0,0.0203
2020-10-20,49.33,54.18,49.08,53.26,4445429.0,777088334.0,60000000.0,0.0741
2020-10-21,53.81,53.82,52.01,52.64,1982583.0,350112296.0,60000000.0,0.033
2020-10-22,52.61,53.24,51.36,51.9,1945579.0,338689690.0,60000000.0,0.0324
2020-10-23,52.06,53.07,50.82,51.27,1586249.0,274931327.0,60000000.0,0.0264
