证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
公牛集团,公牛集团股份有限公司,,,,,,54000.0,54000.0,,,,,,,,19520.6633,,,,,,定期报告,2020-04-27,34479.3367,603195,2019-12-31,,,,,,,,54000.0,,,,,,,,,015019
公牛集团,公牛集团股份有限公司,,,,,0.0,0.0,0.0,,54000.0,,0.0,,,34581.9079,,6000.0,,,,,A股上市,2020-02-05,,603195,2020-02-06,,,,,54000.0,,,60000.0,,,,,,6000.0,19418.0921,54000.0,015001
公牛集团,公牛集团股份有限公司,,,,,0.0,0.0,0.0,,54061.38,,0.0,,,34581.9079,,6000.0,,,,,定期报告,2020-08-18,,603195,2020-06-30,,,,,54061.38,,,60061.38,,,,,,6000.0,19479.4721,54061.38,015019
公牛集团,公牛集团股份有限公司,,,,,0.0,0.0,0.0,,54061.38,,0.0,,,34581.9079,,6000.0,,,,,"股权激励,增发新股上市",2020-07-08,,603195,2020-07-06,,,,,54061.38,,,60061.38,,,,,,6000.0,19479.4721,54061.38,"015025,015004"
公牛集团,公牛集团股份有限公司,,,,,,,,,54061.38,,,,,34581.9079,,6000.0,,,,,定期报告,2021-04-29,,603195,2020-12-31,,,,,54061.38,,,60061.38,,,,,,6000.0,19479.4721,54061.38,015019
公牛集团,公牛集团股份有限公司,,,,,,,,,52522.8306,,,,,33088.6108,,7538.5494,,,,,限售股份上市,2021-01-30,,603195,2021-02-08,,,,,52522.8306,,,60061.38,,,,,,7538.5494,19434.2198,52522.8306,015027
公牛集团,公牛集团股份有限公司,,,,,,0.0,0.0,,52519.0406,,0.0,,,33088.6108,,7538.5494,,,,,股份回购,2021-02-06,,603195,2021-02-10,,,,,52519.0406,,,60057.59,,,,,,7538.5494,19430.4298,52519.0406,015016
公牛集团,公牛集团股份有限公司,,,,,,,,,52582.7806,,,,,33088.6108,,7538.5494,,,,,"定期报告,期权行权",2021-08-18,,603195,2021-06-30,,,,,52582.7806,,,60121.33,,,,,,7538.5494,19494.1698,52582.7806,"015019,015992"
公牛集团,公牛集团股份有限公司,,,,,,0.0,0.0,,52515.9406,,0.0,,,33088.6108,,7538.5494,,,,,股份回购,2021-06-30,,603195,2021-07-02,,,,,52515.9406,,,60054.49,,,,,,7538.5494,19427.3298,52515.9406,015016
公牛集团,公牛集团股份有限公司,,,,,,,,,52494.3886,,,,,33088.6108,,7560.1014,,,,,激励股份解禁,2021-07-06,,603195,2021-07-09,,,,,52494.3886,,,60054.49,,,,,,7560.1014,19405.7778,52494.3886,015998
