日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-10-21,97.34,7.28,0.67,-0.67,-0.15,36.91
2025-10-22,83.25,6.20,0.58,-0.14,-0.15,36.65
2025-10-23,60.90,4.54,0.42,0.81,-0.15,39.40
2025-10-24,81.32,6.12,0.56,-0.13,-0.15,39.09
2025-10-27,121.84,9.24,0.84,1.75,-0.14,45.03
2025-10-28,64.67,4.92,0.45,0.13,-0.13,45.47
2025-10-29,72.54,5.50,0.50,0.00,-0.11,45.47
2025-10-30,166.16,12.96,1.15,2.11,-0.09,52.52
2025-10-31,89.82,6.98,0.62,-0.39,-0.07,51.19
2025-11-03,114.38,8.81,0.79,0.39,-0.06,52.49
2025-11-04,94.98,7.38,0.66,-0.13,-0.05,51.99
