日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-22,4.03,4.22,3.99,4.14,193075950.0,1032491117.0,14677880280.0,0.0132
2020-06-23,4.15,4.34,4.12,4.3,197832786.0,1085553689.0,14677880280.0,0.0135
2020-06-24,4.34,4.41,4.24,4.3,127155525.0,710066918.0,14677880280.0,0.0087
2020-06-29,4.23,4.26,4.16,4.2,109592883.0,594718418.0,14677880280.0,0.0075
2020-06-30,4.2,4.34,4.2,4.31,107605078.0,596076433.0,14677880280.0,0.0073
2020-07-01,4.3,4.51,4.27,4.48,171370464.0,981605513.0,14677880280.0,0.0117
2020-07-02,4.43,4.56,4.43,4.47,157461239.0,914004863.0,14677880280.0,0.0107
2020-07-03,4.49,4.5,4.33,4.4,149276499.0,845350336.0,14677880280.0,0.0102
2020-07-06,4.43,4.71,4.42,4.68,211216459.0,1258281872.0,14677880280.0,0.0144
2020-07-07,4.71,4.77,4.61,4.61,153144347.0,915291443.0,14677880280.0,0.0104
2020-07-08,4.64,4.74,4.59,4.64,153955644.0,913364201.0,14677880280.0,0.0105
2020-07-09,4.64,4.86,4.61,4.77,206314854.0,1250941665.0,14677880280.0,0.0141
2020-07-10,4.73,4.89,4.69,4.71,191710884.0,1170908511.0,14677880280.0,0.0131
2020-07-13,4.69,4.82,4.65,4.73,207772454.0,1258155420.0,14677880280.0,0.0142
2020-07-14,4.7,4.79,4.5,4.57,207512528.0,1227080084.0,14677880280.0,0.0141
2020-07-15,4.62,4.77,4.53,4.59,180980704.0,1077315916.0,14677880280.0,0.0123
2020-07-16,4.58,4.79,4.48,4.51,226568160.0,1347300324.0,14677880280.0,0.0154
2020-07-17,4.51,4.57,4.39,4.43,150645258.0,857537004.0,14677880280.0,0.0103
2020-07-20,4.49,4.75,4.49,4.74,238618549.0,1417656378.0,14677880280.0,0.0163
2020-07-21,4.74,4.88,4.71,4.75,170810680.0,1042566987.0,14677880280.0,0.0116
2020-07-22,4.81,5.02,4.68,4.92,267441716.0,1676626683.0,14677880280.0,0.0182
2020-07-23,4.89,4.98,4.71,4.95,205010424.0,1270208286.0,14677880280.0,0.014
2020-07-24,4.91,4.92,4.64,4.68,168424554.0,1020670397.0,14677880280.0,0.0115
2020-07-27,4.71,4.79,4.59,4.66,118441525.0,707894496.0,14677880280.0,0.0081
2020-07-28,4.68,4.87,4.68,4.83,137135547.0,841275705.0,14677880280.0,0.0093
2020-07-29,4.78,4.93,4.73,4.91,138964743.0,861023487.0,14677880280.0,0.0095
2020-07-30,4.91,4.93,4.82,4.85,84341023.0,523646580.0,14677880280.0,0.0057
2020-07-31,4.82,4.86,4.58,4.75,237687893.0,1434302585.0,14677880280.0,0.0162
2020-08-03,4.74,4.79,4.61,4.71,245746425.0,1459961989.0,14677880280.0,0.0167
2020-08-04,4.71,4.71,4.61,4.67,120575876.0,716022143.0,14677880280.0,0.0082
2020-08-05,4.67,4.79,4.63,4.74,157572581.0,952244079.0,14677880280.0,0.0107
2020-08-06,4.71,4.73,4.55,4.61,167461070.0,985482002.0,14677880280.0,0.0114
2020-08-07,4.57,4.61,4.45,4.56,148241480.0,857878589.0,14677880280.0,0.0101
