证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,8297.5969,8297.5969,,,0.0,,0.0,0.0,,6624.8013,0.0,,0.0,,,定期报告,2004-08-27,1672.7956,002027,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,8297.5969,,0.0,0.0,,0.0,0.0,,,015019
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,8297.5969,8297.5969,,,0.0,,0.0,0.0,,6624.8013,2900.0,,0.0,,,A股上市,2004-07-30,1672.7956,002027,2004-08-04,0.0,0.0,,0.0,0.0,0.0,0.0,11197.5969,,0.0,0.0,,0.0,2900.0,,,015001
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,8297.5969,8297.5969,,,0.0,,0.0,0.0,,6624.8013,2900.0,,0.0,,,定期报告,2005-03-24,1672.7956,002027,2004-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,11197.5969,,0.0,0.0,,0.0,2900.0,,,015019
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,16595.1938,16595.1938,,,0.0,,0.0,0.0,,13249.6026,5800.0,,0.0,,,"送股,转增",2005-04-28,3345.5912,002027,2005-05-11,0.0,0.0,,0.0,0.0,0.0,0.0,22395.1938,,0.0,0.0,,0.0,5800.0,,,"015010,015011"
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,16595.1938,16595.1938,,,0.0,,0.0,0.0,,13249.6026,5800.0,,0.0,,,定期报告,2005-07-28,3345.5912,002027,2005-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,22395.1938,,0.0,0.0,,0.0,5800.0,,,015019
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,14855.1938,0.0,,0.0,0.0,,0.0,7540.0,,0.0,,,股权分置,2005-11-07,0.0,002027,2005-11-10,0.0,0.0,,0.0,14855.1938,0.0,0.0,22395.1938,,0.0,0.0,,0.0,7540.0,,,015020
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,14856.7538,0.0,,0.0,0.0,,0.0,7538.44,,0.0,,,定期报告,2006-02-17,0.0,002027,2005-12-31,0.0,0.0,,0.0,14856.7538,0.0,0.0,22395.1938,,0.0,0.0,,0.0,7538.44,,,015019
分众传媒,七喜控股股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,20054.5116,0.0,,0.0,0.0,,0.0,10176.894,,0.0,,,"送股,转增",2006-04-05,0.0,002027,2006-04-11,0.0,0.0,,0.0,20054.5116,0.0,2.106,30233.5116,,0.0,0.0,,0.0,10179.0,,,"015010,015011"
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,20056.6176,,0.0,,0.0,,,10176.894,,,,,定期报告,2006-08-23,,002027,2006-06-30,,,,,20056.6176,,,30233.5116,,,,,,10176.894,20056.6176,20056.6176,015019
分众传媒,七喜控股股份有限公司,,,0.0,,0.0,0.0,0.0,,15175.5939,0.0,0.0,,,,,13248.9001,0.0,,,,股权分置受限股份上市,2006-11-08,,002027,2006-11-10,,0.0,,,15175.5939,,1809.0176,30233.5116,,,,,,15057.9177,15175.5939,15175.5939,015021
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,20054.5116,0.0,0.0,,0.0,,,10179.0,,,,,定期报告,2007-03-16,,002027,2006-12-31,,,,,20054.5116,,,30233.5116,,,0.0,,,10179.0,20054.5116,20054.5116,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,16532.3571,0.0,0.0,,0.0,,,13701.1545,,,,,定期报告,2007-07-27,,002027,2007-06-30,,,,,16532.3571,,0.0,30233.5116,,,0.0,,,13701.1545,16532.3571,16532.3571,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,16559.5334,0.0,0.0,,0.0,0.0,,13673.9782,,,,,定期报告,2008-03-13,,002027,2007-12-31,,,,,16559.5334,,0.0,30233.5116,,,0.0,,,13673.9782,16559.5334,16559.5334,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,13775.9559,,0.0,,,,,15140.2034,,,,,股权分置受限股份上市,2008-01-19,,002027,2008-01-22,,0.0,,,13775.9559,,1317.3523,30233.5116,,,,,,16457.5557,13775.9559,13775.9559,015021
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,14545.7174,0.0,0.0,,0.0,,,15687.7942,,,,,定期报告,2008-08-21,,002027,2008-06-30,,,,,14545.7174,,0.0,30233.5116,,,0.0,0.0,,15687.7942,14545.7174,14545.7174,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,11303.7777,,0.0,,,,,18929.7339,,,,,股权分置受限股份上市,2008-11-10,,002027,2008-11-13,,0.0,,,11303.7777,,0.0,30233.5116,,,,0.0,,18929.7339,11303.7777,11303.7777,015021
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,11303.7776,0.0,0.0,,0.0,,,18929.734,,,,,定期报告,2009-03-27,,002027,2008-12-31,,,,,11303.7776,,0.0,30233.5116,,,0.0,0.0,,18929.734,11303.7776,11303.7776,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,11116.6198,0.0,0.0,,0.0,,,19116.8918,,,,,定期报告,2009-08-22,,002027,2009-06-30,,0.0,,,11116.6198,,0.0,30233.5116,,,0.0,0.0,,19116.8918,11116.6198,11116.6198,015019
分众传媒,七喜控股股份有限公司,,,,,0.0,0.0,0.0,,11116.6198,,0.0,,,,,19116.8918,,,,,定期报告,2010-04-16,,002027,2009-12-31,,,,,11116.6198,,,30233.5116,,,,,,19116.8918,11116.6198,11116.6198,015019
分众传媒,七喜控股股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,10977.3764,0.0,0.0,,0.0,,,19256.1352,0.0,,,,定期报告,2010-08-28,,002027,2010-06-30,,,,,10977.3764,,,30233.5116,,,0.0,0.0,,19256.1352,10977.3764,10977.3764,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10978.3764,,,,,,,19255.1352,,,,,定期报告,2011-04-16,,002027,2010-12-31,,,,,10978.3764,,,30233.5116,,,,,,19255.1352,10978.3764,10978.3764,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10769.0114,,,,,,,19464.5002,,,,,定期报告,2011-08-27,,002027,2011-06-30,,,,,10769.0114,,,30233.5116,,,,,,19464.5002,10769.0114,10769.0114,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10765.3388,,,,,,,19468.1728,,,,,定期报告,2012-04-25,,002027,2011-12-31,,,,,10765.3388,,,30233.5116,,,,,,19468.1728,10765.3388,10765.3388,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10764.5491,,,,,,,19468.9625,,,,,定期报告,2012-08-29,,002027,2012-06-30,,,,,10764.5491,,,30233.5116,,,,,,19468.9625,10764.5491,10764.5491,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10764.5491,,,,,,,19468.9625,,,,,定期报告,2013-04-24,,002027,2012-12-31,,,,,10764.5491,,,30233.5116,,,,,,19468.9625,10764.5491,10764.5491,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10760.0168,,,,,,,19473.4948,,,,,定期报告,2013-08-28,,002027,2013-06-30,,,,,10760.0168,,,30233.5116,,,,,,19473.4948,10760.0168,10760.0168,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10827.1993,,,,,,,19406.3123,,,,,定期报告,2014-04-28,,002027,2013-12-31,,,,,10827.1993,,,30233.5116,0.0,,,,,19406.3123,10827.1993,10827.1993,015019
分众传媒,七喜控股股份有限公司,,,,,,,,,10692.8268,,,,,,,19540.6848,,,,,定期报告,2014-08-27,,002027,2014-06-30,,,,,10692.8268,,,30233.5116,0.0,,,,,19540.6848,10692.8268,10692.8268,015019
分众传媒,七喜控股股份有限公司,,,0.0,,0.0,0.0,0.0,,9884.6299,,0.0,,,,,20348.8817,,,,,股权分置受限股份上市,2014-08-04,,002027,2014-08-06,,0.0,,,9884.6299,,,30233.5116,,,,,,20348.8817,9884.6299,9884.6299,015021
