日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,56.56,61.65,56.46,61.11,13707616.0,827499168.0,128856279.0,0.10637910784308773
2019-11-28,59.93,63.59,59.83,62.09,11850438.0,741380346.0,128856279.0,0.09196632164118289
2019-11-29,62.3,63.96,61.58,62.52,10215572.0,647453885.0,128856279.0,0.07927880642898279
2019-12-02,62.34,65.95,61.41,64.67,10610110.0,690613717.0,128856279.0,0.08234065178926982
2019-12-03,63.89,69.83,63.57,69.47,13221580.0,890614751.0,128856279.0,0.10260718455171285
2019-12-04,68.45,71.03,67.9,68.36,11717843.0,818652685.0,128856279.0,0.09093730698214558
2019-12-05,68.74,75.19,67.81,70.08,18214785.0,1316271579.0,128856279.0,0.14135737227054337
2019-12-06,70.7,77.09,69.45,77.09,18738873.0,1387731992.0,128856279.0,0.1454246013110467
2019-12-09,77.15,82.02,75.58,78.15,19145532.0,1515103050.0,128856279.0,0.1485805127121512
2019-12-10,78.12,85.78,76.3,84.69,17147859.0,1409526729.0,128856279.0,0.1330774032362055
2019-12-11,82.71,87.46,82.44,82.98,14472259.0,1232696869.0,128856279.0,0.11231318421044892
2019-12-12,83.39,91.23,83.39,89.87,16213991.0,1428964237.0,128856279.0,0.1258300420113792
2019-12-13,90.14,92.18,87.17,91.79,15606626.0,1418305931.0,128856279.0,0.12111653480231259
2019-12-16,92.03,94.77,85.19,89.28,21014892.0,1895727074.0,128856279.0,0.16308783835050833
2019-12-17,87.28,88.16,84.69,86.18,16595356.0,1445846356.0,128856279.0,0.12878965719629387
2019-12-18,86.17,94.4,85.99,93.73,21721626.0,1989575935.0,128856279.0,0.1685725070487252
2019-12-19,91.72,92.88,85.68,85.68,16084699.0,1423663487.0,128856279.0,0.12482666056188073
2019-12-20,86.1,87.96,84.2,85.19,8693861.0,757620526.0,128856279.0,0.06746944011940621
2019-12-23,79.74,83.67,79.64,80.58,9863626.0,809839714.0,128856279.0,0.07654749986999082
2019-12-24,81.92,87.03,81.92,85.71,12020108.0,1028789616.0,128856279.0,0.09328305995860706
2019-12-25,86.61,92.25,86.29,90.88,13333143.0,1211876446.0,128856279.0,0.10347297860432553
2019-12-26,89.42,90.59,86.73,89.34,9935648.0,886699316.0,128856279.0,0.0771064326636345
