日期,收盘价
2022-12-19,172.52
2022-12-20,170.62
2022-12-21,167.81
2022-12-22,164.09
2022-12-23,160.31
2022-12-26,164.68
2022-12-27,167.45
2022-12-28,165.45
2022-12-29,167.54
2022-12-30,165.82
2023-01-03,169.50
2023-01-04,166.55
2023-01-05,168.03
2023-01-06,168.04
2023-01-09,168.84
2023-01-10,169.65
2023-01-11,168.47
2023-01-12,166.05
2023-01-13,167.15
2023-01-16,173.69
2023-01-17,178.52
2023-01-18,176.05
2023-01-19,180.80
2023-01-20,180.82
2023-01-30,179.68
2023-01-31,172.43
2023-02-01,175.28
2023-02-02,188.11
2023-02-03,186.07
2023-02-06,186.94
2023-02-07,183.73
2023-02-08,180.29
2023-02-09,186.35
2023-02-10,182.89
2023-02-13,185.68
2023-02-14,182.72
2023-02-15,188.36
2023-02-16,184.81
2023-02-17,175.19
2023-02-20,175.95
2023-02-21,175.94
2023-02-22,177.31
2023-02-23,176.71
2023-02-24,174.67
2023-02-27,169.84
2023-02-28,171.67
2023-03-01,171.96
2023-03-02,172.74
2023-03-03,183.22
2023-03-06,187.59
2023-03-07,182.27
2023-03-08,183.25
2023-03-09,190.10
2023-03-10,192.22
2023-03-13,193.45
2023-03-14,204.60
2023-03-15,200.19
2023-03-16,196.51
2023-03-17,198.72
2023-03-20,204.08
2023-03-21,201.51
2023-03-22,196.89
2023-03-23,197.50
2023-03-24,190.63
2023-03-27,185.78
2023-03-28,182.04
2023-03-29,200.09
2023-03-30,194.28
2023-03-31,195.66
2023-04-03,206.00
2023-04-04,208.53
2023-04-06,226.26
2023-04-07,230.11
2023-04-10,220.58
2023-04-11,217.41
2023-04-12,218.00
2023-04-13,210.50
2023-04-14,231.55
2023-04-17,242.07
2023-04-18,237.36
2023-04-19,241.11
2023-04-20,259.07
2023-04-21,248.23
2023-04-24,245.02
2023-04-25,243.52
2023-04-26,246.55
2023-04-27,247.51
2023-04-28,246.20
2023-05-04,237.22
2023-05-05,237.08
2023-05-08,221.70
2023-05-09,221.66
2023-05-10,213.07
2023-05-11,213.22
2023-05-12,210.27
2023-05-15,212.49
2023-05-16,218.55
2023-05-17,221.36
2023-05-18,221.71
2023-05-19,221.74
2023-05-22,218.82
2023-05-23,214.53
2023-05-24,218.96
2023-05-25,220.18
2023-05-26,221.97
2023-05-29,224.15
2023-05-30,224.56
2023-05-31,223.34
2023-06-01,218.33
2023-06-02,219.46
2023-06-05,233.31
2023-06-06,227.79
2023-06-07,226.68
2023-06-08,222.19
2023-06-09,225.95
2023-06-12,232.42
2023-06-13,235.88
2023-06-14,233.01
2023-06-15,233.64
2023-06-16,235.81
2023-06-19,232.26
2023-06-20,228.87
2023-06-21,217.04
2023-06-26,219.43
2023-06-27,221.52
2023-06-28,231.12
2023-06-29,229.47
2023-06-30,233.79
2023-07-03,223.68
2023-07-04,225.61
2023-07-05,217.12
2023-07-06,213.43
2023-07-07,209.86
2023-07-10,210.85
2023-07-11,216.21
2023-07-12,209.58
2023-07-13,213.42
2023-07-14,220.33
2023-07-17,212.81
2023-07-18,211.23
2023-07-19,203.91
2023-07-20,204.17
