日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-04,8.00,35.50,1.10,3.67,7.57,62.43
2025-12-05,6.15,27.71,0.85,0.16,8.78,62.66
2025-12-08,8.28,37.83,1.14,2.77,10.63,66.44
2025-12-09,6.16,28.33,0.85,-1.20,11.52,63.38
2025-12-10,4.79,21.81,0.66,0.23,12.16,63.72
2025-12-11,5.35,24.46,0.74,-1.18,12.10,60.58
2025-12-12,7.99,36.16,1.10,0.44,12.07,61.33
2025-12-15,8.32,38.01,1.15,-1.34,11.42,57.69
2025-12-16,5.36,23.74,0.74,-1.36,10.29,54.21
2025-12-17,6.10,26.98,0.84,0.42,9.45,55.10
2025-12-18,4.19,18.57,0.58,-0.37,8.54,54.10
