SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002371.SZ,002371,北方华创,10081732,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,24548909764.01,,,,,,,,,,,,252151426.67,1097903353.83,,0.0,25898964544.51,21253570280.44,,,,,,4874173664.52,1305055907.41,1032599571.35,,0.0,28465399423.72,,0.0,-2566434879.21,480000000.0,2066711.23,740735.02,,,3125664.42,,0.0,485933110.67,546708515.11,718881452.55,,1867963852.88,,,,0.0,3133553820.54,,0.0,-2647620709.87,398784682.18,11961673.5,8938830550.66,,19382.73,,0.0,9337634615.57,2139881337.81,801814895.53,30355158.0,,164276776.04,,,0.0,3105973009.38,,0.0,6231661606.19,-2624485.53,,0.0,1014981531.58,12385138068.73,,0.0,13400119600.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3066850769,,,,,,,,,,,,-48.7481225724,-56.0301067287,,,24.8832149448,53.4159473105,,,,,,26.3339853339,-9.2036589014,-11.8050017214,,,40.0864309442,,,-713.0060753243,,,-88.8567630899,,,,,,7210.1279518889,-39.7529556049,776.3327186609,,,,,,,216.6877364436,,,-169.3874315495,-56.9485523594,-97.9790665932,1447.2983253724,,,,,520.8518555463,234.7786522411,38.8201898043,-27.9576772698,,393.0328313962,,,,148.4569798512,,,2354.388886537,84.7956157556,,,409.890687101,0.3099816934,,,11.4880175265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,002371,北方华创,10081732,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,14087927785.02,,,,,,,,,,,,215041997.2,504136015.95,,0.0,14807105798.17,13246287560.78,,,,,,3305847885.65,891339361.82,555006943.96,,0.0,17998481752.21,,0.0,-3191375954.04,0.0,1400000.0,734884.37,0.0,,3125664.42,,0.0,5260548.79,337573911.91,197842410.65,,1867963852.88,,0.0,,0.0,2403380175.44,,0.0,-2398119626.65,114809399.5,,7759714439.59,,0.0,,0.0,7874523839.09,1607997994.93,105357955.57,9478158.0,,135205161.8,,,0.0,1848561112.3,,0.0,6025962726.79,2340676.09,,0.0,438807822.19,12385138068.73,,0.0,12823945890.92,3201197889.35,100229203.95,192314638.37,192314638.37,,379309029.96,37762835.12,,,,-233130.09,-618822.78,,99299028.86,7801792.31,-69281980.97,-69282129.55,148.58,,-7475153179.96,-2270908816.28,2575245717.49,,,0.0,-3191375954.04,,,,,12823945890.92,12385138068.73,,,,,438807822.19,19.9703765763,,,,,,,,,,,,-39.5962343968,21.444361517,,,18.3246716876,60.004378919,,,,,,24.7018684552,-21.3608536492,-27.4029402976,,,40.3099091755,,,-917.3354681605,,,-78.8845746943,,,,,,51.1512961452,-49.4152256314,1063.2679234782,,,,,,,251.1914670475,,,-252.2139878455,-82.3874187239,,1345.2451822136,,,,,562.40741039,176.83077248,-16.7655245254,-77.5053545258,,422.363279422,,,,152.0801973196,,,1223.0762859877,-60.168340926,,,182.290523925,0.3099816934,,,8.5521866208,13.4151273082,-8.1763532427,34.4091074335,34.4091074335,,22.9464353774,20.0193510063,,,,73.2467514405,-41.2996343219,,48.8686437174,629.7020301272,-389.4152194133,-391.1216111767,100.3022699952,,-79.2531157041,-116.9651568319,82.9250355436,,,,-917.3354681605,,,,,8.5521866208,0.3099816934,,,,,182.290523925,,,,,31659840.63,2.8141351168
002371.SZ,002371,北方华创,10081732,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,7414511833.65,,,,,,,,,,,,123654488.51,174796213.31,,0.0,7712962535.47,6564302976.36,,,,,,1941675753.35,494211186.14,441461266.23,,0.0,9441651182.08,,0.0,-1728688646.61,0.0,843520.0,240880.32,0.0,,4542171.71,,0.0,5626572.03,191537596.39,209559583.34,,119683200.0,,0.0,,0.0,520780379.73,,0.0,-515153807.7,38491417.86,0.0,935388160.86,,0.0,,0.0,973879578.72,61191811.89,52302713.61,9478158.0,,4756412.15,,,0.0,118250937.65,,0.0,855628641.07,-939317.5,,0.0,-1389153130.74,12396398055.92,,0.0,11007244925.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3606705592,,,,,,,,,,,,-51.1109593412,9.812577721,,,21.9122769312,81.6506456937,,,,,,29.3974702352,13.0893611824,-18.2295549515,,,55.0064030958,,,-834.0088335509,,,364.1239306358,,,,,,10741.1792485549,-26.9659124539,1554.4863904352,,,,,,,89.4270699043,,,-87.4158579914,312.3965467603,,268.690249286,,,,,270.2411081771,-79.5615467581,-17.2588588592,-32.3114421607,,-68.8234907688,,,,-68.7054546843,,,845.1582935049,-156.1656554725,,,-810.8520112799,0.4011788284,,,-9.7349048491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,002371,北方华创,10081732,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,26078556527.85,,,,,,,,,,,,715439085.83,3241462088.58,,0.0,30035457702.26,19934653320.77,,,,,,5026108297.27,1969593701.07,1531937328.88,,0.0,28462292647.99,,0.0,1573165054.27,,834828.02,6667395.42,,,,,0.0,7502223.44,2046154256.83,166773913.22,,6300469.5,,,,0.0,2219228639.55,,0.0,-2211726416.11,1279765207.66,841888553.06,709434695.41,,,,0.0,1989199903.07,577118857.4,614845492.74,43043954.01,,56925371.8,,,0.0,1248889721.94,,0.0,740310181.13,5152267.11,,0.0,106901086.4,12229065100.31,,0.0,12335966186.71,5693678082.06,227919680.04,314885408.18,314885408.18,,630915012.39,60614063.37,,,,-4877861.73,17479.01,-6260374.55,167551600.46,-3253045.43,-261088780.83,-257690780.85,-3397999.98,,-6550004826.98,-1786801482.5,2233626511.01,791896816.58,,0.0,1573165054.27,,,,,12335966186.71,12229065100.31,,,,,106901086.4,22.6492027221,,,,,,,,,,,,21.742709984,62.6073000285,,,25.9675032067,31.2065798814,,,,,,29.6936072799,17.8553242965,107.3250470501,,,32.5133796129,,,-33.4816105971,,,2290.3394783439,,,,,,165.2577390998,3.3420853041,128.5603156975,,-24.6991310863,,,,,7.6607797039,,,-7.4442479814,502.2733264819,642.4344408512,-73.9065220104,,,,,-32.1395377105,-30.5076922232,58.6178717852,493.2536048371,,-13.7513669111,,,,-2.7425584423,,,-55.0565026161,-62.9395143925,,,-94.5669976986,19.1749347995,,,0.8741558371,41.1868749065,128.4890398828,37.6759777293,37.6759777293,,71.2941041544,70.0953181074,,,,-287.3513401024,-90.838543508,-209.0755232505,10.7996518408,-138.7262466024,-208.8145045735,-197.4270076241,-262.2342118515,,-65.0695148246,-53.1861121451,23.4159986661,5.057682866,,,-33.4816105971,,,,,0.8741558371,19.1749347995,,,,,-94.5669976986,标准无保留意见,,,,64346773.19,-33.5657558396
002371.SZ,002371,北方华创,10081732,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,17749619080.5,,,,,,,,,,,,491984761.0,2496943413.2,,0.0,20738547254.7,13853559980.58,,,,,,3858165046.91,1437344161.25,1170814208.86,,0.0,20319883397.6,,0.0,418663857.1,,,6647395.42,,,,,0.0,6647395.42,907444540.39,82032935.35,,,,,,0.0,989477475.74,,0.0,-982830080.32,926297962.17,591888553.06,577705695.41,,,,0.0,1504003657.58,639192888.64,577592421.29,42135173.95,,33319642.34,,,0.0,1250104952.27,,0.0,253898705.31,-17261373.35,,0.0,-327528891.26,12346865047.38,,0.0,12019336156.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5736614416,,,,,,,,,,,,-2.1519752112,58.3991052676,,,24.3388578131,24.3683277318,,,,,,36.5573471835,31.6052045715,140.6767793146,,,30.7326955936,,,-63.1450972157,,,190.0133248986,,,,,,37.2348458486,-36.4948843544,23.8450533664,,,,,,,-34.1900073211,,,34.4208540831,398.8499277841,480.6490683988,-71.6230457986,,,,,-32.2982496805,181.2071062112,67.2929689554,486.0593999454,,90.1844482117,,,,111.8531346335,,,-84.4370720897,-159.5989834358,,,-125.2395533707,20.3229212478,,,3.9813975454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,002371,北方华创,10081732,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2025-08-29 00:00:00,CNY,11742838679.9,,,,,,,,,,,,356007601.6,415116856.52,,0.0,12513963138.02,8278703151.92,,,,,,2651001084.91,1133455032.49,764503336.96,,0.0,12827662606.28,,0.0,-313699468.26,0.0,0.0,3480320.0,0.0,,0.0,,0.0,3480320.0,667342923.09,17007467.21,,0.0,,0.0,,0.0,684350390.3,,0.0,-680870070.3,651860154.4,591888553.06,536913358.03,,0.0,,0.0,1188773512.43,580859555.65,126579707.47,42135173.95,,25883358.79,,,0.0,733322621.91,,0.0,455450890.52,5876421.28,,0.0,-533242226.76,12346865047.38,,0.0,11813622820.62,2822549306.54,109154022.4,143081553.06,143081553.06,,308515679.04,31463955.44,,,,-871408.53,-437950.73,,66702447.46,-1472864.34,-14156074.07,-14106919.34,-49154.73,,-4170166387.68,-1046669819.91,1407814796.83,,,0.0,-313699468.26,,,,,11813622820.62,12346865047.38,,,,,-533242226.76,31.8343435065,,,,,,,,,,,,1.3062113905,-37.5057825634,,,26.1115215538,11.8777060268,,,,,,39.6023826254,51.8143344886,220.0178794385,,,24.7312081673,,,13.1773374721,-100.0,,,,,,,,36.3916655158,-22.4272360702,-73.7928538693,,-100.0,,,,,-26.6932346808,,,26.8661410578,276.1465796057,480.6490683988,-66.7544858482,,,,,-33.5247311522,155.5438861452,80.1811356317,486.0593999454,,150.098429804,,,,138.1660845256,,,-69.2344091502,-84.4605696868,,,-336.0475809507,20.3229212478,,,12.6464581156,51.9025769733,47.8002120537,34.6544491104,34.6544491104,,81.7475105401,185.6252019811,,,,-1471.6317829387,-8846.5887803692,,144.8439119007,-80.0933607805,37.3227362509,41.2093458077,-103.487356403,,-13.0784184826,10.835816141,-37.5757832043,,,,13.1773374721,,,,,12.6464581156,20.3229212478,,,,,-336.0475809507,,,,,30793276.23,37.5545965022
002371.SZ,002371,北方华创,10081732,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-26 00:00:00,CNY,5914543852.21,,,,,,,,,,,,252928850.4,159176860.19,,0.0,6326649562.8,3613696472.86,,,,,,1500551556.24,437009441.89,539878761.78,,0.0,6091136232.77,,0.0,235513330.03,0.0,0.0,51900.0,0.0,,0.0,,0.0,51900.0,262257807.04,12666141.26,,0.0,,0.0,,0.0,274923948.3,,0.0,-274872048.3,9333593.64,0.0,253705695.41,,0.0,,0.0,263039289.05,299395512.79,63212463.46,14002600.0,,15256397.42,,,0.0,377864373.67,,0.0,-114825084.62,1672405.48,,0.0,-152511397.41,12346865047.38,,0.0,12194353649.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6960151339,,,,,,,,,,,,1208.2663018808,1.306724528,,,50.3376477103,9.7767833876,,,,,,33.3628686325,57.6016615859,207.6001359367,,,25.0791985793,,,135.6013102288,,,,,,,,,,-38.9789744967,-71.788004138,,-100.0,,,,,-42.3966846716,,,42.4075589955,-29.1211835526,,-63.7563292271,,,,,-63.116804458,41.7772477618,110.3986298672,,,859.4842674967,,,,55.6231023723,,,-124.412118226,117.1854190627,,,77.5113832134,20.3229212478,,,27.2462832156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,002371,北方华创,10081732,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-26 00:00:00,CNY,21262719976.21,,,,,,,,,,,,587664826.85,1993429623.4,,0.0,23843814426.46,15193333549.88,,,,,,3875370885.8,1671196199.94,738906056.3,,0.0,21478806691.92,,0.0,2365007734.54,2549346.03,,278930.9,,,,,0.0,2828276.93,1979981583.31,72967134.61,,8367060.82,,,,0.0,2061315778.74,,0.0,-2058487501.81,212489106.09,113395676.0,2718819989.01,,,,0.0,2931309095.1,830478762.13,387626870.68,7255573.95,,66001477.08,,,0.0,1284107109.89,,0.0,1647201985.21,13902319.48,,0.0,1967624537.42,10261440562.89,,0.0,12229065100.31,4032724774.05,99750815.25,228714851.62,228714851.62,,368322666.74,35635350.84,,,,2603590.52,190788.55,5739486.15,151220331.18,-1362667.69,-84545504.49,-86640007.21,2094502.72,,-3968028157.07,-1166425244.09,1809835463.11,753773350.96,,0.0,2365007734.54,,,,,12229065100.31,10261440562.89,,,,,1967624537.42,33.515376417,,,,,,,,,,,,52.5119183694,26.8960707265,,,33.3432129815,12.301329779,,,,,,30.905924086,21.9771825495,-1.4639694123,,,15.4186609699,,,424.890918152,567.6985989661,,-57.8101249081,,,,,,171.1822538144,40.5642995477,380.3538071971,,,,,,,44.7771590981,,,-44.6844976656,34.9737392088,,-33.0210361906,,,,,-30.4824265648,36.9192834872,60.7527182207,-91.8178396734,,170.6120590559,,,,47.2484513182,,,-50.7500565342,-62.1573876097,,,59.8872782934,13.6270453063,,,19.1749347995,58.706691099,-3.3060658183,9.0965856399,9.0965856399,,26.6634701743,85.8063927857,,,,-77.4054590122,-99.1515711997,122.977818434,94.9465976537,-196.1990674475,-175.6525055707,-178.6936488451,26.3863336345,,20.830411574,66.1658711308,-53.8719735709,94.9984040112,,,424.890918152,,,,,19.1749347995,13.6270453063,,,,,59.8872782934,标准无保留意见,,,,96857838.91,199.5919221385
002371.SZ,002371,北方华创,10081732,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-30 00:00:00,CNY,14599888553.19,,,,,,,,,,,,502804999.96,1576362069.08,,0.0,16679055622.23,11139138262.32,,,,,,2825307555.02,1092163616.12,486467457.39,,0.0,15543076890.85,,0.0,1135978731.38,2551710.17,,2292100.0,,,,,0.0,4843810.17,1428931403.66,66238362.47,,8367060.82,,,,0.0,1503536826.95,,0.0,-1498693016.78,185686698.66,101935676.0,2035827000.0,,,,0.0,2221513698.66,227303248.93,345258037.38,7189573.95,,17519646.14,,,0.0,590080932.45,,0.0,1631432766.21,28962529.82,,0.0,1297681010.63,10261440562.89,,0.0,11559121573.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9442131734,,,,,,,,,,,,145.5463835552,15.0503113396,,,44.901860215,33.5432715556,,,,,,31.8278557224,36.7416439582,16.2676777452,,,32.8296844705,,,694.9996509858,,,512.9494632915,,,,,,1195.3234343996,73.1145134528,661.4143551634,,,,,,,80.2531955051,,,-79.7530748846,28.3579268787,,-49.3476432943,,,,,-46.6479634863,-62.5249923333,130.9161709852,-70.5236726564,,22.0914969873,,,,-23.4071399815,,,-51.9242863921,-48.9481765167,,,-46.4989695708,13.6270453063,,,0.897216148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,002371,北方华创,10081732,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-28 00:00:00,CNY,8907268294.11,,,,,,,,,,,,351417348.17,664248427.37,,0.0,9922934069.65,7399779139.14,,,,,,1898965501.2,746606067.41,238893945.02,,0.0,10284244652.77,,0.0,-361310583.12,2551710.17,,,,,,,0.0,2551710.17,860279934.97,64896296.32,,8367060.82,,,,0.0,933543292.11,,0.0,-930991581.94,173299503.37,101935676.0,1614994900.0,,,,0.0,1788294403.37,227303248.93,70251365.12,7189573.95,,10349268.81,,,0.0,307903882.86,,0.0,1480390520.51,37816195.07,,0.0,225904550.52,10261440562.89,,0.0,10487345113.41,1858131285.71,73852412.58,106258318.24,106258318.24,,169749603.79,11015819.06,,,,-55446.1,-4895.17,,27242845.02,-817833.78,-22585660.61,-23995173.27,1409512.66,,-3687853476.94,-1173867997.9,2255238221.79,,,0.0,-361310583.12,,,,,10487345113.41,10261440562.89,,,,,225904550.52,74.5113603866,,,,,,,,,,,,221.4967444308,36.3669624651,,,74.0703849459,44.2693260846,,,,,,30.7933792474,84.2353291073,-4.7171215055,,,42.1066392202,,,76.4842368762,,,,,,,,,763.4177122246,39.4716399634,830.9491412366,,,,,,,49.6579805845,,,-49.3196559199,60.5528657816,,-11.2257150583,,,,,-7.2054220445,-62.5249923333,144.7716070604,-70.5236726564,,140.9394838316,,,,-51.8555950694,,,14.9718239889,69.06295873,,,126.5779282777,13.6270453063,,,28.1940243567,112.4788807682,7.9969517672,5.2023255222,5.2023255222,,16.3549733261,3438.1216266531,,,,79.239121892,-219.1801365352,,17.9799193614,-507.1560834482,-30.9024484039,-38.8630578524,5336.292431723,,-37.848799053,-0.7328554087,105.8390513747,,,,76.4842368762,,,,,28.1940243567,13.6270453063,,,,,126.5779282777,,,,,22386221.19,64.1105572679
