证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
北方华创,北京七星华创电子股份有限公司,,,165.6,,331.2,0.0,0.0,,4844.0,0.0,0.0,,,802.0,,1324.8,3846.4,331.2,,,A股上市,2010-03-15,,002371,2010-03-16,,0.0,,,5175.2,,,6500.0,,,,,,1324.8,30.0,832.0,015001
北方华创,北京七星华创电子股份有限公司,,,165.6,,0.0,0.0,0.0,,4844.0,0.0,0.0,,0.0,802.0,,1656.0,3846.4,0.0,,,配售股份上市,2010-06-09,,002371,2010-06-17,,0.0,,,4844.0,,0.0,6500.0,,,0.0,0.0,,1656.0,30.0,832.0,015009
北方华创,北京七星华创电子股份有限公司,,,,,0.0,0.0,0.0,,4844.0,0.0,0.0,,0.0,802.0,,1656.0,4012.0,0.0,,,定期报告,2010-08-11,,002371,2010-06-30,,,,,4844.0,,0.0,6500.0,,,0.0,,,1656.0,30.0,832.0,015019
北方华创,北京七星华创电子股份有限公司,,,,,0.0,,0.0,,4844.0,0.0,0.0,,0.0,802.0,,1656.0,4012.0,0.0,,,定期报告,2011-02-25,,002371,2010-12-31,,,,,4844.0,,0.0,6500.0,,,0.0,,,1656.0,30.0,832.0,015019
北方华创,北京七星华创电子股份有限公司,,0.0,,,0.0,0.0,0.0,,4613.5,0.0,0.0,,0.0,601.5,,1886.5,4012.0,0.0,,,限售股份上市,2011-03-11,,002371,2011-03-16,0.0,,,,4613.5,,30.0,6500.0,,,0.0,,,1886.5,0.0,601.5,015027
北方华创,北京七星华创电子股份有限公司,,,,,,,,,4628.5,,,,,601.5,,1871.5,4012.0,,,,定期报告,2011-08-12,,002371,2011-06-30,,,,,4628.5,,,6500.0,,,,,,1871.5,15.0,616.5,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,6017.05,0.0,0.0,,0.0,781.95,,2432.95,5215.6,0.0,,,转增,2011-06-24,,002371,2011-07-01,0.0,0.0,,,6017.05,,0.0,8450.0,,,0.0,,,2432.95,19.5,801.45,015011
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,,0.0,,6017.05,0.0,0.0,,0.0,781.95,,2432.95,5215.6,0.0,,,定期报告,2012-02-10,,002371,2011-12-31,0.0,0.0,,,6017.05,,0.0,8450.0,,,0.0,,,2432.95,19.5,801.45,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,0.0,0.0,0.0,0.0,,5988.1479,0.0,0.0,,0.0,753.0479,,2461.8521,5215.6,0.0,,,限售股份上市,2012-03-14,,002371,2012-03-16,0.0,0.0,,,5988.1479,,0.0,8450.0,,,0.0,,,2461.8521,19.5,772.5479,015027
北方华创,北京七星华创电子股份有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10778.6662,0.0,0.0,,0.0,1355.4862,,4431.3338,9388.08,0.0,,,转增,2012-03-21,,002371,2012-03-27,0.0,0.0,,,10778.6662,,0.0,15210.0,,,0.0,,,4431.3338,35.1,1390.5862,015011
北方华创,北京七星华创电子股份有限公司,,,,,,,,,10743.5662,,,,,1355.4862,,4466.4338,9388.08,,,,定期报告,2012-08-25,,002371,2012-06-30,,,,,10743.5662,,,15210.0,,,,,,4466.4338,,1355.4862,015019
北方华创,北京七星华创电子股份有限公司,,,0.0,,0.0,0.0,0.0,,13143.5662,,0.0,,0.0,2672.2762,,4466.4338,10288.08,,,,增发新股上市,2012-09-12,,002371,2012-09-13,,0.0,,,13143.5662,,,17610.0,,,0.0,,,4466.4338,183.21,2855.4862,015004
北方华创,北京七星华创电子股份有限公司,,,0.0,,0.0,0.0,0.0,,13143.5662,,0.0,,0.0,2672.2762,,4466.4338,10288.08,,,,定期报告,2013-03-30,,002371,2012-12-31,,0.0,,,13143.5662,,,17610.0,,,0.0,,,4466.4338,183.21,2855.4862,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,3692.3693,,0.0,,0.0,2609.1593,,13917.6307,900.0,0.0,,,限售股份上市,2013-03-13,,002371,2013-03-18,,0.0,,,3692.3693,,0.0,17610.0,,,0.0,,,13917.6307,183.21,2792.3693,015027
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,7384.7386,,0.0,0.0,0.0,5218.3186,,27835.2614,1800.0,0.0,,,转增,2013-05-02,,002371,2013-05-10,0.0,0.0,,,7384.7386,0.0,0.0,35220.0,,,0.0,,0.0,27835.2614,366.42,5584.7386,015011
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,,0.0,,7384.7386,,0.0,0.0,0.0,5218.3186,,27835.2614,1800.0,0.0,,,定期报告,2013-08-23,,002371,2013-06-30,0.0,0.0,,,7384.7386,0.0,0.0,35220.0,,,0.0,,0.0,27835.2614,366.42,5584.7386,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,2584.7386,,0.0,0.0,0.0,2218.3186,,32635.2614,0.0,0.0,,,限售股份上市,2013-09-12,,002371,2013-09-13,0.0,0.0,,,2584.7386,0.0,0.0,35220.0,,,0.0,,0.0,32635.2614,366.42,2584.7386,015027
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,2584.7386,,0.0,0.0,0.0,2584.7386,,32635.2614,0.0,0.0,,,定期报告,2014-03-10,,002371,2013-12-31,0.0,0.0,,,2584.7386,0.0,0.0,35220.0,,,0.0,,0.0,32635.2614,0.0,2584.7386,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,1938.554,,0.0,0.0,0.0,1938.554,,33281.446,0.0,0.0,,,限售股份上市,2014-03-12,,002371,2014-03-17,0.0,0.0,,,1938.554,0.0,0.0,35220.0,,,0.0,,0.0,33281.446,0.0,1938.554,015027
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,,0.0,,1938.554,,0.0,0.0,0.0,1938.554,,33281.446,0.0,0.0,,,定期报告,2014-08-20,,002371,2014-06-30,0.0,0.0,,,1938.554,0.0,0.0,35220.0,,,0.0,,0.0,33281.446,0.0,1938.554,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,,0.0,,1938.554,,0.0,0.0,0.0,1938.554,,33281.446,0.0,0.0,,,定期报告,2015-03-11,,002371,2014-12-31,0.0,0.0,,,1938.554,0.0,0.0,35220.0,,,0.0,,0.0,33281.446,0.0,1938.554,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,1475.6769,,0.0,0.0,0.0,1475.6769,,33744.3231,0.0,0.0,,,限售股份上市,2015-03-13,,002371,2015-03-17,0.0,0.0,,,1475.6769,0.0,0.0,35220.0,,,0.0,,0.0,33744.3231,0.0,1475.6769,015027
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,,0.0,,1475.6769,,0.0,0.0,0.0,1475.6769,,33744.3231,0.0,0.0,,,定期报告,2015-08-22,,002371,2015-06-30,0.0,0.0,,,1475.6769,0.0,0.0,35220.0,,,0.0,,0.0,33744.3231,0.0,1475.6769,015019
北方华创,北京七星华创电子股份有限公司,,,,,,,,,1494.7943,,,,,1475.6769,,33725.2057,,,,,定期报告,2016-03-31,,002371,2015-12-31,,,,,1494.7943,,,35220.0,0.0,,,,,33725.2057,19.1174,1494.7943,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,1216.0195,,0.0,0.0,0.0,1196.9021,,34003.9805,0.0,0.0,,,限售股份上市,2016-03-16,,002371,2016-03-17,0.0,0.0,,,1216.0195,0.0,0.0,35220.0,,,0.0,,0.0,34003.9805,19.1174,1216.0195,015027
北方华创,北京七星华创电子股份有限公司,,,,,,,,,1216.0194,,,,,1196.9021,,34003.9806,,,,,定期报告,2016-08-18,,002371,2016-06-30,,,,,1216.0194,,,35220.0,,,,,,34003.9806,19.1173,1216.0194,015019
北方华创,北京七星华创电子股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,29448.0286,,0.0,0.0,0.0,1940.0832,,16352.4086,27488.8281,0.0,,,"增发新股上市,承诺限售",2016-08-24,,002371,2016-08-22,0.0,0.0,,,29448.0286,0.0,0.0,45800.4372,,,0.0,,0.0,16352.4086,19.1173,1959.2005,"015004,015997"
北方华创,北方华创科技集团股份有限公司,,0.0,0.0,,0.0,,0.0,,29448.0286,,0.0,0.0,0.0,1940.0832,,16352.4086,27488.8281,0.0,,,定期报告,2017-03-16,,002371,2016-12-31,0.0,0.0,,,29448.0286,0.0,0.0,45800.4372,,,0.0,,0.0,16352.4086,19.1173,1959.2005,015019
北方华创,北方华创科技集团股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,29148.8031,,0.0,0.0,0.0,1640.8577,,16651.6341,27488.8281,0.0,,,限售股份上市,2017-03-15,,002371,2017-03-17,0.0,0.0,,,29148.8031,0.0,0.0,45800.4372,,,0.0,,0.0,16651.6341,19.1173,1659.975,015027
北方华创,北方华创科技集团股份有限公司,,,4228.746,,,,,,29144.0781,,,,,2349.1749,,16656.3591,22551.7649,,,,定期报告,2017-08-24,,002371,2017-06-30,,,,,29144.0781,,,45800.4372,0.0,,,,,16656.3591,14.3923,2363.5672,015019
北方华创,北方华创科技集团股份有限公司,,0.0,4228.746,,0.0,0.0,0.0,,10784.6439,,0.0,0.0,0.0,1793.6041,,35015.7933,4747.9015,0.0,,,限售股份上市,2017-08-21,,002371,2017-08-23,0.0,0.0,,,10784.6439,0.0,0.0,45800.4372,,,0.0,,0.0,35015.7933,14.3923,1807.9964,015027
