SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688120.SH,688120,华海清科,10000093966,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,3165771120.76,,,,,,,,,,,,81957529.66,75780338.05,,0,3323508988.47,2035239685.74,,,,,,535382868.16,214270141.95,114122657.7,,0,2899015353.55,,0,424493634.92,2989758591.0,20861110.39,,,,,,0.0,3010619701.39,181550992.55,3405282685.51,,336565337.8,,,,0,3923399015.86,,0,-912779314.47,40504199.13,,,,,,0.0,40504199.13,80065302.77,136888784.92,,,41849423.29,,,0,258803510.98,,0,-218299311.85,-69319.59,,0,-706654310.99,2649103856.81,,0,1942449545.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1038653256,,,,,,,,,,,,-29.9378850513,-72.9187145215,,,4.8006258043,24.9224272481,,,,,,61.5547069265,-14.5243005733,36.2348402676,,,26.3162400478,,,-51.5541347572,-32.1280683087,-40.689258121,,,,,,,-32.1959323804,-27.9506179219,-28.2709787324,,,,,,,-21.5227279967,,,-63.2200488862,,,,,,,,,-54.0488390898,40.812802994,,,-30.1451353595,,,,-21.8971430459,,,34.1206776444,-165.4116988742,,,-4853.3613712461,7.0195431805,,,-21.0732783335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,688120,华海清科,10000093966,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,2109028303.93,,,,,,,,,,,,51975182.84,60492607.73,,0,2221496094.5,1238486897.36,,,,,,370105873.02,144812911.78,73115782.79,,0,1826521464.95,,0,394974629.55,2254758591.0,15888069.31,,,,,,0.0,2270646660.31,135619661.74,2325281965.51,,336565337.8,,,,0,2797466965.05,,0,-526820304.74,,,,,,,,,65500000.0,5162251.08,,,41849423.29,,,0,112511674.37,,0,-112511674.37,-8733.6,,0,-244366083.16,2649103856.81,,0,2404737773.65,505426126.87,869979.97,55091337.92,55091337.92,,14184756.15,1125167.25,,,,,-279174.53,-10071201.14,-1509584.09,-13514437.39,-10558421.05,-10558421.05,,,-434973167.57,-105374048.26,348056061.14,46667560.25,,-0.01,394974629.55,,,,,2404737773.65,2649103856.81,,,,,-244366083.16,39.9548100964,,,,,,,,,,,,27.7449689898,-58.6212343363,,,31.1534639777,35.6561992375,,,,,,62.9229611141,7.5984996849,55.2816747566,,,38.1845616681,,,6.1714738266,-4.256535414,-26.2023852992,,,,,,,-4.4554407602,-11.0655978318,-15.8212173324,,,,,,,-4.0256748421,,,2.1282240046,,,,,,,,,-34.2501505722,-94.5267737333,,,39.5978413703,,,,-49.7529124585,,,49.7529124585,-108.1217987102,,,37.3531980654,7.0195431805,,,15.3198598579,16.8206481145,-91.98108305,54.3527019861,54.3527019861,,124.8505460809,10501.5834055704,,,,,-3977.0363241454,-416.974589428,-121.950701906,16.2519891972,-31.8436809821,-31.8436809821,,,34.5985133806,57.6647040096,-53.8694310587,-6.5205902358,,,6.1714738266,,,,,15.3198598579,7.0195431805,,,,,37.3531980654,,,,,2014448.15,134.3248299167
688120.SH,688120,华海清科,10000093966,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,786101872.64,,,,,,,,,,,,31367096.8,30889371.61,,0,848358341.05,510748984.43,,,,,,226535594.04,60809354.62,37347695.08,,0,835441628.17,,0,12916712.88,1204758591.0,8995631.83,,,,,,0.0,1213754222.83,81333721.07,1090282685.51,,377428770.8,,,,0,1549045177.38,,0,-335290954.55,,,,,,,,,3000000.0,2648111.57,,,994074.29,,,0,6642185.86,,0,-6642185.86,-416.03,,0,-329016843.56,2649103856.81,,0,2320087013.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6372149369,,,,,,,,,,,,79.5472959498,-76.3696685307,,,32.427809786,85.3482850934,,,,,,65.2908394633,54.3623700808,80.3462797853,,,76.7317825482,,,-92.3070030421,-14.2520575801,-24.1494121004,,,,,,,-14.3349642244,26.222425657,-24.2859246174,,,,,,,2.965119814,,,-282.8565717873,,,,,,,,,-95.979630126,-26.8764250644,,,,,,,-91.5106526915,,,91.5106526915,-100.6879154375,,,-15437.6822787888,7.0195431805,,,-6.3533640132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,688120,华海清科,10000093966,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,4250178896.68,,,,,,,,,,,,152154350.6,329045865.66,,0,4731379112.94,2652552506.16,,,,,,444004607.09,350921643.02,129290751.09,,0,3576769507.36,,0,1154609605.58,5984308125.0,52666217.81,6400.25,,,,,0.0,6036980743.06,321805633.45,5956967305.65,,350186481.44,,,,0,6628959420.54,,0,-591978677.48,,,,,,,,,210240000.0,99794425.6,,,78934782.73,,,0,388969208.33,,0,-388969208.33,96253.4,,0,173757973.17,2475345883.64,,0,2649103856.81,1023407865.85,20762821.59,75197195.12,75197195.12,,12676729.45,,,,,,12879.98,-2569071.41,12278336.65,-48400054.86,-13594721.84,-13594721.84,,,-802540049.04,-239961276.12,996990148.64,100487466.74,,0.0,1154609605.58,,,,,2649103856.81,2475345883.64,,,,,173757973.17,53.911761737,,,,,,,,,,,,68.2137583274,58.0070273059,,,54.6131963006,46.2232670068,,,,,,37.1904530223,70.1541548841,104.2932707662,,,48.5858063078,,,76.8348054459,1.7739477041,-15.6376918633,102.3327421654,,,,,,1.5910820967,-5.2208143523,-3.6436866169,,,,,,,1.6437145263,,,-2.1835888969,,,,,,,,,969.6514881709,58.2902787179,,,,,,,370.3364683581,,,-192.345338127,115.8145562617,,,-64.8873628891,24.9867216404,,,7.0195431805,41.404178607,2.9261411775,28.377863793,28.377863793,,-0.3602872686,,,,,,236.0970925469,-115.349172989,32.4327757094,8.700844737,-26.581538823,-105.6776252989,,,-1382.8884289223,-729.913956102,1064.4735587727,106.7194318224,,,76.8348054459,,,,,7.0195431805,24.9867216404,,,,,-64.8873628891,标准无保留意见,,,,1719363.8,0.0
688120.SH,688120,华海清科,10000093966,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,2774464398.49,,,,,,,,,,,,116978383.71,279825483.58,,0,3171268265.78,1629202802.55,,,,,,331394162.6,250679600.62,83769069.26,,0,2295045635.03,,0,876222630.75,4405000000.0,35172566.94,3084.88,,,,,0.0,4440175651.82,251981331.85,4747426669.61,,,,,,0,4999408001.46,,0,-559232349.64,,,,,,,,,174240000.0,97213308.74,,,59909103.69,,,0,331362412.43,,0,-331362412.43,105974.3,,0,-14266157.02,2475345883.64,,0,2461079726.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9069469135,,,,,,,,,,,,70.7819337091,87.4334519951,,,51.4739399487,27.7444278485,,,,,,34.6273154183,56.3624019479,106.4370072283,,,33.2457234226,,,136.0573793594,-13.2874015748,-38.9195584943,345.1550527425,,,,,,-13.5746482176,33.3993553895,-0.5755766587,,,,,,,0.7173049212,,,-421.8005236494,,,,,,,,,834.0123291343,63.9978011074,,,,,,,325.1931827763,,,-178.7122394854,,,,-101.4769006967,24.9867216404,,,-16.4727537543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,688120,华海清科,10000093966,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-17 00:00:00,2025-08-29 00:00:00,CNY,1506935204.64,,,,,,,,,,,,40686676.94,146192393.03,,0,1693814274.61,912960044.82,,,,,,227166183.63,134586367.1,47085905.6,,0,1321798501.15,,0,372015773.46,2355000000.0,21529245.05,2373.68,,,,,0.0,2376531618.73,152494038.79,2762313604.24,,,,,,0,2914807643.03,,0,-538276024.3,,,,,,,,,99620000.0,94318247.2,,,29978560.47,,,0,223916807.67,,0,-223916807.67,107532.83,,0,-390069525.68,2475345883.64,,0,2085276357.96,432651363.46,10849095.65,35691851.98,35691851.98,,6308526.44,10613.2,,,,,7200.72,3177289.75,6877156.35,-16137024.94,-8008287.52,-8008287.52,,,-665081468.41,-248903534.97,754501991.04,49922822.97,,0.0,372015773.46,,,,,2085276357.96,2475345883.64,,,,,-390069525.68,15.2207304841,,,,,,,,,,,,3.5677151158,41.0334185601,,,16.7494623238,2.8108874541,,,,,,43.0022524338,21.5626681548,90.3194002632,,,11.7981162242,,,38.5519078379,-28.6363636364,-36.999734361,1149.3052631579,,,,,,-28.7220160008,22.4182005954,-9.2538237766,,,,,,,-8.0086795729,,,-425.0354257265,,,,,,,,,968.0246582686,68.7637643167,,,,,,,243.3504517186,,,-160.6566214376,,,,-148.5606288919,24.9867216404,,,-25.091105453,15.6521007753,116.6241824246,35.6637096518,35.6637096518,,0.0858592984,-9.42222e-05,,,,,892.2037121243,120.3345599565,155.7552549481,-12.6744165608,-347.6143539694,-386.2382349205,,,-501.8140940541,-1077.4923226273,381.7905769911,8117.748637037,,,38.5519078379,,,,,-25.091105453,24.9867216404,,,,,-148.5606288919,,,,,859681.9,0.0
688120.SH,688120,华海清科,10000093966,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,492430209.93,,,,,,,,,,,,17470102.59,130719163.42,,0,640619475.94,275561753.47,,,,,,137052721.6,39393898.0,20708880.23,,0,472717253.3,,0,167902222.64,1405000000.0,11859673.18,1023.65,,,,,0.0,1416860696.83,64436823.05,1440000000.0,,,,,,0,1504436823.05,,0,-87576126.22,,,,,,,,,74620000.0,3621419.73,,,,,,0,78241419.73,,0,-78241419.73,60476.91,,0,2145153.6,2475345883.64,,0,2477491037.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.2940919846,,,,,,,,,,,,-1.2467058176,328.2713605763,,,-18.5401874803,-50.1823628314,,,,,,47.4686111227,-30.3615496162,62.8296554937,,,-33.9194445772,,,136.2862600538,-14.3292682927,-48.5827687183,,,,,,,-14.8042789471,155.4278914918,23.7113402062,,,,,,,26.5054366202,,,-118.4822712621,,,,,,,,,700.0,257.1509985148,,,,,,,656.5789618388,,,-461.2499816983,,,,-99.6213694669,24.9867216404,,,-2.7306937777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,688120,华海清科,10000093966,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,2761438663.76,,,,,,,,,,,,90452976.09,208247614.85,,0,3060139254.7,1814042703.64,,,,,,323641038.65,206237481.1,63286837.89,,0,2407208061.28,,0,652931193.42,5880000000.0,62428611.75,3163.23,,,,,0.0,5942431774.98,339531967.12,6182228332.01,,,,,,0,6521760299.13,,0,-579328524.15,,,503911728.22,,,,0.0,503911728.22,19655000.0,63045201.77,,,,,,0,82700201.77,,0,421211526.45,44600.05,,0,494858795.77,1980487087.87,,0,2475345883.64,723746551.15,20172544.46,58574892.04,58574892.04,,12722567.24,,,,,,3832.22,16737523.33,9271373.03,-53012598.77,-10739893.01,-6609723.26,-4130169.75,,-54120056.06,-28913994.56,-103371434.04,48610556.76,,0.0,652931193.42,,,,,2475345883.64,1980487087.87,,,,,494858795.77,29.7557599752,,,,,,,,,,,,32.4107652703,92.6505974904,,,32.7845199077,-1.5942176311,,,,,,42.1148309172,28.8536797412,31.1126583707,,,5.603029898,,,2501.0415417659,84.3260188088,121.6955782424,5.7144480389,,,,,,84.6529373491,94.1768058965,22.1784266522,,,,,,,24.5797801186,,,71.2754982787,,,,,,,,-85.6302415336,-79.8525725305,1020.5268358182,,,,,,,-37.8670795476,,,-87.5146624379,-69.9248797165,,,-64.1940125664,230.9465551353,,,24.9867216404,44.287297444,244.925182503,46.4450094786,46.4450094786,,9.7593613109,,,,,,-45.4686199316,150.6562814999,94.0771658658,-104.9016524689,-373.1157682779,-3.2736237634,-200.0,,93.9290883526,91.9215023685,-113.5235727291,3900.8688691358,,,2501.0415417659,,,,,24.9867216404,230.9465551353,,,,,-64.1940125664,标准无保留意见,,,,1719363.8,29.7297296482
688120.SH,688120,华海清科,10000093966,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-30 00:00:00,CNY,1875817503.09,,,,,,,,,,,,68495760.16,149293245.47,,0,2093606508.72,1275361148.81,,,,,,246156704.21,160319614.88,40578513.7,,0,1722415981.6,,0,371190527.12,5080000000.0,57584009.01,692.99,,,,,0.0,5137584702.0,188892465.87,4774909936.68,,,,,,0,4963802402.55,,0,173782299.45,,,498911728.22,,,,0.0,498911728.22,18655000.0,59277202.55,,,,,,0,77932202.55,,0,420979525.67,,,0,965952352.24,1980487087.87,,0,2946439440.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3236778762,,,,,,,,,,,,79.9983881868,176.6460932947,,,38.6846383,-5.5446802415,,,,,,42.6621713229,47.7785737089,21.5994397111,,,3.4714561711,,,339.4586389998,182.2222222222,386.2910029172,-63.1303968461,,,,,,183.5556782459,33.6881356618,31.8981257152,,,,,,,31.965364939,,,108.9137413984,,,,,,,,-85.7728236334,-80.8776260777,1182.6547169566,,,,,,,-36.8971582847,,,-87.5569535074,,,,-24.4693337146,230.9465551353,,,56.9493445527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,688120,华海清科,10000093966,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-17 00:00:00,CNY,1307868122.61,,,,,,,,,,,,39285096.61,103657980.16,,0,1450811199.38,887999381.61,,,,,,158854968.9,110713567.86,24740465.52,,0,1182308383.89,,0,268502815.49,3300000000.0,34173260.75,190.0,,,,,0.0,3334173450.75,124568110.01,3044000000.0,,,,,,0,3168568110.01,,0,165605340.74,,,434370000.0,,,,0.0,434370000.0,9327500.0,55887736.08,,,,,,0,65215236.08,,0,369154763.92,,,0,803262920.15,1980487087.87,,0,2783750008.02,374097280.17,5008256.94,26309063.84,26309063.84,,6303114.63,10613.21,,,,,725.73,-15625072.57,2688959.94,-14321818.06,-1789104.27,-1646988.44,-142115.83,,165519696.36,-21138442.28,-267752740.03,607500.0,,0.0,268502815.49,,,,,2783750008.02,1980487087.87,,,,,803262920.15,53.2739512978,,,,,,,,,,,,386.6454246162,273.9125062099,,,63.1806101275,0.5267508065,,,,,,40.7252141845,121.9724309297,17.1843535665,,,10.7840416845,,,250.7291526493,407.6923076923,656.0593464071,-86.982467439,,,,,,409.4063488499,1.0567102461,399.0163934426,,,,,,,332.1174107621,,,310.3080577189,,,,,,,,-87.6133226605,-89.4280048135,1462.1862097579,,,,,,,-40.4013920905,,,-89.1339657944,,,,-74.422769739,230.9465551353,,,-25.5476814437,101.4419805513,662.101559492,43.2879902333,43.2879902333,,10.7260775724,0.0,,,,,-51.3549926603,-3861.6897054228,284.30769274,-284.9310584742,-394.5853989041,-355.2984687627,,,134.5268728608,91.5900245423,-177.8489958467,0.0,,,250.7291526493,,,,,-25.5476814437,230.9465551353,,,,,-74.422769739,,,,,859681.9,84.615384285
