SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
000895.SZ,000895,双汇发展,10005765,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,47759583261.47,7344226.02,,,,,,,91312523.94,,,,126130835.45,476778570.76,,0.0,48461149417.64,33271608153.48,9359796.27,195347595.11,,1753162.55,,3776392483.1,4077015466.07,1134206860.69,,0.0,42465683517.27,,0.0,5995465900.37,12488653367.47,109103446.59,96935347.8,,,839961.84,,0.0,12695532123.7,683155654.84,17687399000.0,,,,4050672.51,,0.0,18374605327.35,,0.0,-5679073203.65,,,22755000000.0,,,,0.0,22755000000.0,17934049393.23,5016029694.98,53409287.87,,20153802.71,,,0.0,22970232890.92,,0.0,-215232890.92,3576989.57,,0.0,104736795.37,5394052203.25,,0.0,5498788998.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2622226523,242.4207556616,,,,,,,45.7429239743,,,,-60.2138416583,18.2364884379,,,-1.0321151785,0.1217554063,,,,-73.8325293358,,8.2797695791,-5.6906645335,12.8512317624,,,0.9800382651,,,-13.2725618162,40.274502981,48.8460877305,533.8535701329,,,-98.8722969937,,,40.0332029831,-35.0350862202,74.7766699605,,,,,,,64.4763888981,,,-169.7270104601,,,-7.4753434745,,,,,-7.4753434745,-14.9653405824,1.9052140097,-25.577808124,,-82.0351619498,,,,-12.0747108548,,,85.9441807874,-46.5247092839,,,-96.8096502032,134.1236049189,,,-1.5763715895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000895.SZ,000895,双汇发展,10005765,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-13 00:00:00,2025-08-13 00:00:00,CNY,30396983506.71,6272117.1,,,,,,,46743845.45,,,,126130835.45,310781009.53,22740203.73,0.0,30909651517.97,21620821075.46,,142863910.81,,1313520.7,,2634864907.25,2769954466.1,825628953.11,,0.0,27995446833.43,,0.0,2914204684.54,7838653367.47,62237203.91,31302531.38,,,1011709.72,,0.0,7933204812.48,514554421.08,10359999000.0,,,,,,0.0,10874553421.08,,0.0,-2941348608.6,,,14635000000.0,,,,0.0,14635000000.0,12688453685.65,2708577425.25,29458474.87,,14245134.22,,,0.0,15411276245.12,,0.0,-776276245.12,3823640.19,,0.0,-799596528.99,5394052203.25,,0.0,4594455674.26,2351217599.96,143306549.87,769657324.47,769657324.47,,17932899.77,11341143.17,,,,-545212.85,6649317.69,8257173.76,81266748.75,-54733296.76,14269274.91,10945976.17,3323298.74,,598372806.2,32842377.86,-771167143.37,-160200039.84,-148201375.79,0.0,2914204684.54,,,,,4594455674.26,5394052203.25,,,,,-799596528.99,2.19839832,-33.4057153966,,,,,,,8.6389357739,,,,3.6381844236,14.9423410776,-89.5244927139,,1.6607032819,3.854282519,,,,-77.868108172,,7.0353784413,-3.49035691,23.0508160656,,,4.3549820771,,,-18.542781065,15.2743142275,27.1000709283,552.0784986777,,,-93.0634361157,,,15.503748545,-35.9180160004,44.2896796657,,,,,,,36.2220249104,,,-163.890382899,,,-24.9623572695,,,,,-24.9623572695,-30.8783971766,4.8067172614,-29.0376436477,,-85.3471855223,,,,-26.7465173353,,,49.4196991463,-45.4983655412,,,-185.4950658667,134.1236049189,,,41.8397302485,0.8553920385,3.7261765756,-3.6521746529,-3.6521746529,,-13.4074759347,2.5046068533,,,,-335.4739390868,34.4455010407,240.134983334,-27.3463441361,-31.9139805968,-67.807808746,-54.4551503461,-83.6225087375,,-52.7473383423,-73.6388849935,25.4550361521,-814.7982596193,37.395088625,,-18.542781065,,,,,41.8397302485,134.1236049189,,,,,-185.4950658667,,,,,13938536.74,5.9548343626
000895.SZ,000895,双汇发展,10005765,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,15143865683.77,,,,,,,,19721880.5,,,,101913212.79,166673497.73,17793150.0,0.0,15449967424.79,10794886281.76,,220201385.84,,586337.66,,1574427690.0,1474296017.14,545130978.85,4537587.11,0.0,14614066278.36,,0.0,835901146.43,2853121228.92,23031859.44,22432384.47,,,839961.84,,0.0,2899425434.67,402967801.29,5908033998.36,,,,6795979.38,,0.0,6317797779.03,,0.0,-3418372344.36,,,10095000000.0,,,,0.0,10095000000.0,4190553685.65,77451716.34,18339552.81,,5538076.3,,,0.0,4273543478.29,,0.0,5821456521.71,2939368.69,,0.0,3241924692.47,5394052203.25,,0.0,8635976895.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0688221686,,,,,,,,11.718308815,,,,10.2384049624,45.0710947011,-77.2493994673,,-2.0106454092,1.5797995107,,626.5215801446,,-88.5182259048,,5.4455741825,-0.5032360074,43.8975534341,-98.5105237436,,2.0480909758,,,-42.2010326726,137.76010241,120.6326088575,5849.5339196127,,,-76.4533524275,,,138.7570287871,-30.3024400882,56.2971957238,,,,,,,44.964587131,,,-8.7343599908,,,-15.8931842051,,,,,-15.8931842051,-40.0729920099,-22.4131739689,-38.2263697017,,40.6740174915,,,,-39.7797791529,,,18.6582757528,52.2967818493,,,0.9807821006,134.1236049189,,,56.6085630876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000895.SZ,000895,双汇发展,10005765,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-26 00:00:00,2025-03-26 00:00:00,CNY,64398553741.97,1032029.79,,,,,,,94984986.0,,,,316774184.3,1080079694.51,377187196.63,0.0,66268611833.2,45906265817.49,,,,6667176.41,,4527541089.04,5847140186.61,1565236681.23,,0.0,57852850950.78,,0.0,8415760882.42,13282525802.11,138518359.89,47439656.82,,,73473520.55,,0.0,13541957339.37,1387547994.34,13311471277.99,,,,,,0.0,14699019272.33,,0.0,-1157061932.96,,,27613444444.44,,,,0.0,27613444444.44,26711281911.01,4964201954.34,92622519.81,,116353289.08,,,0.0,31791837154.43,,0.0,-4178392709.99,9812447.5,,0.0,3090118686.97,2303933516.28,,0.0,5394052203.25,5054867594.95,335426002.26,1589715290.94,1589715290.94,,38471538.19,25889513.35,,,,-529256.7,12346894.07,17981956.47,186472897.25,-106164664.3,7743309.97,16923993.43,-9180683.46,,1458413267.56,89060198.93,74068442.96,44158321.61,-439916494.24,0.0,8415760882.42,,,,,5394052203.25,2303933516.28,,,,,3090118686.97,1.9984242611,-92.8638944316,,,,,,,-30.2876663341,,,,-17.035634631,26.1657113871,638.8576534332,,2.6203578302,-6.8360958574,,,,-80.0020917253,,-5.3257409423,0.8167897232,21.5025793615,,,-5.4518306284,,,148.419712071,-33.5296714207,-33.4426515441,113.0508194779,,,,,,-33.0038052966,-42.465313548,-36.397950979,,,,,,,-37.1600073682,,,63.5933495565,,,-63.9715943338,,,,,-63.9715943338,-63.6005841169,-22.2750526307,-11.7312219219,,523.9681181908,,,,-60.1552880359,,,-32.8238903612,154.6238452105,,,205.3783877538,-56.0010392491,,,134.1236049189,-0.916471019,-31.6922264431,8.5134517737,8.5134517737,,-7.068749879,-7.9470157739,,,,-166.2770946067,-5.5830488541,41.9600349956,2.4271906186,26.6320727112,-83.4966461564,-26.1912248233,-138.2686330668,,165.560825045,175.5141024734,106.0710239917,-15.8676817666,-19.4512485049,,148.419712071,,,,,134.1236049189,-56.0010392491,,,,,205.3783877538,标准无保留意见,,,,27756069.15,-0.86767296
000895.SZ,000895,双汇发展,10005765,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-29 00:00:00,CNY,47885148969.14,2144795.81,,,,,,,62653143.94,,,,317021900.85,403241484.13,296330220.81,0.0,48966540514.68,33231147434.91,,,,6699778.41,,3487625156.37,4323024275.28,1005046061.95,,0.0,42053542706.92,,0.0,6912997807.76,8903010242.11,73299505.72,15293019.14,,,74484313.27,,0.0,9066087080.24,1051576328.04,10120000000.0,,,,,,0.0,11171576328.04,,0.0,-2105489247.8,,,24593444444.44,,,,0.0,24593444444.44,21090281911.01,4922250292.81,71765271.25,,112184716.91,,,0.0,26124716920.73,,0.0,-1531272476.29,6689051.19,,0.0,3282925134.86,2303933516.28,,0.0,5586858651.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0604618732,-75.1194643607,,,,,,,-41.2813839935,,,,-16.9219081841,-37.5224817946,138.2925501139,,-1.4065117233,-12.8568686672,,,,-77.0985139978,,-3.9685160804,-0.3442524994,2.4519443951,,,-10.9298184037,,,182.0313597418,-14.4158492657,-46.0988334247,259.364857283,,,602.6822006604,,,-14.0938888775,-48.8550371671,-33.3010032135,,,,,,,-35.157217713,,,68.4581715095,,,-61.4956423194,,,,,-61.4956423194,-61.1819562238,-22.4949875134,-29.5025986894,,588.5671263223,,,,-56.9597241079,,,-148.2511754244,100.4090443427,,,413.4950140295,-56.0010392491,,,33.3654633969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000895.SZ,000895,双汇发展,10005765,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-14 00:00:00,2025-08-13 00:00:00,CNY,29743111444.41,9418401.5,,,,,,,43026788.8,,,,121703053.9,270379919.72,217079737.61,0.0,30404719345.94,20818420339.58,,,,5934968.01,,2461676639.65,2870132328.14,670965849.32,,0.0,26827130124.7,,0.0,3577589221.24,6800000000.0,48967088.26,4800423.79,,,14585171.23,,0.0,6868352683.28,802962687.74,7180000000.0,,,,,,0.0,7982962687.74,,0.0,-1114610004.46,,,19503544444.44,,,,0.0,19503544444.44,18356712181.68,2584354797.12,41512819.45,,97217734.12,,,0.0,21038284712.92,,0.0,-1534740268.48,7015643.16,,0.0,935254591.46,2303933516.28,,0.0,3239188107.74,2331276050.23,138158519.48,798832066.73,798832066.73,,20709524.25,11064032.65,,,,231538.51,4945734.62,2427616.73,111855002.73,-41491657.3,44325267.57,24033400.6,20291866.97,,1266326139.54,124586451.87,-1034499319.02,22411923.6,-236724839.21,0.0,3577589221.24,,,,,3239188107.74,2303933516.28,,,,,935254591.46,-5.4911290273,-9.1879193753,,,,,,,-34.6171325538,,,,-36.1192391792,-45.038323216,18.0306570602,,-6.1982064437,-18.7773415233,,,,-70.643808071,,-5.5452691879,-6.3580931228,4.9586617675,,,-16.3272975564,,,916.9176121875,-25.7044880717,-48.3851550107,34.3853189453,,,37.595955,,,-25.8411894992,-49.0685586436,-30.105614505,,,,,,,-32.628666541,,,56.9235626741,,,-51.5367666891,,,,,-51.5367666891,-50.1047210926,-29.1359467252,-44.7245600725,,694.6000595109,,,,-47.9889357404,,,-646.3547293891,147.4110231682,,,138.3535999913,-56.0010392491,,,15.7749797861,-18.8255805911,-35.6526989063,12.8217274502,12.8217274502,,-0.6803584826,-7.8622363254,,,,-88.9296983317,67.3841207458,-67.191328125,47.1378307094,48.7968312899,0.5217276355,38.3193877575,-24.0571466024,,176.4875589273,171.8321413193,37.3881532417,-82.8908510586,-23.9439312519,,916.9176121875,,,,,15.7749797861,-56.0010392491,,,,,138.3535999913,,,,,13155168.26,-6.1026748443
000895.SZ,000895,双汇发展,10005765,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-30 00:00:00,CNY,15463783872.63,,,,,,,,17653221.49,,,,92448011.04,114890907.85,78209583.85,0.0,15766985596.86,10627000972.4,,30308994.51,,5106681.73,,1493118798.21,1481752730.42,378832694.4,304643131.48,0.0,14320764003.15,,0.0,1446221593.71,1200000000.0,10439009.7,377044.4,,,3567224.75,,0.0,1214383278.85,578166297.07,3780000000.0,,,,,,0.0,4358166297.07,,0.0,-3143783018.22,,,12002594444.44,,,,0.0,12002594444.44,6992763073.27,99825860.01,29688319.63,,3936815.34,,,0.0,7096525748.62,,0.0,4906068695.82,1930026.79,,0.0,3210437298.1,2303933516.28,,0.0,5514370814.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2261629817,,,,,,,,-43.4301481733,,,,14.5716056465,-52.9237078416,-57.2585941401,,-4.5686229214,-15.8957991944,,,,-40.4201346747,,-5.3720648864,-14.1841660876,22.7101624405,12.830789437,,-13.351169169,,,26133.5700647533,-64.4789551129,-73.7592110862,-75.0773160005,,,,,,-64.4872879929,-43.6125723573,-50.7340496272,,,,,,,-49.9083691337,,,40.4678400544,,,7.2940708073,,,,,7.2940708073,82.3545562864,-15.2177464933,-28.1991606888,,-15.7188730901,,,,79.3355335045,,,-32.1383101391,428.5574503575,,,65.1878581538,-56.0010392491,,,-23.196499104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000895.SZ,000895,双汇发展,10005765,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-27 00:00:00,2025-03-26 00:00:00,CNY,63136812365.94,14462086.92,,,,,,,136252770.5,,,,381819571.44,856080215.96,51050049.34,0.0,64576477060.1,49274733857.46,10453341.96,,,33339368.89,,4782230285.3,5799768275.37,1288233294.68,,0.0,61188758423.66,,0.0,3387718636.44,19982639000.0,208118807.47,22266826.73,,,,,0.0,20213024634.2,2411672123.21,20929312000.0,,,,50201420.78,,0.0,23391185543.99,,0.0,-3178160909.79,,,76643537047.59,,,,0.0,76643537047.59,73383820215.15,6386883648.51,104932368.87,,18647313.17,,,0.0,79789351176.83,,0.0,-3145814129.24,3853703.29,,0.0,-2932402699.3,5236336215.58,,0.0,2303933516.28,5101622486.54,491050995.8,1464993754.19,1464993754.19,,41397848.56,28124578.0,,,,798551.45,13076988.74,12666914.65,182054097.28,-144701735.79,46919614.3,22929513.99,23990100.31,,-2224519393.34,-117938498.92,-1220032124.09,52486752.46,-368281202.37,0.0,3387718636.44,,,,,2303933516.28,5236336215.58,,,,,-2932402699.3,-7.3001637423,43.2699504753,,,,,,,13.9118193593,,,,-12.1456787726,-12.0803513288,,,-7.2801728795,-2.0815844,-73.922060721,,,-14.5340608247,,12.2294630201,1.2899284129,-5.505948691,,,-1.4378964422,,,-55.2212833292,155.4464916667,67.5375271019,-86.5105620529,,,,,,148.7848723012,-32.0471806396,162.1528630652,,,,129.2302318721,,,101.421914322,,,8.8915967643,,,325.723437205,,,,,325.327242849,316.5878809477,-5.6796534488,158.2517259546,,-61.2836361635,,,,226.5359167562,,,50.9630667137,440.8683598525,,,-25.4587616326,-30.8614023475,,,-56.0010392491,-10.7667146338,77.42672723,21.2174236388,21.2174236388,,14.7406748061,27.4968510231,,,,100.6415578193,39.9643859955,422.4053929208,35.9699472129,-36.4337664933,161.5191430919,140.6953424981,220.4080776512,,-660.4425281181,-198.5870458665,-201.0807334084,120.9044005668,-8.8814598242,,-55.2212833292,,,,,-56.0010392491,-30.8614023475,,,,,-25.4587616326,标准无保留意见,,,,27999008.98,1.6336185274
000895.SZ,000895,双汇发展,10005765,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-25 00:00:00,2024-10-30 00:00:00,CNY,48398395500.68,8620376.35,,,,,,,106700648.28,,,,381595067.87,645418537.28,124355637.92,0.0,49665085768.38,38133983627.48,,,,29254775.91,,3631751810.99,4337957803.44,980992667.23,100000000.0,0.0,47213940685.05,,0.0,2451145083.33,10402639000.0,135988718.57,4255568.91,,,10600000.0,,0.0,10553483287.48,2056070177.38,15172642000.0,,,,,,0.0,17228712177.38,,0.0,-6675228889.9,,,63871847047.59,,,,0.0,63871847047.59,54331130215.15,6350879942.97,101798463.37,,16292488.07,,,0.0,60698302646.19,,0.0,3173544401.4,3337699.26,,0.0,-1047201705.91,5236336215.58,,0.0,4189134509.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5036554519,669.4321857123,,,,,,,39.0251038562,,,,-11.9993734879,9.7538683419,,,0.831731314,5.0229854624,,,,10.0637778184,,7.9992960422,7.573190445,-5.3494115756,-75.0,,4.4092664977,,,-39.258113602,88.1263266097,53.2548246243,-96.4193334124,,,,,,83.9487980484,-27.8468565614,174.8276694035,,,,,,,104.4020095985,,,-147.9974946538,,,287.3935815834,,,,,287.1406940193,443.0072573495,-5.9359069749,150.538791299,,-66.2626970057,,,,261.18024842,,,1133.0953981984,246.5730231557,,,-200.9381151082,-30.8614023475,,,-51.352201279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000895.SZ,000895,双汇发展,10005765,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-16 00:00:00,2024-08-14 00:00:00,CNY,31471237713.76,10371309.01,,,,,,,65807436.23,,,,190515974.35,491942632.65,183918096.38,0.0,32413793162.38,25631296401.78,,,,20217090.91,,2606197295.24,3065008417.55,639266772.29,100000000.0,0.0,32061985977.77,,0.0,351807184.61,9152639000.0,94870164.33,3572134.09,,,10600000.0,,0.0,9261681298.42,1576555986.55,10272642000.0,,,,,,0.0,11849197986.55,,0.0,-2587516688.13,,,40244001714.26,,,,0.0,40244001714.26,36790479146.84,3646919245.64,75101744.11,,12234800.76,,,0.0,40449633193.24,,0.0,-205631478.98,2835622.71,,0.0,-2438505359.79,5236336215.58,,0.0,2797830855.79,2871934369.48,214707559.03,708048072.64,708048072.64,,20851388.44,12008141.08,,,,2091528.46,2954721.51,7399314.24,76020559.9,-81033378.1,44095210.67,17375294.23,26719916.44,,-1655597534.16,-173441094.17,-1652242143.59,130993795.64,-190993489.41,0.0,351807184.61,,,,,2797830855.79,5236336215.58,,,,,-2438505359.79,4.7681353097,88.377466601,,,,,,,48.8824217033,,,,25.322965453,20.7910072991,6265.8202717062,,5.7517850018,12.6877143426,,,,26.6314246844,,5.3892999723,12.0491114151,-0.5919096785,-78.4946236559,,10.1810292848,,,-77.3240212559,102.6182013798,19.6576009972,-63.6750852981,,,-93.536745411,,,94.1527063177,-10.929963156,253.1106478275,,,,,,,153.2310978708,,,-2940.1709783954,,,328.9664916782,,,,,328.4746073307,331.0082250976,-21.1403792655,84.8348154861,,-37.1620195194,,,,206.9027198407,,,94.5708773463,1122.2483758981,,,-13.6951966045,-30.8614023475,,,-48.4641849153,3.7892959907,276.9835431288,28.8613095476,28.8613095476,,20.9311934638,8.076673757,,,,152.6251654349,-30.0609547469,184.2531684853,18.3177339681,-39.4663582052,225.8502362812,220.4499318639,229.6295484276,,-63.4942827241,67.3835791107,-8509.6441039571,285.4068163642,6.5179077762,,-77.3240212559,,,,,-48.4641849153,-30.8614023475,,,,,-13.6951966045,,,,,14010162.95,-1.2062838289
