日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,35.21,36.95,35.02,36.01,24369117.0,1172056329.0,1343671493.0,0.0181
2021-01-05,36.05,39.61,36.02,39.61,47393462.0,2429782137.0,1343671493.0,0.0353
2021-01-06,40.85,41.24,38.92,39.55,36251730.0,1922779494.0,1343671493.0,0.027
2021-01-07,39.35,39.6,38.34,39.03,24834673.0,1286592583.0,1343671493.0,0.0185
2021-01-08,39.0,40.17,38.01,38.85,24285100.0,1265104697.0,1343671493.0,0.0181
2021-01-11,38.55,39.72,37.5,37.69,25471502.0,1307313519.0,1343671493.0,0.019
2021-01-12,37.69,38.39,36.96,38.34,20717489.0,1046012434.0,1343671493.0,0.0154
2021-01-13,38.34,40.16,38.0,39.78,31899277.0,1674512444.0,1343671493.0,0.0237
2021-01-14,39.75,40.79,39.01,40.12,25967020.0,1385411093.0,1343671493.0,0.0193
2021-01-15,39.6,40.44,37.79,38.64,22162004.0,1142985426.0,1343671493.0,0.0165
2021-01-18,38.02,38.36,36.84,37.44,29833092.0,1485807951.0,1343671493.0,0.0222
2021-01-19,37.5,37.88,36.61,36.72,19224530.0,946085724.0,1343671493.0,0.0143
2021-01-20,36.72,36.75,35.63,36.29,19894187.0,954124874.0,1343671493.0,0.0148
2021-01-21,36.08,37.35,36.01,36.98,17685149.0,865486822.0,1343671493.0,0.0132
2021-01-22,37.08,37.23,36.02,36.61,16460907.0,801470106.0,1343671493.0,0.0123
2021-01-25,36.75,38.14,36.75,37.77,27844558.0,1395498292.0,1343671493.0,0.0207
2021-01-26,37.77,38.43,36.33,36.71,22770121.0,1133809055.0,1343671493.0,0.0169
2021-01-27,36.38,36.38,35.34,35.74,19689839.0,938631879.0,1343671493.0,0.0147
2021-01-28,35.3,35.63,34.52,35.0,12307621.0,577317709.0,1343671493.0,0.0092
2021-01-29,35.24,35.62,34.17,35.25,19749629.0,910909025.0,1343671493.0,0.0147
2021-02-01,35.25,35.63,34.73,35.43,11258148.0,529817774.0,1343671493.0,0.0084
2021-02-02,35.7,37.28,35.7,36.93,21651963.0,1057793816.0,1343671493.0,0.0161
2021-02-03,36.93,37.25,36.15,36.25,15780782.0,770976776.0,1343671493.0,0.0117
