REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,中长期存款,其他储备,其他投资,其他金融负债(流动),其他金融负债(非流动),其他非流动负债,可转换可赎回优先股,合同负债,合同资产,存货,应付关联方款项(流动),应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,汇兑储备,流动负债其他项目,物业厂房及设备,现金及等价物(非流动),短期存款,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),衍生金融工具-资产(流动),递延税项负债,递延税项资产,长期应付款,长期应收款,非流动负债其他项目,非流动资产其他项目
2018-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2018-12-31 00:00:00,887109000.0,61373000.0,,,3630000.0,7227109000.0,10607213000.0,1467162000.0,2138999000.0,2000.0,1557241000.0,1489000.0,16948113000.0,13800594000.0,13754732000.0,3147519000.0,-10732642000.0,22312619000.0,16948113000.0,3193381000.0,19165100000.0,-5364506000.0,-4595623000.0,,-580167000.0,60644000.0,5609000.0,254607000.0,,,70245000.0,4988000.0,117286000.0,494744000.0,1391451000.0,,13800594000.0,-5364506000.0,,1851442000.0,,39555000.0,-192348000.0,,585249000.0,,1407737000.0,131082000.0,334596000.0,,,8339000.0,39935000.0,,96898000.0,18506185000.0,519658000.0
2019-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2019-12-31 00:00:00,3103266000.0,59066000.0,,,135847000.0,6672914000.0,11375363000.0,4678093000.0,4284298000.0,2000.0,3356526000.0,20234000.0,23948047000.0,17092244000.0,18231166000.0,6855803000.0,-21444445000.0,34602346000.0,23948047000.0,5716881000.0,27746543000.0,-10654299000.0,-9556673000.0,,-873184000.0,59138000.0,7735000.0,,280550000.0,,152921000.0,786000.0,430059000.0,92090000.0,878900000.0,,17092244000.0,-10654299000.0,,2901406000.0,,139749000.0,-360291000.0,,1893919000.0,,1286116000.0,123031000.0,295742000.0,,,5516000.0,261169000.0,,46239000.0,27105669000.0,415261000.0
2020-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2020-12-31 00:00:00,1724456000.0,349532000.0,,423000000.0,135693000.0,11427871000.0,21903676000.0,,493364000.0,2000.0,593561000.0,33155000.0,38478637000.0,28656247000.0,31726066000.0,9822390000.0,-42000773000.0,59411177000.0,38478637000.0,6752571000.0,49588787000.0,-20932540000.0,-21713334000.0,,-432856000.0,,1911613000.0,,,48288049000.0,244052000.0,22464000.0,715521000.0,5206029000.0,8593109000.0,4583548000.0,28656247000.0,,,3738568000.0,,108032000.0,1077955000.0,,1906479000.0,,5890189000.0,109524000.0,184113000.0,,,7608000.0,450283000.0,66148000.0,127502000.0,270337000.0,421707000.0
2021-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2021-06-30 00:00:00,1438510000.0,385838000.0,,409500000.0,125409000.0,8925817000.0,22348630000.0,4036812000.0,477548000.0,2000.0,212417000.0,6426000.0,32231618000.0,30326157000.0,24254091000.0,1905461000.0,-46047331000.0,55192579000.0,32231618000.0,7977527000.0,53287118000.0,-22960961000.0,-25415174000.0,,1009823000.0,66954000.0,,,258404000.0,,138539000.0,21635000.0,667157000.0,,,,30326157000.0,-22960961000.0,,4500609000.0,2186374000.0,93493000.0,1318979000.0,,2226109000.0,,7938748000.0,109569000.0,134449000.0,,,10407000.0,538859000.0,32337000.0,221116000.0,52056183000.0,330387000.0
2021-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2021-12-31 00:00:00,2290258000.0,140251000.0,171130000.0,339505000.0,94573000.0,16529506000.0,25288972000.0,,319000.0,5000.0,383000.0,5848000.0,36944319000.0,34149074000.0,28084217000.0,2795245000.0,63879595000.0,4957235000.0,36944319000.0,8860102000.0,2161990000.0,31987084000.0,-40149213000.0,,70077626000.0,26930000.0,,,,1072583000.0,172131000.0,19023000.0,496144000.0,,,5775885000.0,34149074000.0,,,4310970000.0,272549000.0,224586000.0,1964093000.0,,2909263000.0,,4990791000.0,155495000.0,228802000.0,,,43316000.0,457199000.0,44955000.0,306860000.0,292578000.0,624294000.0
2022-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2022-06-30 00:00:00,2118159000.0,162647000.0,105405000.0,782197000.0,28307000.0,10373626000.0,18526130000.0,,101007000.0,5000.0,282333000.0,4155000.0,36666655000.0,33794573000.0,21398212000.0,2872082000.0,62177365000.0,5563819000.0,36666655000.0,15268443000.0,2691737000.0,31102836000.0,-43307394000.0,2980681000.0,71084907000.0,24105000.0,,,,1176168000.0,162649000.0,22068000.0,567419000.0,,,5815301000.0,33794573000.0,,,6805668000.0,466678000.0,280012000.0,3297011000.0,,3379279000.0,73885000.0,4052113000.0,199381000.0,186180000.0,,,46985000.0,586084000.0,19678000.0,421111000.0,317882000.0,717618000.0
2022-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2022-12-31 00:00:00,2472581000.0,307593000.0,120635000.0,2907153000.0,43636000.0,7962813000.0,18201175000.0,,348000.0,5000.0,321461000.0,17754000.0,37426993000.0,34103989000.0,21524179000.0,3323004000.0,57984084000.0,8413133000.0,37426993000.0,15902814000.0,5090129000.0,29013860000.0,-46194009000.0,,71248900000.0,54241000.0,,,,1395814000.0,207571000.0,27231000.0,617110000.0,,,6071675000.0,34103989000.0,,,6676533000.0,632124000.0,332887000.0,3915328000.0,,6999010000.0,271392000.0,6212878000.0,183002000.0,105228000.0,,,9593000.0,689697000.0,11611000.0,357952000.0,353137000.0,521102000.0
2023-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2023-06-30 00:00:00,2341170000.0,302197000.0,86764000.0,3621854000.0,30955000.0,7153015000.0,16378146000.0,,92506000.0,5000.0,170993000.0,10185000.0,35601390000.0,32648634000.0,19330902000.0,2952756000.0,53361025000.0,8905400000.0,35601390000.0,16270488000.0,5952644000.0,26695990000.0,-49316753000.0,,71537438000.0,108668000.0,,,,1494834000.0,175735000.0,29283000.0,569043000.0,,,5764921000.0,32648634000.0,,,6456082000.0,1033290000.0,326806000.0,4444345000.0,,7355409000.0,243316000.0,4688844000.0,167909000.0,199164000.0,,,8893000.0,817596000.0,5215000.0,218560000.0,320487000.0,744051000.0
2023-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2023-12-31 00:00:00,2262133000.0,305664000.0,113368000.0,4278686000.0,-3947000.0,9423495000.0,12508361000.0,,210085000.0,5000.0,194429000.0,21701000.0,32888024000.0,28455911000.0,16940474000.0,4432113000.0,46314893000.0,9732551000.0,32888024000.0,15947550000.0,5300438000.0,23155473000.0,-52634168000.0,,71666422000.0,135235000.0,,,,,265959000.0,19785000.0,506128000.0,,,5159278000.0,28455911000.0,,,6527475000.0,521805000.0,325675000.0,4127161000.0,1428113000.0,7378707000.0,153986000.0,1099898000.0,146410000.0,145290000.0,,,10383000.0,725440000.0,5294000.0,87251000.0,555121000.0,613781000.0
2024-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2024-06-30 00:00:00,1597188000.0,248606000.0,137266000.0,4658035000.0,15128000.0,7626544000.0,12255645000.0,,208660000.0,6000.0,629260000.0,13492000.0,32550214000.0,28576317000.0,16229542000.0,3973897000.0,45393990000.0,9845655000.0,32550214000.0,16320672000.0,5871758000.0,22704559000.0,-55090950000.0,,73572739000.0,137832000.0,,796500000.0,,,302720000.0,15789000.0,1105190000.0,,,5355949000.0,28576317000.0,,,6675101000.0,724000000.0,251682000.0,4207636000.0,1169103000.0,7280503000.0,160785000.0,1193410000.0,124868000.0,109024000.0,,,6209000.0,743733000.0,6452000.0,34806000.0,46932000.0,1036230000.0
