REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,受限制存款及现金增加(减少),吸收投资所得,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,递延收入(增加)减少,除税前溢利(业务利润)
2018-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2018-01-01 00:00:00,10991290000.0,1860903000.0,1284143000.0,4941232000.0,477918000.0,132000.0,7227109000.0,159488000.0,-237461000.0,,-1984483000.0,8798887000.0,-3107923000.0,-749732000.0,,-747587000.0,14907000.0,-81544000.0,2145000.0,229908000.0,1621610000.0,,59723000.0,2069000.0,105323000.0,-11317000.0,,-3111497000.0,69779000.0,29488000.0,85617000.0,,,6570000.0,,-8771000.0,-1076100000.0,-102648000.0,24865000.0,74473000.0,,-63910000.0,10003000.0,-608673000.0,1619266000.0,10317000.0,424974000.0,64713000.0,,9558000.0,53246000.0,-3456245000.0
2019-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2019-01-01 00:00:00,5535112000.0,7227109000.0,1026474000.0,-724757000.0,776982000.0,5271000.0,6672914000.0,377505000.0,-402652000.0,,-2150301000.0,3772558000.0,-1627898000.0,-2869417000.0,,-2868173000.0,130326000.0,-692141000.0,1244000.0,1452618000.0,3235039000.0,-979000.0,137745000.0,-794000.0,268059000.0,882000.0,,-3799610000.0,291552000.0,149874000.0,,,,296748000.0,,,228436000.0,-337946000.0,124551000.0,201216000.0,3903000.0,1532289000.0,,-3452258000.0,1242947000.0,75965000.0,170562000.0,84190000.0,,121781000.0,-2307000.0,-5172861000.0
2020-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2020-01-01 00:00:00,54493000.0,6672914000.0,,-1621008000.0,794572000.0,,5161130000.0,276152000.0,-33341000.0,,1993602000.0,679725000.0,-1146065000.0,-1154668000.0,,-1142282000.0,838861000.0,-764243000.0,12386000.0,1976152000.0,796660000.0,,68880000.0,-817000.0,96509000.0,-2031000.0,,-3393031000.0,235855000.0,68708000.0,,,,,,-575000.0,-335835000.0,-158126000.0,86657000.0,37544000.0,,-687749000.0,40000000.0,341135000.0,60000000.0,64426000.0,109224000.0,-24747000.0,,17628000.0,152023000.0,-5483189000.0
2020-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2020-01-01 00:00:00,,6672914000.0,,4886357000.0,1209757000.0,1630000.0,11427871000.0,569652000.0,5179444000.0,-129999000.0,6846992000.0,13185642000.0,-7070472000.0,-1228813000.0,-8299285000.0,-1215698000.0,-1700000.0,73913000.0,13115000.0,3506085000.0,1143153000.0,,128261000.0,-1609000.0,174902000.0,-6055000.0,18052000.0,-10465532000.0,545184000.0,112509000.0,887043000.0,,3791260000.0,,,-326000.0,-4979525000.0,-309341000.0,140861000.0,234682000.0,,-914738000.0,,-431957000.0,957580000.0,65834000.0,-131400000.0,76148000.0,,95757000.0,290603000.0,-12319017000.0
2021-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2021-01-01 00:00:00,9202353000.0,11427871000.0,17045000.0,-2406105000.0,378212000.0,6991000.0,8925817000.0,,,53203000.0,,3536317000.0,-5111535000.0,-830887000.0,-5942422000.0,-798196000.0,,,32691000.0,5609969000.0,10000000.0,,52372000.0,,,,,,,,,,15816000.0,10365000.0,,,-4146680000.0,,22831000.0,45365000.0,6172000.0,,,,766962000.0,78508000.0,-95949000.0,,,9920000.0,,
2021-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2021-01-01 00:00:00,43795000.0,11427871000.0,,5344967000.0,1073109000.0,8402000.0,16529506000.0,657830000.0,-26028000.0,53203000.0,10190587000.0,9378482000.0,-1548074000.0,-2485441000.0,-4033515000.0,-2447650000.0,1036375000.0,-421719000.0,37791000.0,6244496000.0,5006168000.0,,127488000.0,-5189000.0,187716000.0,-34077000.0,6110000.0,-13525537000.0,36960000.0,33758000.0,1583925000.0,4729000.0,493045000.0,95365000.0,90083000.0,,748396000.0,181183000.0,33971000.0,131219000.0,6154000.0,-225376000.0,,-1879360000.0,1000000.0,,-243332000.0,-64227000.0,13766000.0,1511422000.0,-38151000.0,-17141544000.0
2022-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2022-01-01 00:00:00,695326000.0,16529506000.0,,-6392200000.0,997184000.0,1045000.0,10373626000.0,,,-210163000.0,,1177327000.0,-5721378000.0,-1848149000.0,-7569527000.0,-1837345000.0,,,10804000.0,,724096000.0,,92407000.0,,,,,,,,,1570000.0,-169169000.0,43000000.0,,,-1880087000.0,,21949000.0,109525000.0,19787000.0,,,,,13927000.0,236320000.0,,,2778228000.0,,
2022-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2022-01-01 00:00:00,779202000.0,16529506000.0,69246000.0,-9053557000.0,4890289000.0,4514000.0,7962813000.0,967685000.0,,-15037000.0,,3329143000.0,-9298217000.0,-3084483000.0,-12382700000.0,-3073538000.0,901070000.0,-2774888000.0,10945000.0,83300000.0,2969496000.0,,151177000.0,-1390000.0,260546000.0,15950000.0,283674000.0,-7240000.0,1720798000.0,55438000.0,464473000.0,2562000.0,-256987000.0,204000000.0,386038000.0,,-1229306000.0,-172730000.0,60283000.0,200961000.0,18307000.0,1672865000.0,,-1976620000.0,31500000.0,,486864000.0,60988000.0,,3741905000.0,116847000.0,-6332812000.0
2023-06-30,00020.HK,00020,商汤-W,10000249539,002,12-31,2023-01-01 00:00:00,13550000.0,7962813000.0,,-1006885000.0,690836000.0,5712000.0,7153015000.0,,,-5115000.0,,413199000.0,384721000.0,-1804805000.0,-1420084000.0,-1793363000.0,,,11442000.0,200514000.0,764331000.0,,98778000.0,,,,,,,,,,-41611000.0,45500000.0,,,1232102000.0,,69279000.0,105410000.0,11579000.0,,,,64349000.0,49082000.0,197087000.0,,,258864000.0,,
2023-12-31,00020.HK,00020,商汤-W,10000249539,001,12-31,2023-01-01 00:00:00,30980000.0,7962813000.0,,1307696000.0,1356449000.0,12121000.0,9423495000.0,1249924000.0,-2306000.0,,,1083583000.0,3458373000.0,-3234260000.0,224113000.0,-3212329000.0,1847981000.0,-2512230000.0,21931000.0,402068000.0,1644677000.0,,182017000.0,-4499000.0,341977000.0,-8116000.0,30638000.0,-756536000.0,26835000.0,146661000.0,323995000.0,,-75704000.0,214571000.0,49082000.0,,5240005000.0,84526000.0,144550000.0,356068000.0,12697000.0,-236943000.0,,-563847000.0,101759000.0,,152986000.0,25361000.0,,753392000.0,-9196000.0,-6504162000.0
