日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,3.94,3.94,3.84,3.89,897780.0,4774757.0,795516599.0,0.0011285496759320293
2019-11-28,3.91,3.96,3.89,3.95,1319345.0,7058909.0,795516599.0,0.0016584757648784145
2019-11-29,3.94,4.05,3.92,4.02,2255788.0,12280876.0,795516599.0,0.002835626563714229
2019-12-02,4.01,4.04,3.94,3.96,1535931.0,8348504.0,795516599.0,0.0019307340688185942
2019-12-03,3.95,4.01,3.92,4.01,1314054.0,7130510.0,795516599.0,0.0016518247408687948
2019-12-04,3.98,4.05,3.98,4.04,970454.0,5324196.0,795516599.0,0.0012199041493538968
2019-12-05,4.05,4.14,4.04,4.11,2370200.0,13246358.0,795516599.0,0.0029794475727840846
2019-12-06,4.11,4.14,4.04,4.11,2185521.0,12130970.0,795516599.0,0.002747297797113596
2019-12-09,4.12,4.12,3.95,4.05,1628190.0,9020226.0,795516599.0,0.002046707764547852
2019-12-10,4.05,4.07,4.0,4.01,1914935.0,10498258.0,795516599.0,0.002407159074250819
2019-12-11,4.04,4.04,3.97,3.99,1997666.0,10871788.0,795516599.0,0.002511155647174623
2019-12-12,3.98,4.0,3.93,3.94,1720600.0,9283490.0,795516599.0,0.002162871274041134
2019-12-13,3.95,3.99,3.94,3.98,1697541.0,9148996.0,795516599.0,0.00213388507811639
2019-12-16,3.98,4.06,3.98,4.04,2310254.0,12656642.0,795516599.0,0.002904092765511232
2019-12-17,4.08,4.11,4.05,4.08,2534677.0,14083182.0,795516599.0,0.0031862025295087528
2019-12-18,4.09,4.11,4.05,4.09,2913807.0,16224172.0,795516599.0,0.0036627859225851303
2019-12-19,4.08,4.17,4.08,4.15,3165400.0,17844509.0,795516599.0,0.003979049593659076
2019-12-20,4.15,4.19,4.06,4.06,2447687.0,13713195.0,795516599.0,0.0030768522028036273
2019-12-23,4.07,4.1,3.99,4.0,2012677.0,11073331.0,795516599.0,0.00253002514659031
