日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-25,5.06,5.08,4.91,4.93,6500662.0,42855026.0,813172000.0,0.008
2021-01-26,4.89,4.95,4.77,4.77,7003123.0,44908206.0,813172000.0,0.0086
2021-01-27,4.81,5.15,4.78,4.93,12880802.0,85600840.0,813172000.0,0.0158
2021-01-28,4.91,5.07,4.89,5.0,6154727.0,40704760.0,813172000.0,0.0076
2021-01-29,4.99,5.01,4.8,4.92,6292956.0,40815227.0,813172000.0,0.0077
2021-02-01,4.87,4.92,4.74,4.8,6486340.0,41293196.0,813172000.0,0.008
2021-02-02,4.76,4.82,4.68,4.79,4967018.0,31277699.0,813172000.0,0.0061
2021-02-03,4.82,4.82,4.67,4.68,5466940.0,34088475.0,813172000.0,0.0067
2021-02-04,4.68,4.7,4.41,4.51,7946943.0,47491042.0,813172000.0,0.0098
2021-02-05,4.53,4.56,4.33,4.34,5861834.0,34327480.0,813172000.0,0.0072
2021-02-08,4.33,4.4,4.29,4.31,6233700.0,35849504.0,813172000.0,0.0077
2021-02-09,4.36,4.41,4.27,4.39,6263974.0,35964156.0,813172000.0,0.0077
2021-02-10,4.39,4.44,4.36,4.4,5044375.0,29370387.0,813172000.0,0.0062
2021-02-18,4.42,4.52,4.42,4.46,12018711.0,70970105.0,813172000.0,0.0148
2021-02-19,4.46,4.67,4.44,4.64,8889613.0,53866380.0,813172000.0,0.0109
2021-02-22,4.9,5.11,4.82,5.03,22353876.0,148935652.0,813172000.0,0.0275
2021-02-23,4.89,4.95,4.8,4.84,17390754.0,112052389.0,813172000.0,0.0214
2021-02-24,4.87,4.92,4.8,4.86,9431377.0,60550087.0,813172000.0,0.0116
2021-02-25,4.87,4.98,4.81,4.85,9701234.0,62691871.0,813172000.0,0.0119
2021-02-26,4.78,4.88,4.76,4.82,5399890.0,34456683.0,813172000.0,0.0066
2021-03-01,4.94,4.94,4.8,4.83,8397262.0,53692920.0,813172000.0,0.0103
2021-03-02,4.84,5.02,4.81,4.95,12423237.0,81084372.0,813172000.0,0.0153
2021-03-03,4.9,4.98,4.86,4.96,10505027.0,68720251.0,813172000.0,0.0129
2021-03-04,4.96,5.02,4.88,4.95,8173256.0,53713898.0,813172000.0,0.0101
2021-03-05,4.97,5.09,4.93,5.03,12567600.0,83641455.0,813172000.0,0.0155
2021-03-08,5.0,5.16,4.99,5.06,11653563.0,78554939.0,813172000.0,0.0143
2021-03-09,5.1,5.1,4.87,4.87,9734161.0,63971012.0,813172000.0,0.012
2021-03-10,4.89,5.02,4.89,4.91,6966888.0,45599605.0,813172000.0,0.0086
2021-03-11,4.93,5.09,4.8,5.08,9435613.0,62259106.0,813172000.0,0.0116
2021-03-12,5.09,5.2,5.02,5.17,10452842.0,70915718.0,813172000.0,0.0129
2021-03-15,5.17,5.27,5.13,5.2,10023375.0,69095833.0,813172000.0,0.0123
2021-03-16,5.24,5.45,5.17,5.41,14172378.0,100322241.0,813172000.0,0.0174
2021-03-17,5.41,5.51,5.32,5.37,12157918.0,86897541.0,813172000.0,0.015
2021-03-18,5.35,5.49,5.33,5.44,9827722.0,70635537.0,813172000.0,0.0121
2021-03-19,5.98,5.98,5.98,5.98,4740869.0,37547682.0,813172000.0,0.0058
2021-03-22,6.58,6.58,6.58,6.58,4151284.0,36157684.0,813172000.0,0.0051
2021-03-23,7.1,7.1,6.32,6.65,100903688.0,909528113.0,813172000.0,0.1241
2021-03-24,6.36,6.45,6.06,6.14,55928582.0,463723790.0,813172000.0,0.0688
2021-03-25,6.19,6.19,5.91,6.0,32715854.0,261005355.0,813172000.0,0.0402
2021-03-26,5.97,6.14,5.95,6.03,28519711.0,228501032.0,813172000.0,0.0351
2021-03-29,6.03,6.15,6.0,6.09,24656253.0,198743071.0,813172000.0,0.0303
2021-03-30,6.06,6.1,5.86,5.92,24601014.0,193307318.0,813172000.0,0.0303
2021-03-31,5.94,6.15,5.92,6.12,25053503.0,201144768.0,813172000.0,0.0308
2021-04-01,6.08,6.14,6.0,6.09,20260720.0,162669687.0,813172000.0,0.0249
2021-04-02,6.1,6.1,5.97,5.99,16777221.0,133661754.0,813172000.0,0.0206
2021-04-06,6.0,6.06,5.96,6.0,10530168.0,83731064.0,813172000.0,0.0129
2021-04-07,5.99,6.03,5.93,6.02,11143596.0,88233888.0,813172000.0,0.0137
2021-04-08,6.02,6.05,5.97,5.97,10730534.0,85387039.0,813172000.0,0.0132
2021-04-09,5.97,6.01,5.95,6.0,7300500.0,57806112.0,813172000.0,0.009
2021-04-12,5.98,6.0,5.88,5.89,12355853.0,97035964.0,813172000.0,0.0152
2021-04-13,5.86,5.9,5.81,5.81,7700229.0,59565587.0,813172000.0,0.0095
2021-04-14,5.81,5.93,5.8,5.93,5787076.0,45031392.0,813172000.0,0.0071
2021-04-15,5.93,6.0,5.9,5.96,9427847.0,74447923.0,813172000.0,0.0116
2021-04-16,5.98,6.0,5.94,5.97,6946713.0,54892385.0,813172000.0,0.0085
2021-04-19,5.97,6.05,5.94,6.03,9262454.0,73811673.0,813172000.0,0.0114
2021-04-20,6.02,6.08,5.99,6.0,8316116.0,66325583.0,813172000.0,0.0102
2021-04-21,5.98,6.0,5.91,5.92,6911508.0,54374381.0,813172000.0,0.0085
2021-04-22,5.92,5.99,5.91,5.94,6451080.0,50845974.0,813172000.0,0.0079
2021-04-23,6.1,6.53,6.09,6.53,50424575.0,425813461.0,813172000.0,0.062
2021-04-26,6.74,6.92,6.49,6.62,55770485.0,492261270.0,813172000.0,0.0686
2021-04-27,6.61,6.91,6.49,6.84,42952561.0,383381189.0,813172000.0,0.0528
2021-04-28,6.77,6.93,6.72,6.89,38495258.0,348808196.0,813172000.0,0.0473
2021-04-29,6.51,6.7,6.2,6.2,33492008.0,248536588.0,813172000.0,0.0412
2021-04-30,5.92,5.99,5.61,5.71,36457631.0,248783825.0,813172000.0,0.0448
2021-05-06,5.72,5.76,5.55,5.56,19529191.0,129697918.0,813172000.0,0.024
2021-05-07,5.59,5.63,5.47,5.58,14664887.0,96178677.0,813172000.0,0.018
2021-05-10,5.58,5.58,5.41,5.46,12496649.0,80529348.0,813172000.0,0.0154
2021-05-11,5.45,5.51,5.38,5.49,10459314.0,67264598.0,813172000.0,0.0129
