SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688390.SH,688390,固德威,10493463,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,4628746849.07,,,,,,,,,,,,248562629.72,184543326.9,,0.0,5061852805.69,3227117203.15,,,,,,935587826.58,311485447.61,620332909.36,,0.0,5094523386.7,,0.0,-32670581.01,118641118.21,11584640.22,536036.1,,,,,0.0,130761794.53,98797616.73,87391000.0,,,,22175000.74,,0.0,208363617.47,,0.0,-77601822.94,6043235.35,685542.0,1396492897.79,,17888735.34,,0.0,1420424868.48,335135328.18,31908826.44,18900000.0,,1208579598.94,,,0.0,1575623753.56,,0.0,-155198885.08,20369980.02,,0.0,-245101309.01,910546136.41,,0.0,665444827.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4140863776,,,,,,,,,,,,40.3150952023,-37.2879704244,,,-2.0265803567,-30.9950557791,,,,,,15.9894651788,63.9033111566,19.8871143695,,,-17.7072784343,,,96.8100638073,95.7774227888,484.2006933964,-70.2367518046,,,,,,103.0967557554,-73.5277570931,7.6243842365,,,,20264.5644834844,,,-54.1575380026,,,80.1090846095,-39.7212464088,-78.8055797733,45.4053141625,,,,,46.3692473586,232.9565691021,-77.1024918839,,,378.6511598062,,,,219.9194871634,,,-132.4729324422,680.4508322907,,,73.7514411795,-43.5954697897,,,-2.2185909683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688390.SH,688390,固德威,10493463,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,3118876808.91,,,,,,,,,,,,130342751.53,126762094.51,,0.0,3375981654.95,2213368442.71,,,,,,616079589.05,207743467.39,382641565.79,,0.0,3419833064.94,,0.0,-43851409.99,96136694.93,10701681.13,5000.0,,,,,0.0,106843376.06,66920896.76,42391000.0,,,,22168555.57,,0.0,131480452.33,,0.0,-24637076.27,,,998290453.33,,17888735.34,,0.0,1016179188.67,209135328.18,27504569.76,,,872069097.64,,,0.0,1108708995.58,,0.0,-92529806.91,22484685.24,,0.0,-138533607.93,910546136.6,,0.0,772012528.67,15398669.86,38277689.26,72243998.49,72243998.49,,2821448.96,10379622.8,,,,-1214151.12,304883.77,17394501.92,-29706576.46,-25584662.94,-46278054.73,-49182885.98,2904831.25,,409786409.84,-721960507.89,162567319.2,14563498.24,,0.0,-43851409.99,,,,5064339.9,772012528.67,910546136.6,,,,,-138533607.93,8.3110230916,,,,,,,,,,,,10.4434831802,-16.0438082436,,,7.2230429072,-28.5214155822,,,,,,10.2658453869,169.6680725013,17.9235047174,,,-15.7009940987,,,95.1717698501,275.5339645703,520.9687041828,-99.7223764575,,,,,,266.8519568056,-74.4295247517,-34.9831288344,,,,81973.0537385842,,,-59.7843592218,,,91.7273672142,,,56.5831919889,,,,,58.2903154926,117.4478692005,-79.4855131683,,,255.5231504323,,,,133.1459457818,,,-155.5971994243,613.3170799876,,,86.6339993113,-43.5954697779,,,33.6005834539,231.6883478728,-14.2087363444,35.9078573972,35.9078573972,,-21.9437485298,-17.7933159601,,,,-218.3933687059,763.7753724504,309.685290471,-505.4520167236,-1126.9742110889,33.0222033588,28.8039043238,21232.4850990957,,160.4945197099,-86.1581466067,181.4035687836,-31.2219034612,,,95.1717698501,,,,-85.1996439249,33.6005834539,-43.5954697779,,,,,86.6339993113,,,,,8408600.82,-29.4932405095
688390.SH,688390,固德威,10493463,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,1470326884.85,,,,,,,,,,,,42976710.99,74899665.13,,0.0,1588203260.97,1234817033.09,,,,,,321519430.13,97536333.79,187757376.06,,0.0,1841630173.07,,0.0,-253426912.1,15641118.21,4429028.48,,,,,,0.0,20070146.69,39290374.8,6000000.0,,,,22168570.2,,0.0,67458945.0,,0.0,-47388798.31,,,640613628.32,,17888735.34,,0.0,658502363.66,104914956.85,4022162.12,,,241371897.84,,,0.0,350309016.81,,0.0,308193346.85,9992270.03,,0.0,17369906.47,910546136.6,,0.0,927916043.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.957010051,,,,,,,,,,,,-41.2905579909,-3.2011629546,,,18.811883267,-18.6537447187,,,,,,0.4508086727,204.9520210275,4.326424303,,,-10.164741664,,,64.4697326715,-24.072241699,241.743543359,,,,,,,-8.3387921781,-72.7208645061,-70.0,,,,,,,-58.874236855,,,66.6592700761,,,194.5982342404,,,,,200.1845850908,33.0298624449,0.5297936528,,,8.8380242421,,,,14.9917661179,,,461.4215949252,439.1315568336,,,101.8407650515,-43.5954697779,,,38.3525462867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688390.SH,688390,固德威,10493463,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,6509832265.25,,,,,,,,,,,,190561903.65,362850233.84,,0.0,7063244402.74,5785463471.93,,,,,,1062660560.09,282670929.41,725418536.15,,0.0,7856213497.58,,0.0,-792969094.84,74917210.04,6830509.36,3687995.0,,,2000000.0,,0.0,87435714.4,495325681.44,97200000.0,,,,441595.37,,0.0,592967276.81,,0.0,-505531562.41,10025481.6,3234540.0,1568009462.56,,33871872.91,,0.0,1611906817.07,173496627.3,141708529.88,,,707429859.77,,,0.0,1022635016.95,,0.0,589271800.12,5461155.79,,0.0,-703767701.34,1614313837.94,,0.0,910546136.6,-3533361.66,121684960.25,133888859.43,133888859.43,,6051281.06,21923874.61,,,,3164174.02,817771.18,-13923832.24,30236629.64,-66684951.64,-147769966.03,-156561895.55,8791929.52,,-802059463.0,-336713748.44,183134926.23,24009618.28,,0.0,-792969094.84,,,,35673834.66,910546136.6,1614313837.94,,,,,-703767701.34,-9.2363246386,,,,,,,,,,,,-51.6886921602,-21.5275961185,,,-12.029722537,11.9124470063,,,,,,18.0554637014,-28.9362546954,37.519068753,,,12.3111181468,,,-176.6834779857,-91.3999101895,-12.7389320828,8363.1084387724,,,,,,-90.0527348809,-12.3784961267,-88.6497565945,,,,,,,-58.2908171085,,,6.8450762129,-77.1425592349,-91.24403779,595.0314864287,,,,,498.1910154027,25.7063313967,-29.6544975981,,,393.693566235,,,,111.8321657151,,,376.2725718751,-92.1611349154,,,-302.3620569123,27.4588441843,,,-43.5954697779,-100.4079040403,9.6591215988,47.6278007108,47.6278007108,,-7.7839160014,6.6322179761,,,,16503.1438244319,-23.7817410536,-15295.4879202928,129.1637168898,-4021.0830925473,-1173.973615546,-1247.9644595064,7168.3226483229,,-71.4296627921,-36.6405791597,-69.9814333042,-73.329657547,,,-176.6834779857,,,,144.3267469809,-43.5954697779,27.4588441843,,,,,-302.3620569123,标准无保留意见,,,,23305601.11,15.8451487905
688390.SH,688390,固德威,10493463,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-30 00:00:00,CNY,4695140186.86,,,,,,,,,,,,177146036.47,294271016.5,,0.0,5166557239.83,4676646346.99,,,,,,806614484.46,190042193.42,517430845.36,,0.0,6190733870.23,,0.0,-1024176630.4,60600000.0,1982989.81,1801000.0,,,,,0.0,64383989.81,373212111.56,81200000.0,,,,108890.13,,0.0,454521001.69,,0.0,-390137011.88,10025481.6,3234540.0,960413933.86,,,,0.0,970439415.46,100654367.35,139355017.49,,,252496954.03,,,0.0,492506338.87,,0.0,477933076.59,2610027.33,,0.0,-933770538.36,1614313837.94,,0.0,680543299.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.4584137456,,,,,,,,,,,,-50.1711296332,43.9142896784,,,-15.4911847588,26.5908475444,,,,,,18.7328416675,-32.2311702491,24.6769983819,,,22.1269508788,,,-198.0510651732,-88.7699011551,-53.1820949043,4198.5560813589,,,,,,-88.1625031773,-7.6166585129,-84.5735684053,,,,,,,-51.1452310457,,,-0.9533769773,-77.1425592349,-91.24403779,1137.8453238816,,,,,699.0544835233,99.3155789109,-30.1502963231,,,1014.5897601373,,,,80.629711169,,,416.0676111065,-93.2269072075,,,-271.207067838,27.4588441843,,,-62.4412107359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688390.SH,688390,固德威,10493463,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-29 00:00:00,CNY,2879556226.03,,,,,,,,,,,,118017603.01,150985998.6,,0.0,3148559827.64,3096547673.32,,,,,,558722047.51,77036730.92,324482864.3,,0.0,4056789316.05,,0.0,-908229488.41,25600000.0,1723384.94,1801000.0,,,,,0.0,29124384.94,261711587.72,65200000.0,,,,27010.76,,0.0,326938598.48,,0.0,-297814213.54,4425432.74,2212500.0,637546367.94,,,,0.0,641971800.68,96177225.81,134073886.35,,,245291789.46,,,0.0,475542901.62,,0.0,166428899.06,3152130.5,,0.0,-1036462672.39,1614313837.94,,0.0,577851165.55,4642511.55,44617234.47,53156601.74,53156601.74,,3614635.48,12626251.65,,,,1025522.91,35296.65,-8295527.97,7326779.8,-2085183.43,-69094620.98,-69080875.17,-13745.81,,-677394269.44,-387821065.61,57770169.69,21174616.59,,0.0,-908229488.41,,,,34217689.59,577851165.55,1614313837.94,,,,,-1036462672.39,-18.5432216542,,,,,,,,,,,,-58.1536536654,23.7419400347,,,-20.0693695039,29.7945237784,,,,,,25.4874825761,-54.520752153,39.4152663227,,,25.4765255947,,,-228.6427133218,-93.4797212677,-63.147134116,,,,,,,-92.6693789206,9.0745940576,-86.0576303146,,,,,,,-53.7946570246,,,4.0175394974,-85.8940253241,-90.9693877551,2103.8017808742,,,,,964.5920343164,,-32.365978499,,,1547.5796656319,,,,123.1313641256,,,208.905003473,-95.0090914842,,,-438.6395369024,27.4588441843,,,-63.2551376215,-99.3695926541,-4.9237687229,26.8993625164,26.8993625164,,-15.7282381024,62.4275916994,,,,7852295.941807045,-76.2234226903,-191.1166958118,106.6003238417,-134.5814977798,-100.9289016616,-93.9449605982,-101.116450064,,-201.9434816964,-8.8082630791,-88.7744827375,-40.1617885882,,,-228.6427133218,,,,238.2817620524,-63.2551376215,27.4588441843,,,,,-438.6395369024,,,,,11925949.91,27.2151846141
688390.SH,688390,固德威,10493463,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,1186158720.87,,,,,,,,,,,,73202383.67,77376616.72,,0.0,1336737721.26,1517976492.98,,,,,,320076497.52,31984157.2,179971064.2,,0.0,2050008211.9,,0.0,-713270490.64,20600000.0,1296009.41,,,,,,0.0,21896009.41,144030864.94,20000000.0,,,,,,0.0,164030864.94,,0.0,-142134855.53,1912500.0,,217453315.69,,,,0.0,219365815.69,78865718.51,4000965.26,,,221771664.38,,,0.0,304638348.15,,0.0,-85272532.46,-2946428.85,,0.0,-943624307.48,1614313837.94,,0.0,670689530.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.817864825,,,,,,,,,,,,-50.0636910263,254.2733452191,,,-13.4669825053,42.3726400338,,,,,,36.300006541,-38.2246068651,113.0186866416,,,42.6298170923,,,-763.6370995704,-75.9405527339,-80.155091337,,,,,,,-76.2392316698,0.4464270881,-84.6153846154,,,,,,,-40.0013069163,,,21.5759181248,-92.193877551,,,,,,,795.3706762857,,,,,2270.3709128076,,,,3156.078189246,,,-663.0776272497,-172.286496756,,,-1630.159193681,27.4588441843,,,-44.6624698629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688390.SH,688390,固德威,10493463,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,7172288075.96,,,,,,,,,,,,394445756.43,462392147.93,,0.0,8029125980.32,5169633607.96,,,,,,900136704.2,397770942.41,527503961.98,,0.0,6995045216.55,,0.0,1034080763.77,871121252.11,7827671.06,43577.31,,,,,0.0,878992500.48,565301506.53,856369300.0,,,,,,0.0,1421670806.53,,0.0,-542678306.05,43860910.34,36941000.0,225602651.56,,,,0.0,269463561.9,138017413.58,201446467.85,,,143293311.51,,,0.0,482757192.94,,0.0,-213293631.04,69667684.43,,0.0,347776511.11,1266537326.83,,0.0,1614313837.94,866223746.41,110966564.82,90693527.09,90693527.09,,6562066.83,20560272.52,,,,19057.68,1072933.43,91631.36,-103678930.07,1700676.83,13759180.29,13638218.0,120962.29,,-467865041.52,-246422951.74,610072186.61,90023659.51,,0.0,1034080763.77,,,,14600871.62,1614313837.94,1266537326.83,,,,,347776511.11,54.115629249,,,,,,,,,,,,14.0412622028,163.8512866211,,,55.153309524,63.2691276736,,,,,,40.770053003,376.9587533848,28.2523572741,,,62.6579549659,,,18.2482662033,63.4373846437,-33.4685332554,-11.5418608617,,,,,,61.3379046951,16.3119071923,52.4331270024,,,,,,,35.6786511543,,,-7.8867414161,196.3575022973,149.6013513514,182.00331445,,,,,184.2442636076,360.0580452667,90.1213493869,,,1233.7719309334,,,,229.0772836966,,,-310.9684196213,15.9027640094,,,-8.4077485232,42.8151962347,,,27.4588441843,36.1445189242,197.5006952146,41.0582883824,41.0582883824,,-32.5215211018,160.7639158519,,,,-80.1394617118,91.4345255621,-97.9119557905,-16.0343038685,113.0378340122,132.2067426834,136.1299109377,102.4320350748,,36.5087572267,-4.5177127664,-46.905254027,61.0551380251,,,18.2482662033,,,,-53.4762164861,27.4588441843,42.8151962347,,,,,-8.4077485232,标准无保留意见,,,,20117891.3,
688390.SH,688390,固德威,10493463,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,5553645720.26,,,,,,,,,,,,355508834.87,204476579.19,,0.0,6113631134.32,3694300526.23,,,,,,679352463.17,280427143.45,415017085.81,,0.0,5069097218.66,,0.0,1044533915.66,539621252.11,4235537.25,41897.79,,,,,0.0,543898687.15,403982044.33,526369300.0,,4.0,,,,0.0,930351348.33,,0.0,-386452661.18,43860910.34,36941000.0,77587556.0,,,,0.0,121448466.34,50500000.0,199506955.87,,,22653801.7,,,0.0,272660757.57,,0.0,-151212291.23,38535236.56,,0.0,545404199.81,1266537326.83,,0.0,1811941526.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5040910453,,,,,,,,,,,,32.2063828236,54.9247145071,,,80.0933087097,61.8220463156,,,,,,54.1719783384,607.4380803234,55.9125927587,,,67.3294310485,,,185.9461913598,39.07764406,-61.0175830737,888.7500737472,,,,,,36.3600652069,8.9835178821,63.4688720634,,,,,,,34.3115640308,,,-31.5305864853,212.1772977936,162.9252669039,158.6251866667,,,,,175.7059394779,68.3333333333,88.1921037423,,,142.4214988141,,,,87.5798167592,,,-49.2611587808,240.535125497,,,3046.1009335007,42.8151962347,,,108.6711854203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688390.SH,688390,固德威,10493463,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-31 00:00:00,CNY,3535072567.94,,,,,,,,,,,,282026062.84,122016834.84,,0.0,3939115465.62,2385730601.86,,,,,,445241259.16,169388753.26,232745575.76,,0.0,3233106190.04,,0.0,706009275.58,392621252.11,4676393.27,,,,,,0.0,397297645.38,239938172.57,467639300.0,,1.0,,,,0.0,707577473.57,,0.0,-310279828.19,31372754.04,24500000.0,28929388.0,,,,0.0,60302142.04,,198234384.67,,,14888007.82,,,0.0,213122392.49,,0.0,-152820250.45,63157448.99,,0.0,306066645.93,1266537326.83,,0.0,1572603972.76,736430433.5,46927853.44,41888785.48,41888785.48,,4289260.6,7773464.79,,,,13.06,148451.35,9104289.72,-111006368.41,6029766.1,-34387597.01,-35618803.89,1231206.88,,-224344723.6,-356426115.66,514632585.2,35386446.37,,0.0,706009275.58,,,,10115144.66,1572603972.76,1266537326.83,,,,,306066645.93,112.9849600138,,,,,,,,,,,,81.2176704637,243.1737289186,,,112.8147913228,64.676935475,,,,,,52.6906910226,530.4095362974,96.4864502215,,,71.4580681706,,,2134.9185603549,58.3150210121,39.0380515293,,,,,,,58.0544192891,-0.4999891357,125.9127106835,,,,,,,57.8906988346,,,-57.6815576092,638.182448,476.4705882353,,,,,,1318.8739303529,,87.2696704098,,,189.8543861341,,,,92.0170065452,,,-43.1686572039,1466.0165607188,,,191.5875355859,42.8151962347,,,184.5532607287,1394.0720173849,734.7174574948,98.8382892374,98.8382892374,,-9.9730590231,162.6240132526,,,,145.4887218045,-6.5757253028,2248.1795649212,-2155.1582339629,395.7190148028,-58.7059903121,-74.0062069952,202.8028816943,,69.8075074501,-188.1272802801,119.6448890344,434.4142151132,,,2134.9185603549,,,,-48.2930933644,184.5532607287,42.8151962347,,,,,191.5875355859,,,,,9374627.68,89.3727714611
