日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2020-09-04,40.61,50.23,40.61,48.09,15710932.0,1984715871.0,20038860.0,0.7840232428391635
2020-09-07,47.48,48.05,41.56,44.17,10367010.0,1298975159.0,20038860.0,0.5173452980858193
2020-09-08,42.71,44.49,38.78,38.83,6615239.0,770264487.0,20038860.0,0.33012052581833495
2020-09-09,37.05,41.09,37.05,39.54,3874551.0,433223423.0,20038860.0,0.19335186732179374
2020-09-10,40.25,44.17,39.9,40.79,3254151.0,384255516.0,20038860.0,0.1623920223006698
2020-09-11,40.97,47.41,40.96,47.02,4548360.0,564867890.0,20038860.0,0.22697698372063083
2020-09-14,48.11,51.53,47.38,47.62,4906922.0,681631576.0,20038860.0,0.2448703169741193
2020-09-15,47.09,49.75,46.53,47.48,2159273.0,292963935.0,20038860.0,0.10775428342730076
2020-09-16,47.48,53.46,47.14,52.54,3040439.0,434573246.0,20038860.0,0.15172714415889926
2020-09-17,52.0,56.85,51.75,53.43,2215161.0,338539831.0,20038860.0,0.11054326443719853
2020-09-18,53.79,54.14,50.23,50.99,2160722.0,313597625.0,20038860.0,0.10782659292993713
2020-09-21,51.12,53.4,50.63,51.34,1230751.0,180076827.0,20038860.0,0.06141821440940253
2020-09-22,51.76,51.76,48.71,49.33,1427181.0,200264870.0,20038860.0,0.07122066824160656
2020-09-23,49.94,56.95,49.94,55.21,2141983.0,325501402.0,20038860.0,0.10689145989342708
2020-09-24,55.39,56.35,52.11,52.41,1355402.0,204637336.0,20038860.0,0.06763867804855167
2020-09-25,52.9,54.32,50.29,52.74,796482.0,118421076.0,20038860.0,0.03974687182803812
2020-09-28,52.74,56.28,51.66,52.96,995643.0,150062402.0,20038860.0,0.049685610858102705
2020-09-29,53.73,53.73,50.76,52.15,807256.0,118070425.0,20038860.0,0.04028452716372089
2020-09-30,52.65,57.62,51.82,54.61,1247385.0,192542465.0,20038860.0,0.062248301550088175
2020-10-09,59.84,65.39,59.84,62.82,1603195.0,281545610.0,20038860.0,0.08000430164190978
2020-10-12,63.4,64.43,61.27,64.31,1060924.0,186939727.0,20038860.0,0.05294333110765782
2020-10-13,62.93,64.76,60.63,64.04,823677.0,144765856.0,20038860.0,0.041103984957228105
2020-10-14,62.73,65.13,61.27,62.83,856886.0,150342086.0,20038860.0,0.042761214959334014
2020-10-15,62.76,63.23,57.72,58.42,1729474.0,290397816.0,20038860.0,0.08630600742756823
2020-10-16,58.04,60.64,57.95,58.83,1066425.0,176921364.0,20038860.0,0.0532178477218764
2020-10-19,59.49,59.49,55.92,57.7,843232.0,135428985.0,20038860.0,0.042079838873069625
2020-10-20,58.03,59.7,57.35,59.34,466862.0,76723247.0,20038860.0,0.023297832311818138
2020-10-21,59.31,62.25,56.64,57.71,1352727.0,224485560.0,20038860.0,0.0675051874208413
2020-10-22,57.0,59.05,55.96,57.62,911221.0,145792058.0,20038860.0,0.04547269655060218
2020-10-23,57.95,58.33,53.18,53.72,1088438.0,168894815.0,20038860.0,0.05431636330609625
2020-10-26,54.49,57.62,52.08,56.99,719829.0,113445508.0,20038860.0,0.03592165422583919
2020-10-27,56.6,60.46,55.45,59.56,549119.0,89453636.0,20038860.0,0.027402706541190466
2020-10-28,61.59,67.68,60.46,64.87,1188438.0,211724063.0,20038860.0,0.059306667145735834
2020-10-29,64.65,65.04,62.53,63.06,886806.0,158498738.0,20038860.0,0.04425431386815418
2020-10-30,64.4,68.04,63.58,64.54,1548079.0,285592803.0,20038860.0,0.07725384577765401
2020-11-02,65.35,69.1,63.76,66.44,1036703.0,192710162.0,20038860.0,0.05173462961465872
