日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,85.2,98.16,82.28,94.78,2135786.0,541320095.0,20038860.0,0.1066
2021-01-05,94.37,97.12,89.82,94.93,1505278.0,391039503.0,20038860.0,0.0751
2021-01-06,94.99,103.37,93.39,101.16,1665422.0,466522813.0,20038860.0,0.0831
2021-01-07,102.23,117.61,101.28,112.2,1794193.0,552692842.0,20038860.0,0.0895
2021-01-08,112.9,113.95,102.59,105.44,1722689.0,514021131.0,20038860.0,0.086
2021-01-11,105.68,106.15,94.75,98.67,2263070.0,621529103.0,20038860.0,0.1129
2021-01-12,98.31,105.71,95.15,103.3,1835582.0,520310808.0,20038860.0,0.0916
2021-01-13,104.01,108.58,96.53,98.67,1949713.0,561172039.0,20038860.0,0.0973
2021-01-14,99.03,100.45,91.9,93.19,1279820.0,343784111.0,20038860.0,0.0639
2021-01-15,92.67,100.45,92.67,97.82,1125512.0,304356008.0,20038860.0,0.0562
2021-01-18,93.88,102.05,93.88,99.34,983950.0,274964293.0,20038860.0,0.0491
2021-01-19,99.57,105.07,96.01,96.01,920650.0,260088272.0,20038860.0,0.0459
2021-01-20,96.53,105.61,96.3,103.6,1193664.0,344552861.0,20038860.0,0.0596
2021-01-21,105.44,110.82,103.7,108.64,977941.0,295216158.0,20038860.0,0.0488
2021-01-22,110.28,116.84,109.24,111.56,1220344.0,385540393.0,20038860.0,0.0609
2021-01-25,111.54,133.87,111.54,125.74,1916111.0,672152083.0,20038860.0,0.0956
2021-01-26,126.45,128.01,120.32,121.82,1398313.0,486671159.0,20038860.0,0.0698
2021-01-27,123.62,128.01,116.48,124.85,1111645.0,381431825.0,20038860.0,0.0555
2021-01-28,113.63,120.49,108.65,115.51,2086828.0,680347658.0,20038860.0,0.1041
2021-01-29,117.17,121.08,109.37,113.63,1405136.0,454557278.0,20038860.0,0.0701
2021-02-01,112.95,113.99,105.08,105.08,1533163.0,468161841.0,20038860.0,0.0765
2021-02-02,106.51,110.76,99.76,108.1,1637188.0,480697595.0,20038860.0,0.0817
2021-02-03,109.03,116.29,109.03,112.92,1264701.0,403437004.0,20038860.0,0.0631
2021-02-04,111.78,115.05,104.17,106.86,1062466.0,326012668.0,20038860.0,0.053
2021-02-05,106.86,107.0,90.78,90.78,2703361.0,740124226.0,20038860.0,0.1349
2021-02-08,89.05,95.46,86.54,93.68,2032845.0,519263736.0,20038860.0,0.1014
2021-02-09,95.36,99.29,93.33,94.88,1236831.0,333167509.0,20038860.0,0.0617
2021-02-10,95.37,102.59,94.08,99.38,1067860.0,297027704.0,20038860.0,0.0533
2021-02-18,102.98,102.98,91.54,95.29,926637.0,249228683.0,20038860.0,0.0462
2021-02-19,96.89,96.89,84.18,94.18,2180329.0,540870161.0,20038860.0,0.1088
2021-02-22,91.9,94.61,89.05,89.06,1046247.0,269636616.0,20038860.0,0.0522
2021-02-23,87.63,93.28,87.63,90.58,762360.0,193699482.0,20038860.0,0.038
2021-02-24,90.84,92.57,83.0,83.47,846596.0,204614615.0,20038860.0,0.0422
2021-02-25,84.87,86.13,81.22,82.21,868158.0,203753951.0,20038860.0,0.0433
2021-02-26,80.15,85.41,78.37,84.49,1029974.0,236933768.0,20038860.0,0.0514
