证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
固德威,江苏固德威电源科技股份有限公司,,,,,0.0,0.0,0.0,,6796.114,,0.0,,,1459.914,,2003.886,,,,,A股上市,2020-09-03,,688390,2020-09-04,,,,,6796.114,,,8800.0,,,,,,2003.886,5336.2,6796.114,015001
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,6796.114,,,,,1354.4566,,2003.886,105.4574,,,,定期报告,2021-04-23,,688390,2020-12-31,,,,,6796.114,,,8800.0,,,,,,2003.886,5336.2,6690.6566,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,6705.4574,,,,,1369.2574,,2094.5426,,,,,限售股份上市,2021-02-25,,688390,2021-03-04,,,,,6705.4574,,,8800.0,,,,,,2094.5426,5336.2,6705.4574,015027
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,6705.4574,,,,,1369.2574,,2094.5426,,,,,定期报告,2021-08-26,,688390,2021-06-30,,,,,6705.4574,,,8800.0,,,,,,2094.5426,5336.2,6705.4574,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,3803.8209,,,,,413.4574,,4996.1791,,,,,限售股份上市,2021-08-27,,688390,2021-09-06,,,,,3803.8209,,,8800.0,,,,,,4996.1791,3390.3635,3803.8209,015027
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,3061.4574,,,,,308.0,,5738.5426,28.4574,,,,定期报告,2022-04-26,,688390,2021-12-31,,,,,3061.4574,,,8800.0,,,,,,5738.5426,2725.0,3033.0,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,4286.0404,,,,,431.2,,8033.9596,39.8404,,,,转增,2022-06-14,,688390,2022-06-21,,,,,4286.0404,,,12320.0,,,,,,8033.9596,3815.0,4246.2,015011
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,4252.0444,,,,,431.2,,8067.9556,5.8444,,,,定期报告,2022-08-30,,688390,2022-06-30,,,,,4252.0444,,,12320.0,,,,,,8067.9556,3815.0,4246.2,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,4246.2,,,,,431.2,,8073.8,,,,,限售股份上市,2022-08-26,,688390,2022-09-05,,,,,4246.2,,,12320.0,,,,,,8073.8,3815.0,4246.2,015027
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,4246.2,,,,,431.2,,8073.8,,,,,定期报告,2023-04-27,,688390,2022-12-31,,,,,4246.2,,,12320.0,,,,,,8073.8,3815.0,4246.2,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,5944.68,,,,,603.68,,11303.32,,,,,转增,2023-05-30,,688390,2023-06-06,,,,,5944.68,,,17248.0,,,,,,11303.32,5341.0,5944.68,015011
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,5944.68,,,,,603.68,,11303.32,,,,,定期报告,2023-08-30,,688390,2023-06-30,,,,,5944.68,,,17248.0,,,,,,11303.32,5341.0,5944.68,015019
固德威,江苏固德威电源科技股份有限公司,,,,,,0.0,0.0,,5944.68,,0.0,,,603.68,,11344.0733,,,,,"增发新股上市,股权激励",2023-07-26,,688390,2023-07-28,,,,,5944.68,,,17288.7533,,,,,,11344.0733,5341.0,5944.68,"015004,015025"
固德威,江苏固德威电源科技股份有限公司,,,,,,,,,4005.75,,,,,,,13283.0033,,,,,限售股份上市,2023-08-26,,688390,2023-09-04,,,,,4005.75,,,17288.7533,,,,,,13283.0033,4005.75,4005.75,015027
固德威,固德威技术股份有限公司,,,,,,,,,,,,,,,,17288.7533,,,,,定期报告,2024-04-26,,688390,2023-12-31,,,,,,,,17288.7533,,,,,,17288.7533,,,015019
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,17288.7533,,,,,其他,2024-05-08,,688390,2024-05-06,,,,,,,,17288.7533,,,,,,17288.7533,,0.0,015999
固德威,固德威技术股份有限公司,,,,,,,,,,,,,,,,24200.0978,,,,,转增,2024-06-05,,688390,2024-06-12,,,,,,,,24200.0978,,,,,,24200.0978,,,015011
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24200.0978,,,,,定期报告,2024-08-31,,688390,2024-06-30,,,,,,,,24200.0978,,,,,,24200.0978,,0.0,015019
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24258.6404,,,,,"增发新股上市,股权激励",2024-07-27,,688390,2024-07-31,,,,,,,,24258.6404,,,,,,24258.6404,,0.0,"015004,015025"
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24258.6404,,,,,定期报告,2025-04-29,,688390,2024-12-31,,,,,,,,24258.6404,,,,,,24258.6404,,0.0,015019
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24258.6404,,,,,其他,2025-06-04,,688390,2025-06-04,,,,,,,,24258.6404,,,,,,24258.6404,,0.0,015999
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24258.6404,,,,,其他,2025-06-14,,688390,2025-06-14,,,,,,,,24258.6404,,,,,,24258.6404,,0.0,015999
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24258.6404,,,,,定期报告,2025-08-29,,688390,2025-06-30,,,,,,,,24258.6404,,,,,,24258.6404,,0.0,015019
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24277.2935,,,,,"增发新股上市,股权激励",2025-09-13,,688390,2025-09-17,,,,,,,,24277.2935,,,,,,24277.2935,,0.0,"015004,015025"
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24277.2935,,,,,其他,2025-10-21,,688390,2025-10-17,,,,,,,,24277.2935,,,,,,24277.2935,,0.0,015999
固德威,固德威技术股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,24299.6473,,,,,"增发新股上市,股权激励",2025-10-24,,688390,2025-10-30,,,,,,,,24299.6473,,,,,,24299.6473,,0.0,"015004,015025"
