日期,收盘价
2022-12-27,19.83
2022-12-28,19.65
2022-12-29,19.61
2022-12-30,19.01
2023-01-03,19.57
2023-01-04,18.82
2023-01-05,19.02
2023-01-06,19.13
2023-01-09,20.12
2023-01-10,20.41
2023-01-11,20.19
2023-01-12,20.64
2023-01-13,20.64
2023-01-16,20.87
2023-01-17,21.19
2023-01-18,21.06
2023-01-19,20.97
2023-01-20,20.87
2023-01-30,20.53
2023-01-31,20.56
2023-02-01,20.64
2023-02-02,20.43
2023-02-03,20.36
2023-02-06,20.27
2023-02-07,20.37
2023-02-08,20.32
2023-02-09,20.32
2023-02-10,19.97
2023-02-13,19.93
2023-02-14,20.71
2023-02-15,20.57
2023-02-16,19.98
2023-02-17,19.79
2023-02-20,19.96
2023-02-21,20.22
2023-02-22,20.04
2023-02-23,20.10
2023-02-24,20.18
2023-02-27,20.45
2023-02-28,20.45
2023-03-01,20.46
2023-03-02,20.53
2023-03-03,20.76
2023-03-06,20.94
2023-03-07,20.69
2023-03-08,20.61
2023-03-09,20.36
2023-03-10,20.30
2023-03-13,20.80
2023-03-14,20.45
2023-03-15,20.73
2023-03-16,20.18
2023-03-17,21.31
2023-03-20,21.39
2023-03-21,21.27
2023-03-22,21.13
2023-03-23,21.01
2023-03-24,21.49
2023-03-27,21.52
2023-03-28,21.55
2023-03-29,21.33
2023-03-30,21.46
2023-03-31,21.12
2023-04-03,21.12
2023-04-04,20.96
2023-04-06,20.77
2023-04-07,21.17
2023-04-10,21.10
2023-04-11,20.92
2023-04-12,20.80
2023-04-13,20.98
2023-04-14,20.92
2023-04-17,20.79
2023-04-18,21.18
2023-04-19,20.89
2023-04-20,20.76
2023-04-21,20.32
2023-04-24,20.29
2023-04-25,19.78
2023-04-26,19.94
2023-04-27,19.88
2023-04-28,20.35
2023-05-04,20.63
2023-05-05,20.31
2023-05-08,20.46
2023-05-09,20.46
2023-05-10,21.03
2023-05-11,21.16
2023-05-12,21.00
2023-05-15,21.35
2023-05-16,21.72
2023-05-17,21.72
2023-05-18,21.67
2023-05-19,21.74
2023-05-22,21.67
2023-05-23,21.07
2023-05-24,21.02
2023-05-25,20.96
2023-05-26,20.91
2023-05-29,20.92
2023-05-30,21.44
2023-05-31,21.38
2023-06-01,21.02
2023-06-02,20.89
2023-06-05,20.84
2023-06-06,20.86
2023-06-07,20.60
2023-06-08,20.50
2023-06-09,20.78
2023-06-12,20.60
2023-06-13,20.73
2023-06-14,20.54
2023-06-15,21.36
2023-06-16,21.69
2023-06-19,21.85
2023-06-20,21.79
2023-06-21,21.61
2023-06-26,21.49
2023-06-27,21.49
2023-06-28,21.77
2023-06-29,22.08
2023-06-30,21.90
2023-07-03,21.89
2023-07-04,22.21
2023-07-05,22.52
2023-07-06,22.23
2023-07-07,22.28
2023-07-10,22.34
2023-07-11,22.28
2023-07-12,22.63
2023-07-13,22.92
2023-07-14,22.40
2023-07-17,23.08
2023-07-18,23.19
2023-07-19,23.32
2023-07-20,22.97
2023-07-21,22.81
2023-07-24,22.59
2023-07-25,22.54
2023-07-26,22.68
2023-07-27,22.47
2023-07-28,22.74
2023-07-31,23.06
2023-08-01,22.74
2023-08-02,22.30
2023-08-03,22.60
2023-08-04,22.58
2023-08-07,23.04
2023-08-08,23.13
2023-08-09,22.90
2023-08-10,23.12
2023-08-11,22.36
2023-08-14,22.18
2023-08-15,22.35
2023-08-16,22.21
2023-08-17,21.98
2023-08-18,21.81
2023-08-21,21.62
2023-08-22,21.91
2023-08-23,21.46
2023-08-24,21.52
2023-08-25,21.41
2023-08-28,21.68
2023-08-29,22.18
2023-08-30,22.43
2023-08-31,22.58
2023-09-01,22.03
2023-09-04,22.35
2023-09-05,22.29
2023-09-06,22.16
2023-09-07,21.81
2023-09-08,21.80
2023-09-11,21.96
2023-09-12,21.99
2023-09-13,21.58
2023-09-14,21.76
2023-09-15,21.85
2023-09-18,21.38
2023-09-19,21.45
2023-09-20,21.07
2023-09-21,20.89
2023-09-22,21.60
2023-09-25,21.53
2023-09-26,21.29
2023-09-27,20.89
2023-09-28,21.04
2023-10-09,21.13
2023-10-10,21.22
2023-10-11,21.17
2023-10-12,21.43
2023-10-13,20.98
2023-10-16,20.65
2023-10-17,20.99
2023-10-18,21.17
2023-10-19,21.26
2023-10-20,20.95
2023-10-23,20.53
