日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,55.76,12.86,0.70,2.20,-0.18,55.69
2025-12-15,44.76,10.38,0.56,-0.86,-0.14,52.09
2025-12-16,33.89,7.73,0.42,-0.78,-0.12,49.02
2025-12-17,33.49,7.67,0.42,0.96,-0.09,52.69
2025-12-18,23.19,5.31,0.29,-0.69,-0.08,49.88
2025-12-19,31.52,7.22,0.39,-0.26,-0.07,48.82
2025-12-22,28.97,6.64,0.36,0.53,-0.05,51.05
2025-12-23,29.18,6.68,0.36,0.17,-0.04,51.80
2025-12-24,27.09,6.23,0.34,0.22,-0.02,52.78
2025-12-25,22.58,5.18,0.28,-0.43,-0.01,50.57
2025-12-26,33.81,7.73,0.42,-0.78,-0.03,46.77
