SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600233.SH,600233,圆通速递,10002441,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,59210359939.59,,,,,,,,,,,,52747405.13,1219282592.49,,0.0,60482389937.21,51420112158.69,,,,,,2377330869.32,1400956646.53,612818468.56,,0.0,55811218143.1,,0.0,4671171794.11,1674539763.79,21964840.82,63649218.28,,,,,0.0,1760153822.89,6330894747.68,1284568922.9,,229803508.79,,,,0.0,7845267179.37,,0.0,-6085113356.48,34867579.56,,3116000000.0,,,,0.0,3150867579.56,1776351500.98,1322998379.15,261406.98,,160940722.67,,,0.0,3260290602.8,,0.0,-109423023.24,-14642613.55,,0.0,-1538007199.16,8437262774.04,,0.0,6899255574.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5604680365,,,,,,,,,,,,-83.0925471325,26.5755114791,,,9.334228513,9.7492443265,,,,,,13.786325725,-9.20869499,-18.4360041472,,,8.9296068697,,,14.4119664746,52.9229231676,-58.6198466369,51.6213782138,,,,,,44.2983515447,34.1024514631,-51.622562561,,615.3676156969,,,,,5.587492953,,,2.0159252868,-28.9555784965,,30.6498951782,,,,,29.4480642647,3.3673892145,2.6204234097,-93.060934025,,-10.16763757,,,,2.3043065554,,,85.4640874889,-0.1352804325,,,46.8726336272,-6.7290033008,,,12.1643651865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600233.SH,600233,圆通速递,10002441,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,39187994117.72,,,,,,,,,,,,41418163.57,771523186.69,,0.0,40000935467.98,34332837019.11,,,,,,1610630935.23,1067199690.29,356019070.91,,0.0,37366686715.54,,0.0,2634248752.44,1276389263.58,10923882.85,54953559.92,,,,,0.0,1342266706.35,4429975064.13,1090000000.0,,229803508.79,,,,0.0,5749778572.92,,0.0,-4407511866.57,,,2310000000.0,,,,0.0,2310000000.0,1412230675.0,1295632008.69,236420.09,,118423822.59,,,0.0,2826286506.28,,0.0,-516286506.28,-13546609.91,,0.0,-2303096230.32,8437262774.04,,0.0,6134166543.72,1807055812.08,,1113261176.63,1113261176.63,,99067680.35,76372856.11,,,,8641834.27,740229.55,-17444028.13,74082503.7,69987854.77,-53021521.13,-136410333.96,83388812.83,,-56266932.79,-54577857.98,-547256005.36,-698908.84,,0.0,2634248752.44,,,,,6134166543.72,8437262774.04,,,,,-2303096230.32,10.9031300711,,,,,,,,,,,,2.0899564675,8.8308181274,,,10.8525089138,11.670964977,,,,,,15.7286518406,1.5821556742,-39.3414569238,,,10.6378513343,,,13.9896624228,16.5628798474,-68.1716533416,82.5805052889,,,,,,12.8750476825,63.9792312886,-58.7682422703,,853.8685377567,,,,,6.6556687299,,,-4.8955121306,,,29.4117647059,,,,,26.0256712638,-6.3166978884,3.1713118061,-43.5870917427,,7.2585920455,,,,-1.6488145496,,,50.390842717,-1.6666719902,,,21.7934769952,-6.7290033008,,,0.5423733207,-8.377133769,,14.7890537188,14.7890537188,,13.5612134756,22.0553708112,,,,-63.2470937038,-90.3649604046,44.0039928735,37.9388340826,61.1165104382,-568.912986596,-1745.3964957377,15698.5188304338,,-214.1337978658,87.3351914719,0.6243530256,-148.1129750234,,,13.9896624228,,,,,0.5423733207,-6.7290033008,,,,,21.7934769952,,,,,110351539.84,7.5722484951
600233.SH,600233,圆通速递,10002441,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,18990805084.63,,,,,,,,,,,,16640488.1,427257159.23,,0.0,19434702731.96,16857312542.14,,,,,,828787955.83,504267140.21,231331144.04,,0.0,18421698782.22,,0.0,1013003949.74,1242649806.66,62745961.91,20447335.99,,,,,0.0,1325843104.56,2117526185.82,1183615069.45,,229803508.79,,,,0.0,3530944764.06,,0.0,-2205101659.5,,,940000000.0,,,,0.0,940000000.0,511030675.0,25577909.25,16085.15,,61876616.35,,,0.0,598485200.6,,0.0,341514799.4,-8725147.25,,0.0,-859308057.61,8437262774.04,,0.0,7577954716.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5247553966,,,,,,,,,,,,-42.8704321252,16.2201834556,,,13.4866975,12.7821209833,,,,,,13.0020026401,-8.3127346127,-26.5459895021,,,11.3420402593,,,74.6705769887,38.8412192459,125.3227912181,44.6036809276,,,,,,41.4983600855,51.2372273919,-57.1124069468,,,,,,,-15.1203609492,,,31.5810671211,,,2.1739130435,,,,,2.1739130435,-36.6164662295,33.8024673485,-92.153726216,,43.4928002183,,,,-31.0889460171,,,562.9990957121,-731.0609478383,,,66.8544464658,-6.7290033008,,,17.4250938401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600233.SH,600233,圆通速递,10002441,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,74819755054.61,,,,,,,,,,,,331768296.84,1477520005.21,,0.0,76629043356.66,64847097268.88,,,,,,2806723231.78,2142357882.86,976259275.34,,0.0,70772437658.86,,0.0,5856605697.8,3119034595.48,133465798.28,56579801.68,29720010.6,,,,0.0,3338800206.04,6768343060.85,2967630284.26,,49661907.13,,21864562.06,,0.0,9807499814.3,,0.0,-6468699608.26,56852512.43,2895425.68,3695000000.0,,,,0.0,3751852512.43,2207685553.05,1298596167.13,4263877.02,,235193643.31,,,0.0,3741475363.49,,0.0,10377148.94,-6986598.21,,0.0,-608703359.73,9045966133.77,,0.0,8437262774.04,3989215244.27,22376445.09,1996938785.33,1996938785.33,,175274514.2,132276517.79,,,,55487202.99,13441636.96,-49397813.52,111692999.31,93370961.75,-56241660.98,-52312657.06,-3929003.92,,-38916105.71,-988090379.98,147936264.66,4308139.71,,0.0,5856605697.8,,,,,8437262774.04,9045966133.77,,,,,-608703359.73,21.565828265,,,,,,,,,,,,156.0446575428,-6.9648073193,,,21.1250535062,24.7636130041,,,,,,9.2578654867,13.5715013618,22.7343559096,,,23.6704322666,,,-3.0003627839,-15.1406702482,9.4967223021,-26.4505834874,,,,,,-13.8230273543,38.4602203006,25.106642528,,,,,,,35.0825551956,,,-91.0412910776,365.4094710311,90.3068924143,28.6138271026,,,,,30.0398005799,-2.3580029611,37.0246561576,-64.084181129,,-60.9174069943,,,,-1.8113302894,,,101.1214430028,-234.977891419,,,-135.1531444885,23.6735500867,,,-6.7290033008,6.3259012384,91.1328073339,11.7987611993,11.7987611993,,10.7729285318,17.488375196,,,,92.0543712447,-61.1310472009,52.0379051931,38.8996353435,770.4553457996,31.4423579792,61.5331251038,-107.2815349712,,32.4290586615,-402.9911951704,-36.1866817998,-71.7851906467,,,-3.0003627839,,,,,-6.7290033008,23.6735500867,,,,,-135.1531444885,标准无保留意见,,,,213933855.6,-5.8785579279
600233.SH,600233,圆通速递,10002441,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-29 00:00:00,CNY,54043544173.13,,,,,,,,,,,,311977241.89,963284744.61,,0.0,55318806159.63,46852361011.0,,,,,,2089293993.96,1543051558.05,751334534.5,,0.0,51236041097.51,,0.0,4082765062.12,1095022073.28,53080617.24,41979052.71,29720010.6,,,,0.0,1219801753.83,4720938863.24,2655305842.77,,32123834.48,,21741750.0,,0.0,7430110290.49,,0.0,-6210308536.66,49078560.74,,2385000000.0,,,,0.0,2434078560.74,1718483473.83,1289215475.04,3767178.19,,179156729.62,,,0.0,3186855678.49,,0.0,-752777117.75,-14622831.72,,0.0,-2894943424.01,9045966133.77,,0.0,6151022709.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1012186582,,,,,,,,,,,,221.9517488516,40.5162009006,,,23.7996213551,26.1476680996,,,,,,8.2425233671,16.638949102,56.4914104099,,,25.3507966756,,,7.1585331127,-62.8796293499,-40.9586292233,-3.6075738776,,,,,,-60.4394160714,29.9402149787,260.9374218894,,,,,,,70.070879476,,,-383.1214022414,302.0134691305,,-34.7162677854,,,,,-33.594764854,-41.7857901819,38.6294617396,-62.324033129,,-52.3773957514,,,,-25.1590883551,,,-27.0121299507,-168.6467331385,,,-248.2162838936,23.6735500867,,,-33.628590093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600233.SH,600233,圆通速递,10002441,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2025-08-28 00:00:00,CNY,35335336426.11,,,,,,,,,,,,40570262.74,708919771.04,,0.0,36084826459.89,30744640763.32,,,,,,1391730491.64,1050577912.24,586923214.53,,0.0,33773872381.73,,0.0,2310954078.16,1095022073.28,34321238.76,30098262.59,29720010.6,,,,0.0,1189161585.23,2701546427.14,2643593336.83,,24091737.98,,21741750.0,,0.0,5390973251.95,,0.0,-4201811666.72,47959885.74,,1785000000.0,,,,0.0,1832959885.74,1507451854.46,1255806469.85,419088.64,,110409637.43,,,0.0,2873667961.74,,0.0,-1040708076.0,-13324533.64,,0.0,-2944890198.2,9045966133.77,,0.0,6101075935.57,1972276011.89,20728646.57,969832175.25,969832175.25,,87237250.57,62572302.72,,,,23513335.79,7682683.01,-31152271.43,53706778.22,43439281.66,-7926519.92,-7391925.49,-534594.43,,-17911773.0,-430941043.12,-550694281.77,1452641.08,,0.0,2310954078.16,,,,,6101075935.57,9045966133.77,,,,,-2944890198.2,21.6627269926,,,,,,,,,,,,-23.8011063212,83.4177512301,,,22.39018802,25.6174929674,,,,,,7.1619604751,23.836940249,65.8637361488,,,25.2009122865,,,-7.845341891,-48.2426368159,-49.6765402029,-5.6100693035,,,,,,-46.3319537118,19.7980892911,507.2115268763,,,,,,,100.3744673057,,,-785.1936374528,293.4034279237,,27.408993576,,,,,29.703618364,122.6664482216,41.0070804862,-92.1200363798,,8.0751760496,,,,72.100844538,,,-305.6279046302,-145.4260200272,,,-263.0814206035,23.6735500867,,,-33.103479969,4.0364710435,,10.2453405431,10.2453405431,,13.9012175534,19.9486170997,,,,155.2648113783,-75.7466568966,53.6519378014,113.2425804495,1036.4472649919,73.2130701648,79.0157267622,-109.4869887548,,78.5981235891,-191.5581976017,37.0132690355,-81.9568727298,,,-7.845341891,,,,,-33.103479969,23.6735500867,,,,,-263.0814206035,,,,,102583650.88,-8.1692708561
600233.SH,600233,圆通速递,10002441,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,16728338253.88,,,,,,,,,,,,29127628.16,367627331.61,,0.0,17125093213.65,14946795108.28,,,,,,733427670.72,549986018.32,314933306.53,,0.0,16545142103.85,,0.0,579951109.8,895015049.14,27847143.9,14140259.68,,,,,0.0,937002452.72,1400135550.18,2759807639.43,,,,,,0.0,4159943189.61,,0.0,-3222940736.89,,,920000000.0,,,,0.0,920000000.0,806251473.53,19116171.59,205003.68,,43121756.81,,,0.0,868489401.93,,0.0,51510598.07,-1049880.55,,0.0,-2592528909.57,9045966133.77,,0.0,6453437224.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8994533165,,,,,,,,,,,,-9.4679990492,97.1946205591,,,18.8644103265,26.7903292355,,,,,,8.5163945478,38.2561579862,47.7787284819,,,26.5366638048,,,-56.4560841597,-11.7023653201,20.2468449991,-28.8289539783,,,,,,-11.3241748718,20.0143055354,687.9384139604,,,,,,,174.2402629044,,,-600.2788346879,,,41.3210445469,,,,,40.0483509731,1866.4670086098,24.2688953078,19.3235558457,,1.5768341044,,,,778.7242278764,,,-90.7700452061,94.52930579,,,-283.7983047527,23.6735500867,,,-26.0344215956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600233.SH,600233,圆通速递,10002441,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,61546699530.99,,,,,,,,,,,,129574387.54,1588130214.64,,0.0,63264404133.17,51975969361.14,,,,,,2568898101.09,1886351643.83,795424612.86,,0.0,57226643718.92,,0.0,6037760414.25,3675535270.67,121890222.35,76927601.01,,,,,0.0,3874353094.03,4888294302.98,2372080510.11,,,,,,0.0,7260374813.09,,0.0,-3386021719.06,12215589.92,1521450.77,2872941489.45,,,,0.0,2885157079.37,2261000000.0,947709852.77,11871863.58,,601786179.53,,,0.0,3810496032.3,,0.0,-925338952.93,5176105.61,,0.0,1731575847.87,7314390285.9,,0.0,9045966133.77,3751875317.12,11707275.9,1786190440.67,1786190440.67,,158228654.35,112586898.55,,,,28891403.32,34581937.49,-102993444.55,80412737.61,10726680.26,-82035582.5,-135994039.55,53958457.05,,-57592960.73,-196442878.02,231826629.35,15269072.55,,0.0,6037760414.25,,,,,9045966133.77,7314390285.9,,,,,1731575847.87,9.8425955151,,,,,,,,,,,,-87.6424785375,-23.481163083,,,6.9454919808,12.7792949134,,,,,,8.1692504665,25.2736019507,-55.7632224035,,,10.5503589527,,,-18.3039837646,-2.3126529341,74.874678261,-10.6465757461,,,,,,-1.1273149839,3.2118627093,-51.5399581063,,,,,,,-24.8872331661,,,41.0864279353,-84.0940665255,,-31.6779669572,,,,,-32.6181095152,-40.0503673944,43.4542793164,17.9893909244,,105.9751976258,,,,-19.3426184876,,,-109.1160278601,-87.1842302622,,,39.5341592946,20.4327857833,,,23.6735500867,-5.3543258328,-63.5527013728,10.008260282,10.008260282,,5.7488896817,13.0100630926,,,,171.5252055316,3.0645797357,4.3304264208,-39.0609876777,-73.8316793668,-62.8580577695,-147.6464826921,1087.9516769974,,-562.4478739043,-144.1596347107,-71.1695941423,-37.1430718362,,,-18.3039837646,,,,,23.6735500867,20.4327857833,,,,,39.5341592946,标准无保留意见,,,,227295556.56,-1.6315530353
600233.SH,600233,圆通速递,10002441,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-30 00:00:00,CNY,43901713372.29,,,,,,,,,,,,96901862.78,685532869.83,,0.0,44684148104.9,37140885532.66,,,,,,1930197051.0,1322929921.72,480112315.77,,0.0,40874124821.15,,0.0,3810023283.75,2949922250.51,89904107.14,43550156.79,,,,,0.0,3083376514.44,3633162269.29,735669310.45,,,,,,0.0,4368831579.74,,0.0,-1285455065.3,12208188.16,1514049.01,3653283780.04,,,,0.0,3665491968.2,2952000000.0,929972214.32,9998889.22,,376201034.04,,,0.0,4258173248.36,,0.0,-592681280.16,21301569.72,,0.0,1953188508.01,7314390285.9,,0.0,9267578793.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7008057969,,,,,,,,,,,,-90.439675883,-12.2743818529,,,3.1276287654,6.695122309,,,,,,9.4511552796,25.3878447372,-33.481075002,,,6.5799892639,,,-23.4677320695,14.1737828583,116.7153715307,-47.0440333728,,,,,,13.8778294394,0.6030409347,-80.9397844057,,,,,,,-41.7952168836,,,73.2104698775,-81.6836186647,,2.7646632923,,,,,1.2105034993,11.129270501,51.5384976666,0.7897477811,,96.5786318586,,,,23.0178448159,,,-469.9068668885,-72.5812281688,,,367.3949555239,20.4327857833,,,42.7690200531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600233.SH,600233,圆通速递,10002441,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-23 00:00:00,2024-08-28 00:00:00,CNY,29043682728.12,,,,,,,,,,,,53242587.63,386505540.65,,0.0,29483430856.4,24474808433.96,,,,,,1298716900.54,848355838.03,353858672.28,,0.0,26975739844.81,,0.0,2507691011.59,2115683655.26,68201270.14,31887154.03,,,,,0.0,2215772079.43,2255083067.79,435366131.87,,,,,,0.0,2690449199.66,,0.0,-474677120.23,12191018.77,1496879.62,1401000000.0,,,,0.0,1413191018.77,677000000.0,890598163.95,5318408.31,,102160034.77,,,0.0,1669758198.72,,0.0,-256567179.95,29332381.82,,0.0,1805779093.23,7314390285.9,,0.0,9120169379.13,1895754433.14,,879703550.71,879703550.71,,76590270.45,52165922.57,,,,9211350.23,31676800.09,-67213751.67,25185766.42,-4638732.29,-29590998.18,-35226025.73,5635027.55,,-83692535.44,470674450.14,-874302052.73,8050938.5,,0.0,2507691011.59,,,,,9120169379.13,7314390285.9,,,,,1805779093.23,8.1160418159,,,,,,,,,,,,-92.9115631286,-21.3760231285,,,4.9003151535,8.4407399675,,,,,,11.1062987601,25.9166822377,3.6446813403,,,8.9761170122,,,-25.1956328666,14.1030738449,204.8961024588,-42.9058369224,,,,,,14.6531408375,-2.6761691026,-82.3804844969,,,,,,,-44.2150552427,,,83.576933385,-9.248044269,,-57.7375565611,,,,,-57.5418560502,-71.9713893858,57.6389825995,1022.3803352789,,-11.2090828921,,,,-46.0569016184,,,-210.1020085126,110.4284557488,,,154.6970197095,20.4327857833,,,34.4679311331,4.5973603681,,10.9540864869,10.9540864869,,10.0279715529,7.1113879495,,,,137.4764938942,39.5909105692,-35.1178290029,-15.3158799007,-133.7572313678,-266.7701114783,-91.0299072367,-45.6710962857,,-2574.4663224827,-17.9732004042,-2007.0778245924,576.3412713913,,,-25.1956328666,,,,,34.4679311331,20.4327857833,,,,,154.6970197095,,,,,111709502.73,-1.2184182618
