日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,11.18,11.44,11.17,11.35,6428100.0,80417484.0,2835475982.0,0.002267026785205194
2019-11-28,11.3,11.38,11.02,11.35,4989855.0,61648890.0,2835475982.0,0.00175979448659636
2019-11-29,11.23,11.4,11.07,11.25,4196273.0,51935025.0,2835475982.0,0.0014799183723080466
2019-12-02,11.24,11.33,10.99,11.19,5118181.0,63071761.0,2835475982.0,0.0018050517911246408
2019-12-03,11.22,11.41,11.04,11.32,5512945.0,68358086.0,2835475982.0,0.001944274977110351
2019-12-04,11.4,11.4,11.24,11.33,2486220.0,31044570.0,2835475982.0,0.0008768263303173344
2019-12-05,11.46,11.46,11.25,11.29,3482138.0,43434045.0,2835475982.0,0.0012280611869418402
2019-12-06,11.29,11.32,11.08,11.19,3547490.0,43688626.0,2835475982.0,0.0012511091691553605
2019-12-09,11.18,11.27,11.04,11.08,5067002.0,62211593.0,2835475982.0,0.0017870022642286658
2019-12-10,11.04,11.08,10.88,10.94,3843644.0,46416593.0,2835475982.0,0.0013555551252770232
2019-12-11,10.94,11.03,10.84,10.91,3979585.0,47889812.0,2835475982.0,0.001403498045923494
2019-12-12,10.91,10.99,10.79,10.88,4449309.0,53528085.0,2835475982.0,0.0015691577104672508
2019-12-13,10.97,11.11,10.92,10.99,5664429.0,68831836.0,2835475982.0,0.0019976995171035097
2019-12-16,11.08,11.29,11.01,11.28,5760597.0,71119585.0,2835475982.0,0.0020316155159024727
2019-12-17,11.28,11.43,11.19,11.37,7581734.0,94485845.0,2835475982.0,0.002673884049143746
2019-12-18,11.44,11.67,11.37,11.4,8453065.0,107199280.0,2835475982.0,0.0029811802510976092
2019-12-19,11.45,11.51,11.33,11.39,5076190.0,63802852.0,2835475982.0,0.0017902426372941854
2019-12-20,11.4,11.46,11.14,11.18,8831056.0,109741180.0,2835475982.0,0.0031144880281338246
2019-12-23,11.19,11.27,11.12,11.21,5831901.0,72189148.0,2835475982.0,0.002056762616584209
2019-12-24,11.19,11.21,11.02,11.16,3525484.0,43140915.0,2835475982.0,0.0012433482146843309
2019-12-25,11.15,11.18,11.02,11.11,2710243.0,33131923.0,2835475982.0,0.0009558335239674056
2019-12-26,11.11,11.3,11.06,11.3,4009892.0,49549571.0,2835475982.0,0.0014141865512017587
2019-12-27,11.32,11.52,11.27,11.33,7759567.0,97612181.0,2835475982.0,0.0027366012088477637
2019-12-30,11.33,12.08,11.15,11.48,6003899.0,75746621.0,2835475982.0,0.0021174219207334482
2019-12-31,11.46,11.61,11.41,11.47,3734021.0,47273873.0,2835759286.0,0.0013167623283240834
2020-01-02,11.5,11.6,11.41,11.59,6713368.0,85383166.0,2835759286.0,0.0023673969906908383
2020-01-03,11.61,11.82,11.6,11.62,6549513.0,84455343.0,2835759286.0,0.002309615287988164
2020-01-06,11.54,11.61,11.41,11.48,6276665.0,79700381.0,2835759286.0,0.0022133983765785683
2020-01-07,11.48,11.59,11.42,11.57,5161814.0,65527090.0,2835759286.0,0.0018202581670043766
2020-01-08,11.53,11.53,11.31,11.33,5706842.0,71927500.0,2835759286.0,0.0020124564268111152
2020-01-09,11.43,11.83,11.43,11.69,9036631.0,116620599.0,2835759286.0,0.003186670689791404
2020-01-10,11.7,11.75,11.49,11.6,5130305.0,65485116.0,2835759286.0,0.0018091468571849718
2020-01-13,11.59,11.83,11.47,11.83,7370516.0,95159658.0,2835759286.0,0.002599133162108598
2020-01-14,11.82,11.92,11.72,11.76,4630945.0,60199946.0,2835759286.0,0.001633052926199604
2020-01-15,11.76,11.81,11.62,11.69,5271424.0,68003035.0,2835759286.0,0.0018589109541225003
2020-01-16,11.69,11.93,11.62,11.85,7614162.0,99247192.0,2835759286.0,0.002685052302425926
2020-01-17,11.88,12.07,11.75,12.02,8377492.0,110237285.0,2835759286.0,0.00295423241364641
2020-01-20,11.97,12.78,11.9,12.69,16975131.0,233540785.0,2835759286.0,0.00598609729810473
2020-01-21,12.86,13.01,12.52,12.88,13933305.0,196825482.0,2835759286.0,0.004913430088649633
2020-01-22,12.87,13.16,12.47,12.6,10920600.0,152964509.0,2835759286.0,0.003851032086508347
2020-01-23,12.69,13.09,12.25,12.66,16297204.0,228154664.0,2835759286.0,0.005747033635914892
2020-02-03,11.4,12.31,11.39,11.62,15480190.0,201301265.0,2835759286.0,0.005458922439723609
2020-02-04,11.92,12.09,11.68,11.96,13009584.0,170356994.0,2835759286.0,0.004587689817054521
2020-02-05,11.96,13.15,11.81,13.04,19329470.0,265843256.0,2835759286.0,0.0068163296142336955
2020-02-06,13.3,14.35,12.85,14.35,49186890.0,763822234.0,2835759286.0,0.01734522751731192
2020-02-07,14.35,14.4,13.77,14.06,40072553.0,620723424.0,2835759286.0,0.014131154642721674
2020-02-10,13.88,13.96,13.49,13.89,25616965.0,388174848.0,2835759286.0,0.00903354707378361
2020-02-11,13.94,14.04,13.24,13.36,22732370.0,339265017.0,2835759286.0,0.008016325684704114
2020-02-12,13.37,13.63,13.16,13.44,14222027.0,210900980.0,2835759286.0,0.005015244795358135
2020-02-13,13.4,13.43,12.79,12.91,18746460.0,269838126.0,2835759286.0,0.006610737410805749
2020-02-14,13.02,13.04,12.71,13.04,13891087.0,197265438.0,2835759286.0,0.004898542365206946
2020-02-17,13.5,14.05,13.29,13.86,36068279.0,545236450.0,2835759286.0,0.01271909050181631
2020-02-18,13.76,13.76,13.17,13.48,23992267.0,355242023.0,2835759286.0,0.008460614805512093
2020-02-19,13.39,13.67,13.19,13.39,18524327.0,275057814.0,2835759286.0,0.006532404598462805
2020-02-20,13.34,13.62,13.28,13.51,17162341.0,254596756.0,2835759286.0,0.006052114890262234
2020-02-21,13.47,13.5,13.23,13.45,19558205.0,287858218.0,2835759286.0,0.006896990550840428
