日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,10.54,10.71,10.43,10.62,13591446.0,157095146.0,3157644396.0,0.0043
2021-01-05,10.98,11.68,10.98,11.68,58569238.0,735815326.0,3157644396.0,0.0185
2021-01-06,11.59,11.59,10.98,11.19,38209705.0,467645363.0,3157644396.0,0.0121
2021-01-07,11.27,11.3,10.78,10.86,20160995.0,242129128.0,3157644396.0,0.0064
2021-01-08,10.77,11.31,10.74,11.08,16793052.0,203253275.0,3157644396.0,0.0053
2021-01-11,11.04,11.04,10.72,10.73,15541565.0,183655796.0,3157644396.0,0.0049
2021-01-12,10.73,10.87,10.58,10.64,12326463.0,143863427.0,3157644396.0,0.0039
2021-01-13,10.65,10.92,10.29,10.86,18365578.0,212718993.0,3157644396.0,0.0058
2021-01-14,10.76,10.99,10.72,10.9,11453026.0,136058697.0,3157644396.0,0.0036
2021-01-15,10.89,11.09,10.82,11.0,11743666.0,140616781.0,3157644396.0,0.0037
2021-01-18,10.98,10.99,10.82,10.92,8945137.0,106419236.0,3157644396.0,0.0028
2021-01-19,10.95,11.12,10.84,10.95,11805982.0,141181209.0,3157644396.0,0.0037
2021-01-20,10.92,10.93,10.74,10.81,10094288.0,119046452.0,3157644396.0,0.0032
2021-01-21,10.81,11.24,10.79,11.09,19536230.0,235072837.0,3157644396.0,0.0062
2021-01-22,11.09,11.09,10.76,10.78,16737811.0,198416819.0,3157644396.0,0.0053
2021-01-25,10.78,10.84,10.54,10.63,12899923.0,149714314.0,3157644396.0,0.0041
2021-01-26,10.63,11.24,10.43,10.87,29770138.0,354756451.0,3157644396.0,0.0094
2021-01-27,10.87,10.93,10.6,10.62,15330529.0,179226494.0,3157644396.0,0.0049
2021-01-28,10.62,10.65,10.4,10.42,11906092.0,136140372.0,3157644396.0,0.0038
2021-01-29,10.43,10.51,10.32,10.45,8127044.0,92411461.0,3157644396.0,0.0026
2021-02-01,10.61,10.67,10.45,10.61,8492562.0,98001735.0,3157644396.0,0.0027
2021-02-02,10.63,11.09,10.52,10.95,20419327.0,242760859.0,3157644396.0,0.0065
2021-02-03,10.95,10.96,10.58,10.59,12149586.0,142305576.0,3157644396.0,0.0038
2021-02-04,10.53,10.53,10.28,10.36,11522476.0,130824641.0,3157644396.0,0.0036
2021-02-05,10.46,10.58,10.23,10.25,9173444.0,103990517.0,3157644396.0,0.0029
2021-02-08,10.25,10.6,10.2,10.42,9643716.0,109369402.0,3157644396.0,0.0031
2021-02-09,10.47,10.62,10.32,10.55,11463677.0,131588713.0,3157644396.0,0.0036
2021-02-10,10.54,10.85,10.48,10.7,14168252.0,165748981.0,3157644396.0,0.0045
2021-02-18,11.26,11.35,10.9,10.98,24081756.0,291684039.0,3157644396.0,0.0076
2021-02-19,10.94,11.29,10.82,11.2,19950034.0,241430817.0,3157644396.0,0.0063
2021-02-22,11.26,11.47,11.1,11.12,21447505.0,263640831.0,3157644396.0,0.0068
2021-02-23,11.03,11.21,10.9,11.06,17310074.0,208218270.0,3157644396.0,0.0055
2021-02-24,11.05,11.06,10.76,10.8,14888287.0,176916577.0,3157644396.0,0.0047
2021-02-25,10.86,10.88,10.76,10.8,9843765.0,116156760.0,3157644396.0,0.0031
2021-02-26,10.64,10.76,10.47,10.58,15579129.0,179926771.0,3157644396.0,0.0049
2021-03-01,10.61,10.73,10.55,10.72,8405492.0,97728948.0,3157644396.0,0.0027
2021-03-02,10.74,10.75,10.49,10.55,10442048.0,120454634.0,3157644396.0,0.0033
2021-03-03,10.55,10.61,10.5,10.59,7763425.0,89441888.0,3157644396.0,0.0025
2021-03-04,10.52,10.56,10.43,10.45,9144126.0,104575184.0,3157644396.0,0.0029
2021-03-05,10.44,10.55,10.38,10.54,8159405.0,93309305.0,3157644396.0,0.0026
2021-03-08,10.54,10.62,10.4,10.42,8921505.0,102365929.0,3157644396.0,0.0028
2021-03-09,10.42,10.46,10.19,10.31,10296933.0,116121136.0,3157644396.0,0.0033
2021-03-10,10.32,10.43,10.28,10.32,5838138.0,65862157.0,3157644396.0,0.0018
2021-03-11,10.33,10.42,10.28,10.42,6554399.0,74130873.0,3157644396.0,0.0021
2021-03-12,10.4,10.42,10.3,10.35,5491703.0,61953969.0,3157644396.0,0.0017
2021-03-15,10.3,10.33,10.22,10.25,6306740.0,70676252.0,3157644396.0,0.002
2021-03-16,10.25,10.38,10.24,10.35,5784641.0,65291665.0,3157644396.0,0.0018
2021-03-17,10.36,10.43,10.31,10.39,5233302.0,59204900.0,3157644396.0,0.0017
2021-03-18,10.4,10.43,10.31,10.33,4722848.0,53311079.0,3157644396.0,0.0015
2021-03-19,10.32,10.41,10.24,10.3,6539998.0,73721581.0,3157644396.0,0.0021
2021-03-22,10.26,10.33,10.25,10.33,6704939.0,75358916.0,3157644396.0,0.0021
2021-03-23,10.32,10.32,10.22,10.26,6171397.0,69138244.0,3157644396.0,0.002
2021-03-24,10.22,10.3,10.22,10.26,5412047.0,60510920.0,3157644396.0,0.0017
2021-03-25,10.24,10.26,10.2,10.21,5104950.0,56949496.0,3157644396.0,0.0016
2021-03-26,10.24,10.28,10.22,10.28,5374571.0,60139705.0,3157644396.0,0.0017
2021-03-29,10.27,10.31,10.23,10.26,4820110.0,53990205.0,3157644396.0,0.0015
2021-03-30,10.26,10.32,10.21,10.26,6551149.0,73416526.0,3157644396.0,0.0021
2021-03-31,10.28,10.3,10.22,10.23,4847312.0,54168638.0,3157644396.0,0.0015
2021-04-01,10.26,10.27,10.22,10.22,4899385.0,54739014.0,3157644396.0,0.0016
2021-04-02,10.22,10.25,10.2,10.25,4302309.0,48017297.0,3157644396.0,0.0014
2021-04-06,10.25,10.29,10.22,10.22,4002558.0,44733652.0,3157644396.0,0.0013
2021-04-07,10.22,10.25,10.2,10.22,4730913.0,52742692.0,3157644396.0,0.0015
2021-04-08,10.23,10.23,10.18,10.19,6756199.0,75205325.0,3157644396.0,0.0021
2021-04-09,10.11,10.11,9.62,9.97,14154657.0,153101539.0,3157644396.0,0.0045
2021-04-12,9.89,9.93,9.64,9.64,13604441.0,144386996.0,3157644396.0,0.0043
2021-04-13,9.59,9.7,9.4,9.47,9760218.0,101414085.0,3157644396.0,0.0031
2021-04-14,9.44,9.66,9.43,9.62,5952328.0,62094971.0,3157644396.0,0.0019
2021-04-15,9.57,9.58,9.42,9.45,5178367.0,53541214.0,3157644396.0,0.0016
