日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-11,30.54,31.71,28.9,30.28,13163265.0,400030995.0,730048618.0,0.018
2021-01-12,29.94,31.97,29.79,31.49,8432062.0,265228778.0,730048618.0,0.0116
2021-01-13,31.52,32.27,30.36,30.73,8883304.0,280926235.0,730048618.0,0.0122
2021-01-14,30.08,30.92,28.69,30.33,9994638.0,300949112.0,730048618.0,0.0137
2021-01-15,30.58,30.89,29.62,30.37,7232254.0,220306065.0,730048618.0,0.0099
2021-01-18,30.54,32.56,30.11,32.19,10019359.0,322350178.0,730048618.0,0.0137
2021-01-19,32.15,32.95,30.46,30.76,8775218.0,280202111.0,730048618.0,0.012
2021-01-20,30.93,32.56,30.76,32.38,8576366.0,277276783.0,730048618.0,0.0117
2021-01-21,32.34,34.29,32.22,34.04,11848530.0,400126292.0,738131871.0,0.0161
2021-01-22,33.99,36.53,33.5,36.03,12939085.0,459045824.0,738131871.0,0.0175
2021-01-25,35.81,38.55,35.22,38.0,12843444.0,485004517.0,738743071.0,0.0174
2021-01-26,37.63,38.35,35.88,36.04,11226419.0,416106059.0,738743071.0,0.0152
2021-01-27,35.68,37.11,33.61,35.97,13842340.0,494485213.0,738743071.0,0.0187
2021-01-28,36.09,36.09,34.49,35.07,8764125.0,312904613.0,738743071.0,0.0119
2021-01-29,35.92,36.81,32.49,33.56,16900208.0,582862186.0,738743071.0,0.0229
2021-02-01,33.56,35.66,33.05,35.04,13155196.0,461206842.0,738743071.0,0.0178
2021-02-02,35.27,35.58,33.8,34.89,9550637.0,335729797.0,738743071.0,0.0129
2021-02-03,35.48,35.86,34.2,34.74,10138270.0,357531159.0,738743071.0,0.0137
2021-02-04,34.19,35.03,32.89,33.68,8325019.0,283715887.0,738743071.0,0.0113
2021-02-05,33.71,35.18,32.81,34.0,9379201.0,324906029.0,738743071.0,0.0127
2021-02-08,33.96,37.32,33.5,36.87,13091674.0,472473235.0,738743071.0,0.0177
2021-02-09,37.24,37.54,35.96,36.68,8709375.0,323442945.0,738743071.0,0.0118
2021-02-10,36.93,38.87,36.55,38.12,8914106.0,340499898.0,738743071.0,0.0121
2021-02-18,39.65,39.65,37.13,37.9,9844656.0,378566599.0,738743071.0,0.0133
2021-02-19,37.47,37.9,34.78,36.09,12119506.0,440172125.0,738743071.0,0.0164
2021-02-22,35.93,35.93,33.4,33.45,12511576.0,437512380.0,738743071.0,0.0169
2021-02-23,32.2,34.24,31.34,32.91,10057131.0,332526058.0,738743071.0,0.0136
2021-02-24,33.15,33.47,30.21,30.5,15772662.0,500879609.0,738743071.0,0.0214
2021-02-25,31.04,31.51,30.03,30.75,9906229.0,308188942.0,738743071.0,0.0134
2021-02-26,29.93,30.22,28.58,29.18,14830201.0,437363911.0,738743071.0,0.0201
2021-03-01,29.25,30.19,29.25,30.06,9395420.0,282806935.0,738743071.0,0.0127
2021-03-02,30.5,30.53,28.62,28.93,11707298.0,343680687.0,738743071.0,0.0158
