证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
埃斯顿,南京埃斯顿自动化股份有限公司,2250.0,,,,,9000.0,9000.0,,,,,,,,,,,,,,定期报告,2015-04-28,6750.0,002747,2014-12-31,,,,,,,,9000.0,0.0,,,,,,,,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,9000.0,,2250.0,,0.0,6750.0,,3000.0,,,,,A股上市,2015-03-19,,002747,2015-03-20,,,,,9000.0,,0.0,12000.0,,,0.0,2250.0,,3000.0,0.0,6750.0,015001
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,,0.0,,9000.0,,2250.0,,0.0,6750.0,,3000.0,,,,,定期报告,2015-08-12,,002747,2015-06-30,,,,,9000.0,,0.0,12000.0,,,0.0,2250.0,,3000.0,0.0,6750.0,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,9146.6,,2250.0,,0.0,6750.0,,3000.0,,,,,"增发新股上市,股权激励",2015-09-29,,002747,2015-09-30,,0.0,,,9146.6,,0.0,12146.6,,,0.0,2250.0,,3000.0,146.6,6896.6,"015004,015025"
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,,0.0,,9146.6,,2250.0,,0.0,6750.0,,3000.0,,,,,定期报告,2016-04-25,,002747,2015-12-31,,0.0,,,9146.6,,0.0,12146.6,,,0.0,2250.0,,3000.0,146.6,6896.6,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,9157.6,,2250.0,,0.0,6750.0,,3000.0,,0.0,,,"增发新股上市,股权激励",2016-03-30,,002747,2016-03-31,,0.0,,,9157.6,,0.0,12157.6,,,0.0,2250.0,,3000.0,157.6,6907.6,"015004,015025"
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,18315.2,,4500.0,,0.0,13500.0,,6000.0,,0.0,,,转增,2016-05-18,,002747,2016-05-25,,0.0,,,18315.2,,0.0,24315.2,,,0.0,4500.0,,6000.0,315.2,13815.2,015011
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,,,,,18315.2,,4500.0,,,13500.0,,6000.0,,,,,定期报告,2016-08-24,,002747,2016-06-30,,,,,18315.2,,,24315.2,,,,4500.0,,6000.0,315.2,13815.2,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,21588.8135,,4500.0,,,16773.6135,,6000.0,,,,,增发新股上市,2016-09-07,,002747,2016-09-08,,0.0,,,21588.8135,,,27588.8135,,,,4500.0,,6000.0,315.2,17088.8135,015004
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,21579.2335,,4500.0,,,16773.6135,,6000.0,,,,,股份回购,2016-11-25,,002747,2016-11-24,,0.0,,,21579.2335,,,27579.2335,,,,4500.0,,6000.0,305.62,17079.2335,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,,0.0,,21579.2335,,4500.0,,,16773.6135,,6000.0,,,,,定期报告,2017-03-21,,002747,2016-12-31,,0.0,,,21579.2335,,,27579.2335,,,,4500.0,,6000.0,305.62,17079.2335,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,64737.7005,0.0,13500.0,,,50320.8405,,18000.0,0.0,,,,转增,2017-06-01,,002747,2017-06-07,0.0,0.0,,,64737.7005,,,82737.7005,,,,13500.0,,18000.0,916.86,51237.7005,015011
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,65697.7005,0.0,13500.0,,,50320.8405,,18000.0,0.0,,,,"增发新股上市,股权激励",2017-06-12,,002747,2017-06-13,0.0,0.0,,,65697.7005,,,83697.7005,,,,13500.0,,18000.0,1876.86,52197.7005,"015004,015025"
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,,0.0,,65697.7005,0.0,13500.0,,,50320.8405,,18000.0,0.0,,,,定期报告,2017-08-29,,002747,2017-06-30,0.0,0.0,,,65697.7005,,,83697.7005,,,,13500.0,,18000.0,1876.86,52197.7005,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,55939.7025,0.0,13500.0,,,40500.0,,27757.998,0.0,,,,限售股份上市,2017-09-05,,002747,2017-09-08,0.0,0.0,,,55939.7025,,0.0,83697.7005,,,,13500.0,,27757.998,1939.7025,42439.7025,015027
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,,55537.4025,0.0,13500.0,,,40500.0,,28160.298,0.0,,,,激励股份解禁,2017-09-29,,002747,2017-10-09,0.0,0.0,,,55537.4025,,0.0,83697.7005,,,,13500.0,,28160.298,1537.4025,42037.4025,015998
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,60.0,55385.94,0.0,13560.0,,0.0,40500.0,,28223.1405,0.0,,,,股份回购,2017-11-24,,002747,2017-11-23,0.0,0.0,,,55385.94,,0.0,83609.0805,,,0.0,13500.0,,28223.1405,1325.94,41825.94,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,,,,60.0,55478.6325,,13560.0,,,40500.0,,28130.448,,,,,定期报告,2018-04-20,,002747,2017-12-31,,,,,55478.6325,,,83609.0805,0.0,,,13500.0,,28130.448,1418.6325,41918.6325,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,87.0,55625.94,0.0,13587.0,,0.0,40500.0,,28223.1405,0.0,,,,"增发新股上市,股权激励",2018-01-23,,002747,2018-01-24,0.0,0.0,,,55625.94,,0.0,83849.0805,,,0.0,13500.0,,28223.1405,1538.94,42038.94,"015004,015025"
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,87.0,1625.94,0.0,87.0,,0.0,0.0,,82223.1405,0.0,,,,限售股份上市,2018-03-16,,002747,2018-03-20,0.0,0.0,,,1625.94,,0.0,83849.0805,,,0.0,0.0,,82223.1405,1538.94,1538.94,015027
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,87.0,1366.4826,,87.0,,,0.0,,82482.5979,,,,,激励股份解禁,2018-06-11,,002747,2018-06-13,,,,,1366.4826,,,83849.0805,,,,0.0,,82482.5979,1279.4826,1279.4826,015998
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,,,,69.0,11620.5219,,69.0,,,,,72228.5586,,,,,定期报告,2018-08-17,,002747,2018-06-30,,,,,11620.5219,,,83849.0805,0.0,,,,,72228.5586,11551.5219,11551.5219,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,69.0,11569.4453,0.0,69.0,,,,,72228.5586,0.0,,,,股份回购,2018-08-15,,002747,2018-08-14,,,,,11569.4453,,,83798.0039,,,,0.0,,72228.5586,11500.4453,11500.4453,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,0.0,0.0,0.0,69.0,11159.4413,0.0,69.0,,,,,72638.5626,0.0,,,,激励股份解禁,2018-09-27,,002747,2018-10-08,,0.0,,,11159.4413,,0.0,83798.0039,,,,0.0,,72638.5626,11090.4413,11090.4413,015998
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,69.0,11183.1203,0.0,69.0,,,,,72576.1776,0.0,,,,股份回购,2018-12-11,,002747,2018-12-10,,0.0,,,11183.1203,,0.0,83759.2979,,,,0.0,,72576.1776,11114.1203,11114.1203,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,,0.0,69.0,11183.1203,0.0,69.0,,,,,72576.1776,0.0,,,,定期报告,2019-04-26,,002747,2018-12-31,,0.0,,,11183.1203,,0.0,83759.2979,,,,0.0,,72576.1776,11114.1203,11114.1203,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,69.0,11122.2803,0.0,69.0,,,,,72637.0176,0.0,,,,激励股份解禁,2019-01-23,,002747,2019-01-24,,0.0,,,11122.2803,,0.0,83759.2979,,,,0.0,,72637.0176,11053.2803,11053.2803,015998
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,60.9,10901.4577,0.0,60.9,,0.0,0.0,,72660.2282,0.0,,,,股份回购,2019-03-19,,002747,2019-03-18,,0.0,,,10901.4577,,0.0,83561.6859,,,,0.0,,72660.2282,10840.5577,10840.5577,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,60.9,10741.084,0.0,60.9,,0.0,0.0,,72820.6019,0.0,,,,激励股份解禁,2019-06-13,,002747,2019-06-14,,0.0,,,10741.084,,0.0,83561.6859,,,0.0,0.0,,72820.6019,10680.184,10680.184,015998
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,,,,42.9,10788.5016,,42.9,,,,,72773.1843,,,,,定期报告,2019-08-27,,002747,2019-06-30,,,,,10788.5016,,,83561.6859,0.0,,,,,72773.1843,10745.6016,10745.6016,015019
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,42.9,10719.9673,0.0,42.9,,0.0,0.0,,72773.1843,0.0,,,,股份回购,2019-08-09,,002747,2019-08-08,,0.0,,,10719.9673,,0.0,83493.1516,,,0.0,0.0,,72773.1843,10677.0673,10677.0673,015016
埃斯顿,南京埃斯顿自动化股份有限公司,,,0.0,,0.0,0.0,0.0,42.9,10706.2067,0.0,42.9,,0.0,0.0,,72786.9449,0.0,,,,其他,2019-12-27,,002747,2019-12-25,,0.0,,,10706.2067,,0.0,83493.1516,,,0.0,0.0,,72786.9449,10663.3067,10663.3067,015999
埃斯顿,南京埃斯顿自动化股份有限公司,,,,,,,,42.9,10706.2067,,42.9,,,,,72786.9449,,,,,定期报告,2020-04-28,,002747,2019-12-31,,,,,10706.2067,,,83493.1516,,,,,,72786.9449,10663.3067,10663.3067,015019
