日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,24.24,24.5,24.02,24.35,10775652.0,278666366.0,2010958045.0,0.005358466839620217
2019-11-28,24.35,24.36,24.07,24.1,7324577.0,188774733.0,2010958045.0,0.003642332080578041
2019-11-29,24.2,24.2,23.42,23.61,21642909.0,544117987.0,2010958045.0,0.01076248659379664
2019-12-02,23.47,23.72,23.43,23.58,9400371.0,235615703.0,2010958045.0,0.004674573407124463
2019-12-03,23.49,23.54,23.09,23.49,12407127.0,308139022.0,2010958045.0,0.006169759250248307
2019-12-04,23.36,23.61,23.3,23.44,8916602.0,222935849.0,2010958045.0,0.004434006976013267
2019-12-05,23.58,23.85,23.47,23.75,11898007.0,300399940.0,2010958045.0,0.005916586390045745
2019-12-06,23.82,23.83,23.58,23.72,8958477.0,226042636.0,2010958045.0,0.004454830384091877
2019-12-09,23.64,23.73,23.37,23.58,11919635.0,298635619.0,2010958045.0,0.0059273414627603535
2019-12-10,23.62,24.0,23.47,23.74,14517619.0,367232151.0,2010958045.0,0.007219255039206947
2019-12-11,23.74,23.88,23.52,23.6,11135739.0,280403271.0,2010958045.0,0.00553752925263043
2019-12-12,23.68,23.68,23.39,23.47,10219069.0,255186686.0,2010958045.0,0.005081691796309952
2019-12-13,23.66,23.89,23.57,23.84,14891666.0,376697431.0,2010958045.0,0.0074052594170357245
2019-12-16,24.03,24.21,23.76,24.2,14990630.0,383687241.0,2010958045.0,0.007454471781384181
2019-12-17,24.18,24.59,24.0,24.53,17472137.0,453765920.0,2010958045.0,0.008688464209107854
2019-12-18,24.53,24.59,24.23,24.34,14558385.0,377782519.0,2010958045.0,0.007239526968848323
2019-12-19,24.5,24.95,24.43,24.85,19458431.0,511733874.0,2010958045.0,0.00967619938585044
2019-12-20,24.97,25.02,24.68,24.73,14462257.0,382302630.0,2010958045.0,0.007191724877581919
2019-12-23,24.73,25.0,24.35,24.38,12169727.0,319313936.0,2010958045.0,0.00605170606629936
2019-12-24,24.49,24.9,24.37,24.82,13870679.0,365662208.0,2010958045.0,0.006897547681060646
2019-12-25,24.8,24.9,24.49,24.59,11508262.0,302007245.0,2010958045.0,0.0057227757827240005
2019-12-26,24.62,24.81,24.5,24.69,9378931.0,246303862.0,2010958045.0,0.004663911822188215
2019-12-27,24.7,25.05,24.61,24.64,16174186.0,428697962.0,2010958045.0,0.008043025084593447
2019-12-30,24.59,24.69,24.17,24.6,14377729.0,375179914.0,2010958045.0,0.007149691181150425
2019-12-31,24.6,25.21,24.6,24.97,20531895.0,547164026.0,2010958045.0,0.01021000664387307
2020-01-02,25.13,25.43,24.87,25.39,23797305.0,638431363.0,2010958045.0,0.011833814762654583
2020-01-03,25.4,25.57,25.05,25.44,20427941.0,551435629.0,2010958045.0,0.010158312875194768
2020-01-06,25.24,25.49,25.0,25.07,19187499.0,515568524.0,2010958045.0,0.009541471562625267
2020-01-07,25.09,25.49,25.09,25.26,14892496.0,400960312.0,2010958045.0,0.00740567215563167
2020-01-08,25.11,25.15,24.67,24.69,17673907.0,467875339.0,2010958045.0,0.008788799469956123
2020-01-09,24.89,25.11,24.82,24.97,16543976.0,439519835.0,2010958045.0,0.008226912560972896
2020-01-10,25.07,25.54,25.05,25.31,23293691.0,627994397.0,2010958045.0,0.011583379900896938
2020-01-13,25.33,25.44,25.15,25.42,15195071.0,409566393.0,2010958045.0,0.00755613526487073
2020-01-14,25.46,25.55,25.16,25.19,15677475.0,422572601.0,2010958045.0,0.007796022915037991
2020-01-15,25.16,25.43,24.97,25.05,12907557.0,346056367.0,2010958045.0,0.0064186107870788526
2020-01-16,25.11,25.27,24.96,25.27,13622116.0,364309850.0,2010958045.0,0.006773943411633931
2020-01-17,25.25,25.73,25.18,25.27,23125373.0,626225576.0,2010958045.0,0.01149967949729155
2020-01-20,25.58,25.89,25.29,25.73,27388176.0,745310084.0,2010958045.0,0.013619466635864101
2020-01-21,25.87,26.41,25.72,26.16,42680852.0,1185716880.0,2010958045.0,0.021224138467791854
2020-01-22,26.27,26.27,25.22,25.41,34533483.0,935627198.0,2010958045.0,0.017172652152471934
2020-01-23,25.34,25.61,24.22,24.58,29110099.0,770583616.0,2010958045.0,0.014475736613391157
2020-02-03,22.52,24.38,22.52,24.1,45598970.0,1147814241.0,2010958045.0,0.022675246812521144
2020-02-04,25.05,25.59,24.2,25.54,52968725.0,1408581562.0,2010958045.0,0.026340044801879493
2020-02-05,25.84,26.78,25.27,26.7,62857418.0,1729245766.0,2010958045.0,0.03125744873508786
2020-02-06,26.66,27.74,26.14,26.5,80054320.0,2296504559.0,2010958045.0,0.03980904534485204
2020-02-07,26.48,26.96,25.61,25.93,53168602.0,1483524656.0,2010958045.0,0.026439438720363757
2020-02-10,25.95,26.1,25.35,25.6,29922433.0,815469302.0,2010958045.0,0.014879690341824113
2020-02-11,25.67,25.75,25.16,25.56,23112878.0,625528227.0,2010958045.0,0.011493466040958602
2020-02-12,25.54,25.84,25.3,25.59,24614497.0,669494809.0,2010958045.0,0.012240184255062368
2020-02-13,25.67,25.67,24.98,25.09,27709964.0,743332200.0,2010958045.0,0.01377948389768619
2020-02-14,25.12,25.3,24.66,24.84,23503259.0,624844678.0,2010958045.0,0.011687592915445433
2020-02-17,24.83,25.15,24.72,25.12,23926140.0,636920419.0,2010958045.0,0.011897881240978351
2020-02-18,25.18,25.3,24.77,24.91,28086082.0,746054796.0,2010958045.0,0.013966518132903165
2020-02-19,24.91,24.91,24.45,24.5,26562346.0,695779979.0,2010958045.0,0.013208801678405976
2020-02-20,24.46,24.69,24.36,24.66,21465996.0,561274818.0,2010958045.0,0.010674512107983834
2020-02-21,24.66,24.91,24.48,24.81,25721358.0,675948281.0,2010958045.0,0.012790599020179956
2020-02-24,24.92,25.23,24.81,25.15,32622741.0,871410628.0,2010958045.0,0.01622248712801962
2020-02-25,25.14,27.67,25.0,27.52,108967314.0,3102021505.0,2010958045.0,0.05418676648721431
2020-02-26,27.39,27.7,26.33,26.33,69731259.0,2000466245.0,2010958045.0,0.034675640883397946
2020-02-27,26.63,27.03,26.18,26.34,35526667.0,1003044003.0,2010958045.0,0.017666538140033647
2020-02-28,25.85,26.19,25.15,25.24,39269582.0,1070652304.0,2010958045.0,0.019527797756715506
2020-03-02,25.47,26.05,25.26,25.91,30081145.0,822180791.0,2010958045.0,0.014958613917775693
2020-03-03,26.17,26.57,25.88,26.04,31295453.0,875583532.0,2010958045.0,0.015562459434602476
2020-03-04,25.96,27.08,25.58,26.78,39972845.0,1124769717.0,2010958045.0,0.019877513158162382
2020-03-05,26.81,27.08,26.54,26.93,35349200.0,1011365288.0,2010958045.0,0.017578288163639932
2020-03-06,26.76,27.32,26.63,26.72,30626534.0,880258163.0,2010958045.0,0.015229822460070269
2020-03-09,26.1,26.72,25.99,26.18,35933854.0,1008017951.0,2010958045.0,0.017869022225175266
