日期,600196.SH_close,600196.SH_volume,600196.SH_turnover
2024-05-15,23.1,164197287.0,0.33
2024-05-16,23.13,176988817.0,0.35
2024-05-17,23.19,179586738.0,0.36
2024-05-20,23.22,220526199.0,0.44
2024-05-21,22.86,209045020.0,0.42
2024-05-22,23.04,160058053.0,0.32
2024-05-23,22.61,185928678.0,0.38
2024-05-24,22.51,136191761.0,0.28
2024-05-27,22.66,170682757.0,0.35
2024-05-28,22.61,135197206.0,0.27
2024-05-29,22.51,107387480.0,0.22
2024-05-30,22.56,125428814.0,0.26
2024-05-31,22.58,141729730.0,0.29
2024-06-03,22.79,301973310.0,0.61
2024-06-04,23.26,415215490.0,0.82
2024-06-05,23.28,438575816.0,0.86
2024-06-06,23.03,266393586.0,0.53
2024-06-07,23.38,288231028.0,0.57
2024-06-11,23.18,210846293.0,0.42
2024-06-12,23.08,245201387.0,0.49
2024-06-13,22.71,209877224.0,0.42
2024-06-14,22.59,313958621.0,0.64
2024-06-17,22.45,131889201.0,0.27
2024-06-18,22.32,169227503.0,0.35
2024-06-19,22.04,172182890.0,0.36
2024-06-20,21.91,186503259.0,0.39
2024-06-21,21.86,172141128.0,0.36
2024-06-24,21.32,199488887.0,0.43
2024-06-25,21.49,184179512.0,0.39
2024-06-26,22.04,233107280.0,0.49
2024-06-27,21.56,167024789.0,0.35
2024-06-28,21.55,150421732.0,0.32
2024-07-01,21.54,162146203.0,0.35
2024-07-02,21.38,105501236.0,0.23
2024-07-03,21.45,127837286.0,0.27
2024-07-04,21.12,179129608.0,0.39
2024-07-05,21.73,243395462.0,0.52
2024-07-08,21.31,152087371.0,0.33
2024-07-09,21.45,191490222.0,0.41
2024-07-10,21.58,148983198.0,0.32
2024-07-11,21.98,201796975.0,0.42
2024-07-12,22.0,142187671.0,0.3
2024-07-15,21.9,116812673.0,0.25
2024-07-16,22.08,140823487.0,0.29
2024-07-17,22.45,253735670.0,0.52
2024-07-18,22.55,221596468.0,0.45
2024-07-19,22.79,252054663.0,0.51
2024-07-22,22.99,249745067.0,0.5
2024-07-23,22.43,241381904.0,0.49
2024-07-24,22.21,165209785.0,0.34
2024-07-25,22.51,171929103.0,0.35
2024-07-26,22.5,151845532.0,0.31
2024-07-29,22.28,117847081.0,0.24
2024-07-30,22.18,144095043.0,0.3
2024-07-31,22.99,364730038.0,0.74
2024-08-01,23.01,225942649.0,0.45
2024-08-02,23.19,286380856.0,0.57
2024-08-05,23.05,263868052.0,0.52
2024-08-06,23.46,265260602.0,0.53
2024-08-07,23.4,157600758.0,0.31
2024-08-08,23.38,235852013.0,0.47
2024-08-09,23.14,196966328.0,0.39
2024-08-12,23.55,394492825.0,0.78
2024-08-13,23.25,233275145.0,0.47
2024-08-14,23.02,161037225.0,0.33
2024-08-15,23.0,177033888.0,0.36
2024-08-16,23.13,164983471.0,0.33
2024-08-19,22.97,164670412.0,0.33
2024-08-20,22.74,139103682.0,0.28
2024-08-21,22.45,118059642.0,0.24
2024-08-22,22.07,151080599.0,0.32
2024-08-23,22.08,114363673.0,0.24
2024-08-26,22.02,149949237.0,0.32
2024-08-27,21.98,120045220.0,0.25
2024-08-28,22.04,189589626.0,0.4
2024-08-29,22.36,174285107.0,0.36
2024-08-30,22.22,377747545.0,0.79
2024-09-02,22.06,198608951.0,0.42
2024-09-03,22.38,207976686.0,0.43
2024-09-04,22.23,153349341.0,0.32
2024-09-05,22.5,146417883.0,0.3
2024-09-06,22.19,107745890.0,0.22
2024-09-09,22.02,141453380.0,0.3
2024-09-10,22.03,171318298.0,0.36
2024-09-11,22.18,138141941.0,0.29
2024-09-12,22.07,129864395.0,0.27
2024-09-13,21.9,96233547.0,0.2
2024-09-18,21.96,140168358.0,0.3
2024-09-19,22.18,199460910.0,0.42
2024-09-20,22.01,179681107.0,0.38
2024-09-23,22.03,123365607.0,0.26
2024-09-24,22.56,248927590.0,0.52
2024-09-25,22.89,351596810.0,0.71
2024-09-26,23.63,414977117.0,0.83
2024-09-27,24.83,651939458.0,1.24
2024-09-30,27.35,1820726399.0,3.19
2024-10-08,28.88,2396563307.0,3.84
2024-10-09,26.46,1278201589.0,2.19
2024-10-10,26.26,939263593.0,1.65
2024-10-11,25.4,574382683.0,1.04
2024-10-14,25.44,591088727.0,1.09
2024-10-15,24.98,523420733.0,0.97
2024-10-16,24.56,447600022.0,0.84
2024-10-17,24.33,341241819.0,0.65
2024-10-18,25.13,727748349.0,1.37
2024-10-21,25.1,633976913.0,1.18
2024-10-22,25.5,583108075.0,1.07
2024-10-23,25.49,594743633.0,1.09
2024-10-24,25.36,421982127.0,0.77
