日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-22,47.72,49.02,47.72,48.92,52851634.0,2714356526.0,2010958045.0,0.0263
2021-01-25,49.21,49.79,47.35,47.38,45066025.0,2292182682.0,2010958045.0,0.0224
2021-01-26,48.28,48.62,47.27,47.4,30802620.0,1559162821.0,2010958045.0,0.0153
2021-01-27,47.12,47.12,45.64,46.31,34696523.0,1695345592.0,2010958045.0,0.0173
2021-01-28,45.82,45.82,43.66,43.88,39644100.0,1866736781.0,2010958045.0,0.0197
2021-01-29,43.87,44.27,42.13,42.99,35121768.0,1591877595.0,2010958045.0,0.0175
2021-02-01,43.02,44.9,42.35,44.33,27686136.0,1286374385.0,2010958045.0,0.0138
2021-02-02,44.26,46.14,43.41,45.0,33108049.0,1576969460.0,2010958045.0,0.0165
2021-02-03,44.18,45.66,43.66,44.11,30684320.0,1451582723.0,2010958045.0,0.0153
2021-02-04,44.11,44.9,43.22,43.54,21325927.0,991607260.0,2010958045.0,0.0106
2021-02-05,44.11,45.88,44.0,44.83,39792579.0,1896681071.0,2010958045.0,0.0198
2021-02-08,44.91,45.65,43.68,43.73,32943416.0,1549646451.0,2010958045.0,0.0164
2021-02-09,44.14,44.89,43.71,44.48,24628568.0,1156023260.0,2010958045.0,0.0122
2021-02-10,44.86,48.31,44.16,47.57,62446385.0,3073759593.0,2010958045.0,0.0311
2021-02-18,47.6,47.61,45.5,45.76,48984562.0,2401093082.0,2010958045.0,0.0244
2021-02-19,45.4,45.67,44.28,45.12,31403716.0,1486052376.0,2010958045.0,0.0156
2021-02-22,45.12,45.48,44.44,44.45,30114712.0,1429197742.0,2010958045.0,0.015
2021-02-23,44.18,45.08,43.57,44.31,27174615.0,1269285795.0,2010958045.0,0.0135
2021-02-24,44.32,44.39,43.08,43.3,27459120.0,1265634618.0,2010958045.0,0.0137
2021-02-25,43.13,43.92,43.13,43.3,19348348.0,890779388.0,2010958045.0,0.0096
2021-02-26,42.91,43.74,42.64,43.53,20120994.0,922397471.0,2010958045.0,0.01
2021-03-01,43.54,43.96,43.21,43.7,17006172.0,783537979.0,2010958045.0,0.0085
2021-03-02,43.71,43.74,42.44,42.56,23649664.0,1074312619.0,2010958045.0,0.0118
2021-03-03,42.36,42.55,41.43,42.29,25452165.0,1129605601.0,2010958045.0,0.0127
2021-03-04,42.07,42.07,40.35,40.37,32670873.0,1415990193.0,2010958045.0,0.0162
2021-03-05,39.71,40.58,39.28,40.23,19312937.0,816172482.0,2010958045.0,0.0096
2021-03-08,40.31,40.87,37.89,38.1,30448643.0,1265473154.0,2010958045.0,0.0151
2021-03-09,37.91,38.75,35.82,37.53,34856103.0,1377978671.0,2010958045.0,0.0173
2021-03-10,37.82,38.1,36.53,36.68,23768712.0,930762706.0,2010958045.0,0.0118
2021-03-11,36.69,37.57,36.4,37.32,19096506.0,749867752.0,2010958045.0,0.0095
2021-03-12,37.52,38.22,37.07,37.62,21639879.0,860105895.0,2010958045.0,0.0108
2021-03-15,37.64,38.58,37.44,37.76,25892278.0,1041389117.0,2010958045.0,0.0129
2021-03-16,37.75,38.01,36.93,37.66,13811400.0,547719147.0,2010958045.0,0.0069
2021-03-17,37.43,37.81,37.07,37.72,10700480.0,425152212.0,2010958045.0,0.0053
2021-03-18,37.91,38.4,37.75,37.99,16988581.0,683700308.0,2010958045.0,0.0084
2021-03-19,37.51,37.89,37.17,37.49,13134968.0,521012318.0,2010958045.0,0.0065
2021-03-22,37.49,37.73,37.18,37.73,12455100.0,494389100.0,2010958045.0,0.0062
2021-03-23,37.9,38.43,37.58,37.79,17946516.0,720688345.0,2010958045.0,0.0089
2021-03-24,37.54,37.55,34.67,35.61,36416075.0,1384648134.0,2010958045.0,0.0181
2021-03-25,34.98,36.84,34.76,36.57,23622222.0,901522828.0,2010958045.0,0.0117
2021-03-26,36.68,37.23,36.23,37.03,16965987.0,661216474.0,2010958045.0,0.0084
2021-03-29,36.87,37.33,36.77,36.99,11544009.0,452090643.0,2010958045.0,0.0057
2021-03-30,36.94,37.96,36.68,37.07,20543511.0,812897149.0,2010958045.0,0.0102
2021-03-31,37.32,38.07,36.95,37.62,17929566.0,712215295.0,2010958045.0,0.0089
2021-04-01,37.85,38.1,37.62,37.96,13378207.0,536423779.0,2010958045.0,0.0067
2021-04-02,38.29,39.12,38.08,38.49,18035612.0,737717586.0,2010958045.0,0.009
2021-04-06,38.63,38.94,37.96,38.24,12059172.0,487384026.0,2010958045.0,0.006
2021-04-07,37.86,38.08,37.56,38.02,12338452.0,494007446.0,2010958045.0,0.0061
2021-04-08,37.87,40.22,37.74,39.76,40133852.0,1676111961.0,2010958045.0,0.02
2021-04-09,39.76,39.8,38.48,38.55,24185949.0,995822101.0,2010958045.0,0.012
2021-04-12,38.59,40.12,38.2,39.2,30096229.0,1257514800.0,2010958045.0,0.015
2021-04-13,39.0,39.66,38.83,39.04,16311283.0,675725835.0,2010958045.0,0.0081
2021-04-14,38.95,39.45,38.01,38.68,17180267.0,704134181.0,2010958045.0,0.0085
2021-04-15,38.58,38.97,37.99,38.4,12469579.0,506713245.0,2010958045.0,0.0062
2021-04-16,38.59,40.89,38.54,40.59,48652220.0,2067265500.0,2010958045.0,0.0242
2021-04-19,41.13,44.01,40.94,42.97,57650788.0,2623890325.0,2010958045.0,0.0287
2021-04-20,42.84,42.88,41.71,42.06,29912145.0,1332853868.0,2010958045.0,0.0149
2021-04-21,41.71,43.83,41.7,43.48,38956132.0,1768089978.0,2010958045.0,0.0194
2021-04-22,43.78,45.17,43.71,43.74,51400961.0,2419811179.0,2010958045.0,0.0256
2021-04-23,43.74,46.74,43.74,45.66,57692529.0,2778268335.0,2010958045.0,0.0287
2021-04-26,47.09,48.11,46.33,46.78,58004364.0,2889895861.0,2010958045.0,0.0288
2021-04-27,46.67,47.43,44.92,46.03,40364264.0,1966979713.0,2010958045.0,0.0201
2021-04-28,46.15,50.63,46.15,50.63,105249604.0,5498734583.0,2010958045.0,0.0523
2021-04-29,50.42,52.47,49.66,51.77,93744422.0,5078018270.0,2010958045.0,0.0466
