证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
复星医药,上海复星医药(集团)股份有限公司,0.0,,,,,18126.0,18126.0,,,0.0,,0.0,0.0,,,9000.0,,,,,"送股,转增",2000-03-31,18126.0,600196,2000-03-31,,0.0,,0.0,0.0,0.0,,27126.0,,0.0,0.0,,0.0,9000.0,,,"015010,015011"
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,18126.0,18126.0,,,0.0,,0.0,0.0,,0.0,9000.0,,0.0,,,定期报告,,18126.0,600196,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,27126.0,,0.0,0.0,,0.0,9000.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,,,,,18126.0,18126.0,,,0.0,,0.0,0.0,,,11250.0,,,,,配股上市,2000-07-28,18126.0,600196,2000-09-01,,0.0,,0.0,0.0,0.0,,29376.0,,0.0,0.0,,0.0,11250.0,,,015005
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,18126.0,18126.0,,,0.0,,0.0,0.0,,0.0,11250.0,,0.0,,,定期报告,,18126.0,600196,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,29376.0,,0.0,0.0,,0.0,11250.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,18126.0,18126.0,,,0.0,,0.0,0.0,,0.0,11250.0,,0.0,,,定期报告,,18126.0,600196,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,29376.0,,0.0,0.0,,0.0,11250.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,18126.0,18126.0,,,0.0,,0.0,0.0,,0.0,11250.0,,0.0,,,定期报告,,18126.0,600196,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,29376.0,,0.0,0.0,,0.0,11250.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,23563.8,23563.8,,,0.0,,0.0,0.0,,,14625.0,,0.0,,,"送股,转增",,23563.8,600196,2002-06-18,0.0,0.0,,0.0,0.0,0.0,0.0,38188.8,,0.0,0.0,,0.0,14625.0,,,"015010,015011"
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,23563.8,23563.8,,,0.0,,0.0,0.0,,0.0,14625.0,,0.0,,,定期报告,,23563.8,600196,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,38188.8,,0.0,0.0,,0.0,14625.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,23563.8,23563.8,,,0.0,,0.0,0.0,,0.0,14625.0,,0.0,,,定期报告,2003-03-29,23563.8,600196,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,38188.8,,0.0,0.0,,0.0,14625.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,23563.8,23563.8,,,0.0,,0.0,0.0,,0.0,14625.0,,0.0,,,定期报告,2003-07-11,23563.8,600196,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,38188.8,,0.0,0.0,,0.0,14625.0,,,015019
复星医药,上海复星医药(集团)股份有限公司,0.0,0.0,,0.0,0.0,23563.8,23563.8,,,0.0,,0.0,0.0,,0.0,14625.0,,0.0,,,定期报告,2004-04-24,23563.8,600196,2003-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,38188.8,,0.0,0.0,,0.0,14625.0,,,015019
