日期,收盘价
2022-12-19,10.72
2022-12-20,10.54
2022-12-21,10.46
2022-12-22,10.61
2022-12-23,10.55
2022-12-26,10.62
2022-12-27,10.65
2022-12-28,10.34
2022-12-29,10.26
2022-12-30,10.24
2023-01-03,10.48
2023-01-04,10.48
2023-01-05,10.59
2023-01-06,10.51
2023-01-09,10.59
2023-01-10,10.52
2023-01-11,10.38
2023-01-12,10.39
2023-01-13,10.51
2023-01-16,11.10
2023-01-17,11.13
2023-01-18,11.18
2023-01-19,11.40
2023-01-20,11.48
2023-01-30,11.63
2023-01-31,11.46
2023-02-01,11.71
2023-02-02,11.68
2023-02-03,11.82
2023-02-06,11.72
2023-02-07,12.12
2023-02-08,11.94
2023-02-09,12.31
2023-02-10,12.18
2023-02-13,12.23
2023-02-14,12.18
2023-02-15,12.24
2023-02-16,12.33
2023-02-17,11.96
2023-02-20,12.52
2023-02-21,12.40
2023-02-22,12.29
2023-02-23,12.11
2023-02-24,12.08
2023-02-27,12.68
2023-02-28,13.13
2023-03-01,14.37
2023-03-02,14.40
2023-03-03,14.17
2023-03-06,14.39
2023-03-07,13.74
2023-03-08,13.97
2023-03-09,14.21
2023-03-10,14.57
2023-03-13,15.62
2023-03-14,16.03
2023-03-15,16.02
2023-03-16,15.75
2023-03-17,17.32
2023-03-20,17.31
2023-03-21,17.27
2023-03-22,18.56
2023-03-23,19.57
2023-03-24,20.36
2023-03-27,20.35
2023-03-28,19.24
2023-03-29,19.34
2023-03-30,18.61
2023-03-31,20.48
2023-04-03,22.14
2023-04-04,23.25
2023-04-06,22.85
2023-04-07,24.45
2023-04-10,23.89
2023-04-11,22.73
2023-04-12,24.04
2023-04-13,22.21
2023-04-14,22.21
2023-04-17,21.73
2023-04-18,22.45
2023-04-19,22.81
2023-04-20,24.23
2023-04-21,22.59
2023-04-24,21.64
2023-04-25,21.28
2023-04-26,19.59
2023-04-27,19.53
2023-04-28,21.25
2023-05-04,21.32
2023-05-05,20.24
2023-05-08,21.06
2023-05-09,20.61
2023-05-10,20.15
2023-05-11,19.79
2023-05-12,19.87
2023-05-15,19.34
2023-05-16,19.12
2023-05-17,19.38
2023-05-18,20.25
2023-05-19,19.78
2023-05-22,19.52
2023-05-23,19.47
2023-05-24,18.74
2023-05-25,18.76
2023-05-26,19.28
2023-05-29,17.82
2023-05-30,18.44
2023-05-31,17.97
2023-06-01,18.93
2023-06-02,18.71
2023-06-05,18.97
2023-06-06,18.16
2023-06-07,18.01
2023-06-08,17.66
2023-06-09,17.18
2023-06-12,17.26
2023-06-13,18.40
2023-06-14,18.74
2023-06-15,17.81
2023-06-16,19.59
2023-06-19,21.21
2023-06-20,21.78
2023-06-21,20.25
2023-06-26,19.36
2023-06-27,19.28
2023-06-28,17.59
2023-06-29,18.08
2023-06-30,18.09
2023-07-03,18.28
2023-07-04,19.72
2023-07-05,19.64
2023-07-06,19.87
2023-07-07,19.09
2023-07-10,18.97
2023-07-11,19.85
2023-07-12,19.86
2023-07-13,20.61
2023-07-14,20.15
2023-07-17,20.50
2023-07-18,20.06
2023-07-19,20.17
2023-07-20,19.10
2023-07-21,18.84
2023-07-24,19.10
2023-07-25,19.38
2023-07-26,18.66
2023-07-27,18.37
2023-07-28,18.74
2023-07-31,20.11
2023-08-01,19.91
2023-08-02,19.78
2023-08-03,19.22
2023-08-04,20.42
2023-08-07,20.46
2023-08-08,20.06
2023-08-09,19.36
2023-08-10,19.36
2023-08-11,18.73
2023-08-14,19.03
2023-08-15,18.71
2023-08-16,17.80
2023-08-17,18.14
2023-08-18,17.97
2023-08-21,18.22
2023-08-22,18.96
2023-08-23,18.23
2023-08-24,18.40
2023-08-25,17.77
2023-08-28,18.52
2023-08-29,19.61
2023-08-30,19.63
2023-08-31,19.77
2023-09-01,19.72
2023-09-04,19.90
2023-09-05,19.54
2023-09-06,19.45
2023-09-07,18.92
2023-09-08,19.01
2023-09-11,19.39
2023-09-12,19.48
2023-09-13,18.81
2023-09-14,18.69
2023-09-15,18.84
2023-09-18,18.43
2023-09-19,18.14
2023-09-20,18.29
2023-09-21,18.14
2023-09-22,19.17
2023-09-25,18.87
2023-09-26,20.76
2023-09-27,20.97
2023-09-28,20.40
2023-10-09,20.71
2023-10-10,20.87
2023-10-11,20.86
