日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-04,18.20,3.49,0.86,-0.31,-0.18,46.91
2025-12-05,21.81,4.19,1.03,0.21,-0.17,47.60
2025-12-08,30.47,5.91,1.44,0.58,-0.14,49.55
2025-12-09,26.20,5.02,1.24,-0.68,-0.13,47.31
2025-12-10,29.42,5.53,1.39,-0.53,-0.13,45.61
2025-12-11,28.19,5.29,1.33,-1.90,-0.16,40.01
2025-12-12,33.79,6.34,1.60,1.45,-0.15,45.42
2025-12-15,29.30,5.43,1.38,-2.55,-0.19,38.74
2025-12-16,23.26,4.23,1.10,-1.09,-0.23,36.34
2025-12-17,24.04,4.41,1.14,1.98,-0.23,43.16
2025-12-18,18.50,3.43,0.87,-0.16,-0.23,42.75
