SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002236.SZ,002236,大华股份,10120192,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,26217345825.96,,,,,,,,,,,,787396650.45,1141463327.05,,0.0,28146205803.46,17073600689.91,,,,,,6202945807.87,1603635394.8,1702367778.38,,0.0,26582549670.96,,0.0,1563656132.5,9782467269.41,15525937.05,3170933.41,260265872.85,,10091260.61,,0.0,10071521273.33,569560486.88,11957923891.9,,,,11992385.0,,0.0,12539476763.78,,0.0,-2467955490.45,176854909.2,,903178107.58,,,,0.0,1080033016.78,1695950000.0,1496098757.94,,,420286439.37,,,0.0,3612335197.31,,0.0,-2532302180.53,77706236.05,,0.0,-3358895302.43,11061530816.28,,0.0,7702635513.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4496484436,,,,,,,,,,,,-13.8321691988,8.3267467847,,,8.5832564921,5.5757931493,,,,,,0.3495225344,-17.6673982123,-2.4568544622,,,2.0591116426,,,1351.7688816267,122.8830304978,-35.2926438597,114.9526516,255.6599229133,,-66.9679528157,,,122.9072604949,-23.3086865099,45.1775331047,,,,97.1569953332,,,39.5522275034,,,44.7545031835,91140.5560520294,,-59.2141015523,,,,,-51.2319207866,-36.2859493629,-20.8059689832,,,143.5094530917,,,,-23.5252559735,,,-0.9313499111,-6.5501476083,,,52.138511487,-30.3458981024,,,-13.0893845088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,002236,大华股份,10120192,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-16 00:00:00,2025-08-16 00:00:00,CNY,17413245510.57,,,,,,,,,,,,507911753.41,766327743.24,,0.0,18687485007.22,11466540352.42,,,,,,4403786062.6,1021650225.82,1156385387.27,,0.0,18048362028.11,,0.0,639122979.11,8171035464.96,8808463.02,1203271.9,11700743.16,,4715470.28,,0.0,8197463413.32,338555957.22,9068102084.24,,,,42985598.31,,0.0,9449643639.77,,0.0,-1252180226.45,118096409.17,,701579505.58,,,,0.0,819675914.75,1195000000.0,1495537757.94,,,356819410.68,,,0.0,3047357168.62,,0.0,-2227681253.87,103029984.04,,0.0,-2737708517.17,11061530816.28,,0.0,8323822299.11,2598685138.93,237696336.97,308245671.3,308245671.3,,18991796.01,33606718.97,,,,-581021.39,-296472.19,-79576958.11,-240948767.29,-606428153.16,128022612.0,128041774.22,-19162.22,,-364950839.3,1225697765.19,-2750130196.99,56263258.89,,0.0,639122979.11,,,,,8323822299.11,11061530816.28,,,,,-2737708517.17,8.8341329819,,,,,,,,,,,,4.1456547216,-0.2262596915,,,8.2983337253,5.8036908368,,,,,,1.9320470325,-31.5973345906,4.0582306237,,,1.6079463516,,,226.0136236148,1598.2736269969,-27.1094662806,260.0272780964,-84.0106374119,,-80.1820952599,,,1288.1565099354,-29.2474837915,135.8194145959,,,,696.3015913628,,,118.2736733768,,,66.5079195502,,,-37.3274797747,,,,,-26.7778563416,-39.0567789034,19.0118516199,,,168.2459422991,,,,-9.047426413,,,0.1511331303,14.0544601333,,,57.1338211801,-30.3458981024,,,-12.3256255796,39.4610406796,-11.6607089554,1.7534230713,1.7534230713,,-14.2941413475,1.5330934364,,,,46.5257912122,-182.1477747946,-149.7411982041,-898.6325862304,-330.482902709,32.335040621,32.2578856224,72.9821437736,,8.883564713,534.674545274,-5.1068186182,-58.5809983605,,,226.0136236148,,,,,-12.3256255796,-30.3458981024,,,,,57.1338211801,,,,,74826089.28,0.6294413807
002236.SZ,002236,大华股份,10120192,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,8207170646.3,,,,,,,,,,,,239962306.86,338696763.38,,0.0,8785829716.54,5631796732.81,,,,,,2747283980.03,483149237.58,595295160.74,,0.0,9457525111.16,,0.0,-671695394.62,3830530852.47,8808463.02,1074071.43,11700743.16,,3436392.97,,0.0,3855550523.05,197326893.16,4003705846.64,,,,2620385.0,,0.0,4203653124.8,,0.0,-348102601.75,53347469.26,,300950000.0,,,,0.0,354297469.26,895000000.0,1050738.89,,,40699168.63,,,0.0,936749907.52,,0.0,-582452438.26,40545841.76,,0.0,-1561704592.87,11061530816.28,,0.0,9499826223.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8875775365,,,,,,,,,,,,-2.9670659019,-18.3036964555,,,4.4351358403,4.2536424432,,,,,,-0.8606664201,-52.5623504297,12.8010549058,,,-2.6941598508,,,48.5947281691,929.4742646223,-27.0306334581,295.198121278,-84.0106374119,,-20.638117904,,,734.6473316766,-36.9794719669,17057.7853086019,,,,510.8123543124,,,1147.8232331264,,,-378.3511786081,,,-50.3579849911,,,,,-41.5582645402,-21.7880871368,-92.8364605131,,,-45.7202865893,,,,-24.0868166829,,,7.2136087303,15.0039854769,,,11.9713295723,-30.4094465216,,,-32.7258998106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,002236,大华股份,10120192,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-29 00:00:00,2025-03-29 00:00:00,CNY,34669187205.38,,,,,,,,,,,,1155885839.76,1493775604.08,,0.0,37318848649.22,21837355751.06,,,,,,7891665626.88,2369366594.7,2510223067.28,,0.0,34608611039.92,,0.0,2710237609.3,15446431122.05,24092429.23,1760730.93,90212801.88,,45191811.49,,0.0,15607688895.58,907507733.38,19513379638.01,,12269004.98,,6618141.94,,0.0,20439774518.31,,0.0,-4832085622.73,50992358.19,,2314437200.0,,,,0.0,2365429558.19,3061814753.64,1891030117.8,7978707.94,,216004106.63,,,0.0,5168848978.07,,0.0,-2803419419.88,106138654.64,,0.0,-4819128778.67,15880659594.95,,0.0,11061530816.28,2919172272.03,595744624.18,611795984.29,611795984.29,,39185300.46,66984132.0,,,,-805684.66,2705337.89,43415404.28,8833999.19,-466282262.74,134764410.18,166676397.92,-31911987.74,,-24264745.21,-889965851.98,-507711956.51,32620714.85,,0.0,2710237609.3,,,,,11061530816.28,15880659594.95,,,,,-4819128778.67,0.6591976176,,,,,,,,,,,,-10.9181951807,2.3881987994,,,0.3231688309,2.6091527372,,,,,,11.9556936596,23.1360188823,7.0605203938,,,6.1618537857,,,-41.06614358,225.7625095138,-16.004236506,-57.4452409786,,,-9.2750627112,,,223.5253247561,-37.2365621256,1146.0027594465,,,,-92.307847417,,,559.7660343071,,,-379.9226187916,-99.1261951091,,-11.9815458998,,,,,-72.05688146,-24.8667716347,1.2122232558,622.2047194489,,-75.1357802042,,,,-24.1247207628,,,-269.6099048603,336.2293886975,,,-160.2225896057,101.5704771026,,,-30.3458981024,-60.9489255378,1.4946538305,8.2998459768,8.2998459768,,-12.3641848874,11.8598929,,,,59.8722329885,221.0596529096,134.0170470119,110.4975852552,89.6697491943,153.1931776868,188.5091211898,50.9299584717,,-101.3445408061,-36.7348998847,32.1120694149,-89.1514011177,,,-41.06614358,,,,,-30.3458981024,101.5704771026,,,,,-160.2225896057,标准无保留意见,,,,144045931.05,2.5635727948
002236.SZ,002236,大华股份,10120192,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-25 00:00:00,CNY,23953796287.86,,,,,,,,,,,,913794211.98,1053722520.92,,0.0,25921313020.76,16171889578.67,,,,,,6181340629.44,1947752603.44,1745245930.91,,0.0,26046228742.46,,0.0,-124915721.7,4389058802.53,23994083.48,1475177.62,73178296.48,,30549909.77,,0.0,4518256269.88,742666230.32,8236759253.43,,,,6082657.62,,0.0,8985508141.37,,0.0,-4467251871.49,193833.66,,2214437200.0,,,,0.0,2214631033.66,2661814753.64,1889155961.29,7978707.94,,172595533.37,,,0.0,4723566248.3,,0.0,-2508935214.64,83152871.9,,0.0,-7017949935.93,15880659594.95,,0.0,8862709659.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2960019526,,,,,,,,,,,,10.1745222782,13.3030806341,,,1.0872634783,2.1620240417,,,,,,12.880403607,40.0896858075,7.6487952114,,,7.1100513939,,,-109.4258072594,244.1672468845,-14.912438356,-62.9884909622,,,295.14988175,,,243.5451954931,-27.2527943569,573.2396575682,,,,-92.62961718,,,286.1635522709,,,-341.5674463604,-99.9964794473,,-6.690829079,,,,,-71.8919755265,-13.2303817618,121.9931265296,622.2047194489,,-77.9597462898,,,,0.463566236,,,-178.9661483625,346.1970848751,,,-299.9737018872,101.5704771026,,,-22.174338478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,002236,大华股份,10120192,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-16 00:00:00,CNY,15999801747.36,,,,,,,,,,,,487693658.24,768065566.02,,0.0,17255560971.62,10837561772.87,,,,,,4320315534.52,1493582479.14,1111286805.8,,0.0,17762746592.33,,0.0,-507185620.71,481137746.89,12084508.88,334216.87,73178296.48,,23793990.04,,0.0,590528759.16,478507303.15,3845358576.51,,,,5398155.52,,0.0,4329264035.18,,0.0,-3738735276.02,,,1119437200.0,,,,0.0,1119437200.0,1960841548.08,1256629266.4,,,133019499.8,,,0.0,3350490314.28,,0.0,-2231053114.28,90334024.57,,0.0,-6386639986.44,15880659594.95,,0.0,9494019608.51,1863377131.18,269072045.02,302933957.4,302933957.4,,22159273.95,33099276.14,,,,-1086545.09,360901.06,159981988.74,-24127869.51,-140871600.09,96741279.86,96812204.14,-70924.28,,-400532393.69,-281980571.1,-2616509787.99,135839244.46,,0.0,-507185620.71,,,,,9494019608.51,15880659594.95,,,,,-6386639986.44,3.7614797766,,,,,,,,,,,,-13.274138155,23.8365358977,,,3.9344227097,0.783276063,,,,,,14.4031030897,82.8366663316,11.908414381,,,8.7094185752,,,-293.0688632397,-51.8756961373,-19.0171122751,-86.1113693685,,,252.1658536157,,,-42.3236501749,-25.2286108239,641.7081913375,,,,-85.3938094561,,,262.1709748144,,,-2080.0418441553,,,-7.6559390926,,,,,-83.0438601829,20.4684467348,50.2997554936,,,-62.5722083373,,,,18.8468756394,,,-158.9790033193,98.1275972243,,,-262.9417628073,101.5704771026,,,-19.5289050798,-8.6696087756,11.9252652697,8.9822522558,8.9822522558,,9.514691228,16.5298332,,,,38.3364553901,92.0967509025,218.3313293551,91.6936634736,-1194.9947339412,527.6945673609,574.0423650078,-106.7596342397,,-139.1979263734,-22.0236447289,12.0230435491,-19.2154990728,,,-293.0688632397,,,,,-19.5289050798,101.5704771026,,,,,-262.9417628073,,,,,74358048.95,6.8336110991
002236.SZ,002236,大华股份,10120192,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-16 00:00:00,2025-04-19 00:00:00,CNY,7750834268.99,,,,,,,,,,,,247299856.58,414580279.26,,0.0,8412714404.83,5402014357.32,,,,,,2771134201.56,1018493205.2,527739001.41,,0.0,9719380765.49,,0.0,-1306666360.66,372086120.47,12071453.32,271780.5,73178296.48,,4330029.58,,0.0,461937680.35,313115264.69,23334630.75,,,,429000.0,,0.0,336878895.44,,0.0,125058784.91,,,606240500.0,,,,0.0,606240500.0,1144326953.83,14667873.22,,,74980441.26,,,0.0,1233975268.31,,0.0,-627734768.31,35256031.86,,0.0,-1774086312.2,15895161431.24,,0.0,14121075119.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1071068175,,,,,,,,,,,,-25.4951181943,44.1232115282,,,5.2404131988,-12.1961280227,,,,,,17.9872446195,180.1325835783,12.6195090502,,,4.137528602,,,2.44465555,-28.5834289308,-17.4364110805,-85.4784721096,,,-32.0561636359,,,-15.0652222388,-17.0695095589,-88.2413366699,,,,-97.5672135238,,,-43.2523603278,,,351.2710550772,,,-18.4224095282,,,,,-89.6283942597,210.8899817785,-45.0798555313,,,48.2811646671,,,,177.0767532064,,,-111.6250641148,195.1048027692,,,-144.6469653208,101.754546413,,,19.1445519271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,002236,大华股份,10120192,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-16 00:00:00,2025-03-29 00:00:00,CNY,34442145403.42,,,,,,,,,,,,1297555479.6,1458933374.74,,0.0,37198634257.76,21282073936.41,,,,,,7048918522.07,1924186453.49,2344676691.32,,0.0,32599855603.29,,0.0,4598778654.47,4741623320.96,28682909.98,4137565.27,,,49811896.09,,0.0,4824255692.3,1445917821.13,1566078364.6,,,,86037580.1,,0.0,3098033765.83,,0.0,1726221926.47,5835668662.56,739669502.56,2629490853.55,,0.0,,0.0,8465159516.11,4075180609.51,1868381166.79,1104770.95,,868734705.55,,,0.0,6812296481.85,,0.0,1652863034.26,24330927.12,,0.0,8002194542.32,7878465052.63,,0.0,15880659594.95,7475267485.55,586971433.17,564909376.16,564909376.16,,44713796.99,59882170.69,,,,-2007798.39,842627.8,-127628374.87,-84152678.69,-4513755488.71,-253349049.71,-188315504.3,-65033545.41,,1804686410.4,-650869567.85,-747867775.81,300690579.53,,0.0,4598778654.47,,,,,15880659594.95,7878465052.63,,,,,8002194542.32,1.9462727472,,,,,,,,,,,,-13.1543018299,16.5490825373,,,1.8290496165,-10.4933700983,,,,,,-5.4917021369,-6.9884285781,7.9245099135,,,-8.1095914255,,,336.4875249655,109.4250158711,15.8061058313,-65.3581867177,,,93.8395568678,,,61.2407755332,11.6159683212,-30.0384628782,,,,48.3509146291,,,-13.749939913,,,387.7213633499,808.4051627107,2172.5146720143,-50.0702037264,,-100.0,,,43.2529921167,-15.8279265729,105.1882441703,,,73.4111069245,,,,8.9440086237,,,580.7799240474,-83.8922954353,,,2967.2887975813,3.4248187497,,,101.5704771026,230.4934742951,-16.523654218,12.2011231109,12.2011231109,,-4.3282364448,51.558431525,,,,32.3013691902,120.46521597,-377.3590607798,77.0720402466,-1491.0788851747,-88.1024551083,-154.216915555,-7.2983204578,,279.1341620542,-26.9264884449,-13.8461007588,5.2037323378,,,336.4875249655,,,,,101.5704771026,3.4248187497,,,,,2967.2887975813,标准无保留意见,,,,140445508.21,6.2656667704
002236.SZ,002236,大华股份,10120192,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,23883101840.08,,,,,,,,,,,,829406103.23,930003416.52,,0.0,25642511359.83,15829648766.62,,,,,,5476008617.9,1390361176.28,1621240560.55,,0.0,24317259121.35,,0.0,1325252238.48,1275269172.84,28199284.38,3985726.76,,,7731220.78,,0.0,1315185404.76,1020886264.64,1223451286.75,,,,82528381.07,,0.0,2326865932.46,,0.0,-1011680527.7,5505773563.01,409774403.01,2373225673.47,,,,0.0,7878999236.48,3067680609.51,850997501.96,1104770.95,,783092316.63,,,0.0,4701770428.1,,0.0,3177228808.38,18635906.58,,0.0,3509436425.74,7878465052.63,,0.0,11387901478.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.441956408,,,,,,,,,,,,-26.1438830935,2.3964537814,,,0.2645475845,-9.6310339698,,,,,,-6.4911396428,-11.2515384653,6.7466280893,,,-8.0918948402,,,250.0210238208,-37.4519748572,15.0987104488,-53.6404968367,,,-69.2244272303,,,-43.461115855,0.1478069202,-22.8000418184,,,,3142.7235447526,,,-10.7354213596,,,-260.6112534241,779.4046765939,2426.3526696054,-52.6616140722,,,,,39.7021644711,-16.6473030727,-3.9237520406,,,66.1115628662,,,,-6.6653351204,,,427.5024140739,-87.2254261675,,,944.1717682757,3.4248187497,,,58.1246370781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,002236,大华股份,10120192,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-24 00:00:00,CNY,15419789484.32,,,,,,,,,,,,562339362.06,620225332.09,,0.0,16602354178.47,10753333485.7,,,,,,3776397158.68,816894394.93,993032393.45,,0.0,16339657432.76,,0.0,262696745.71,999781208.81,14922299.29,2406406.21,,,6756472.78,,0.0,1023866387.09,639960429.28,518446286.75,,,,36957997.39,,0.0,1195364713.42,,0.0,-171498326.33,5389711811.41,293712651.41,1212246016.69,,,,0.0,6601957828.1,1627680609.51,836082043.03,1104770.95,,355403014.42,,,0.0,2819165666.96,,0.0,3782792161.14,45593862.66,,0.0,3919584443.18,7878465052.63,,0.0,11798049495.81,2040259661.87,240403312.31,277966321.24,277966321.24,,20234065.13,28404122.13,,,,-1762054.22,187874.63,-135198336.41,-290475463.32,12865048.18,15412158.22,14362925.71,1049232.51,,1021820363.34,-231086828.89,-2974085366.83,168150131.4,,0.0,262696745.71,,,,,11798049495.81,7878465052.63,,,,,3919584443.18,1.0110979047,,,,,,,,,,,,-31.588793302,-3.5952916318,,,-0.767695091,-12.2238312451,,,,,,-9.3712863176,-24.8213929792,4.0653058101,,,-11.479386305,,,115.2041648122,-29.8015161666,3.5652220601,-33.4904809215,,,-61.078930294,,,-29.9050397586,-4.6715843735,-42.3363377649,,,,1588.1325565554,,,-23.9878898101,,,-53.2425653832,763.5011277527,1952.4993110412,-65.3443689803,,,,,60.1406376639,-25.4826464124,-2.6046996355,,,-17.9623390477,,,,-18.8953038314,,,484.9907795621,-46.9923897362,,,454.055879418,3.4248187497,,,81.2150426977,32.2029996685,-18.7063345288,42.4487540938,42.4487540938,,-21.2762272177,113.3146742474,,,,-91.2033807711,354.8816554795,2.4586573713,-49.088034291,-92.2953039634,114.9119004378,111.6495161995,-94.7373339001,,247.909645048,32.9658558622,16.7535000448,469.0395719538,,,115.2041648122,,,,,81.2150426977,3.4248187497,,,,,454.055879418,,,,,69601736.93,8.9999821669
