证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
大华股份,浙江大华技术股份有限公司,,,0.0,,336.0,0.0,0.0,,5000.0,,0.0,,,172.5,,1344.0,,336.0,,,A股上市,2008-05-19,,002236,2008-05-20,,0.0,,,5336.0,,,6680.0,,,,,,1344.0,4827.5,5000.0,015001
大华股份,浙江大华技术股份有限公司,,,0.0,,336.0,0.0,0.0,,5000.0,,0.0,,,172.5,,1344.0,,336.0,,,定期报告,2008-08-25,,002236,2008-06-30,,0.0,,,5336.0,,0.0,6680.0,,,,,,1344.0,4827.5,5000.0,015019
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,5000.0,,0.0,,,172.5,,1680.0,,0.0,,,配售股份上市,2008-08-15,,002236,2008-08-20,,0.0,,,5000.0,,0.0,6680.0,,,,0.0,,1680.0,4827.5,5000.0,015009
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,5000.0,,0.0,,,172.5,,1680.0,,,,,定期报告,2009-03-25,,002236,2008-12-31,,,,,5000.0,,0.0,6680.0,,,,,,1680.0,4827.5,5000.0,015019
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,4404.375,,0.0,,,172.5,,2275.625,,,,,限售股份上市,2009-05-15,,002236,2009-05-20,,0.0,,,4404.375,,0.0,6680.0,,,,,,2275.625,4231.875,4404.375,015027
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,4404.375,,0.0,,,172.5,,2275.625,,,,,定期报告,2009-07-28,,002236,2009-06-30,,0.0,,,4404.375,,0.0,6680.0,,,,0.0,,2275.625,4231.875,4404.375,015019
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,4329.9188,0.0,0.0,,,172.5,,2350.0812,0.0,,,,定期报告,2010-03-18,,002236,2009-12-31,,,,,4329.9188,,,6680.0,,,,0.0,,2350.0812,4157.4188,4329.9188,015019
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,,8498.243,,0.0,,,345.0,,4861.757,,,,,"送股,转增",2010-04-29,,002236,2010-05-07,,0.0,,,8498.243,,,13360.0,,,,,,4861.757,8153.243,8498.243,"015010,015011"
大华股份,浙江大华技术股份有限公司,,,0.0,,0.0,0.0,0.0,,8498.243,0.0,0.0,,0.0,345.0,,4861.757,0.0,,,,定期报告,2010-08-20,,002236,2010-06-30,,,,,8498.243,,,13360.0,,,0.0,0.0,,4861.757,8153.243,8498.243,015019
大华股份,浙江大华技术股份有限公司,,,,,0.0,0.0,0.0,0.0,9092.263,0.0,0.0,0.0,,345.0,,4861.757,,0.0,,,"增发新股上市,股权激励",2010-07-16,,002236,2010-07-19,,0.0,,,9092.263,,0.0,13954.02,,,,0.0,,4861.757,8747.263,9092.263,"015004,015025"
大华股份,浙江大华技术股份有限公司,,,,,,,,,8943.0504,,,,,345.0,,5010.9696,,,,,定期报告,2011-04-26,,002236,2010-12-31,,,,,8943.0504,,,13954.02,,,,,,5010.9696,8598.0504,8943.0504,015019
大华股份,浙江大华技术股份有限公司,,0.0,,,0.0,0.0,0.0,,1743.0504,,0.0,,0.0,0.0,,12210.9696,,,,,限售股份上市,2011-05-17,,002236,2011-05-20,,,,,1743.0504,,6805.0,13954.02,,,0.0,,,12210.9696,1743.0504,1743.0504,015027
大华股份,浙江大华技术股份有限公司,,0.0,,,0.0,0.0,0.0,0.0,13517.783,0.0,0.0,,0.0,0.0,,14390.257,,0.0,,,"送股,转增",2011-06-01,,002236,2011-06-08,,0.0,,,13517.783,,0.0,27908.04,,,0.0,0.0,,14390.257,13517.783,13517.783,"015010,015011"
大华股份,浙江大华技术股份有限公司,,0.0,,,0.0,,0.0,0.0,13517.783,0.0,0.0,,0.0,0.0,,14390.257,,0.0,,,定期报告,2011-07-27,,002236,2011-06-30,,0.0,,,13517.783,,0.0,27908.04,,,0.0,0.0,,14390.257,13517.783,13517.783,015019
大华股份,浙江大华技术股份有限公司,,0.0,0.0,,0.0,0.0,0.0,0.0,13161.371,0.0,0.0,,0.0,0.0,,14746.669,0.0,0.0,,,激励股份解禁,2011-07-29,,002236,2011-08-02,0.0,0.0,,,13161.371,,81.6,27908.04,,,0.0,0.0,,14746.669,13161.371,13161.371,015998
