日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2020-06-10,15.67,18.38,15.62,16.16,198047556.0,3458457132.0,285239310.0,0.6943206951384086
2020-06-11,15.49,17.11,14.87,16.55,130923900.0,2203394186.0,285239310.0,0.4589966929873726
2020-06-12,15.96,18.12,15.94,16.89,122653610.0,2233889163.0,285239310.0,0.43000247756874743
2020-06-15,16.64,16.64,15.32,15.32,95517928.0,1617942118.0,285239310.0,0.33486943998006446
2020-06-16,15.35,15.75,14.97,15.4,59466129.0,970978810.0,285239310.0,0.20847802850175173
2020-06-17,15.31,15.58,14.89,15.01,51867509.0,832992480.0,285239310.0,0.1818385726707865
2020-06-18,15.05,15.47,14.7,15.19,57004790.0,917641935.0,285239310.0,0.19984899697029837
2020-06-19,15.03,15.19,14.85,14.88,34445543.0,549961676.0,285239310.0,0.12076015399139761
2020-06-22,15.08,15.38,14.97,15.03,41007923.0,662581663.0,285239310.0,0.14376673046923302
2020-06-23,14.93,15.91,14.91,15.77,63572028.0,1049345612.0,285239310.0,0.22287260476124415
2020-06-24,15.78,16.01,15.45,15.51,48883833.0,815718119.0,285239310.0,0.17137831738549641
2020-06-29,15.75,16.59,15.62,15.9,62150289.0,1067219993.0,285239310.0,0.21788823216547537
2020-06-30,16.09,16.1,15.57,15.77,42011495.0,705797568.0,294545310.0,0.14263168882234112
2020-07-01,16.46,16.62,15.51,15.81,47367589.0,806802187.0,294545310.0,0.16081596749919394
2020-07-02,15.89,16.18,15.67,16.02,44878401.0,761526380.0,294545310.0,0.1523650164383877
2020-07-03,16.03,16.04,15.68,15.78,39427041.0,664759874.0,294545310.0,0.1338573036521953
2020-07-06,15.97,16.61,15.73,16.42,65947741.0,1138138651.0,294545310.0,0.22389676141847242
2020-07-07,16.73,17.82,16.49,16.57,70623106.0,1284957502.0,294545310.0,0.23976992198585678
2020-07-08,16.48,16.97,16.38,16.79,42986361.0,764081962.0,294545310.0,0.14594142069347496
2020-07-09,16.79,17.41,16.63,17.18,51630186.0,934113898.0,294545310.0,0.17528775453936102
2020-07-10,17.05,17.4,16.66,16.68,43415558.0,783528532.0,294545310.0,0.1473985717172003
2020-07-13,16.62,17.04,16.62,16.91,36634676.0,658355589.0,294545310.0,0.12437704745663748
2020-07-14,17.01,17.25,16.44,16.94,44333017.0,796794837.0,294545310.0,0.15051340318404663
2020-07-15,17.07,17.25,16.04,16.12,38155107.0,676413605.0,294545310.0,0.12953900708858682
2020-07-16,16.21,16.21,14.97,15.05,37818160.0,625949510.0,294545310.0,0.12839505066300325
2020-07-17,15.26,15.38,14.92,15.14,19572978.0,316132392.0,294545310.0,0.06645150112897741
2020-07-20,15.18,15.56,14.95,15.56,21405103.0,347944664.0,294545310.0,0.07267168165060921
2020-07-21,15.49,16.08,15.45,15.93,25439718.0,428689608.0,294545310.0,0.08636945534797345
2020-07-22,15.67,15.88,15.58,15.69,19134610.0,320917073.0,294545310.0,0.06496321397886118
2020-07-23,15.56,16.04,15.5,15.96,22944549.0,387303060.0,294545310.0,0.07789819841300477
2020-07-24,16.85,17.05,15.96,15.99,50023592.0,879690166.0,294545310.0,0.16983326606015217
2020-07-27,16.2,16.74,16.03,16.32,28635951.0,498586364.0,294545310.0,0.09722086900653756
2020-07-28,16.36,16.51,15.71,15.85,25958093.0,442534519.0,294545310.0,0.08812937133509273
2020-07-29,15.69,16.15,15.56,16.12,23726867.0,401491664.0,294545310.0,0.08055421761765617
2020-07-30,16.13,16.33,15.78,16.21,25557316.0,437086980.0,294545310.0,0.0867687080130388
2020-07-31,16.17,16.31,15.82,16.01,21968186.0,373947901.0,294545310.0,0.07458338413196937
2020-08-03,16.19,16.86,16.05,16.65,34411709.0,604264644.0,294545310.0,0.11682993356777605
2020-08-04,16.79,16.81,16.17,16.22,24147133.0,418892912.0,294545310.0,0.08198104733020532
2020-08-05,16.28,16.28,15.93,16.19,18594980.0,316550557.0,294545310.0,0.06313113591929201
2020-08-06,16.2,16.26,15.68,15.84,18304566.0,307864403.0,294545310.0,0.0621451619786443
2020-08-07,15.85,15.98,15.35,15.5,15629416.0,258848805.0,294545310.0,0.05306285813887174
2020-08-10,15.52,15.85,15.43,15.75,13102328.0,218478883.0,294545310.0,0.044483234175414305
2020-08-11,15.78,15.92,15.33,15.44,14923678.0,246808697.0,294545310.0,0.05066683288897046
2020-08-12,15.43,15.53,15.06,15.3,14826882.0,239155062.0,294545310.0,0.05033820433263731
2020-08-13,15.53,15.83,15.41,15.48,12067531.0,199397450.0,294545310.0,0.04097003275998521
2020-08-14,15.45,15.58,15.28,15.54,9029655.0,147595289.0,294545310.0,0.03065625115538251
2020-08-17,15.46,15.72,15.41,15.63,13138372.0,216934965.0,294545310.0,0.044605605840405335
2020-08-18,15.6,15.98,15.48,15.8,17515547.0,291876451.0,294545310.0,0.05946639245418642
2020-08-19,15.68,15.83,15.39,15.39,11622502.0,192297805.0,294545310.0,0.039459131092598285
2020-08-20,15.28,15.51,15.21,15.28,7604205.0,123723243.0,294545310.0,0.025816758039705335
2020-08-21,15.39,15.5,15.22,15.31,7334749.0,119032186.0,294545310.0,0.02490193783767937
2020-08-24,15.36,15.43,15.12,15.38,6883678.0,111554075.0,294545310.0,0.023370523197262925
2020-08-25,15.39,15.71,15.35,15.53,9815855.0,161645501.0,294545310.0,0.03332544999613132
2020-08-26,15.59,15.65,15.3,15.47,10672607.0,174927243.0,294545310.0,0.036234177349488264
2020-08-27,15.6,15.8,15.5,15.66,15949874.0,264380016.0,294545310.0,0.05415083336414353
2020-08-28,15.66,15.68,15.25,15.39,13954514.0,227311211.0,294545310.0,0.047376459669312
2020-08-31,15.43,15.6,15.33,15.35,10778128.0,176227632.0,294545310.0,0.03659242783393835
2020-09-01,15.35,15.44,15.27,15.38,7059554.0,114710271.0,294545310.0,0.023967633366832424
2020-09-02,15.41,15.45,15.26,15.26,8799674.0,142579676.0,294545310.0,0.02987545108085408
2020-09-03,15.27,15.38,15.13,15.16,8754532.0,141321389.0,294545310.0,0.02972219112909997
2020-09-04,15.01,15.09,14.83,14.91,12053583.0,190636434.0,294545310.0,0.040922678415758855
2020-09-07,14.88,14.99,14.36,14.4,12317884.0,191466469.0,294545310.0,0.041819997065986214
2020-09-08,14.42,14.98,14.31,14.87,13145361.0,204707990.0,294545310.0,0.044629333938469434
2020-09-09,14.77,15.12,14.67,14.67,10392694.0,163998300.0,294545310.0,0.03528385496954611
2020-09-10,14.86,14.99,13.97,14.01,9394698.0,143960194.0,294545310.0,0.031895595282097684
2020-09-11,13.86,14.85,13.83,14.62,12880386.0,195498538.0,294545310.0,0.04372972701551418
2020-09-14,14.99,15.12,14.65,14.74,12632600.0,199043608.0,294545310.0,0.04288847783724684
2020-09-15,14.82,14.88,14.35,14.44,8556902.0,131115370.0,294545310.0,0.029051224750446716
2020-09-16,14.46,15.01,14.33,14.75,13611127.0,213189131.0,294545310.0,0.046210639035467925
2020-09-17,14.75,16.01,14.64,15.64,37530699.0,616553086.0,294545310.0,0.12741910234455947
2020-09-18,15.64,15.76,15.31,15.44,18630632.0,305497932.0,294545310.0,0.0632521767194324
2020-09-21,15.58,15.75,15.3,15.39,12849573.0,210939441.0,294545310.0,0.04362511492713973
2020-09-22,15.2,15.29,14.69,14.8,14788556.0,234530072.0,294545310.0,0.05020808513298005
2020-09-23,14.92,15.68,14.85,15.66,24622213.0,401972325.0,294545310.0,0.0835939740476601
2020-09-24,15.63,15.79,15.23,15.31,17493020.0,287440924.0,294545310.0,0.059389911861098724
2020-09-25,15.45,15.52,14.71,14.79,13919478.0,221922883.0,294545310.0,0.04725751022822261
2020-09-28,14.85,15.51,14.74,15.04,14431138.0,232520489.0,294545310.0,0.04899462836464787
2020-09-29,15.18,15.33,14.95,15.09,9094505.0,145487928.0,294545310.0,0.030876421016515252
2020-09-30,15.09,15.9,15.07,15.47,19816684.0,326811479.0,294545310.0,0.06727889844859522
2020-10-09,16.62,16.89,16.04,16.1,50353451.0,881578080.0,294545310.0,0.17095315827639557
2020-10-12,16.15,16.38,15.88,16.25,32018646.0,547242856.0,294545310.0,0.10870533297576526
2020-10-13,16.48,16.7,16.24,16.26,29298052.0,510047542.0,294545310.0,0.09946874387509344
2020-10-14,16.32,16.96,15.99,16.92,39498670.0,694464062.0,294545310.0,0.1341004886480793
2020-10-15,16.76,16.78,16.03,16.13,28716421.0,498031448.0,294545310.0,0.09749406975789225
2020-10-16,16.09,16.3,15.9,16.0,12435387.0,211817718.0,294545310.0,0.04221892720002909
2020-10-19,16.08,16.25,15.79,15.88,10757296.0,182328762.0,294545310.0,0.036521701873304314
2020-10-20,15.82,16.0,15.63,15.92,9008991.0,150909906.0,294545310.0,0.03058609556539875
2020-10-21,15.96,16.12,15.5,15.62,11664382.0,194567778.0,294545310.0,0.03960131634755957
2020-10-22,15.5,15.5,15.25,15.28,8772409.0,142477685.0,294545310.0,0.029782884677403282
2020-10-23,15.37,15.41,14.74,14.82,11309032.0,180003685.0,294545310.0,0.038394880570327194
2020-10-26,14.81,15.16,14.65,15.01,6105555.0,96756490.0,294545310.0,0.020728746283551418
2020-10-27,14.93,15.19,14.82,15.19,6487711.0,103218378.0,294545310.0,0.022026190130136514
2020-10-28,15.3,15.64,15.16,15.47,12616552.0,206135162.0,294545310.0,0.04283399385989205
2020-10-29,15.24,15.47,15.19,15.33,8033182.0,130686016.0,294545310.0,0.027273162149483894
2020-10-30,15.44,15.6,15.03,15.04,10526593.0,171183315.0,294545310.0,0.03573845056300506
