日期,688599.SH_close,688599.SH_volume,688599.SH_turnover
2024-05-13,20.76,296813494.0,0.64
2024-05-14,20.72,173295209.0,0.37
2024-05-15,20.35,234908917.0,0.51
2024-05-16,19.94,259393490.0,0.57
2024-05-17,19.4,454515555.0,1.04
2024-05-20,19.27,344395036.0,0.79
2024-05-21,18.8,271095769.0,0.64
2024-05-22,22.2,1495030064.0,3.2
2024-05-23,21.26,1014544269.0,2.12
2024-05-24,20.6,668865463.0,1.42
2024-05-27,20.25,586778331.0,1.3
2024-05-28,19.89,395210115.0,0.88
2024-05-29,21.97,1398044416.0,2.86
2024-05-30,22.02,817845618.0,1.65
2024-05-31,21.44,585514045.0,1.21
2024-06-03,21.26,482234189.0,1.02
2024-06-04,21.28,609143537.0,1.28
2024-06-05,20.86,394900658.0,0.84
2024-06-06,20.21,710640277.0,1.57
2024-06-07,19.71,539723387.0,1.22
2024-06-11,19.79,332449477.0,0.75
2024-06-12,19.66,325804689.0,0.74
2024-06-13,19.95,460190493.0,1.03
2024-06-14,20.12,683276381.0,1.52
2024-06-17,19.55,470058539.0,1.07
2024-06-18,19.44,385118333.0,0.88
2024-06-19,18.88,477915883.0,1.12
2024-06-20,18.22,413613602.0,1.03
2024-06-21,18.26,368034430.0,0.91
2024-06-24,17.36,418104107.0,1.09
2024-06-25,16.99,273257106.0,0.73
2024-06-26,17.85,499847793.0,1.3
2024-06-27,17.21,316395587.0,0.84
2024-06-28,16.92,297656563.0,0.8
2024-07-01,17.12,254978785.0,0.68
2024-07-02,16.64,266042508.0,0.72
2024-07-03,16.65,200415831.0,0.55
2024-07-04,16.24,222034500.0,0.62
2024-07-05,16.57,241013071.0,0.67
2024-07-08,15.9,239525663.0,0.68
2024-07-09,15.8,402435145.0,1.18
2024-07-10,15.94,382493479.0,1.09
2024-07-11,16.58,382812415.0,1.06
2024-07-12,16.62,301179065.0,0.83
2024-07-15,16.05,251953296.0,0.71
2024-07-16,16.58,286686124.0,0.81
2024-07-17,16.64,358530154.0,0.98
2024-07-18,16.61,249488618.0,0.69
2024-07-19,17.13,362486804.0,0.98
2024-07-22,17.04,254578530.0,0.69
2024-07-23,16.63,224604331.0,0.61
2024-07-24,16.19,213305307.0,0.6
2024-07-25,17.12,620706066.0,1.66
2024-07-26,17.11,263284759.0,0.71
2024-07-29,16.48,261926099.0,0.72
2024-07-30,16.55,209764972.0,0.59
2024-07-31,17.44,385722704.0,1.03
2024-08-01,17.03,302899538.0,0.81
2024-08-02,16.72,257829138.0,0.7
2024-08-05,16.6,348600402.0,0.94
2024-08-06,17.56,619610129.0,1.63
2024-08-07,17.47,262213516.0,0.69
2024-08-08,17.36,394819346.0,1.03
2024-08-09,17.24,225470193.0,0.6
2024-08-12,17.34,262815616.0,0.69
2024-08-13,17.19,263040545.0,0.71
2024-08-14,16.94,166657016.0,0.45
2024-08-15,17.32,316639715.0,0.84
2024-08-16,17.1,187391267.0,0.5
2024-08-19,16.6,246237651.0,0.68
2024-08-20,16.64,156083479.0,0.43
2024-08-21,16.5,102574421.0,0.28
2024-08-22,16.08,212190793.0,0.6
2024-08-23,16.18,105655282.0,0.3
2024-08-26,16.39,141163926.0,0.39
2024-08-27,16.38,155962532.0,0.44
2024-08-28,16.3,135809862.0,0.38
2024-08-29,16.9,281709237.0,0.77
2024-08-30,17.24,302056900.0,0.81
2024-09-02,16.7,246876901.0,0.67
2024-09-03,16.88,210370125.0,0.57
2024-09-04,16.8,243300028.0,0.66
2024-09-05,16.82,258529263.0,0.7
2024-09-06,16.45,281633463.0,0.79
2024-09-09,16.21,159795830.0,0.45
2024-09-10,16.39,206592626.0,0.58
2024-09-11,16.46,166935155.0,0.46
2024-09-12,16.6,272837119.0,0.74
2024-09-13,16.29,204968208.0,0.57
2024-09-18,16.04,194508209.0,0.56
2024-09-19,16.2,217637702.0,0.61
2024-09-20,16.1,163782543.0,0.47
2024-09-23,16.04,138858971.0,0.4
2024-09-24,17.02,389170122.0,1.07
2024-09-25,16.89,388177487.0,1.04
2024-09-26,17.54,437146430.0,1.17
2024-09-27,18.83,443320732.0,1.11
2024-09-30,22.42,1548770784.0,3.37
2024-10-08,26.16,2356845141.0,4.25
2024-10-09,22.2,1489708146.0,2.91
2024-10-10,22.19,984192844.0,1.97
2024-10-11,21.79,635323180.0,1.36
2024-10-14,21.94,614308705.0,1.29
2024-10-15,22.48,867963792.0,1.76
2024-10-16,21.36,561367474.0,1.19
2024-10-17,20.81,421418240.0,0.92
2024-10-18,21.52,742591044.0,1.59
2024-10-21,23.26,1554561542.0,3.04
2024-10-22,25.3,2092193330.0,4.01
2024-10-23,26.31,2924637369.0,5.01
2024-10-24,25.07,1177787916.0,2.12
2024-10-25,29.0,2916697780.0,4.76
2024-10-28,28.0,1998762171.0,3.32
2024-10-29,26.6,1718402783.0,2.86
2024-10-30,25.44,1178618351.0,2.09
2024-10-31,25.03,1677573787.0,3.0
2024-11-01,25.08,1050278979.0,1.96
2024-11-04,25.08,652657319.0,1.2
2024-11-05,25.3,1072636705.0,1.95
2024-11-06,25.8,1231673842.0,2.18
