日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-12,20.66,21.2,20.54,20.97,20382035.0,451355804.0,304124100.0,0.067
2021-01-13,20.78,20.95,19.66,19.88,27798289.0,594050162.0,304124100.0,0.0914
2021-01-14,19.65,20.35,19.0,20.08,23828285.0,494558346.0,304124100.0,0.0784
2021-01-15,19.79,20.55,19.71,20.19,12896688.0,276285300.0,304124100.0,0.0424
2021-01-18,20.14,20.93,19.51,20.49,14748307.0,316434458.0,304124100.0,0.0485
2021-01-19,20.34,20.85,19.78,19.92,13408196.0,288547126.0,304124100.0,0.0441
2021-01-20,20.02,20.92,19.83,20.55,17010809.0,370418985.0,304124100.0,0.0559
2021-01-21,20.67,21.39,20.58,21.15,20091124.0,447670888.0,304124100.0,0.0661
2021-01-22,21.23,22.18,20.96,21.97,28056683.0,648212508.0,304124100.0,0.0923
2021-01-25,22.38,23.08,21.61,21.81,36473193.0,860912759.0,304124100.0,0.1199
2021-01-26,22.33,22.85,21.89,21.98,27422280.0,649998043.0,304124100.0,0.0902
2021-01-27,22.19,23.59,21.98,23.51,35709673.0,865386671.0,304124100.0,0.1174
2021-01-28,23.04,23.13,21.73,21.81,26580711.0,633345534.0,304124100.0,0.0874
2021-01-29,22.14,22.59,21.24,22.27,20656146.0,481122934.0,304124100.0,0.0679
2021-02-01,21.72,22.43,21.31,21.98,16634166.0,383784009.0,304124100.0,0.0547
2021-02-02,22.43,22.64,21.78,22.25,17543881.0,414814830.0,304124100.0,0.0577
2021-02-03,22.19,22.61,20.63,20.77,26617224.0,606887582.0,304124100.0,0.0875
2021-02-04,20.38,20.56,18.93,19.51,28550013.0,590110820.0,304124100.0,0.0939
2021-02-05,19.54,19.97,18.41,18.57,19540845.0,397075018.0,304124100.0,0.0643
2021-02-08,18.38,18.8,17.66,18.22,15763814.0,302701471.0,304124100.0,0.0518
2021-02-09,18.42,19.3,18.39,19.05,12207358.0,245672026.0,304124100.0,0.0401
2021-02-10,18.99,19.7,18.84,19.55,13275168.0,271954479.0,304124100.0,0.0437
2021-02-18,19.87,20.18,19.31,19.57,12669677.0,264130481.0,304124100.0,0.0417
2021-02-19,19.39,20.01,18.91,20.01,14368739.0,296013712.0,304124100.0,0.0472
2021-02-22,20.09,21.24,20.06,20.08,17075290.0,372877016.0,304124100.0,0.0561
2021-02-23,20.4,20.65,19.94,20.08,9537297.0,204683144.0,304124100.0,0.0314
2021-02-24,19.94,20.17,18.78,19.1,13327473.0,273768261.0,304124100.0,0.0438
2021-02-25,19.6,19.66,18.72,18.84,10224765.0,207052846.0,304124100.0,0.0336
2021-02-26,18.06,19.15,18.06,19.06,9288909.0,185133527.0,304124100.0,0.0305
2021-03-01,19.39,19.9,19.24,19.87,11923607.0,247553241.0,304124100.0,0.0392
2021-03-02,20.02,20.14,19.65,20.07,9703519.0,204543335.0,304124100.0,0.0319
2021-03-03,19.87,20.27,19.86,20.09,8235894.0,174924944.0,304124100.0,0.0271
2021-03-04,19.83,19.83,18.71,18.97,12682041.0,256406118.0,304124100.0,0.0417
2021-03-05,18.71,19.07,18.46,18.86,8170089.0,162976561.0,304124100.0,0.0269
2021-03-08,19.05,19.1,17.66,17.74,13521514.0,263074437.0,304124100.0,0.0445
2021-03-09,17.8,17.93,16.81,17.44,11152724.0,205683874.0,304124100.0,0.0367
2021-03-10,17.9,17.98,17.38,17.39,8170375.0,152182545.0,304124100.0,0.0269
2021-03-11,17.39,17.92,17.05,17.82,8753460.0,163194601.0,304124100.0,0.0288
2021-03-12,17.94,18.41,17.7,17.77,14363003.0,273628786.0,304124100.0,0.0472
2021-03-15,17.91,18.01,17.23,17.44,8361815.0,155500924.0,304124100.0,0.0275
2021-03-16,17.44,17.7,17.19,17.35,7211012.0,132828845.0,304124100.0,0.0237
2021-03-17,17.3,17.53,16.83,17.44,5589491.0,102031578.0,304124100.0,0.0184
2021-03-18,17.45,17.52,16.99,17.15,9463260.0,172427725.0,304124100.0,0.0311
2021-03-19,16.84,17.21,16.68,16.68,6620913.0,118736503.0,304124100.0,0.0218
2021-03-22,16.7,17.16,16.7,16.96,5449006.0,97991697.0,304124100.0,0.0179
2021-03-23,17.12,17.17,16.25,16.34,8576797.0,150500423.0,304124100.0,0.0282
2021-03-24,16.32,16.46,15.91,15.97,6593224.0,112485485.0,304124100.0,0.0217
2021-03-25,15.94,16.18,15.86,15.95,5282472.0,89605061.0,304124100.0,0.0174
2021-03-26,16.06,16.68,16.06,16.46,9799126.0,170610061.0,304124100.0,0.0322
2021-03-29,16.52,16.52,16.28,16.41,4236198.0,73631940.0,304124100.0,0.0139
2021-03-30,16.42,17.28,16.29,16.92,12398611.0,221550497.0,304124100.0,0.0408
2021-03-31,17.0,17.71,17.0,17.52,15114280.0,279782825.0,304124100.0,0.0497
2021-04-01,17.85,18.37,17.67,17.89,12377957.0,235516756.0,304124100.0,0.0407
2021-04-02,17.75,17.88,17.52,17.62,7921686.0,148476860.0,304124100.0,0.026
2021-04-06,17.7,18.11,17.69,17.85,6744487.0,127962298.0,304124100.0,0.0222
2021-04-07,17.94,17.94,17.35,17.66,6879521.0,127493495.0,304124100.0,0.0226
2021-04-08,17.56,17.65,17.23,17.26,7648041.0,140840942.0,304124100.0,0.0251
2021-04-09,17.26,17.34,17.03,17.08,4188269.0,76064098.0,304124100.0,0.0138
2021-04-12,17.08,17.34,16.54,16.64,7065288.0,126381163.0,304124100.0,0.0232
2021-04-13,16.71,16.75,16.28,16.34,4866874.0,85051826.0,304124100.0,0.016
2021-04-14,16.34,16.68,16.3,16.49,5194851.0,90553644.0,304124100.0,0.0171
2021-04-15,16.48,16.68,16.16,16.54,5469702.0,95225124.0,304124100.0,0.018
2021-04-16,16.71,16.85,16.23,16.61,8338375.0,145693791.0,304124100.0,0.0274
2021-04-19,16.57,16.94,16.38,16.9,13201644.0,234783285.0,304124100.0,0.0434
2021-04-20,16.9,17.43,16.62,17.23,14376635.0,260671709.0,304124100.0,0.0473
2021-04-21,17.0,17.11,16.57,16.76,8954824.0,159065083.0,304124100.0,0.0294
2021-04-22,16.68,16.87,16.54,16.57,6098431.0,107553994.0,304124100.0,0.0201
2021-04-23,16.6,16.88,16.57,16.71,6618218.0,117095307.0,304124100.0,0.0218
2021-04-26,16.66,17.51,16.48,16.91,13781167.0,250727576.0,304124100.0,0.0453
2021-04-27,16.81,16.93,16.08,16.3,10664342.0,185212645.0,304124100.0,0.0351
2021-04-28,16.26,16.38,16.06,16.3,4834992.0,83216729.0,304124100.0,0.0159
2021-04-29,16.32,16.35,15.77,15.8,9952436.0,167962628.0,304124100.0,0.0327
