证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
天合光能,天合光能股份有限公司,,,,,0.0,0.0,0.0,,178278.7065,,0.0,,,102370.4901,,28523.931,39363.0061,,,,A股上市,2020-06-09,,688599,2020-06-10,,,,,178278.7065,,,206802.6375,,,,,,28523.931,36545.2103,138915.7004,015001
天合光能,天合光能股份有限公司,,,,,,,,,177348.1065,,2.8691,,,105321.8173,,29454.531,35478.2098,,,,定期报告,2020-08-27,,688599,2020-06-30,,,,,177348.1065,,,206802.6375,,,,2.8691,,29454.531,36545.2103,141867.0276,015019
天合光能,天合光能股份有限公司,,,,,,,,,175782.6375,,2.8691,,,103756.3483,,31020.0,35478.2098,,,,限售股份上市,2020-12-03,,688599,2020-12-10,,,,,175782.6375,,,206802.6375,,,,2.8691,,31020.0,36545.2103,140301.5586,015027
天合光能,天合光能股份有限公司,,,,,,,,,176390.2275,,,,,103759.2174,,30412.41,36085.7998,,,,定期报告,2021-03-31,,688599,2020-12-31,,,,,176390.2275,,,206802.6375,,,,,,30412.41,36545.2103,140304.4277,015019
天合光能,天合光能股份有限公司,,,,,,,,,85114.2422,,,,,12483.2321,,121688.3953,36085.7998,,,,限售股份上市,2021-06-02,,688599,2021-06-10,,,,,85114.2422,,,206802.6375,,,,,,121688.3953,36545.2103,49028.4424,015027
天合光能,天合光能股份有限公司,,,,,,,,,85278.9922,,,,,47961.4419,,121523.6453,772.34,,,,定期报告,2021-08-25,,688599,2021-06-30,,,,,85278.9922,,,206802.6375,,,,,,121523.6453,36545.2103,84506.6522,015019
天合光能,天合光能股份有限公司,,,,,,,,,85033.3522,,,,,47961.4419,,122333.4285,526.7,,,,定期报告,2022-04-28,,688599,2021-12-31,,,,,85033.3522,,,207366.7807,,,,,,122333.4285,36545.2103,84506.6522,015019
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,122087.7885,772.34,,,,"增发新股上市,股权激励",2022-01-08,,688599,2022-01-11,,,,,85278.9922,,,207366.7807,,,,,,122087.7885,36545.2103,84506.6522,"015004,015025"
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,122094.5766,772.34,,,,"增发新股上市,股权激励",2022-02-19,,688599,2022-02-23,,,,,85278.9922,,,207373.5688,,,,,,122094.5766,36545.2103,84506.6522,"015004,015025"
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,122095.9007,772.34,,,,可转债转股,2022-03-01,,688599,2022-02-25,,,,,85278.9922,,,207374.8929,,,,,,122095.9007,36545.2103,84506.6522,015012
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,126304.99,772.34,,,,可转债转股,2022-03-22,,688599,2022-03-18,,,,,85278.9922,,,211583.9822,,,,,,126304.99,36545.2103,84506.6522,015012
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,127267.1674,772.34,,,,可转债转股,2022-03-24,,688599,2022-03-22,,,,,85278.9922,,,212546.1596,,,,,,127267.1674,36545.2103,84506.6522,015012
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,85278.9922,,0.0,,,47961.4419,,128842.7158,772.34,,,,可转债转股,2022-03-30,,688599,2022-03-29,,,,,85278.9922,,,214121.708,,,,,,128842.7158,36545.2103,84506.6522,015012
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84783.6322,,0.0,,,47961.4419,,129668.5735,772.34,,,,可转债转股,2022-04-02,,688599,2022-03-31,,,,,84783.6322,,,214452.2057,,,,,,129668.5735,36049.8503,84011.2922,015012
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84961.5322,,0.0,,,47961.4419,,131797.2093,772.34,,,,可转债转股,2022-04-14,,688599,2022-04-12,,,,,84961.5322,,,216758.7415,,,,,,131797.2093,36227.7503,84189.1922,015012
天合光能,天合光能股份有限公司,,,,,,,,,84030.9322,,,,,47030.8419,,132727.8093,772.34,,,,限售股份上市,2022-06-01,,688599,2022-06-10,,,,,84030.9322,,,216758.7415,,,,,,132727.8093,36227.7503,83258.5922,015027
天合光能,天合光能股份有限公司,,,,,,,,,84506.6522,,,,,47961.4419,,132252.0893,,,,,定期报告,2022-08-26,,688599,2022-06-30,,,,,84506.6522,,,216758.7415,,,,,,132252.0893,36545.2103,84506.6522,015019
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84506.6522,,0.0,,,47961.4419,,132425.8751,,,,,"增发新股上市,股权激励",2022-11-15,,688599,2022-11-17,,,,,84506.6522,,,216932.5273,,,,,,132425.8751,36545.2103,84506.6522,"015004,015025"
天合光能,天合光能股份有限公司,,,,,0.0,0.0,0.0,,84506.6522,,0.0,,,47961.4419,,132425.8751,,,,,定期报告,2023-04-25,,688599,2022-12-31,,,,,84506.6522,,,216932.5273,,,,,,132425.8751,36545.2103,84506.6522,015019
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84506.6522,,0.0,,,47961.4419,,132817.5705,,,,,"增发新股上市,股权激励",2023-01-20,,688599,2023-01-31,,,,,84506.6522,,,217324.2227,,,,,,132817.5705,36545.2103,84506.6522,"015004,015025"
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84506.6522,,0.0,,,47961.4419,,132817.5705,,,,,其他,2023-05-30,,688599,2023-05-29,,,,,84506.6522,,,217324.2227,,,,,,132817.5705,36545.2103,84506.6522,015999
天合光能,天合光能股份有限公司,,,,,,0.0,0.0,,84506.6522,,0.0,,,47961.4419,,132835.9144,,,,,"增发新股上市,股权激励",2023-06-02,,688599,2023-06-06,,,,,84506.6522,,,217342.5666,,,,,,132835.9144,36545.2103,84506.6522,"015004,015025"
天合光能,天合光能股份有限公司,,,,,,,,,26367.3957,,,,,,,190975.1709,,,,,限售股份上市,2023-06-03,,688599,2023-06-12,,,,,26367.3957,,,217342.5666,,,,,,190975.1709,26367.3957,26367.3957,015027
