SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
605066.SH,605066,天正电气,10000015570,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,1620075179.57,,,,,,,,,,,,13255293.5,46914139.46,,0,1680244612.53,875877860.75,,,,,,347525273.87,86823883.81,236197700.71,,0,1546424719.14,,0,133819893.39,110000000.0,1439999.82,494276.69,,,209264263.74,,0,321198540.25,51333217.83,65000000.0,,,,,,0,116333217.83,,0,204865322.42,,,,,,,,,,126654465.67,,,12503650.72,,,0,139158116.39,,0,-139158116.39,-1252464.74,,0,198274634.68,442076914.51,,0,640351549.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.2349824236,,,,,,,,,,,,6.0296295339,-37.4315534818,,,-12.1491252392,-17.3024971737,,,,,,-7.37095328,-12.7405836929,-20.8946407933,,,-15.6066555603,,,66.8395785648,1000.0,231.5150543768,-50.7403153913,,,-60.5579199498,,,-40.738134781,-21.6280040489,132.1428571429,,,,,,,-82.6330933661,,,260.2300149744,,,,,,,,,,-16.6789112201,,,25.4974926217,,,,-14.0845277317,,,11.8060703418,-350.1388748972,,,196.3840867645,-37.2352252338,,,28.4231747175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605066.SH,605066,天正电气,10000015570,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,1048863149.57,,,,,,,,,,,,6427929.15,28177074.71,,0,1083468153.43,592418071.41,,,,,,241763253.02,56979119.69,151500035.51,,0,1042660479.63,,0,40807673.8,110000000.0,1439999.82,462291.14,,,209339941.84,,0,321242232.8,34558925.42,55000000.0,,,,,,0,89558925.42,,0,231683307.38,,,,,,,,,,126654465.67,,,9937875.19,,,0,136592340.86,,0,-136592340.86,-401530.28,,0,135497110.04,442076914.51,,0,577574024.55,81893506.79,4829146.7,30210455.27,29583242.93,627212.34,3693560.21,9414318.62,,,,-0.01,-89647.86,671164.94,923022.27,-2239971.15,-874710.61,120026.41,-994737.02,,45903519.14,-151648278.48,6445056.65,-2761795.2,,0.0,40807673.8,,,,,577574024.55,442076914.51,,,,,135497110.04,-7.9773729914,,,,,,,,,,,,-40.3868183408,-43.6127856475,,,-9.7517287764,-17.5672389701,,,,,,-9.293443839,-23.0371805738,-20.7707484848,,,-16.617414626,,,181.7595707306,1000.0,231.5150543768,-43.4586729649,,,-28.6157583848,,,5.4948385097,-25.5157649935,120.0,,,,,,,-75.2761600336,,,501.3415775674,,,,,,,,,,25.0615319256,,,48.8038048985,,,,26.5303573544,,,-31.5696956351,-12036.3801755095,,,164.0790283425,-37.2352252338,,,17.1820536126,10.2447194804,8.1147319787,-2.6884021703,-3.7025506951,93.3575646206,6.0565241881,8.8785531781,,,,99.9999976126,-126.4126166993,46.7318281546,448.4627459281,-91.9239610435,-118.0902598129,-97.8098783866,-54.1997594623,,-34.8660194814,8.6183630187,106.6357892847,-193.3230092364,,,181.7595707306,,,,,17.1820536126,-37.2352252338,,,,,164.0790283425,,,,,5437198.18,8.3141421063
605066.SH,605066,天正电气,10000015570,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,509485699.07,,,,,,,,,,,,2823407.89,11441656.54,,0,523750763.5,270429231.02,,,,,,135839375.32,26259342.98,62670965.71,,0,495198915.03,,0,28551848.47,,,401925.58,,,294293206.04,,0,294695131.62,14637685.9,,,,,45000000.0,,0,59637685.9,,0,235057445.72,,,,,,,,,,,,,1488174.57,,,0,1488174.57,,0,-1488174.57,8305.44,,0,262129425.06,442076914.51,,0,704206339.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8643251196,,,,,,,,,,,,43.5351395118,-51.6293777463,,,-11.358538137,-12.2917559043,,,,,,-9.3249866778,-32.5421900767,-36.8095774467,,,-16.9466899475,,,630.908085334,,,229.1463515601,,,61.705170112,,,52.7479816692,-47.4675926859,,,,,-75.0,,,-71.3092909999,,,1673.8570082756,,,,,,,,,,,,,-57.0367506126,,,,-57.0367506126,,,-321.8115303395,198.8675660407,,,1434.7153661251,-37.2352252338,,,2.8489105764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605066.SH,605066,天正电气,10000015570,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-29 00:00:00,2025-03-29 00:00:00,CNY,2398095523.29,,,,,,,,,,,,13856667.66,94444213.7,,0,2506396404.65,1423212257.74,,,,,,498510155.24,123025488.54,349302281.62,,0,2394050183.14,,0,112346221.51,,,1126697.05,,,537697322.27,,0,538824019.32,99700244.71,3000000.0,,,,646320560.58,,0,749020805.29,,0,-210196785.97,4134750.0,,,,,,0.0,4134750.0,,151509439.88,,,16134094.85,,,0,167643534.73,,0,-163508784.73,-902939.55,,0,-262262288.74,704339203.25,,0,442076914.51,121370769.09,1809938.01,60538932.49,59605305.14,933627.35,7296609.05,17176325.18,,,,-441050.45,1000418.09,-230952.8,-5719213.11,-1903860.99,-905376.7,-3481627.61,2576250.91,,4958348.92,112185544.17,-237058473.63,1364545.89,,0.0,112346221.51,,,,,442076914.51,704339203.25,,,,,-262262288.74,-2.1710119974,,,,,,,,,,,,7.9350420542,57.4892436102,,,-0.7021884006,18.5111996526,,,,,,6.3895377709,10.8353449449,32.5962683507,,,17.1308114257,,,-76.6047207649,,,-95.4793511253,,,130.6304672282,,,108.785960983,-5.9618340642,-83.7619635756,,,,43.6835215047,,,30.4190603064,,,33.5332845228,-77.4238233197,,,,,,,-94.7203371629,,47.7038012942,,,54.1805594075,,,,-33.748456571,,,6.4200442044,-130.2909991713,,,-2251.4704828559,-1.5588033766,,,-37.2352252338,-24.9112827075,-91.6093868565,-0.491105796,-0.4819444005,-1.0725232023,10.8388845597,36.6427580124,,,,97.7769351427,187.7168219381,51.1321369094,-3385.9222752926,-228.2271746625,-107.3955910268,-127.652110094,838.8020476359,,113.8777234069,176.0994459091,-161.1952643716,-74.8634745727,,,-76.6047207649,,,,,-37.2352252338,-1.5588033766,,,,,-2251.4704828559,标准无保留意见,,,,10105211.26,15.3303575474
605066.SH,605066,天正电气,10000015570,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,1825127988.26,,,,,,,,,,,,12501499.4,74980508.66,,0,1912609996.32,1059134593.93,,,,,,375179585.86,99500876.22,298586218.53,,0,1832401274.54,,0,80208721.78,10000000.0,434369.36,1003410.18,,,530560922.43,,0,541998701.97,65499439.19,28000000.0,,,,576356282.86,,0,669855722.05,,0,-127857020.08,4134750.0,,,,49709.58,,0.0,4184459.58,,152007694.0,,,9963267.36,,,0,161970961.36,,0,-157786501.78,-278239.63,,0,-205713039.71,704339203.25,,0,498626163.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0318211219,,,,,,,,,,,,4.5010642194,65.5498911775,,,8.5184310854,34.2176780197,,,,,,7.357643753,7.3134765361,36.2043252485,,,26.3269129424,,,-74.2880811728,109535.6587787465,,-95.2983153876,,,248.9412387255,,,212.5723991073,-16.4745852835,788.8888888889,,,,85.9213815677,,,71.0698371735,,,41.395466321,-77.4238233197,,,,-84.533807497,,,-94.6787019158,,48.2827289842,,,81.1736801236,,,,-34.6921200272,,,6.8420784151,-146.4181549279,,,-174.3077763633,-1.5588033766,,,-22.1503370096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605066.SH,605066,天正电气,10000015570,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-20 00:00:00,2025-08-29 00:00:00,CNY,1139788314.75,,,,,,,,,,,,10782731.22,49970680.47,,0,1200541726.44,718668238.22,,,,,,266533383.31,74034605.43,191217299.94,,0,1250453526.9,,0,-49911800.46,10000000.0,434369.36,817616.36,,,293257919.54,,0,304509905.26,46397637.59,25000000.0,,,,290839480.68,,0,362237118.27,,0,-57727213.01,4134750.0,,,,,,0.0,4134750.0,,101273720.0,,,6678508.79,,,0,107952228.79,,0,-103817478.79,3363.92,,0,-211453128.34,704339203.25,,0,492886074.91,74283382.62,4466687.02,31045071.65,30720692.13,324379.52,3482633.66,8646623.55,,,,-418868.17,339413.02,457409.24,168292.61,-1167113.86,4835257.31,5480353.66,-645096.35,,70475531.78,-165950494.53,-97125697.84,2959393.64,,0.0,-49911800.46,,,,,492886074.91,704339203.25,,,,,-211453128.34,11.0613658919,,,,,,,,,,,,2.5821049371,74.0972784907,,,12.6758213828,46.7799514981,,,,,,10.4733391975,18.8595006129,50.3413749844,,,35.8651039713,,,-134.3937075788,111932.516317536,,-96.0082088488,,,481.8153027475,,,329.5204389027,-18.1353230729,,,,,38.4949908,,,35.8341568835,,,70.5143483541,-77.4238233197,,,,,,,-94.7419166482,,0.6767477605,,,52.8196539093,,,,-41.6358181024,,,2.3602663534,-99.183162649,,,-35.0474069382,-1.5588033766,,,-11.8138252626,-29.1529608086,23954.6840862033,9.9266642373,9.5471144324,63.6128977068,11.0187127299,29.8453768414,,,,97.897231464,4.9515438695,273.5994236646,-75.0536958313,-169.0238746672,-4.7020964051,3.3479645372,-181.721946159,,78.0952606755,21.41142684,-155.1648367567,,,,-134.3937075788,,,,,-11.8138252626,-1.5588033766,,,,,-35.0474069382,,,,,5019841.43,27.4250584038
605066.SH,605066,天正电气,10000015570,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-26 00:00:00,CNY,565243117.94,,,,,,,,,,,,1967049.95,23654143.79,,0,590864311.68,308328178.05,,,,,,149809049.2,38927061.24,99177950.04,,0,596242238.53,,0,-5377926.85,10434647.61,378536.5,122111.51,,,181993690.02,,0,192928985.64,27864106.46,,,,,180000000.0,,0,207864106.46,,0,-14935120.82,4134750.0,,,,,,0.0,4134750.0,,,,,3463831.51,,,0,3463831.51,,0,670918.49,2778.97,,0,-19639350.21,704339203.25,,0,684699853.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0756659545,,,,,,,,,,,,101.3901474742,44.8596803165,,,26.8923588041,36.1637473991,,,,,,69.9263253204,58.9420388665,67.7674919331,,,49.7313182697,,,-107.9750907018,173810.7935,,-99.5449124131,,,,,,618.8508119324,-5.0751496888,,,,,12.5,,,9.7754795462,,,90.8100233556,,,,,,,,,,,,,28.3630464821,,,,-94.5840591488,,,101.0490276006,,,,87.6511203162,-1.5588033766,,,23.0468014866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605066.SH,605066,天正电气,10000015570,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-23 00:00:00,2025-03-29 00:00:00,CNY,2451313840.87,,,,,,,,,,,,12837969.39,59968675.66,,0,2524120485.92,1200909502.15,,,,,,468570656.18,110998426.18,263432965.32,,0,2043911549.83,,0,480208936.09,9121.12,,24923347.98,,,233142363.51,,0,258074832.61,106021043.39,18475140.23,,,,449822327.44,,0,574318511.06,,0,-316243678.45,18314660.0,,60000000.0,,,,0.0,78314660.0,140000000.0,102576533.95,,,10464415.82,,,0,253040949.77,,0,-174726289.77,-392086.34,,0,-11153118.47,715492321.72,,0,704339203.25,161636492.76,21570986.28,60837710.01,59893960.73,943749.28,6583076.94,12570241.87,,,,-19839747.3,347709.28,-472606.71,174051.99,1484756.25,12242114.21,12590820.73,-348706.52,,-35728835.16,-147419659.67,387380422.43,5428538.22,,0.0,480208936.09,,,,,704339203.25,715492321.72,,,,,-11153118.47,20.5318770558,,,,,,,,,,,,-44.0908180691,-20.6969261015,,,18.3738686116,-0.1959301595,,,,,,4.8152602984,93.0426244729,-14.1044383906,,,1.4599593566,,,307.5491439782,-90.0857391304,,3407.8020701725,,,-42.9274784846,,,-36.9479552601,-37.9081325777,,,,,308.7856839138,,,104.5385998517,,,-346.0712579605,,,-25.0,,,,,-2.106675,55.5555555556,2826.9902651914,,,-64.1926468207,,,,106.1790921117,,,-308.9200691268,-131.4778355963,,,-105.4441980484,40.119563345,,,-1.5588033766,263.7309791861,-3.3858327241,27.6876445807,25.7068809619,,13.0333226033,68.2797165739,,,,,-66.8007979206,,-94.6381414535,212.2067346973,146.9255732382,139.3771141571,-105.9237268097,,-139.5449905806,-232.1110435014,246.1844662124,,,,307.5491439782,,,,,-1.5588033766,40.119563345,,,,,-105.4441980484,标准无保留意见,,,,8761969.94,3.6208554151
605066.SH,605066,天正电气,10000015570,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,1705219970.22,,,,,,,,,,,,11963035.49,45291789.76,,0,1762474795.47,789117059.36,,,,,,349467045.61,92719832.99,219219336.82,,0,1450523274.78,,0,311951520.69,9121.12,,21341503.37,,,152048787.46,,0,173399411.95,78418574.05,3150000.0,,,,310000000.0,,0,391568574.05,,0,-218169162.1,18314660.0,,60000000.0,,321408.0,,0.0,78636068.0,140000000.0,102512069.37,,,5499290.71,,,0,248011360.08,,0,-169375292.08,599419.84,,0,-74993513.65,715492321.72,,0,640498808.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9406605082,,,,,,,,,,,,-41.9974342821,-21.4947563183,,,13.7750473139,-11.7383657263,,,,,,6.2204157682,90.3043319211,0.0418303759,,,-2.7093263259,,,436.2737199314,,,13566.7429598018,,,-38.216368569,,,-29.5854179507,-35.1549806704,,,,,106.6666666667,,,44.5263530418,,,-784.0875526503,,,-25.0,,,,,-1.704915,55.5555555556,5188.9632261028,,,-80.6035873039,,,,106.1773077467,,,-320.3869757709,131.3493372065,,,-1046.9789129846,40.119563345,,,27.060028781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605066.SH,605066,天正电气,10000015570,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-20 00:00:00,CNY,1026268951.04,,,,,,,,,,,,10511317.96,28702734.99,,0,1065483003.99,489622888.47,,,,,,241264892.73,62287494.94,127188739.6,,0,920364015.74,,0,145118988.25,8925.98,,20482443.32,,,50403954.34,,0,70895323.64,56676016.24,,,,,210000000.0,,0,266676016.24,,0,-195780692.6,18314660.0,,60000000.0,,321408.0,,0.0,78636068.0,80000000.0,100592959.4,,,4370189.71,,,0,184963149.11,,0,-106327081.11,411822.5,,0,-156576962.96,715492321.72,,0,558915358.76,104850369.85,-18724.57,28241620.78,28043360.42,198260.36,3136978.96,6659169.36,,,,-19919842.0,323399.74,-263485.46,674619.41,1690884.3,5073833.87,5302817.22,-228983.35,,39571817.64,-211163643.59,176064506.94,,,0.0,145118988.25,,,,,558915358.76,715492321.72,,,,,-156576962.96,9.9625331326,,,,,,,,,,,,2056.7118974282,-19.924659046,,,9.8864645952,-20.4426805243,,,,,,0.3998689841,129.12599926,-14.4904930546,,,-10.7884944555,,,333.8989454842,,,18552.3528028647,,,-75.497550637,,,-65.5546415884,-29.7007423627,,,,,40.0,,,15.6338456314,,,-689.3936574096,,,-25.0,,,,,-1.704915,-11.1111111111,7234.0012990986,,,-83.8421221597,,,,56.1945995106,,,-176.7608097636,190.3485599837,,,-25.1400120933,40.119563345,,,44.9813578049,82.9791635081,-100.2420382031,25.3349902071,24.4551200157,,5.7279557436,176.5429981137,,,,-6528.2054595969,,,-54.7491988823,229.3295592523,301.9425820949,311.0562996781,,,-50.4132713185,-1934.4955865283,168.208337234,,,,333.8989454842,,,,,44.9813578049,40.119563345,,,,,-25.1400120933,,,,,3939446.05,-14.7586619249
