日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2020-08-07,8.33,10.01,8.33,10.01,194298.0,2797213.0,71000000.0,0.0027365915492957747
2020-08-10,11.0,11.0,11.0,11.0,70944.0,1125881.0,71000000.0,0.000999211267605634
2020-08-11,12.11,12.11,12.11,12.11,73354.0,1280761.0,71000000.0,0.0010331549295774648
2020-08-12,13.32,13.32,13.32,13.32,289642.0,5564023.0,71000000.0,0.004079464788732394
2020-08-13,14.65,14.65,12.66,13.71,39905281.0,789786963.0,71000000.0,0.5620462112676057
2020-08-14,12.83,12.9,12.34,12.34,23153399.0,417819619.0,71000000.0,0.32610421126760564
2020-08-17,11.9,12.13,11.51,12.02,17071428.0,292773633.0,71000000.0,0.24044264788732395
2020-08-18,11.89,11.91,11.7,11.77,12977546.0,220455120.0,71000000.0,0.182782338028169
2020-08-19,11.75,12.09,11.58,11.86,12418491.0,212066434.0,71000000.0,0.17490832394366196
2020-08-20,11.72,11.78,11.36,11.36,10126762.0,168184645.0,71000000.0,0.14263045070422536
2020-08-21,11.37,11.55,11.28,11.33,5531706.0,91040357.0,71000000.0,0.07791135211267605
2020-08-24,11.38,11.38,10.87,10.95,7793714.0,123782975.0,71000000.0,0.10977061971830986
2020-08-25,10.96,11.22,10.89,11.01,6654783.0,105700053.0,71000000.0,0.09372933802816902
2020-08-26,11.03,11.08,10.7,10.72,6112029.0,95964083.0,71000000.0,0.08608491549295774
2020-08-27,10.77,10.92,10.54,10.8,4615839.0,71553625.0,71000000.0,0.06501181690140845
2020-08-28,10.8,10.92,10.73,10.87,3975597.0,62186127.0,71000000.0,0.055994323943661974
2020-08-31,10.89,11.15,10.87,10.99,5298283.0,84242591.0,71000000.0,0.07462370422535211
2020-09-01,11.03,11.05,10.76,10.81,3748378.0,58711000.0,71000000.0,0.05279405633802817
2020-09-02,10.77,10.83,10.67,10.71,3770439.0,58370136.0,71000000.0,0.05310477464788732
2020-09-03,10.79,10.8,10.58,10.63,3104753.0,47885575.0,71000000.0,0.043728915492957744
2020-09-04,10.54,10.54,10.41,10.46,3838221.0,57868586.0,71000000.0,0.054059450704225354
2020-09-07,10.46,10.49,10.14,10.17,4321861.0,64309986.0,71000000.0,0.06087128169014085
2020-09-08,10.2,10.39,10.08,10.37,3829542.0,56411379.0,71000000.0,0.05393721126760563
2020-09-09,10.19,10.26,10.01,10.02,3658443.0,53299776.0,71000000.0,0.0515273661971831
2020-09-10,10.08,10.23,9.72,9.74,3713246.0,53282689.0,71000000.0,0.05229923943661972
2020-09-11,9.71,9.9,9.51,9.8,3347966.0,46604418.0,71000000.0,0.04715445070422535
2020-09-14,9.78,9.92,9.71,9.79,2368073.0,33523175.0,71000000.0,0.03335314084507042
2020-09-15,9.79,10.1,9.74,10.1,4107006.0,58777957.0,71000000.0,0.057845154929577466
2020-09-16,10.02,10.16,9.97,10.1,3125894.0,45352928.0,71000000.0,0.044026676056338025
2020-09-17,10.05,10.3,10.0,10.18,4053704.0,59479556.0,71000000.0,0.05709442253521127
2020-09-18,10.16,10.24,10.08,10.14,2396361.0,35048736.0,71000000.0,0.03375156338028169
2020-09-21,10.17,10.17,10.0,10.01,2174324.0,31533793.0,71000000.0,0.030624281690140844
2020-09-22,9.92,9.96,9.76,9.78,2687513.0,38137585.0,71000000.0,0.03785229577464789
2020-09-23,9.81,10.39,9.81,10.07,3796309.0,55357630.0,71000000.0,0.05346914084507042
2020-09-24,9.96,10.14,9.8,9.84,2646457.0,37918756.0,71000000.0,0.03727404225352113
2020-09-25,9.85,9.96,9.72,9.74,1678334.0,23692038.0,71000000.0,0.02363850704225352
2020-09-28,9.76,9.76,9.51,9.53,1715768.0,23742229.0,71000000.0,0.024165746478873238
2020-09-29,9.57,9.6,9.41,9.45,1637480.0,22401112.0,71000000.0,0.023063098591549296
2020-09-30,9.49,9.56,9.4,9.44,1157438.0,15797251.0,71000000.0,0.01630194366197183
2020-10-09,9.51,9.74,9.51,9.69,1954354.0,27158485.0,71000000.0,0.027526112676056338
2020-10-12,9.71,10.04,9.71,9.99,3156534.0,45223429.0,71000000.0,0.044458225352112676
2020-10-13,9.98,10.0,9.86,9.92,2248033.0,32131997.0,71000000.0,0.03166243661971831
2020-10-14,9.9,10.01,9.85,9.98,2403228.0,34510818.0,71000000.0,0.03384828169014085
2020-10-15,10.04,10.05,9.77,9.77,2423000.0,34358871.0,71000000.0,0.03412676056338028
2020-10-16,9.74,9.92,9.72,9.83,1551074.0,21985979.0,71000000.0,0.021846112676056337
2020-10-19,9.81,9.9,9.78,9.81,1417318.0,20093624.0,71000000.0,0.019962225352112676
2020-10-20,9.78,9.9,9.75,9.9,1454062.0,20593046.0,71000000.0,0.02047974647887324
2020-10-21,9.95,10.35,9.85,10.26,6765131.0,99008420.0,71000000.0,0.0952835352112676
2020-10-22,10.28,10.5,10.1,10.46,7538130.0,112671885.0,71000000.0,0.10617084507042253
2020-10-23,10.39,10.47,10.26,10.28,4716405.0,70346992.0,71000000.0,0.06642823943661971
2020-10-26,10.29,10.31,10.08,10.12,2864562.0,42127074.0,71000000.0,0.040345943661971834
2020-10-27,10.07,10.11,9.87,9.98,2844890.0,40980992.0,71000000.0,0.04006887323943662
2020-10-28,10.2,10.39,10.14,10.21,4298502.0,63683658.0,71000000.0,0.060542281690140844
2020-10-29,10.02,10.35,10.01,10.09,3586596.0,52594786.0,71000000.0,0.05051543661971831
2020-10-30,10.12,10.24,9.93,9.94,3610481.0,52355002.0,71000000.0,0.050851845070422536
2020-11-02,9.99,10.01,9.73,9.87,2947051.0,41863186.0,71000000.0,0.041507760563380285
2020-11-03,9.91,10.3,9.78,10.29,5362888.0,78379044.0,71000000.0,0.0755336338028169
2020-11-04,10.33,10.39,10.12,10.22,3785113.0,55746906.0,71000000.0,0.053311450704225355
2020-11-05,10.3,10.77,10.17,10.71,10360378.0,157341733.0,71000000.0,0.14592081690140846
2020-11-06,10.75,10.8,10.54,10.69,7266468.0,111523716.0,71000000.0,0.10234461971830985
2020-11-09,10.68,10.86,10.61,10.8,7329914.0,113639118.0,71000000.0,0.10323822535211268
2020-11-10,10.84,10.84,10.42,10.46,5225826.0,79734959.0,71000000.0,0.07360318309859155
2020-11-11,10.46,10.74,10.42,10.59,4506906.0,68930387.0,71000000.0,0.06347754929577465
2020-11-12,10.54,10.57,10.26,10.4,3670322.0,54991312.0,71000000.0,0.051694676056338026
2020-11-13,10.32,10.53,10.28,10.43,2702463.0,40590421.0,71000000.0,0.03806285915492958
2020-11-16,10.44,10.64,10.41,10.51,3710174.0,56394817.0,71000000.0,0.05225597183098592
2020-11-17,10.42,10.8,10.32,10.78,7535444.0,115544455.0,71000000.0,0.10613301408450704
2020-11-18,10.68,10.85,10.62,10.8,4995950.0,77268673.0,71000000.0,0.07036549295774648
2020-11-19,10.71,10.99,10.62,10.64,5625992.0,87467289.0,71000000.0,0.07923932394366197
2020-11-20,10.65,10.74,10.44,10.69,4223082.0,64414024.0,71000000.0,0.059480028169014085
2020-11-23,10.64,10.73,10.49,10.54,3438587.0,52383961.0,71000000.0,0.04843080281690141
2020-11-24,10.57,10.65,10.46,10.57,2658756.0,40545346.0,71000000.0,0.0374472676056338
2020-11-25,10.61,10.64,10.23,10.26,4323975.0,64974827.0,71000000.0,0.06090105633802817
2020-11-26,10.2,10.43,10.09,10.34,3239511.0,47890639.0,71000000.0,0.04562691549295775
2020-11-27,10.33,10.36,10.06,10.12,2481106.0,36364190.0,71000000.0,0.03494515492957746
2020-11-30,10.12,10.21,10.05,10.12,1561732.0,22806958.0,71000000.0,0.021996225352112677
2020-12-01,10.12,10.22,10.06,10.19,1645724.0,24068993.0,71000000.0,0.023179211267605634
2020-12-02,10.19,10.37,10.17,10.31,2253506.0,33376035.0,71000000.0,0.03173952112676056
2020-12-03,10.28,10.35,10.19,10.27,1934581.0,28640129.0,71000000.0,0.02724761971830986
2020-12-04,10.34,10.62,10.34,10.44,3679240.0,55676679.0,71000000.0,0.05182028169014084
2020-12-07,10.39,10.39,10.19,10.23,2358223.0,34976615.0,71000000.0,0.033214408450704225
2020-12-08,10.18,10.28,10.17,10.19,1214159.0,17880632.0,71000000.0,0.017100830985915492
2020-12-09,10.19,10.26,9.85,9.88,2976967.0,42945868.0,71000000.0,0.04192911267605634
2020-12-10,9.79,9.96,9.76,9.87,1079561.0,15391842.0,71000000.0,0.015205084507042254
2020-12-11,9.92,9.92,9.64,9.69,1748497.0,24531099.0,71000000.0,0.024626718309859155
2020-12-14,9.65,9.74,9.64,9.73,773986.0,10826884.0,71000000.0,0.010901211267605633
2020-12-15,9.71,9.81,9.65,9.8,866043.0,12181551.0,71000000.0,0.012197788732394367
2020-12-16,9.8,9.8,9.58,9.6,1264200.0,17575711.0,71000000.0,0.0178056338028169
2020-12-17,9.6,9.67,9.4,9.61,1484900.0,20395589.0,71000000.0,0.020914084507042255
2020-12-18,9.56,9.74,9.56,9.58,1024453.0,14246408.0,71000000.0,0.014428915492957746
2020-12-21,9.62,9.74,9.54,9.71,1205325.0,16848418.0,71000000.0,0.016976408450704226
2020-12-22,9.72,9.73,9.45,9.47,1433000.0,19798309.0,71000000.0,0.020183098591549296
2020-12-23,9.47,9.65,9.47,9.53,1194600.0,16440394.0,71000000.0,0.016825352112676058
2020-12-24,9.53,9.57,9.17,9.22,2306459.0,30996523.0,71000000.0,0.03248533802816901
2020-12-25,9.22,9.31,9.15,9.26,1185678.0,15828016.0,71000000.0,0.01669969014084507
2020-12-28,9.27,9.28,8.95,8.98,2021578.0,26389820.0,71000000.0,0.02847292957746479
2020-12-29,9.03,9.08,8.95,8.97,1000379.0,12995425.0,71000000.0,0.014089845070422536
2020-12-30,9.01,9.06,8.93,8.96,1249098.0,16180472.0,71000000.0,0.017592929577464788
2020-12-31,8.99,9.08,8.96,9.07,1171332.0,15269879.0,71000000.0,0.0164976338028169
2021-01-04,9.06,9.17,9.04,9.13,1629023.0,21405779.0,71000000.0,0.02294398591549296
2021-01-05,9.15,9.15,9.05,9.1,1438069.0,18871986.0,71000000.0,0.02025449295774648
2021-01-06,9.1,9.15,8.85,8.92,1712978.0,22126992.0,71000000.0,0.024126450704225352
2021-01-07,8.9,8.92,8.49,8.52,2622287.0,32643438.0,71000000.0,0.03693361971830986
2021-01-08,8.48,8.63,8.24,8.56,1332601.0,16277316.0,71000000.0,0.018769028169014084
2021-01-11,8.53,8.54,8.29,8.32,1220869.0,14773767.0,71000000.0,0.017195338028169013
2021-01-12,8.29,8.43,8.25,8.35,871536.0,10489548.0,71000000.0,0.012275154929577465
2021-01-13,8.35,8.36,8.15,8.24,1598485.0,18955744.0,71000000.0,0.02251387323943662
2021-01-14,8.32,8.65,8.21,8.46,1886175.0,23080001.0,71000000.0,0.026565845070422534
2021-01-15,8.38,8.72,8.38,8.69,1829521.0,22761951.0,71000000.0,0.025767901408450703
2021-01-18,8.73,8.77,8.61,8.67,1445100.0,18121130.0,71000000.0,0.020353521126760563
2021-01-19,8.63,8.73,8.61,8.69,1276026.0,15967332.0,71000000.0,0.01797219718309859
2021-01-20,8.63,8.76,8.55,8.7,1530200.0,19123657.0,71000000.0,0.021552112676056338
2021-01-21,8.7,8.74,8.62,8.63,1530800.0,19194726.0,71000000.0,0.02156056338028169
2021-01-22,8.56,8.66,8.47,8.63,1648485.0,20364311.0,71000000.0,0.023218098591549295
2021-01-25,8.58,8.61,8.37,8.46,1272725.0,15552091.0,71000000.0,0.017925704225352113
2021-01-26,8.46,8.92,8.4,8.79,4045735.0,51287701.0,71000000.0,0.05698218309859155
2021-01-27,8.74,9.06,8.7,8.97,3494836.0,44999191.0,71000000.0,0.04922304225352113
2021-01-28,8.86,9.01,8.64,8.72,2486552.0,31601144.0,71000000.0,0.03502185915492958
2021-01-29,8.67,8.75,8.38,8.48,1769173.0,21767086.0,71000000.0,0.02491792957746479
2021-02-01,8.43,8.91,8.43,8.85,2442872.0,30716120.0,71000000.0,0.03440664788732394
2021-02-02,8.78,8.84,8.62,8.65,1635857.0,20501796.0,71000000.0,0.023040239436619717
2021-02-03,8.65,8.67,8.47,8.52,1039067.0,12784951.0,71000000.0,0.01463474647887324
2021-02-04,8.47,8.58,8.24,8.35,1493680.0,18094888.0,71000000.0,0.02103774647887324
2021-02-05,8.35,8.49,8.31,8.34,973602.0,11777712.0,71000000.0,0.013712704225352113
2021-02-08,8.35,8.46,8.28,8.4,992639.0,11999494.0,71000000.0,0.013980830985915493
2021-02-09,8.36,8.45,8.32,8.44,1164752.0,14077520.0,71000000.0,0.016404957746478873
2021-02-10,8.44,8.45,8.34,8.38,1274474.0,15417102.0,71000000.0,0.017950338028169015
2021-02-18,8.43,8.67,8.41,8.61,1804872.0,22251343.0,71000000.0,0.025420732394366197
2021-02-19,8.59,8.81,8.56,8.79,1882372.0,23618381.0,71000000.0,0.026512281690140846
2021-02-22,8.77,8.91,8.74,8.79,2620641.0,33403167.0,71000000.0,0.03691043661971831
2021-02-23,8.77,8.83,8.67,8.74,1068104.0,13479467.0,71000000.0,0.015043718309859155
2021-02-24,8.79,8.88,8.67,8.8,1408669.0,17876711.0,71000000.0,0.019840408450704224
2021-02-25,8.84,8.85,8.67,8.69,1099630.0,13836561.0,71000000.0,0.01548774647887324
2021-02-26,8.65,8.81,8.56,8.7,1513677.0,18887635.0,71000000.0,0.021319394366197182
2021-03-01,8.75,9.01,8.71,8.96,2147151.0,27477789.0,71000000.0,0.03024156338028169
2021-03-02,8.95,9.04,8.84,8.9,1585483.0,20386744.0,71000000.0,0.022330746478873238
2021-03-03,8.85,8.97,8.78,8.9,1242172.0,15924563.0,71000000.0,0.01749538028169014
2021-03-04,8.83,8.88,8.72,8.74,1367600.0,17329814.0,71000000.0,0.019261971830985915
2021-03-05,8.72,8.81,8.67,8.79,888077.0,11231432.0,71000000.0,0.012508126760563381
2021-03-08,8.78,8.86,8.67,8.68,1084000.0,13695012.0,71000000.0,0.015267605633802818
2021-03-09,8.68,8.7,8.41,8.45,1481990.0,18219920.0,71000000.0,0.020873098591549295
2021-03-10,8.45,8.57,8.38,8.39,925100.0,11240820.0,71000000.0,0.013029577464788732
2021-03-11,8.39,8.49,8.39,8.49,831500.0,10129900.0,71000000.0,0.011711267605633803
2021-03-12,8.49,8.49,8.38,8.48,845773.0,10296898.0,71000000.0,0.011912295774647887
2021-03-15,8.47,8.54,8.43,8.52,650043.0,7961303.0,71000000.0,0.009155535211267605
2021-03-16,8.54,8.66,8.49,8.65,1156873.0,14338586.0,71000000.0,0.016293985915492956
2021-03-17,8.64,8.65,8.55,8.63,914400.0,11345244.0,71000000.0,0.012878873239436619
2021-03-18,8.63,8.79,8.61,8.76,1749900.0,21993211.0,71000000.0,0.024646478873239435
2021-03-19,8.76,9.28,8.72,9.12,5666075.0,73704778.0,71000000.0,0.07980387323943662
2021-03-22,9.12,9.57,9.08,9.55,7276544.0,98689885.0,71000000.0,0.1024865352112676
2021-03-23,9.51,9.51,9.14,9.2,4151341.0,55550967.0,71000000.0,0.05846959154929578
2021-03-24,9.05,9.35,9.01,9.26,2653508.0,35354158.0,71000000.0,0.037373352112676055
2021-03-25,9.21,9.21,9.03,9.04,1736893.0,22797552.0,71000000.0,0.024463281690140844
2021-03-26,9.1,9.38,9.04,9.22,2464975.0,32795564.0,71000000.0,0.03471795774647887
2021-03-29,9.21,9.56,9.19,9.24,2485200.0,33482532.0,71000000.0,0.035002816901408454
2021-03-30,9.24,9.69,9.08,9.44,3741550.0,50527251.0,71000000.0,0.05269788732394366
2021-03-31,9.17,9.73,9.17,9.62,6116765.0,84061287.0,71000000.0,0.08615161971830985
2021-04-01,9.57,9.62,9.38,9.42,3337784.0,45589770.0,71000000.0,0.047011042253521124
2021-04-02,9.53,9.53,9.24,9.29,3630955.0,49096531.0,71000000.0,0.05114021126760564
2021-04-06,9.36,9.58,9.26,9.35,3001318.0,40657938.0,71000000.0,0.04227208450704226
2021-04-07,9.42,9.85,9.33,9.74,6528437.0,90818736.0,71000000.0,0.09194981690140845
2021-04-08,9.84,9.92,9.56,9.56,7074700.0,99451577.0,71000000.0,0.09964366197183099
2021-04-09,9.49,9.64,9.43,9.54,2852634.0,39203669.0,71000000.0,0.04017794366197183
2021-04-12,9.5,9.57,9.26,9.42,3919778.0,53021910.0,71000000.0,0.05520814084507042
2021-04-13,9.51,9.51,9.06,9.13,3394176.0,45046160.0,71000000.0,0.047805295774647885
2021-04-14,9.11,9.79,9.11,9.51,4467973.0,61033402.0,71000000.0,0.0629291971830986
2021-04-15,9.44,9.56,9.33,9.45,2335400.0,31764467.0,71000000.0,0.03289295774647887
2021-04-16,9.48,9.64,9.45,9.52,2143700.0,29491601.0,71000000.0,0.030192957746478875
2021-04-19,9.51,9.65,9.47,9.59,2312700.0,31874675.0,71000000.0,0.032573239436619716
2021-04-20,9.62,9.65,9.32,9.32,3177200.0,43387415.0,71000000.0,0.04474929577464789
2021-04-21,9.32,9.42,9.21,9.36,1552473.0,20862286.0,71000000.0,0.02186581690140845
2021-04-22,9.38,9.42,9.22,9.27,1742007.0,23319689.0,71000000.0,0.02453530985915493
2021-04-23,9.18,9.19,8.84,8.89,3034399.0,39379758.0,71000000.0,0.042738014084507045
2021-04-26,8.9,8.95,8.72,8.73,1832702.0,23276607.0,71000000.0,0.025812704225352114
2021-04-27,8.78,8.79,8.57,8.67,1201424.0,14967628.0,71000000.0,0.016921464788732396
2021-04-28,8.62,8.74,8.62,8.7,868500.0,10892159.0,71000000.0,0.012232394366197183
2021-04-29,8.71,8.71,8.65,8.66,768300.0,9609795.0,71000000.0,0.01082112676056338
2021-04-30,8.66,8.73,8.49,8.58,857908.0,10625850.0,71000000.0,0.012083211267605634
2021-05-06,8.54,8.63,8.54,8.55,626670.0,7745652.0,71000000.0,0.008826338028169014
2021-05-07,8.6,8.83,8.6,8.66,1110696.0,13971379.0,71000000.0,0.015643605633802817
2021-05-10,8.66,8.66,8.49,8.52,1168802.0,14398001.0,71000000.0,0.016462
2021-05-11,8.56,8.59,8.47,8.53,650502.0,7988845.0,71000000.0,0.009162
2021-05-12,8.53,8.65,8.53,8.58,684300.0,8467823.0,71000000.0,0.009638028169014084
2021-05-13,8.54,8.6,8.52,8.56,651478.0,8028560.0,71000000.0,0.00917574647887324
2021-05-14,8.56,8.68,8.56,8.67,754080.0,9394644.0,71000000.0,0.010620845070422534
2021-05-17,8.61,8.7,8.61,8.64,740800.0,9232088.0,71000000.0,0.010433802816901408
2021-05-18,8.67,8.67,8.62,8.67,495996.0,6180059.0,71000000.0,0.0069858591549295775
2021-05-19,8.62,8.77,8.62,8.72,957600.0,12019608.0,71000000.0,0.013487323943661972
2021-05-20,8.72,8.72,8.54,8.56,1098480.0,13595509.0,71000000.0,0.015471549295774647
2021-05-21,8.56,8.69,8.56,8.57,612890.0,7612118.0,71000000.0,0.008632253521126761
2021-05-24,8.54,8.65,8.54,8.61,610210.0,7567128.0,71000000.0,0.008594507042253521
2021-05-25,8.67,8.68,8.59,8.63,783600.0,9739168.0,71000000.0,0.011036619718309859
2021-05-26,8.66,8.67,8.61,8.64,869818.0,10837115.0,71000000.0,0.012250957746478873
2021-05-27,8.63,8.76,8.63,8.74,1174218.0,14743194.0,71000000.0,0.016538281690140846
2021-05-28,8.74,8.81,8.68,8.79,1121400.0,14120168.0,71000000.0,0.015794366197183097
2021-05-31,8.79,8.91,8.76,8.87,1269710.0,16208532.0,71000000.0,0.017883239436619718
2021-06-01,8.88,8.88,8.73,8.75,1345790.0,16601837.0,71000000.0,0.018954788732394368
