日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,9.06,9.17,9.04,9.13,1629023.0,21405779.0,71000000.0,0.0229
2021-01-05,9.15,9.15,9.05,9.1,1438069.0,18871986.0,71000000.0,0.0203
2021-01-06,9.1,9.15,8.85,8.92,1712978.0,22126992.0,71000000.0,0.0241
2021-01-07,8.9,8.92,8.49,8.52,2622287.0,32643438.0,71000000.0,0.0369
2021-01-08,8.48,8.63,8.24,8.56,1332601.0,16277316.0,71000000.0,0.0188
2021-01-11,8.53,8.54,8.29,8.32,1220869.0,14773767.0,71000000.0,0.0172
2021-01-12,8.29,8.43,8.25,8.35,871536.0,10489548.0,71000000.0,0.0123
2021-01-13,8.35,8.36,8.15,8.24,1598485.0,18955744.0,71000000.0,0.0225
2021-01-14,8.32,8.65,8.21,8.46,1886175.0,23080001.0,71000000.0,0.0266
2021-01-15,8.38,8.72,8.38,8.69,1829521.0,22761951.0,71000000.0,0.0258
2021-01-18,8.73,8.77,8.61,8.67,1445100.0,18121130.0,71000000.0,0.0204
2021-01-19,8.63,8.73,8.61,8.69,1276026.0,15967332.0,71000000.0,0.018
2021-01-20,8.63,8.76,8.55,8.7,1530200.0,19123657.0,71000000.0,0.0216
2021-01-21,8.7,8.74,8.62,8.63,1530800.0,19194726.0,71000000.0,0.0216
2021-01-22,8.56,8.66,8.47,8.63,1648485.0,20364311.0,71000000.0,0.0232
2021-01-25,8.58,8.61,8.37,8.46,1272725.0,15552091.0,71000000.0,0.0179
2021-01-26,8.46,8.92,8.4,8.79,4045735.0,51287701.0,71000000.0,0.057
2021-01-27,8.74,9.06,8.7,8.97,3494836.0,44999191.0,71000000.0,0.0492
2021-01-28,8.86,9.01,8.64,8.72,2486552.0,31601144.0,71000000.0,0.035
2021-01-29,8.67,8.75,8.38,8.48,1769173.0,21767086.0,71000000.0,0.0249
2021-02-01,8.43,8.91,8.43,8.85,2442872.0,30716120.0,71000000.0,0.0344
2021-02-02,8.78,8.84,8.62,8.65,1635857.0,20501796.0,71000000.0,0.023
2021-02-03,8.65,8.67,8.47,8.52,1039067.0,12784951.0,71000000.0,0.0146
2021-02-04,8.47,8.58,8.24,8.35,1493680.0,18094888.0,71000000.0,0.021
2021-02-05,8.35,8.49,8.31,8.34,973602.0,11777712.0,71000000.0,0.0137
2021-02-08,8.35,8.46,8.28,8.4,992639.0,11999494.0,71000000.0,0.014
2021-02-09,8.36,8.45,8.32,8.44,1164752.0,14077520.0,71000000.0,0.0164
2021-02-10,8.44,8.45,8.34,8.38,1274474.0,15417102.0,71000000.0,0.018
2021-02-18,8.43,8.67,8.41,8.61,1804872.0,22251343.0,71000000.0,0.0254
2021-02-19,8.59,8.81,8.56,8.79,1882372.0,23618381.0,71000000.0,0.0265
2021-02-22,8.77,8.91,8.74,8.79,2620641.0,33403167.0,71000000.0,0.0369
2021-02-23,8.77,8.83,8.67,8.74,1068104.0,13479467.0,71000000.0,0.015
2021-02-24,8.79,8.88,8.67,8.8,1408669.0,17876711.0,71000000.0,0.0198
2021-02-25,8.84,8.85,8.67,8.69,1099630.0,13836561.0,71000000.0,0.0155
2021-02-26,8.65,8.81,8.56,8.7,1513677.0,18887635.0,71000000.0,0.0213
2021-03-01,8.75,9.01,8.71,8.96,2147151.0,27477789.0,71000000.0,0.0302
2021-03-02,8.95,9.04,8.84,8.9,1585483.0,20386744.0,71000000.0,0.0223
2021-03-03,8.85,8.97,8.78,8.9,1242172.0,15924563.0,71000000.0,0.0175
2021-03-04,8.83,8.88,8.72,8.74,1367600.0,17329814.0,71000000.0,0.0193
2021-03-05,8.72,8.81,8.67,8.79,888077.0,11231432.0,71000000.0,0.0125
2021-03-08,8.78,8.86,8.67,8.68,1084000.0,13695012.0,71000000.0,0.0153
2021-03-09,8.68,8.7,8.41,8.45,1481990.0,18219920.0,71000000.0,0.0209
2021-03-10,8.45,8.57,8.38,8.39,925100.0,11240820.0,71000000.0,0.013
2021-03-11,8.39,8.49,8.39,8.49,831500.0,10129900.0,71000000.0,0.0117
2021-03-12,8.49,8.49,8.38,8.48,845773.0,10296898.0,71000000.0,0.0119
2021-03-15,8.47,8.54,8.43,8.52,650043.0,7961303.0,71000000.0,0.0092
2021-03-16,8.54,8.66,8.49,8.65,1156873.0,14338586.0,71000000.0,0.0163
2021-03-17,8.64,8.65,8.55,8.63,914400.0,11345244.0,71000000.0,0.0129
2021-03-18,8.63,8.79,8.61,8.76,1749900.0,21993211.0,71000000.0,0.0246
2021-03-19,8.76,9.28,8.72,9.12,5666075.0,73704778.0,71000000.0,0.0798
2021-03-22,9.12,9.57,9.08,9.55,7276544.0,98689885.0,71000000.0,0.1025
2021-03-23,9.51,9.51,9.14,9.2,4151341.0,55550967.0,71000000.0,0.0585
2021-03-24,9.05,9.35,9.01,9.26,2653508.0,35354158.0,71000000.0,0.0374
2021-03-25,9.21,9.21,9.03,9.04,1736893.0,22797552.0,71000000.0,0.0245
2021-03-26,9.1,9.38,9.04,9.22,2464975.0,32795564.0,71000000.0,0.0347
2021-03-29,9.21,9.56,9.19,9.24,2485200.0,33482532.0,71000000.0,0.035
2021-03-30,9.24,9.69,9.08,9.44,3741550.0,50527251.0,71000000.0,0.0527
2021-03-31,9.17,9.73,9.17,9.62,6116765.0,84061287.0,71000000.0,0.0862
2021-04-01,9.57,9.62,9.38,9.42,3337784.0,45589770.0,71000000.0,0.047
2021-04-02,9.53,9.53,9.24,9.29,3630955.0,49096531.0,71000000.0,0.0511
2021-04-06,9.36,9.58,9.26,9.35,3001318.0,40657938.0,71000000.0,0.0423
2021-04-07,9.42,9.85,9.33,9.74,6528437.0,90818736.0,71000000.0,0.0919
2021-04-08,9.84,9.92,9.56,9.56,7074700.0,99451577.0,71000000.0,0.0996
2021-04-09,9.49,9.64,9.43,9.54,2852634.0,39203669.0,71000000.0,0.0402
2021-04-12,9.5,9.57,9.26,9.42,3919778.0,53021910.0,71000000.0,0.0552
2021-04-13,9.51,9.51,9.06,9.13,3394176.0,45046160.0,71000000.0,0.0478
2021-04-14,9.11,9.79,9.11,9.51,4467973.0,61033402.0,71000000.0,0.0629
2021-04-15,9.44,9.56,9.33,9.45,2335400.0,31764467.0,71000000.0,0.0329
2021-04-16,9.48,9.64,9.45,9.52,2143700.0,29491601.0,71000000.0,0.0302
2021-04-19,9.51,9.65,9.47,9.59,2312700.0,31874675.0,71000000.0,0.0326
2021-04-20,9.62,9.65,9.32,9.32,3177200.0,43387415.0,71000000.0,0.0447
2021-04-21,9.32,9.42,9.21,9.36,1552473.0,20862286.0,71000000.0,0.0219
2021-04-22,9.38,9.42,9.22,9.27,1742007.0,23319689.0,71000000.0,0.0245
2021-04-23,9.18,9.19,8.84,8.89,3034399.0,39379758.0,71000000.0,0.0427
2021-04-26,8.9,8.95,8.72,8.73,1832702.0,23276607.0,71000000.0,0.0258
2021-04-27,8.78,8.79,8.57,8.67,1201424.0,14967628.0,71000000.0,0.0169
2021-04-28,8.62,8.74,8.62,8.7,868500.0,10892159.0,71000000.0,0.0122
2021-04-29,8.71,8.71,8.65,8.66,768300.0,9609795.0,71000000.0,0.0108
2021-04-30,8.66,8.73,8.49,8.58,857908.0,10625850.0,71000000.0,0.0121
2021-05-06,8.54,8.63,8.54,8.55,626670.0,7745652.0,71000000.0,0.0088
2021-05-07,8.6,8.83,8.6,8.66,1110696.0,13971379.0,71000000.0,0.0156
2021-05-10,8.66,8.66,8.49,8.52,1168802.0,14398001.0,71000000.0,0.0165
2021-05-11,8.56,8.59,8.47,8.53,650502.0,7988845.0,71000000.0,0.0092
2021-05-12,8.53,8.65,8.53,8.58,684300.0,8467823.0,71000000.0,0.0096
2021-05-13,8.54,8.6,8.52,8.56,651478.0,8028560.0,71000000.0,0.0092
2021-05-14,8.56,8.68,8.56,8.67,754080.0,9394644.0,71000000.0,0.0106
2021-05-17,8.61,8.7,8.61,8.64,740800.0,9232088.0,71000000.0,0.0104
2021-05-18,8.67,8.67,8.62,8.67,495996.0,6180059.0,71000000.0,0.007
2021-05-19,8.62,8.77,8.62,8.72,957600.0,12019608.0,71000000.0,0.0135
2021-05-20,8.72,8.72,8.54,8.56,1098480.0,13595509.0,71000000.0,0.0155
2021-05-21,8.56,8.69,8.56,8.57,612890.0,7612118.0,71000000.0,0.0086
2021-05-24,8.54,8.65,8.54,8.61,610210.0,7567128.0,71000000.0,0.0086
2021-05-25,8.67,8.68,8.59,8.63,783600.0,9739168.0,71000000.0,0.011
2021-05-26,8.66,8.67,8.61,8.64,869818.0,10837115.0,71000000.0,0.0123
2021-05-27,8.63,8.76,8.63,8.74,1174218.0,14743194.0,71000000.0,0.0165
2021-05-28,8.74,8.81,8.68,8.79,1121400.0,14120168.0,71000000.0,0.0158
2021-05-31,8.79,8.91,8.76,8.87,1269710.0,16208532.0,71000000.0,0.0179
2021-06-01,8.88,8.88,8.73,8.75,1345790.0,16601837.0,71000000.0,0.019
2021-06-02,8.76,9.23,8.76,8.82,1277720.0,15935755.0,71000000.0,0.018
2021-06-03,8.8,8.84,8.73,8.75,1044362.0,12896769.0,71000000.0,0.0147
2021-06-04,8.73,8.77,8.71,8.73,636400.0,7829033.0,71000000.0,0.009
2021-06-07,8.73,8.8,8.73,8.77,585100.0,7215033.0,71000000.0,0.0082
2021-06-08,8.75,8.78,8.71,8.73,649160.0,7985374.0,71000000.0,0.0091
2021-06-09,8.73,8.78,8.71,8.76,529200.0,6531401.0,71000000.0,0.0075
2021-06-10,8.79,8.89,8.79,8.87,1261140.0,15685390.0,71000000.0,0.0178
2021-06-11,8.98,8.98,8.73,8.74,1131844.0,14064477.0,71000000.0,0.0159
2021-06-15,8.75,8.77,8.58,8.59,1245300.0,15118025.0,71000000.0,0.0175
2021-06-16,8.58,8.65,8.57,8.59,636540.0,7720503.0,71000000.0,0.009
2021-06-17,8.61,9.05,8.56,8.93,2443644.0,30389430.0,71000000.0,0.0344
