证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
天正电气,浙江天正电气股份有限公司,,,,,0.0,0.0,0.0,,33000.0,,0.0,,,11498.696,,7100.0,,,,,A股上市,2020-08-06,,605066,2020-08-07,,,,,33000.0,,,40100.0,,,,,,7100.0,21501.304,33000.0,015001
天正电气,浙江天正电气股份有限公司,,,,,,,,,33000.0,,,,,11498.696,,7100.0,,,,,定期报告,2021-04-23,,605066,2020-12-31,,,,,33000.0,,,40100.0,,,,,,7100.0,21501.304,33000.0,015019
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,33311.55,,0.0,,,11498.696,,7100.0,,,,,"增发新股上市,股权激励",2021-03-10,,605066,2021-03-08,,,,,33311.55,,,40411.55,,,,,,7100.0,21812.854,33311.55,"015004,015025"
天正电气,浙江天正电气股份有限公司,,,,,,,,,33311.55,,,,,11498.696,,7100.0,,,,,定期报告,2021-07-26,,605066,2021-06-30,,,,,33311.55,,,40411.55,,,,,,7100.0,21812.854,33311.55,015019
天正电气,浙江天正电气股份有限公司,,,,,,,,,17585.4,,,,,9914.696,,22826.15,,,,,限售股份上市,2021-08-03,,605066,2021-08-09,,,,,17585.4,,,40411.55,,,,,,22826.15,7670.704,17585.4,015027
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,17577.65,,0.0,,,9914.696,,22826.15,,,,,股份回购,2021-10-22,,605066,2021-10-26,,,,,17577.65,,,40403.8,,,,,,22826.15,7662.954,17577.65,015016
天正电气,浙江天正电气股份有限公司,,,,,,,,,17577.65,,,,,9914.696,,22826.15,,,,,定期报告,2022-04-29,,605066,2021-12-31,,,,,17577.65,,,40403.8,,,,,,22826.15,7662.954,17577.65,015019
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,17560.05,,0.0,,,9914.696,,22826.15,,,,,股份回购,2022-04-28,,605066,2022-05-05,,,,,17560.05,,,40386.2,,,,,,22826.15,7645.354,17560.05,015016
天正电气,浙江天正电气股份有限公司,,,,,,,,,17560.05,,,,,9914.696,,22826.15,,,,,定期报告,2022-08-30,,605066,2022-06-30,,,,,17560.05,,,40386.2,,,,,,22826.15,7645.354,17560.05,015019
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,17273.85,,0.0,,,9914.696,,22826.15,,,,,股份回购,2022-07-28,,605066,2022-08-01,,,,,17273.85,,,40100.0,,,,,,22826.15,7359.154,17273.85,015016
天正电气,浙江天正电气股份有限公司,,,,,,,,,17273.85,,,,,9914.696,,22826.15,,,,,定期报告,2023-04-28,,605066,2022-12-31,,,,,17273.85,,,40100.0,,,,,,22826.15,7359.154,17273.85,015019
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,17759.65,,0.0,,,9914.696,,22826.15,,,,,"增发新股上市,股权激励",2023-06-28,,605066,2023-06-26,,,,,17759.65,,,40585.8,,,,,,22826.15,7844.954,17759.65,"015004,015025"
天正电气,浙江天正电气股份有限公司,,,,,,,,,17759.65,,,,,9914.696,,22826.15,,,,,定期报告,2023-08-29,,605066,2023-06-30,,,,,17759.65,,,40585.8,,,,,,22826.15,7844.954,17759.65,015019
天正电气,浙江天正电气股份有限公司,,,,,,,,,485.8,,,,,,,40100.0,,,,,限售股份上市,2023-08-02,,605066,2023-08-07,,,,,485.8,,,40585.8,,,,,,40100.0,485.8,485.8,015027
天正电气,浙江天正电气股份有限公司,,,,,,,,,485.8,,,,,,,40100.0,,,,,定期报告,2024-04-23,,605066,2023-12-31,,,,,485.8,,,40585.8,,,,,,40100.0,485.8,485.8,015019
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,485.8,,0.0,,,,,40100.0,,,,,其他,2024-01-25,,605066,2024-01-24,,,,,485.8,,,40585.8,,,,,,40100.0,485.8,485.8,015999
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,578.3,,0.0,,,,,40100.0,,,,,"增发新股上市,股权激励",2024-03-01,,605066,2024-02-28,,,,,578.3,,,40678.3,,,,,,40100.0,578.3,578.3,"015004,015025"
天正电气,浙江天正电气股份有限公司,,,,,,0.0,0.0,,537.9,,0.0,,,,,40100.0,,,,,股份回购,2024-04-22,,605066,2024-04-24,,,,,537.9,,,40637.9,,,,,,40100.0,537.9,537.9,015016
