日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-22,56.77,60.24,55.77,58.72,118126442.0,7456761737.0,1472920163.0,0.0802
2021-01-25,58.33,64.59,58.09,63.5,148866139.0,10097431813.0,1472920163.0,0.1011
2021-01-26,62.69,64.44,60.28,62.32,100797678.0,6839138507.0,1472920163.0,0.0684
2021-01-27,62.68,63.42,57.61,61.96,94297485.0,6228830655.0,1472920163.0,0.064
2021-01-28,59.64,64.65,59.64,61.39,92985803.0,6277744356.0,1472920163.0,0.0631
2021-01-29,61.23,61.76,55.25,55.26,143482252.0,8859441975.0,1472920163.0,0.0974
2021-02-01,57.15,57.15,49.79,50.79,158912427.0,9080406371.0,1472920163.0,0.1079
2021-02-02,50.7,53.26,49.25,52.72,132619483.0,7396075935.0,1472920163.0,0.09
2021-02-03,52.14,54.94,51.71,51.9,125473623.0,7259400732.0,1472920163.0,0.0852
2021-02-04,51.06,51.06,46.71,46.71,163985017.0,8550138251.0,1472920163.0,0.1113
2021-02-05,47.01,47.53,44.03,45.25,139286302.0,6930595460.0,1472920163.0,0.0946
2021-02-08,45.82,47.74,44.46,47.11,117441375.0,5909239297.0,1472920163.0,0.0797
2021-02-09,47.67,50.05,46.71,48.91,111270935.0,5854572637.0,1472920163.0,0.0755
2021-02-10,48.75,48.76,45.54,47.67,106791573.0,5459237635.0,1472920163.0,0.0725
2021-02-18,49.76,52.43,47.87,52.42,143863535.0,7852379113.0,1472920163.0,0.0977
2021-02-19,50.7,50.7,47.18,48.58,120980322.0,6412420986.0,1472920163.0,0.0821
2021-02-22,49.96,51.51,48.49,48.49,107600188.0,5860960146.0,1472920163.0,0.0731
2021-02-23,46.92,48.14,45.34,46.47,74244091.0,3771177281.0,1472920163.0,0.0504
2021-02-24,46.38,47.38,42.35,43.22,98216002.0,4733398591.0,1472920163.0,0.0667
2021-02-25,44.34,44.87,42.78,44.21,68891384.0,3283164529.0,1472920163.0,0.0468
2021-02-26,41.49,42.85,40.83,41.41,79359222.0,3588936023.0,1472920163.0,0.0539
2021-03-01,42.46,43.34,41.53,42.63,57775636.0,2656330374.0,1472920163.0,0.0392
2021-03-02,43.13,43.31,38.61,39.87,99629916.0,4357119445.0,1472920163.0,0.0676
2021-03-03,39.94,42.19,39.21,41.02,92394121.0,4088099800.0,1472920163.0,0.0627
2021-03-04,39.51,39.73,37.32,37.7,82979754.0,3445403268.0,1472920163.0,0.0563
2021-03-05,37.09,39.18,36.97,37.94,66303492.0,2748264369.0,1472920163.0,0.045
2021-03-08,38.07,38.26,36.01,36.06,72945202.0,2915325979.0,1472920163.0,0.0495
2021-03-09,36.64,37.86,35.38,36.26,83628562.0,3333985493.0,1472920163.0,0.0568
2021-03-10,37.52,37.77,35.84,36.12,75609301.0,3028592646.0,1472920163.0,0.0513
2021-03-11,35.59,37.57,34.95,36.93,84754856.0,3350153762.0,1472920163.0,0.0575
2021-03-12,37.2,37.54,34.86,35.67,83889903.0,3256011422.0,1472920163.0,0.057
2021-03-15,35.95,38.53,35.52,36.66,94413376.0,3785950537.0,1472920163.0,0.0641
2021-03-16,37.07,37.25,35.03,36.78,61953654.0,2422685483.0,1472920163.0,0.0421
2021-03-17,36.85,40.27,36.61,39.36,129243598.0,5449997300.0,1472920163.0,0.0877
2021-03-18,38.99,40.07,38.9,40.07,87030563.0,3730379268.0,1472920163.0,0.0591
2021-03-19,39.16,39.8,37.53,38.72,81757078.0,3425700624.0,1472920163.0,0.0555
2021-03-22,38.26,39.4,37.5,38.25,54129596.0,2250078058.0,1472920163.0,0.0367
2021-03-23,38.33,38.4,35.03,35.58,87266694.0,3427324933.0,1472920163.0,0.0592
2021-03-24,34.78,35.39,33.09,33.34,74803961.0,2747237762.0,1472920163.0,0.0508
2021-03-25,33.01,34.2,32.8,33.57,58028352.0,2115434190.0,1472920163.0,0.0394
2021-03-26,33.57,35.84,33.4,35.21,81620927.0,3072183331.0,1472920163.0,0.0554
2021-03-29,35.03,35.95,34.66,34.87,55471687.0,2123247179.0,1472920163.0,0.0377
2021-03-30,34.61,36.03,34.0,35.63,56020612.0,2141353432.0,1472920163.0,0.038
2021-03-31,35.79,36.14,34.02,34.83,48881413.0,1845401131.0,1472920163.0,0.0332
2021-04-01,35.23,35.64,34.16,35.07,47127364.0,1782684811.0,1472920163.0,0.032
2021-04-02,31.56,34.66,31.56,33.85,73584669.0,2693062563.0,1472920163.0,0.05
2021-04-06,34.38,34.74,33.46,33.83,44148869.0,1632424927.0,1472920163.0,0.03
2021-04-07,34.17,34.37,32.91,33.2,48103854.0,1746910852.0,1472920163.0,0.0327
2021-04-08,32.83,33.17,31.79,32.93,50693427.0,1787431993.0,1472920163.0,0.0344
2021-04-09,33.02,34.82,32.46,33.4,62112504.0,2267852673.0,1472920163.0,0.0422
2021-04-12,33.2,33.64,30.41,30.9,69187339.0,2379785822.0,1472920163.0,0.047
2021-04-13,30.89,31.48,30.45,31.25,35466502.0,1194577401.0,1472920163.0,0.0241
2021-04-14,31.56,34.38,31.56,34.38,91873689.0,3308173434.0,1472920163.0,0.0624
2021-04-15,35.31,36.66,34.66,36.08,122752097.0,4726761760.0,1472920163.0,0.0833
2021-04-16,35.85,35.94,34.66,35.35,71090111.0,2720261152.0,1472920163.0,0.0483
2021-04-19,35.21,38.89,35.12,38.89,97476246.0,3919621931.0,1472920163.0,0.0662
2021-04-20,38.34,39.96,37.8,38.33,103821464.0,4376998571.0,1472920163.0,0.0705
2021-04-21,37.61,38.18,36.66,37.8,76233080.0,3089291603.0,1472920163.0,0.0518
2021-04-22,37.81,38.38,36.51,37.25,69764554.0,2821522957.0,1472920163.0,0.0474
2021-04-23,36.78,39.92,36.78,39.01,98170799.0,4141672616.0,1472920163.0,0.0667
2021-04-26,38.89,39.62,37.61,37.75,76251095.0,3194200031.0,1472920163.0,0.0518
2021-04-27,37.61,38.03,36.05,37.56,55736751.0,2236207073.0,1472920163.0,0.0378
2021-04-28,37.8,41.33,36.78,40.19,129882944.0,5665122081.0,1472920163.0,0.0882
2021-04-29,40.21,44.21,40.21,43.65,142422277.0,6552443935.0,1472920163.0,0.0967
2021-04-30,43.05,45.58,42.11,44.6,122373437.0,5849270676.0,1472920163.0,0.0831
2021-05-06,44.6,47.27,43.33,46.28,108149970.0,5320848716.0,1472920163.0,0.0734
2021-05-07,45.68,46.09,42.83,43.23,103898626.0,5023816400.0,1472920163.0,0.0705
2021-05-10,43.24,46.55,43.24,46.53,95118194.0,4684898843.0,1472920163.0,0.0646
2021-05-11,45.61,46.33,43.15,45.51,86939939.0,4227187713.0,1472920163.0,0.059
2021-05-12,44.81,48.24,44.29,47.04,91238011.0,4628111173.0,1472920163.0,0.0619
2021-05-13,45.63,49.13,44.85,47.96,98075272.0,5011222894.0,1472920163.0,0.0666
2021-05-14,48.37,50.18,46.14,47.91,99306382.0,5223667103.0,1472920163.0,0.0674
2021-05-17,47.16,50.13,47.16,49.01,87117030.0,4639905517.0,1472920163.0,0.0591
2021-05-18,47.82,49.0,45.63,46.91,128902834.0,6634856269.0,1472920163.0,0.0875
2021-05-19,45.72,49.14,44.45,47.55,113537743.0,5817822275.0,1472920163.0,0.0771
2021-05-20,45.88,46.73,44.6,44.9,102560394.0,5082154641.0,1472920163.0,0.0696
2021-05-21,44.95,47.55,44.95,46.27,85432218.0,4277616975.0,1472920163.0,0.058
2021-05-24,47.48,50.13,47.47,49.88,112458163.0,5997610977.0,1472920163.0,0.0764
2021-05-25,49.82,51.66,48.96,50.68,98196730.0,5372553333.0,1472920163.0,0.0667
2021-05-26,50.15,51.59,49.59,50.77,62974143.0,3462940048.0,1472920163.0,0.0428
2021-05-27,51.06,51.41,49.57,50.03,58215035.0,3158071273.0,1472920163.0,0.0395
2021-05-28,50.24,52.43,50.06,50.7,85767242.0,4773969460.0,1472920163.0,0.0582
2021-05-31,50.08,53.01,50.08,52.54,97498814.0,5485730476.0,1472920163.0,0.0662
2021-06-01,51.9,52.79,50.33,52.08,66821345.0,3742838879.0,1472920163.0,0.0454
2021-06-02,52.36,53.72,49.91,51.37,76114575.0,4295520245.0,1472920163.0,0.0517
2021-06-03,50.99,52.51,49.13,51.38,63424315.0,3498608797.0,1472920163.0,0.0431
2021-06-04,50.7,53.56,50.31,52.48,79615746.0,4529090585.0,1472920163.0,0.0541
2021-06-07,52.59,54.32,52.04,53.81,66771153.0,3867680989.0,1472920163.0,0.0453
2021-06-08,53.28,54.11,49.98,50.24,89623466.0,5035826422.0,1472920163.0,0.0608
2021-06-09,50.6,51.62,48.45,49.65,62320016.0,3397884436.0,1472920163.0,0.0423
2021-06-10,49.32,51.95,49.32,51.54,64835283.0,3583100767.0,1472920163.0,0.044
2021-06-11,51.32,51.98,49.32,49.67,62959574.0,3426267625.0,1472920163.0,0.0427
2021-06-15,49.41,50.15,44.7,45.16,127482084.0,6319205456.0,1472920163.0,0.0866
2021-06-16,44.66,45.54,42.72,43.2,83488116.0,3982665357.0,1472920163.0,0.0567
2021-06-17,42.96,44.63,42.77,44.12,58610039.0,2782992299.0,1472920163.0,0.0398
2021-06-18,43.46,48.53,42.92,47.7,100578241.0,5018532401.0,1472920163.0,0.0683
2021-06-21,47.24,52.36,47.21,50.89,107967881.0,5975154465.0,1472920163.0,0.0733
2021-06-22,52.54,53.92,51.16,52.33,100668945.0,5734674087.0,1472920163.0,0.0683
2021-06-23,53.47,57.57,52.54,57.57,130831617.0,7944278830.0,1472920163.0,0.0888
2021-06-24,57.62,59.45,56.74,57.93,99169550.0,6241840063.0,1472920163.0,0.0673
2021-06-25,58.08,58.32,56.14,57.93,79468785.0,4944427433.0,1472920163.0,0.054
2021-06-28,57.46,59.49,57.05,57.8,65470220.0,4125466447.0,1472920163.0,0.0444
2021-06-29,58.56,59.27,55.76,57.15,63122997.0,3919144527.0,1472920163.0,0.0429
2021-06-30,57.18,57.98,55.84,57.17,72658173.0,4501172724.0,1473762237.0,0.0493
2021-07-01,58.17,61.65,56.6,58.63,115706975.0,7412810315.0,1473762237.0,0.0785
2021-07-02,58.54,63.21,58.11,61.2,123505299.0,8163877894.0,1473762237.0,0.0838
2021-07-05,63.27,67.27,62.96,66.67,127795212.0,9116435579.0,1473762237.0,0.0867
2021-07-06,66.46,67.75,60.38,64.05,139055870.0,9762135215.0,1473762237.0,0.0944
2021-07-07,61.81,66.37,60.56,64.7,103244120.0,7165913129.0,1473762237.0,0.0701
2021-07-08,64.25,67.48,63.24,63.74,97201696.0,6883239735.0,1473762237.0,0.066
2021-07-09,63.74,70.06,63.03,69.11,125199183.0,9102488891.0,1473762237.0,0.085
2021-07-12,70.44,73.27,69.05,71.53,137075320.0,10600263118.0,1473762237.0,0.093
2021-07-13,70.06,71.64,68.4,71.15,78303801.0,5966696764.0,1473762237.0,0.0531
2021-07-14,69.98,69.99,64.44,64.73,117791848.0,8537824776.0,1473762237.0,0.0799
2021-07-15,66.37,71.13,66.19,70.89,137451928.0,10233405773.0,1473762237.0,0.0933
2021-07-16,70.06,73.38,67.92,68.46,98085440.0,7489441500.0,1473762237.0,0.0666
2021-07-19,68.38,71.15,65.14,66.22,96996746.0,7174345103.0,1473762237.0,0.0658
2021-07-20,64.53,67.81,64.53,67.37,66694244.0,4801868328.0,1473762237.0,0.0453
2021-07-21,69.11,74.11,68.95,74.11,130996058.0,10280424545.0,1473762237.0,0.0889
2021-07-22,75.87,80.75,75.13,79.6,121577269.0,10196325854.0,1473762237.0,0.0825
2021-07-23,79.29,82.95,76.35,79.92,101035682.0,8723728441.0,1473762237.0,0.0686
2021-07-26,79.44,87.57,78.17,87.57,123554880.0,11135763890.0,1473762237.0,0.0838
2021-07-27,83.79,90.51,80.99,82.96,124194511.0,11604869056.0,1473762237.0,0.0843
2021-07-28,80.58,84.16,74.77,79.41,93668418.0,8137814921.0,1473762237.0,0.0636
2021-07-29,83.36,87.34,82.11,87.34,81031047.0,7462970831.0,1473762237.0,0.055
2021-07-30,92.64,96.08,90.41,96.08,119773180.0,12180944534.0,1473762237.0,0.0813
