日期,收盘价
2022-03-21,271.94
2022-03-22,268.28
2022-03-23,269.47
2022-03-24,268.80
2022-03-25,262.56
2022-03-28,254.68
2022-03-29,254.63
2022-03-30,271.41
2022-03-31,267.91
2022-04-01,271.36
2022-04-06,265.75
2022-04-07,258.98
2022-04-08,258.86
2022-04-11,240.04
2022-04-12,246.84
2022-04-13,243.70
2022-04-14,240.46
2022-04-15,235.78
2022-04-18,235.85
2022-04-19,230.24
2022-04-20,212.84
2022-04-21,213.95
2022-04-22,217.20
2022-04-25,204.01
2022-04-26,197.15
2022-04-27,212.87
2022-04-28,202.65
2022-04-29,214.07
2022-05-05,196.63
2022-05-06,196.63
2022-05-09,192.71
2022-05-10,198.29
2022-05-11,214.28
2022-05-12,211.02
2022-05-13,216.92
2022-05-16,212.85
2022-05-17,220.98
2022-05-18,219.12
2022-05-19,219.12
2022-05-20,223.25
2022-05-23,217.92
2022-05-24,210.25
2022-05-25,208.65
2022-05-26,203.96
2022-05-27,206.25
2022-05-30,210.12
2022-05-31,213.37
2022-06-01,222.27
2022-06-02,228.43
2022-06-06,243.69
2022-06-07,240.04
2022-06-08,240.56
2022-06-09,225.58
2022-06-10,237.42
2022-06-13,231.69
2022-06-14,231.05
2022-06-15,243.52
2022-06-16,240.72
2022-06-17,254.19
2022-06-20,264.89
2022-06-21,265.58
2022-06-22,265.14
2022-06-23,280.81
2022-06-24,294.69
2022-06-27,287.10
2022-06-28,284.49
2022-06-29,278.49
2022-06-30,279.26
2022-07-01,273.32
2022-07-04,272.98
2022-07-05,273.96
2022-07-06,272.98
2022-07-07,287.63
2022-07-08,282.92
2022-07-11,271.15
2022-07-12,263.41
2022-07-13,281.87
2022-07-14,290.77
2022-07-15,278.74
2022-07-18,288.49
2022-07-19,274.35
2022-07-20,275.07
2022-07-21,272.46
2022-07-22,278.21
2022-07-25,272.85
2022-07-26,272.98
2022-07-27,269.43
2022-07-28,269.64
2022-07-29,265.98
2022-08-01,279.74
2022-08-02,273.96
2022-08-03,263.57
2022-08-04,261.95
2022-08-05,264.43
2022-08-08,262.26
2022-08-09,267.52
2022-08-10,263.56
2022-08-11,266.71
2022-08-12,262.52
2022-08-15,269.90
2022-08-16,273.92
2022-08-17,286.06
2022-08-18,284.91
2022-08-19,278.21
2022-08-22,288.43
2022-08-23,291.23
2022-08-24,274.03
2022-08-25,268.80
2022-08-26,265.02
2022-08-29,262.52
2022-08-30,257.03
2022-08-31,252.59
2022-09-01,244.50
2022-09-02,243.83
2022-09-05,244.93
2022-09-06,238.05
2022-09-07,247.84
2022-09-08,235.07
2022-09-09,236.49
2022-09-13,238.94
2022-09-14,227.12
2022-09-15,216.69
2022-09-16,214.41
2022-09-19,216.33
2022-09-20,220.17
2022-09-21,219.80
2022-09-22,217.02
2022-09-23,218.25
2022-09-26,224.17
2022-09-27,224.61
2022-09-28,218.29
2022-09-29,219.45
2022-09-30,209.97
2022-10-10,205.76
2022-10-11,218.04
2022-10-12,229.31
2022-10-13,226.26
2022-10-14,228.83
2022-10-17,224.87
2022-10-18,224.97
2022-10-19,225.92
2022-10-20,217.36
2022-10-21,216.31
2022-10-24,211.61
2022-10-25,210.39
2022-10-26,210.06
2022-10-27,204.42
2022-10-28,191.43
2022-10-31,195.30
2022-11-01,202.27
2022-11-02,205.05
2022-11-03,201.18
2022-11-04,211.81
2022-11-07,215.00
2022-11-08,214.63
2022-11-09,207.96
2022-11-10,201.80
2022-11-11,210.80
2022-11-14,202.79
2022-11-15,207.50
2022-11-16,201.16
2022-11-17,196.47
