日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,45.64,46.38,44.87,45.54,19444274.0,1701295924.0,1202589511.0,0.016168670874096788
2019-11-28,45.25,46.77,44.97,45.62,14522464.0,1272961362.0,1202589511.0,0.012075994233413866
2019-11-29,45.47,46.4,44.56,45.62,12922196.0,1128335007.0,1202589511.0,0.010745309086601538
2019-12-02,46.04,46.1,44.78,45.46,11901718.0,1037432152.0,1202589511.0,0.009896741898325106
2019-12-03,45.41,45.54,44.15,45.1,15689440.0,1344177279.0,1202589511.0,0.013046380212441417
2019-12-04,45.07,46.33,44.46,45.25,16878594.0,1471734012.0,1202589511.0,0.014035208061946917
2019-12-05,45.42,48.78,45.39,48.02,26362986.0,2386541252.0,1202589511.0,0.02192184927513475
2019-12-06,47.86,48.74,47.55,48.54,13437736.0,1241180810.0,1202589511.0,0.011174000668628815
2019-12-09,48.8,48.8,47.44,48.48,14749903.0,1356068174.0,1202589511.0,0.012265118617020766
2019-12-10,48.02,49.29,47.65,48.72,12694910.0,1180456000.0,1202589511.0,0.010556311928451537
2019-12-11,48.72,49.16,47.24,47.75,13325522.0,1228395776.0,1202589511.0,0.01108069035869048
2019-12-12,47.74,48.49,46.57,46.82,14878693.0,1348243703.0,1202589511.0,0.012372212516328857
2019-12-13,47.77,48.75,47.14,48.54,18289816.0,1685672881.0,1202589511.0,0.015208694099444878
2019-12-16,48.3,48.47,47.64,48.18,18217880.0,1677225431.0,1202589511.0,0.015148876514689642
2019-12-17,49.48,50.73,49.29,49.79,27739358.0,2651624404.0,1202589511.0,0.023066356180783287
2019-12-18,49.3,49.32,48.11,48.64,18640537.0,1738803703.0,1202589511.0,0.015500332265911472
2019-12-19,48.8,48.84,47.77,48.67,10843349.0,1003631198.0,1202589511.0,0.009016666868300998
2019-12-20,48.67,49.52,48.39,48.43,10357947.0,968703786.0,1202589511.0,0.008613036206666199
2019-12-23,48.02,49.79,47.79,48.49,14142900.0,1327211449.0,1202589511.0,0.011760371989474303
2019-12-24,48.64,52.24,48.64,51.93,29704390.0,2899590776.0,1202589511.0,0.024700356795312177
2019-12-25,51.85,55.05,51.23,54.96,23307715.0,2363520362.0,1202589511.0,0.019381272484755605
2019-12-26,54.8,55.84,53.59,54.87,14841677.0,1549926129.0,1202589511.0,0.012341432271148423
2019-12-27,54.87,57.41,53.84,54.39,24054959.0,2568286548.0,1202589511.0,0.020002634963943236
2019-12-30,55.62,57.67,54.8,57.41,23577964.0,2546998962.0,1202589511.0,0.01960599505012646
2019-12-31,57.34,57.6,55.09,55.53,21500700.0,2311684353.0,1202589511.0,0.01787866915795842
2020-01-02,55.96,56.81,55.17,56.12,20611589.0,2213454651.0,1202589511.0,0.01713933874482296
2020-01-03,56.12,57.51,55.31,57.18,18084178.0,1956828809.0,1202589511.0,0.01503769809613781
2020-01-06,58.09,59.76,56.27,56.94,26500200.0,2958351780.0,1202589511.0,0.02203594805842274
2020-01-07,56.9,57.23,56.06,56.63,13507544.0,1461154189.0,1202589511.0,0.011232048738532528
2020-01-08,56.9,58.2,55.9,57.2,19224068.0,2098374347.0,1202589511.0,0.01598556101159941
2020-01-09,58.46,60.28,57.42,60.02,20164351.0,2287090666.0,1202589511.0,0.016767442935064814
2020-01-10,59.61,59.61,58.29,59.14,14428007.0,1628569248.0,1202589511.0,0.011997449560326326
2020-01-13,60.54,61.84,59.61,61.01,21597445.0,2516539925.0,1202589511.0,0.017959116392126922
2020-01-14,62.38,63.02,60.12,60.39,21768473.0,2585867747.0,1202589511.0,0.018101332832928724
2020-01-15,60.39,61.37,58.57,60.18,17758720.0,2031327383.0,1202589511.0,0.01476706709776051
2020-01-16,60.54,60.81,59.42,60.75,12934158.0,1492301747.0,1202589511.0,0.010755255955329881
2020-01-17,60.73,61.36,59.5,60.06,14662407.0,1694771901.0,1202589511.0,0.012192362286452705
2020-01-20,60.02,65.28,58.93,64.3,24892200.0,2992287057.0,1202589511.0,0.02069883345257283
2020-01-21,63.94,64.2,62.87,63.49,14267108.0,1734790907.0,1202589511.0,0.01186365577738687
2020-01-22,63.49,69.85,62.31,69.85,34991561.0,4493837402.0,1202589511.0,0.029096845332455257
2020-01-23,69.16,71.51,65.29,68.15,35986224.0,4755930193.0,1202589511.0,0.029923946343150834
2020-02-03,66.06,74.89,66.03,70.65,52634602.0,7148822247.0,1202589511.0,0.04376772083787117
2020-02-04,76.08,77.72,73.08,77.72,35913583.0,5283954890.0,1202589511.0,0.02986354252344714
2020-02-05,82.56,85.49,81.58,85.49,53082382.0,8588999757.0,1202589511.0,0.04414006734173154
2020-02-06,80.91,88.67,79.85,88.67,57918993.0,9265610936.0,1202589511.0,0.04816189769677777
2020-02-07,86.64,88.38,82.96,83.61,45499480.0,7426674365.0,1202589511.0,0.037834589096129245
