日期,300750.SZ_close,300750.SZ_volume,300750.SZ_turnover
2024-05-13,192.59,4425713327.0,0.57
2024-05-14,192.25,2131826963.0,0.27
2024-05-15,191.13,2607766831.0,0.34
2024-05-16,192.91,3065019508.0,0.39
2024-05-17,196.24,3727316446.0,0.47
2024-05-20,196.69,4083626152.0,0.51
2024-05-21,194.8,2480343309.0,0.32
2024-05-22,198.13,5153120079.0,0.65
2024-05-23,197.58,3602986569.0,0.45
2024-05-24,194.22,3136303496.0,0.4
2024-05-27,193.25,3261446783.0,0.42
2024-05-28,191.04,2517505166.0,0.33
2024-05-29,192.03,2663801635.0,0.34
2024-05-30,192.59,2548445865.0,0.33
2024-05-31,191.0,2760668470.0,0.35
2024-06-03,195.74,3757638839.0,0.48
2024-06-04,199.21,3639805938.0,0.45
2024-06-05,197.36,2420867501.0,0.3
2024-06-06,198.03,2544442658.0,0.32
2024-06-07,186.44,10008885040.0,1.33
2024-06-11,182.01,7876263876.0,1.08
2024-06-12,178.84,3788449182.0,0.52
2024-06-13,178.42,4134985666.0,0.57
2024-06-14,178.13,6764196086.0,0.95
2024-06-17,181.44,5044213365.0,0.69
2024-06-18,183.57,2959271843.0,0.4
2024-06-19,182.25,2030697600.0,0.28
2024-06-20,181.23,2172637229.0,0.3
2024-06-21,178.4,3416688219.0,0.47
2024-06-24,180.22,3363422625.0,0.46
2024-06-25,179.56,2696969882.0,0.37
2024-06-26,178.75,1940490559.0,0.27
2024-06-27,178.24,2330478210.0,0.32
2024-06-28,173.27,3539244333.0,0.5
2024-07-01,169.31,4709620520.0,0.69
2024-07-02,169.32,2529552189.0,0.37
2024-07-03,172.74,2906473773.0,0.42
2024-07-04,172.84,2137596470.0,0.3
2024-07-05,170.86,2414693953.0,0.35
2024-07-08,169.15,1907514420.0,0.28
2024-07-09,169.01,2876833389.0,0.42
2024-07-10,166.29,3123226777.0,0.46
2024-07-11,170.25,3678618339.0,0.53
2024-07-12,173.04,3523525353.0,0.5
2024-07-15,171.36,2041627402.0,0.29
2024-07-16,172.54,2710034963.0,0.39
2024-07-17,174.13,3346445646.0,0.48
2024-07-18,181.59,5957621426.0,0.82
2024-07-19,182.68,3929663334.0,0.54
2024-07-22,182.76,3259890052.0,0.44
2024-07-23,179.44,2233862306.0,0.31
2024-07-24,179.56,2708577542.0,0.37
2024-07-25,180.97,3863507112.0,0.53
2024-07-26,182.59,4436931314.0,0.6
2024-07-29,177.77,3918833597.0,0.55
2024-07-30,178.13,2349179517.0,0.33
2024-07-31,179.55,3690880179.0,0.51
2024-08-01,173.54,4180640117.0,0.59
2024-08-02,170.33,2753866402.0,0.4
2024-08-05,170.24,3451887572.0,0.5
2024-08-06,168.19,2771240102.0,0.4
2024-08-07,166.91,2230380711.0,0.33
2024-08-08,165.64,2520197340.0,0.38
2024-08-09,163.24,2646422840.0,0.4
2024-08-12,162.24,2934605437.0,0.45
2024-08-13,167.02,3336604796.0,0.5
2024-08-14,165.45,1720375362.0,0.26
2024-08-15,166.64,2511442939.0,0.37
