日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-06,87.92,94.09,87.6,92.94,30715268.0,5324573165.0,1225589086.0,0.0251
2020-07-07,98.27,102.23,98.01,102.23,25360423.0,4915716572.0,1225589086.0,0.0207
2020-07-08,103.49,103.93,99.31,103.27,28889036.0,5645451324.0,1225589086.0,0.0236
2020-07-09,102.97,108.08,102.45,107.17,27903552.0,5622121401.0,1225589086.0,0.0228
2020-07-10,106.1,108.29,104.86,106.58,16829333.0,3436550912.0,1225589086.0,0.0137
2020-07-13,110.61,117.24,110.61,117.15,30326879.0,6609862260.0,1225589086.0,0.0247
2020-07-14,111.86,115.36,109.17,112.88,33329626.0,7129824248.0,1225589086.0,0.0272
2020-07-15,114.47,115.3,105.65,108.22,27435061.0,5785551114.0,1225589086.0,0.0224
2020-07-16,108.72,111.28,102.66,102.85,27254968.0,5596500616.0,1225589086.0,0.0222
2020-07-17,102.98,105.16,98.31,102.3,30378591.0,5903627257.0,1225589086.0,0.0248
2020-07-20,106.68,110.35,104.07,107.31,28999908.0,5919664190.0,1225589086.0,0.0237
2020-07-21,109.76,109.76,106.11,108.2,18656592.0,3855792321.0,1225589086.0,0.0152
2020-07-22,107.16,110.39,106.13,108.67,19165779.0,3992449599.0,1225589086.0,0.0156
2020-07-23,108.2,112.65,107.68,111.6,25589954.0,5395410865.0,1225589086.0,0.0209
2020-07-24,109.25,109.72,102.37,103.85,34398314.0,6943402672.0,1225589086.0,0.0281
2020-07-27,103.5,105.06,99.31,100.0,25155581.0,4870628816.0,1225589086.0,0.0205
2020-07-28,102.48,104.8,102.2,103.25,20148990.0,3988264848.0,1225589086.0,0.0164
2020-07-29,103.25,107.16,102.07,106.73,18998583.0,3844683434.0,1225589086.0,0.0155
2020-07-30,107.16,108.19,105.8,107.34,14353072.0,2944644013.0,1225589086.0,0.0117
2020-07-31,107.68,112.54,107.42,110.9,20704980.0,4378422256.0,1225589086.0,0.0169
2020-08-03,111.8,112.8,109.8,112.7,15106133.0,3216865098.0,1225589086.0,0.0123
2020-08-04,112.02,116.55,109.94,110.13,19958062.0,4309494880.0,1225589086.0,0.0163
2020-08-05,110.16,111.23,107.97,109.95,12730060.0,2664523683.0,1225589086.0,0.0104
2020-08-06,113.37,113.89,108.72,110.55,14565688.0,3082282260.0,1225589086.0,0.0119
2020-08-07,109.25,112.02,105.65,106.79,18055246.0,3733669852.0,1225589086.0,0.0147
2020-08-10,106.74,107.31,103.54,104.9,13078744.0,2629646475.0,1225589086.0,0.0107
2020-08-11,104.93,106.95,103.57,103.72,12233213.0,2468198213.0,1225589086.0,0.01
2020-08-12,104.49,104.68,98.37,102.31,25272741.0,4855191799.0,1225589086.0,0.0206
2020-08-13,104.96,105.58,101.65,102.45,13061210.0,2581164117.0,1225589086.0,0.0107
2020-08-14,103.34,104.78,102.45,104.74,11970002.0,2373752131.0,1225589086.0,0.0098
2020-08-17,104.54,104.74,101.51,102.78,19707410.0,3866925435.0,1225589086.0,0.0161
2020-08-18,104.33,107.16,102.39,104.17,22122398.0,4415130041.0,1225589086.0,0.0181
2020-08-19,103.39,103.39,99.32,99.42,18714680.0,3610137183.0,1225589086.0,0.0153
2020-08-20,97.75,99.84,96.7,98.49,13020138.0,2444311254.0,1225589086.0,0.0106
2020-08-21,100.03,101.38,99.32,100.48,14655272.0,2815939720.0,1225589086.0,0.012
2020-08-24,101.51,108.72,100.49,105.59,25806984.0,5156579058.0,1225589086.0,0.0211
2020-08-25,105.59,107.68,104.0,104.5,14549072.0,2935647680.0,1225589086.0,0.0119
2020-08-26,104.03,104.53,100.85,101.62,15240258.0,2985718224.0,1225589086.0,0.0124
2020-08-27,105.85,108.99,104.02,107.13,28397772.0,5799779573.0,1225589086.0,0.0232
2020-08-28,107.85,109.51,106.47,108.88,16967122.0,3510925235.0,1225589086.0,0.0138
2020-08-31,109.59,110.17,107.16,107.86,13514481.0,2797718777.0,1225589086.0,0.011
2020-09-01,107.94,112.38,107.16,111.99,19716189.0,4175644975.0,1225589086.0,0.0161
2020-09-02,111.53,111.93,108.72,110.45,14608611.0,3084140608.0,1225589086.0,0.0119
2020-09-03,109.77,110.29,107.62,109.72,12452889.0,2600401902.0,1225589086.0,0.0102
2020-09-04,105.7,107.5,104.85,106.77,14773663.0,2993649066.0,1225589086.0,0.0121
2020-09-07,106.06,107.08,94.09,97.43,44789699.0,8540774210.0,1225589086.0,0.0365
2020-09-08,96.7,98.27,93.83,97.7,22073272.0,4063178479.0,1225589086.0,0.018
2020-09-09,93.57,98.01,93.04,96.35,18934368.0,3444737255.0,1225589086.0,0.0154
2020-09-10,96.7,99.05,96.44,96.68,14826421.0,2775741169.0,1225589086.0,0.0121
2020-09-11,97.22,98.95,95.84,97.9,11765001.0,2188559589.0,1225589086.0,0.0096
2020-09-14,99.58,101.92,99.32,100.77,14289637.0,2755344741.0,1225589086.0,0.0117
2020-09-15,102.19,102.97,100.79,101.77,11703665.0,2283119875.0,1225589086.0,0.0095
2020-09-16,102.86,102.92,99.58,100.5,11837864.0,2289962853.0,1225589086.0,0.0097
2020-09-17,100.49,105.56,99.84,103.71,18130771.0,3567477518.0,1225589086.0,0.0148
2020-09-18,103.97,104.54,102.05,103.51,10548691.0,2089777817.0,1225589086.0,0.0086
2020-09-21,105.54,108.72,102.9,103.46,16068319.0,3253235562.0,1230830564.0,0.0131
2020-09-22,104.54,106.74,103.46,104.8,12339378.0,2486477011.0,1230830564.0,0.01
2020-09-23,104.33,104.45,99.89,102.97,15719429.0,3068479262.0,1230830564.0,0.0128
2020-09-24,101.22,102.35,99.37,99.74,10668028.0,2053506544.0,1234637880.0,0.0086
2020-09-25,101.2,101.77,99.62,100.1,6801208.0,1308079227.0,1234637880.0,0.0055
2020-09-28,101.12,102.95,100.26,100.84,8233195.0,1600223954.0,1234637880.0,0.0067
2020-09-29,102.19,107.81,102.15,107.15,20243551.0,4072131575.0,1234637880.0,0.0164
2020-09-30,107.31,110.3,106.53,109.35,15990837.0,3336273481.0,1234637880.0,0.013
2020-10-09,114.99,119.64,114.88,117.54,23959241.0,5376329911.0,1234637880.0,0.0194
2020-10-12,119.18,122.84,118.81,122.72,18938222.0,4398493907.0,1234637880.0,0.0153
2020-10-13,122.78,124.71,119.7,123.19,10746666.0,2516817784.0,1234637880.0,0.0087
2020-10-14,123.88,127.54,122.73,124.04,13770183.0,3291861336.0,1234637880.0,0.0112
2020-10-15,126.03,127.59,123.88,124.72,9953526.0,2390083998.0,1234637880.0,0.0081
2020-10-16,125.19,125.45,117.25,119.23,20304062.0,4680601974.0,1234637880.0,0.0164
2020-10-19,120.92,123.41,119.18,119.92,13002499.0,3013473696.0,1234637880.0,0.0105
2020-10-20,120.55,126.29,119.67,126.29,13596634.0,3215157955.0,1234637880.0,0.011
2020-10-21,125.48,125.78,119.01,121.44,16167925.0,3765707374.0,1234637880.0,0.0131
2020-10-22,120.33,122.21,118.66,121.21,9055157.0,2083319771.0,1234637880.0,0.0073
2020-10-23,121.54,124.8,117.32,117.61,11593811.0,2675565183.0,1234637880.0,0.0094
2020-10-26,118.12,122.12,114.65,121.87,10802773.0,2483444489.0,1234637880.0,0.0087
2020-10-27,122.84,124.77,121.27,123.99,9101539.0,2142729171.0,1234637880.0,0.0074
2020-10-28,119.0,128.31,118.48,125.59,22415826.0,5333295830.0,1234637880.0,0.0182
2020-10-29,123.89,127.55,121.44,125.45,17435230.0,4141992877.0,1234637880.0,0.0141
2020-10-30,125.98,134.13,124.56,129.2,22958747.0,5697363353.0,1234637880.0,0.0186
2020-11-02,129.11,138.78,127.81,135.98,18946131.0,4851443508.0,1234637880.0,0.0153
2020-11-03,135.91,135.91,129.2,133.83,18456665.0,4678655503.0,1234637880.0,0.0149
2020-11-04,133.29,135.91,130.68,133.58,11061672.0,2823450165.0,1234637880.0,0.009
2020-11-05,136.43,140.35,136.41,140.35,15795924.0,4183384890.0,1234637880.0,0.0128
2020-11-06,141.85,143.87,135.91,137.74,15658385.0,4181642686.0,1234637880.0,0.0127
2020-11-09,140.09,142.65,136.48,139.27,13228570.0,3519918485.0,1234637880.0,0.0107
2020-11-10,138.69,142.12,133.58,139.0,14417544.0,3798315741.0,1234637880.0,0.0117
2020-11-11,138.05,139.82,131.12,131.12,15758398.0,4067832842.0,1234637880.0,0.0128
2020-11-12,135.91,135.91,132.03,132.9,9716864.0,2484194229.0,1234637880.0,0.0079
2020-11-13,134.92,136.31,132.25,132.36,11377678.0,2916695927.0,1234637880.0,0.0092
2020-11-16,132.71,134.7,129.34,133.24,12312065.0,3117461905.0,1234637880.0,0.01
2020-11-17,134.49,135.91,128.85,131.03,13674853.0,3446644846.0,1234637880.0,0.0111
2020-11-18,130.74,131.76,123.79,125.71,19283321.0,4666571941.0,1234637880.0,0.0156
2020-11-19,125.98,127.31,123.94,126.55,9758010.0,2347767354.0,1234637880.0,0.0079
2020-11-20,127.8,132.56,127.79,131.77,12303462.0,3074188106.0,1234637880.0,0.01
2020-11-23,131.77,135.75,130.73,132.25,12091293.0,3074248590.0,1234637880.0,0.0098
2020-11-24,134.86,135.44,130.68,133.14,9791966.0,2493964414.0,1234637880.0,0.0079
2020-11-25,134.13,134.27,127.75,128.7,11709894.0,2919290535.0,1234637880.0,0.0095
2020-11-26,128.9,128.9,125.03,128.24,8629485.0,2093179754.0,1234637880.0,0.007
2020-11-27,128.28,130.04,124.41,126.5,8433221.0,2042276836.0,1234637880.0,0.0068
2020-11-30,127.54,127.54,122.33,126.92,12666236.0,3027343940.0,1234637880.0,0.0103
2020-12-01,124.82,128.93,124.41,128.68,9491971.0,2313881358.0,1234637880.0,0.0077
2020-12-02,128.59,128.59,123.67,127.38,11965310.0,2878299333.0,1234637880.0,0.0097
2020-12-03,127.38,129.09,124.6,128.58,10688561.0,2599398532.0,1234637880.0,0.0087
2020-12-04,128.1,131.36,127.73,130.53,9233784.0,2301628558.0,1234637880.0,0.0075
2020-12-07,131.15,138.43,131.15,136.67,17112954.0,4455396830.0,1234637880.0,0.0139
2020-12-08,138.78,141.08,138.26,139.06,11636158.0,3104188970.0,1234637880.0,0.0094
2020-12-09,140.47,142.49,136.99,139.04,15363649.0,4118082968.0,1234637880.0,0.0124
2020-12-10,137.55,139.83,135.38,138.43,9985664.0,2632528799.0,1234637880.0,0.0081
2020-12-11,137.64,139.84,136.79,139.33,12893673.0,3422455577.0,1234637880.0,0.0104
2020-12-14,139.34,140.47,137.0,139.04,10724116.0,2853628549.0,1234637880.0,0.0087
2020-12-15,140.09,146.03,138.23,145.58,17781261.0,4843902027.0,1234637880.0,0.0144
2020-12-16,146.46,149.65,144.79,149.53,14288803.0,4031211463.0,1234637880.0,0.0116
2020-12-17,148.56,150.44,147.41,148.87,8812326.0,2508931373.0,1234637880.0,0.0071
2020-12-18,149.23,153.13,148.04,151.58,9512618.0,2747669767.0,1234637880.0,0.0077
2020-12-21,155.12,169.88,153.31,169.88,19810397.0,6099782515.0,1234637880.0,0.016
2020-12-22,167.26,172.67,162.93,163.94,16874400.0,5377597576.0,1234637880.0,0.0137
2020-12-23,163.96,172.13,160.57,166.22,17390320.0,5538718908.0,1234637880.0,0.0141
2020-12-24,165.7,166.57,161.26,162.56,9478596.0,2959419425.0,1234637880.0,0.0077
2020-12-25,161.52,164.76,159.96,163.5,9539934.0,2967552614.0,1234637880.0,0.0077
2020-12-28,164.76,167.27,162.56,165.59,11973062.0,3782275236.0,1234637880.0,0.0097
2020-12-29,165.59,166.64,158.58,161.0,12174791.0,3759197905.0,1234637880.0,0.0099
2020-12-30,167.27,181.87,167.27,177.72,22881682.0,7648664798.0,1234637880.0,0.0185
2020-12-31,180.33,184.99,178.62,183.53,15200521.0,5283669712.0,1234637880.0,0.0123
2021-01-04,187.18,214.89,187.18,211.23,22480807.0,8687099007.0,1234637880.0,0.0182
2021-01-05,206.47,211.07,201.77,210.13,22745201.0,9014539649.0,1234637880.0,0.0184
2021-01-06,213.27,217.45,204.39,212.62,18668114.0,7476239866.0,1234637880.0,0.0151
2021-01-07,209.6,216.93,207.45,216.0,17389487.0,7064219722.0,1234637880.0,0.0141
2021-01-08,219.02,222.15,207.73,211.44,21006685.0,8534719469.0,1234637880.0,0.017
2021-01-11,214.25,214.25,201.77,203.86,23005038.0,9098694886.0,1234637880.0,0.0186
2021-01-12,201.51,211.39,198.63,209.7,16559671.0,6519876505.0,1234637880.0,0.0134
2021-01-13,209.09,214.57,194.96,201.25,27261967.0,10634079157.0,1234637880.0,0.0221
2021-01-14,196.12,200.72,192.37,192.89,19606569.0,7315308913.0,1234637880.0,0.0159
2021-01-15,192.35,200.71,190.79,198.92,19822928.0,7439894399.0,1234637880.0,0.0161
2021-01-18,196.93,204.8,196.42,200.67,14201178.0,5471186934.0,1234637880.0,0.0115
2021-01-19,200.72,201.77,190.56,191.37,16286661.0,6085692761.0,1234637880.0,0.0132
2021-01-20,195.39,205.63,193.88,204.59,21341613.0,8254525727.0,1234637880.0,0.0173
2021-01-21,202.29,208.56,198.63,204.54,17479166.0,6831720357.0,1234637880.0,0.0142
2021-01-22,204.64,214.46,204.64,213.27,19044156.0,7637563994.0,1234637880.0,0.0154
2021-01-25,212.38,218.67,205.08,207.49,21741425.0,8762929074.0,1234637880.0,0.0176
2021-01-26,207.42,207.42,200.6,201.51,15104374.0,5853513770.0,1234637880.0,0.0122
2021-01-27,204.9,205.53,194.45,204.13,14838511.0,5705898439.0,1234637880.0,0.012
2021-01-28,198.63,200.2,192.36,193.35,18182027.0,6792412556.0,1234637880.0,0.0147
2021-01-29,196.55,197.06,179.06,185.1,27601326.0,9896345999.0,1234637880.0,0.0224
2021-02-01,184.52,186.56,180.96,183.12,17525081.0,6170654212.0,1234637880.0,0.0142
2021-02-02,184.0,193.4,176.35,192.25,25086475.0,8919403723.0,1234637880.0,0.0203
2021-02-03,198.11,202.58,196.04,199.14,21107294.0,8082621708.0,1234637880.0,0.0171
2021-02-04,201.2,205.84,198.37,203.07,21630174.0,8354708667.0,1356998128.0000002,0.0159
2021-02-05,206.47,207.51,194.89,195.21,18411695.0,7036248026.0,1356998128.0000002,0.0136
2021-02-08,196.02,211.59,194.98,211.18,24402658.0,9586610902.0,1356998128.0000002,0.018
2021-02-09,214.94,216.93,209.5,214.42,16203746.0,6632109519.0,1356998128.0000002,0.0119
2021-02-10,216.4,217.76,212.22,215.7,16282957.0,6704613975.0,1356998128.0000002,0.012
2021-02-18,220.59,220.59,202.23,207.52,23824929.0,9491493857.0,1356998128.0000002,0.0176
2021-02-19,203.86,206.99,195.6,202.55,18690354.0,7159858379.0,1356998128.0000002,0.0138
2021-02-22,202.55,206.89,195.97,196.02,16720351.0,6411239337.0,1356998128.0000002,0.0123
2021-02-23,193.4,196.82,188.64,196.82,13604746.0,5027757786.0,1356998128.0000002,0.01
2021-02-24,196.02,197.59,177.41,181.38,30272084.0,10682015851.0,1356998128.0000002,0.0223
2021-02-25,184.96,184.96,175.11,176.21,24575702.0,8445690070.0,1356998128.0000002,0.0181
2021-02-26,168.84,174.06,166.11,168.43,22950635.0,7449904802.0,1356998128.0000002,0.0169
2021-03-01,173.29,180.66,171.6,180.13,20539402.0,6964880536.0,1356998128.0000002,0.0151
2021-03-02,184.52,184.62,178.28,182.74,15281131.0,5308970365.0,1356998128.0000002,0.0113
2021-03-03,180.89,182.76,177.91,182.76,10464433.0,3617077586.0,1356998128.0000002,0.0077
2021-03-04,180.34,180.34,168.79,170.18,18103403.0,5984259540.0,1356998128.0000002,0.0133
2021-03-05,163.61,170.86,161.17,167.27,17307341.0,5511104280.0,1356998128.0000002,0.0128
2021-03-08,168.84,174.96,157.27,159.43,21295514.0,6751702326.0,1356998128.0000002,0.0157
2021-03-09,156.81,162.3,151.06,156.81,27357719.0,8235734795.0,1356998128.0000002,0.0202
2021-03-10,165.18,168.46,163.61,164.39,23763768.0,7542999118.0,1356998128.0000002,0.0175
2021-03-11,165.18,174.31,162.72,173.16,20964281.0,6829108562.0,1356998128.0000002,0.0154
2021-03-12,176.11,180.34,173.18,178.49,18952041.0,6424536235.0,1356998128.0000002,0.014
2021-03-15,177.72,177.72,160.47,163.24,23040352.0,7361113707.0,1356998128.0000002,0.017
