证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,195519.3267,,0.0,,0.0,156541.0782,,21724.3733,431.3745,,,,A股上市,2018-06-08,,300750,2018-06-11,,,,,195519.3267,,,217243.7,,,,,,21724.3733,38546.874,195087.9522,015001
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,,0.0,,195519.3267,,0.0,,0.0,156541.0782,,21724.3733,431.3745,,,,定期报告,2018-08-24,,300750,2018-06-30,,,,,195519.3267,,,217243.7,,,,,,21724.3733,38546.874,195087.9522,015019
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,197777.3667,,0.0,,0.0,156541.0782,,21724.3733,431.3745,,,,"增发新股上市,股权激励",2018-09-18,,300750,2018-09-19,,0.0,,,197777.3667,,,219501.74,,,,,,21724.3733,40804.914,197345.9922,"015004,015025"
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,,0.0,,197777.3667,,0.0,,0.0,156541.0782,,21724.3733,431.3745,,,,定期报告,2019-04-25,,300750,2018-12-31,,0.0,,,197777.3667,,,219501.74,,,,,,21724.3733,40804.914,197345.9922,015019
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,99796.1229,,0.0,,0.0,60996.6264,,119705.6171,431.3745,,,,限售股份上市,2019-06-06,,300750,2019-06-11,,0.0,,,99796.1229,,,219501.74,,,,,,119705.6171,38368.122,99364.7484,015027
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,,0.0,,99796.1229,,0.0,,0.0,60996.6264,,119705.6171,431.3745,,,,定期报告,2019-08-24,,300750,2019-06-30,,0.0,,,99796.1229,,,219501.74,,,,,,119705.6171,38368.122,99364.7484,015019
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,99738.8829,,0.0,,0.0,60996.6264,,119705.6171,431.3745,,,,股份回购,2019-07-11,,300750,2019-07-10,,0.0,,,99738.8829,,,219444.5,,,,,,119705.6171,38310.882,99307.5084,015016
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,99185.5489,,0.0,,0.0,60996.6264,,120258.9511,431.3745,,,,激励股份解禁,2019-09-17,,300750,2019-09-19,,0.0,,,99185.5489,,,219444.5,,,,,,120258.9511,37757.548,98754.1744,015998
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,100581.0189,,0.0,,0.0,60996.6264,,120258.9511,431.3745,,,,"股权激励,增发新股上市",2019-09-20,,300750,2019-09-24,,0.0,,,100581.0189,,,220839.97,,,,,,120258.9511,39153.018,100149.6444,"015025,015004"
宁德时代,宁德时代新能源科技股份有限公司,,,,,,,,,100581.0189,,,,,60252.9948,,120258.9511,,,,,定期报告,2020-04-25,,300750,2019-12-31,,,,,100581.0189,,,220839.97,,,,,,120258.9511,40328.0241,100581.0189,015019
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,100581.0189,,0.0,,0.0,60996.6264,,120258.9511,431.3745,,,,其他,2020-04-25,,300750,2020-04-24,,0.0,,,100581.0189,,,220839.97,,,,,,120258.9511,39153.018,100149.6444,015999
宁德时代,宁德时代新能源科技股份有限公司,,,,,0.0,0.0,0.0,,100452.4269,,0.0,,0.0,60996.6264,,120258.9511,431.3745,,,,股份回购,2020-05-25,,300750,2020-05-22,,0.0,,,100452.4269,,,220711.378,,,,0.0,,120258.9511,39024.426,100021.0524,015016
宁德时代,宁德时代新能源科技股份有限公司,,,,,,,,,98152.4694,,,,,58696.6689,,122558.9086,431.3745,,,,限售股份上市,2020-06-22,,300750,2020-06-29,,,,,98152.4694,,,220711.378,,,,,,122558.9086,39024.426,97721.0949,015027
宁德时代,宁德时代新能源科技股份有限公司,,,,,,,,44.65,98152.4694,,44.65,,,57953.0373,,122558.9086,,,,,定期报告,2020-08-27,,300750,2020-06-30,,,,,98152.4694,,,220711.378,,,,,,122558.9086,40154.7821,98107.8194,015019
