代码,简称,公告标题,公告时间,公告链接
600179,安通控股,关于非公开发行限售股份上市流通的提示性公告,2025-12-13,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224874374&orgId=gssh0600179&announcementTime=2025-12-13
600179,安通控股,上海锦天城（福州）律师事务所关于国泰海通证券股份有限公司出具安通控股股份有限公司限售股份申请上市流通的核查意见之相关事宜的专项法律意见书,2025-12-13,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224874364&orgId=gssh0600179&announcementTime=2025-12-13
600179,安通控股,国泰海通证券股份有限公司关于安通控股股份有限公司限售股份申请上市流通的核查意见,2025-12-13,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224874369&orgId=gssh0600179&announcementTime=2025-12-13
600179,安通控股,关于对子公司担保额度进行调剂的公告,2025-12-09,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224858483&orgId=gssh0600179&announcementTime=2025-12-09
600179,安通控股,关于完成工商变更登记的公告,2025-11-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224831252&orgId=gssh0600179&announcementTime=2025-11-28
600179,安通控股,关于2022年员工持股计划第三期解锁的提示性公告,2025-11-22,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224819317&orgId=gssh0600179&announcementTime=2025-11-22
600179,安通控股,2025年第五次临时股东会法律意见书,2025-11-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224805971&orgId=gssh0600179&announcementTime=2025-11-15
600179,安通控股,2025年第五次临时股东会决议公告,2025-11-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224805969&orgId=gssh0600179&announcementTime=2025-11-15
600179,安通控股,关于非公开发行限售股份上市流通的提示性公告,2025-11-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224792856&orgId=gssh0600179&announcementTime=2025-11-08
600179,安通控股,2025年第五次临时股东会会议材料,2025-11-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224792623&orgId=gssh0600179&announcementTime=2025-11-08
600179,安通控股,国泰海通证券股份有限公司关于安通控股股份有限公司限售股份申请上市流通的核查意见,2025-11-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224792857&orgId=gssh0600179&announcementTime=2025-11-08
600179,安通控股,上海锦天城（福州）律师事务所关于国泰海通证券股份有限公司出具安通控股股份有限公司限售股份申请上市流通的核查意见之相关事宜的专项法律意见书,2025-11-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224792858&orgId=gssh0600179&announcementTime=2025-11-08
600179,安通控股,关于召开2025年第五次临时股东会的通知,2025-10-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224763573&orgId=gssh0600179&announcementTime=2025-10-30
600179,安通控股,公司章程（2025年10月修订）,2025-10-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600179&announcementId=1224763572&orgId=gssh0600179&announcementTime=2025-10-30
