日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-23,4.89,5.08,4.65,4.75,14213515.0,69189122.0,673639431.0,0.0211
2020-06-24,4.71,4.9,4.7,4.85,6211000.0,29957647.0,673639431.0,0.0092
2020-06-29,4.84,5.01,4.8,4.92,7122994.0,35063305.0,673639431.0,0.0106
2020-06-30,5.02,5.08,4.97,5.05,7777062.0,39090104.0,673639431.0,0.0115
2020-07-01,5.09,5.2,5.07,5.2,5773421.0,29694314.0,673639431.0,0.0086
2020-07-02,5.2,5.28,5.06,5.15,7501663.0,38409325.0,673639431.0,0.0111
2020-07-03,5.15,5.17,4.89,4.91,12761242.0,63282260.0,673639431.0,0.0189
2020-07-06,4.96,5.03,4.66,4.66,13448107.0,63633053.0,673639431.0,0.02
2020-07-07,4.64,4.64,4.43,4.43,7054600.0,31381276.0,687639431.0,0.0103
2020-07-08,4.21,4.65,4.21,4.43,19555226.0,85982388.0,687639431.0,0.0284
2020-07-09,4.31,4.56,4.3,4.4,8681064.0,38372145.0,687639431.0,0.0126
2020-07-10,4.5,4.55,4.36,4.46,9510645.0,42204624.0,687639431.0,0.0138
2020-07-13,4.39,4.49,4.36,4.41,9423999.0,41549344.0,687639431.0,0.0137
2020-07-14,4.43,4.63,4.43,4.63,11280856.0,51590625.0,687639431.0,0.0164
2020-07-15,4.77,4.86,4.73,4.86,6708195.0,32497604.0,687639431.0,0.0098
2020-07-16,5.1,5.1,4.77,4.88,15664257.0,77575297.0,687639431.0,0.0228
2020-07-17,4.88,5.04,4.87,4.95,5941460.0,29464449.0,687639431.0,0.0086
2020-07-20,4.97,5.06,4.92,5.04,4085288.0,20443006.0,687639431.0,0.0059
2020-07-21,5.05,5.15,4.79,4.81,14027734.0,68599804.0,687639431.0,0.0204
2020-07-22,4.7,5.05,4.57,5.05,17785999.0,84938519.0,687639431.0,0.0259
2020-07-23,5.1,5.19,5.03,5.12,10582863.0,54083074.0,687639431.0,0.0154
2020-07-24,5.13,5.18,4.91,5.01,6423838.0,32494018.0,687639431.0,0.0093
2020-07-27,5.04,5.26,5.04,5.26,10720239.0,55151791.0,687639431.0,0.0156
2020-07-28,5.5,5.52,5.19,5.24,13810677.0,74807593.0,687639431.0,0.0201
2020-07-29,5.18,5.3,5.16,5.21,6268127.0,32684366.0,687639431.0,0.0091
2020-07-30,5.21,5.26,5.06,5.07,6242620.0,31967682.0,687639431.0,0.0091
2020-07-31,5.08,5.32,4.91,5.31,9050389.0,46806291.0,687639431.0,0.0132
2020-08-03,5.36,5.57,5.25,5.5,9343514.0,50943030.0,687639431.0,0.0136
2020-08-04,5.55,5.69,5.32,5.33,9976281.0,54317034.0,687639431.0,0.0145
2020-08-05,5.3,5.44,5.13,5.4,8340187.0,44216706.0,687639431.0,0.0121
2020-08-06,5.47,5.47,5.28,5.32,4232001.0,22669309.0,687639431.0,0.0062
2020-08-07,5.32,5.44,5.21,5.43,5063375.0,27054901.0,687639431.0,0.0074
2020-08-10,5.43,5.44,5.29,5.35,5125953.0,27447094.0,687639431.0,0.0075
2020-08-11,5.28,5.46,5.28,5.34,4416640.0,23734726.0,687639431.0,0.0064
2020-08-12,5.35,5.46,5.32,5.36,4730820.0,25372567.0,687639431.0,0.0069
2020-08-13,5.36,5.43,5.26,5.28,4639280.0,24691954.0,687639431.0,0.0067
2020-08-14,5.25,5.32,5.14,5.27,3690780.0,19302207.0,687639431.0,0.0054
2020-08-17,5.25,5.27,5.08,5.11,7385153.0,38170397.0,687639431.0,0.0107
2020-08-18,5.11,5.17,5.0,5.0,6638333.0,33579107.0,687639431.0,0.0097
2020-08-19,5.1,5.19,4.91,5.13,8367603.0,42455702.0,687639431.0,0.0122
2020-08-20,5.14,5.2,5.1,5.14,4186119.0,21614736.0,687639431.0,0.0061
2020-08-21,5.23,5.23,5.05,5.14,3545960.0,18109371.0,687639431.0,0.0052
2020-08-24,5.15,5.19,5.03,5.09,3649301.0,18557672.0,687639431.0,0.0053
