证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,23000.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,,0.0,600179,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,23000.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,,0.0,600179,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,23000.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,,0.0,600179,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,23000.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,,0.0,600179,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,23000.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,,0.0,600179,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,22700.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2003-04-05,300.0,600179,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,22270.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2003-08-21,730.0,600179,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,21140.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,股权转让,2003-12-04,1860.0,600179,2003-10-15,0.0,0.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015013
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,21140.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2004-04-08,1860.0,600179,2003-12-31,0.0,,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,0.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2004-07-30,1860.0,600179,2004-06-30,0.0,21140.0,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
ST安通,黑龙江黑化股份有限公司,0.0,0.0,,0.0,0.0,23000.0,23000.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2005-04-07,1969.827,600179,2004-12-31,0.0,21030.173,,0.0,0.0,0.0,0.0,33000.0,,0.0,0.0,,0.0,10000.0,,,015019
