日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,28.52,29.63,28.0,28.97,906800.0,137100497.0,12944500.0,0.07005291822781877
2019-11-28,28.82,29.41,28.61,28.89,610350.0,92023296.0,12944500.0,0.04715129977982927
2019-11-29,28.71,29.62,28.71,29.01,721289.0,109204555.0,12944500.0,0.05572165784696203
2019-12-02,29.06,30.15,28.9,29.71,861636.0,132668812.0,12944500.0,0.06656386882459732
2019-12-03,29.44,30.76,29.1,30.61,929300.0,144479346.0,12944500.0,0.0717911081926687
2019-12-04,30.5,30.6,29.69,30.03,856990.0,133690625.0,12944500.0,0.06620495191007764
2019-12-05,29.93,31.56,29.82,30.75,1160295.0,185298975.0,12944500.0,0.08963613890069141
2019-12-06,30.6,30.96,29.48,30.08,1285790.0,201144515.0,12944500.0,0.09933098999575109
2019-12-09,30.02,30.92,30.02,30.35,996400.0,157970835.0,12944500.0,0.07697477693228784
2019-12-10,30.0,30.27,28.55,30.2,1519722.0,231793588.0,12944500.0,0.11740291243385222
2019-12-11,29.83,30.0,28.96,29.1,869998.0,132868879.0,12944500.0,0.06720985746842288
2019-12-12,28.89,32.01,28.89,31.9,2599023.0,420153857.0,12944500.0,0.20078203097840783
2019-12-13,31.56,31.75,30.6,31.18,1808196.0,291527436.0,12944500.0,0.13968836185252423
2019-12-16,31.18,31.65,30.7,31.4,1294386.0,209857959.0,12944500.0,0.09999505581521109
2019-12-17,31.59,32.02,30.96,31.36,1225314.0,200378127.0,12944500.0,0.09465904438178377
2019-12-18,31.24,31.48,30.6,30.62,1027771.0,165264287.0,12944500.0,0.07939827726061262
2019-12-19,30.6,30.84,29.94,30.35,836054.0,131389706.0,12944500.0,0.06458758546100661
2019-12-20,30.56,31.31,30.09,30.67,970454.0,155271710.0,12944500.0,0.07497037351771023
2019-12-23,29.25,29.77,27.6,27.6,1743460.0,257414805.0,12944500.0,0.13468731893854533
2019-12-24,27.61,28.23,27.44,28.08,742694.0,107626387.0,12944500.0,0.05737525590018927
2019-12-25,28.08,29.37,27.94,28.84,967425.0,145374549.0,12944500.0,0.07473637452199776
2019-12-26,28.67,30.74,28.52,30.19,1416856.0,219449291.0,12944500.0,0.10945621692610762
2019-12-27,30.6,31.75,30.22,30.71,1252513.0,201433920.0,12944500.0,0.0967602456641817
2019-12-30,30.41,31.37,30.14,30.83,923280.0,147334853.0,12944500.0,0.07132604581096219
2019-12-31,30.6,31.67,30.22,31.21,869110.0,139944393.0,12944500.0,0.06714125690447681
2020-01-02,31.38,31.94,30.48,31.57,1193431.0,194686880.0,12944500.0,0.09219599057514774
