日期,300613.SZ_close,300613.SZ_volume,300613.SZ_turnover
2024-05-13,30.46,83697422.0,1.25
2024-05-14,30.48,57675588.0,0.86
2024-05-15,30.04,59124485.0,0.89
2024-05-16,30.19,59571975.0,0.89
2024-05-17,30.69,55554495.0,0.83
2024-05-20,30.82,61651803.0,0.91
2024-05-21,30.51,63511439.0,0.94
2024-05-22,31.14,75218954.0,1.11
2024-05-23,30.41,87603620.0,1.3
2024-05-24,29.2,104103980.0,1.6
2024-05-27,30.28,104895547.0,1.63
2024-05-28,31.96,314870151.0,4.45
2024-05-29,31.76,177843736.0,2.54
2024-05-30,34.73,454161651.0,6.16
2024-05-31,34.22,321791857.0,4.3
2024-06-03,33.76,238943147.0,3.21
2024-06-04,33.16,184879126.0,2.56
2024-06-05,33.46,268941877.0,3.6
2024-06-06,32.46,244005145.0,3.35
2024-06-07,32.24,175086441.0,2.47
2024-06-11,34.94,396588093.0,5.34
2024-06-12,34.36,271509555.0,3.6
2024-06-13,35.81,477235849.0,6.21
2024-06-14,36.54,374563961.0,4.81
2024-06-17,35.75,386361342.0,4.86
2024-06-18,35.59,250626142.0,3.23
2024-06-19,35.38,242377569.0,3.14
2024-06-20,36.56,406602766.0,5.15
2024-06-21,35.5,233638020.0,3.01
2024-06-24,33.35,256934668.0,3.39
2024-06-25,31.72,232437489.0,3.3
2024-06-26,32.79,175795349.0,2.51
2024-06-27,32.49,223173535.0,3.06
2024-06-28,32.79,166546474.0,2.31
2024-07-01,32.54,140479306.0,2.0
2024-07-02,31.84,92043041.0,1.31
2024-07-03,32.08,138121326.0,1.98
2024-07-04,30.69,120405091.0,1.76
2024-07-05,30.5,92437532.0,1.39
2024-07-08,32.6,347692454.0,4.87
2024-07-09,33.88,304798193.0,4.18
2024-07-10,33.73,179784189.0,2.44
2024-07-11,34.04,211945427.0,2.86
2024-07-12,34.78,257882820.0,3.45
2024-07-15,34.75,240613638.0,3.15
2024-07-16,35.11,233629522.0,3.07
2024-07-17,34.31,194209556.0,2.56
2024-07-18,35.33,259867684.0,3.44
2024-07-19,36.0,373210771.0,4.74
2024-07-22,35.74,210821180.0,2.69
2024-07-23,34.19,190156955.0,2.5
2024-07-24,34.11,154593792.0,2.06
2024-07-25,34.63,140790050.0,1.87
2024-07-26,35.44,186913230.0,2.43
2024-07-29,34.88,151452281.0,1.96
2024-07-30,39.08,656314566.0,7.95
2024-07-31,38.71,546525282.0,6.53
2024-08-01,41.68,872185969.0,9.72
2024-08-02,42.17,704999234.0,7.72
2024-08-05,38.22,608029342.0,7.05
2024-08-06,39.2,393437523.0,4.63
2024-08-07,38.52,280952499.0,3.32
2024-08-08,40.06,557656956.0,6.48
2024-08-09,40.05,531338348.0,5.93
2024-08-12,40.03,319892280.0,3.67
2024-08-13,40.19,370585199.0,4.25
2024-08-14,38.59,302889073.0,3.51
2024-08-15,38.37,308703075.0,3.65
2024-08-16,36.79,383377935.0,4.69
2024-08-19,36.26,164142481.0,2.06
2024-08-20,36.03,123433691.0,1.56
2024-08-21,34.88,190156620.0,2.47
2024-08-22,33.98,148053255.0,1.98
2024-08-23,32.99,137561908.0,1.9
2024-08-26,32.63,117661524.0,1.65
2024-08-27,32.0,85968074.0,1.22
2024-08-28,31.91,74159188.0,1.06
2024-08-29,32.56,187793774.0,2.64
2024-08-30,33.65,215008016.0,2.94
2024-09-02,31.7,179207912.0,2.52
2024-09-03,32.08,101417142.0,1.44
2024-09-04,32.41,119990882.0,1.69
2024-09-05,32.86,101335955.0,1.41
2024-09-06,31.96,98184494.0,1.39
2024-09-09,32.19,72861852.0,1.04
2024-09-10,32.76,96630090.0,1.37
2024-09-11,32.5,65505356.0,0.92
2024-09-12,31.83,77495226.0,1.1
2024-09-13,31.1,86061611.0,1.25
2024-09-18,30.92,67351288.0,1.0
2024-09-19,31.51,80410795.0,1.17
2024-09-20,31.2,59111514.0,0.87
2024-09-23,30.98,47639187.0,0.7
2024-09-24,32.46,124683010.0,1.79
2024-09-25,32.33,156583328.0,2.18
2024-09-26,33.95,200370138.0,2.76
2024-09-27,36.37,319921425.0,4.11
2024-09-30,42.78,594343209.0,6.84
2024-10-08,51.36,923178440.0,8.31
2024-10-09,51.8,1416175149.0,12.13
2024-10-10,47.29,694131082.0,6.51
2024-10-11,44.05,463131858.0,4.71
2024-10-14,45.94,452824951.0,4.65
2024-10-15,44.74,437726952.0,4.36
