REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,中长期存款,储备,其他应付款及应计费用,其他投资,其他非流动负债,可转换可赎回优先股,土地使用权,存货,应收帐款,应收票据,总权益及非流动负债,总资产减总负债合计,拨备(流动),拨备(非流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,物业厂房及设备,短期存款,贷款及垫款(流动),递延税项负债,递延税项资产,长期投资,非流动负债其他项目,非流动资产其他项目,预收款项
2015-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2015-12-31 00:00:00,14225540000.0,3246800000.0,76170000.0,8394078000.0,8488247000.0,1629000000.0,5719320000.0,67060000.0,150000.0,,101345000.0,39136537000.0,22672257000.0,24952527000.0,16464280000.0,-173352786000.0,125774845000.0,39136537000.0,14184010000.0,109310565000.0,-86638308000.0,,-86714628000.0,1275068000.0,1729269000.0,,105932869000.0,,8643183000.0,1470155000.0,,22672257000.0,-86638308000.0,331652000.0,11963000.0,8390794000.0,789943000.0,553759000.0,290183000.0,739360000.0,100980000.0,103564000.0,394144000.0,,15369000.0,225309000.0,530675000.0
2016-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2016-12-31 00:00:00,17577702000.0,390000000.0,133795000.0,9230320000.0,4573056000.0,80000000.0,4748418000.0,633964000.0,150000.0,3768500000.0,257558000.0,50765601000.0,24702339000.0,30636318000.0,26063262000.0,-184249545000.0,142823476000.0,50765601000.0,20129283000.0,116760214000.0,-92057875000.0,,-92191820000.0,1876267000.0,1852563000.0,,115802177000.0,3494041000.0,8378342000.0,2089518000.0,,24702339000.0,-92057875000.0,747061000.0,101970000.0,12349198000.0,3437537000.0,1120133000.0,848377000.0,440156000.0,1598063000.0,458289000.0,446303000.0,,7778000.0,18668000.0,1836174000.0
2017-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2017-12-31 00:00:00,34003331000.0,7251312000.0,61670000.0,11563282000.0,14005790000.0,800000000.0,11393910000.0,2711119000.0,150000.0,3550801000.0,421113000.0,89869761000.0,42737090000.0,61138461000.0,47132671000.0,-254483052000.0,217080452000.0,89869761000.0,28731300000.0,169947781000.0,-127210691000.0,,-127272511000.0,4223979000.0,1710819000.0,,161451203000.0,3416359000.0,16342928000.0,5469507000.0,,42737090000.0,,1542797000.0,191404000.0,18856961000.0,4488076000.0,2274352000.0,1730872000.0,225146000.0,8144493000.0,1018651000.0,591576000.0,,35211000.0,150361000.0,3390650000.0
2018-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2018-03-31 00:00:00,29491076000.0,8249878000.0,938000.0,14027013000.0,15739057000.0,1000000000.0,12090162000.0,1678153000.0,150000.0,5806972000.0,525967000.0,92093600000.0,46803961000.0,61028696000.0,45289639000.0,-255983060000.0,220084661000.0,92093600000.0,31064904000.0,174795022000.0,-127991061000.0,,-127992149000.0,3201447000.0,2668702000.0,,165330822000.0,3396938000.0,15136731000.0,6045241000.0,,46803961000.0,-127991061000.0,1881911000.0,199019000.0,19919203000.0,2644754000.0,2246404000.0,2099305000.0,221398000.0,8185244000.0,980870000.0,606534000.0,,34433000.0,127818000.0,4382266000.0
2018-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2018-06-30 00:00:00,44966287000.0,4601862000.0,93940000.0,14894150000.0,16024865000.0,,15289506000.0,4587069000.0,161000.0,7950151000.0,481345000.0,113072894000.0,48776658000.0,80321101000.0,64296236000.0,-220769042000.0,223410445000.0,113072894000.0,32751793000.0,159114209000.0,-110337551000.0,,-110431652000.0,4624944000.0,7495225000.0,,150563894000.0,3377517000.0,21740309000.0,7112042000.0,,48776658000.0,,2501681000.0,239272000.0,16229340000.0,7900902000.0,2176439000.0,2394155000.0,1198000.0,8795925000.0,1043484000.0,946928000.0,,2665697000.0,132189000.0,3771828000.0
2018-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2018-09-30 00:00:00,52647873000.0,5708849000.0,-55416000.0,35208793000.0,42480572000.0,,20579297000.0,2321849000.0,362000.0,4155734000.0,761302000.0,147391133000.0,76730481000.0,113141224000.0,70660652000.0,134381774000.0,80227954000.0,147391133000.0,34249909000.0,9567302000.0,67163179000.0,,67218233000.0,5100939000.0,8093629000.0,,,3358096000.0,26538036000.0,8495973000.0,,76730481000.0,67163179000.0,2892130000.0,383021000.0,16487178000.0,8897231000.0,2092122000.0,2612690000.0,699100000.0,10400945000.0,813444000.0,1384830000.0,,2661988000.0,221364000.0,5102674000.0
2018-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2018-12-31 00:00:00,46287271000.0,7856143000.0,-72856000.0,30230147000.0,44072403000.0,,20914946000.0,1480178000.0,377000.0,3075194000.0,661816000.0,145227950000.0,83287792000.0,106012561000.0,61940158000.0,142573114000.0,73977821000.0,145227950000.0,39215389000.0,12037663000.0,71250129000.0,,71322608000.0,6312770000.0,8639238000.0,,,3402968000.0,29480685000.0,5598443000.0,,83287792000.0,,1123585000.0,559016000.0,18636208000.0,6648526000.0,2061192000.0,5068053000.0,1365991000.0,10293645000.0,777645000.0,1312245000.0,,2844859000.0,95485000.0,4479522000.0
2019-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2019-03-31 00:00:00,36053557000.0,8417235000.0,38550000.0,26473131000.0,45220767000.0,,15958229000.0,1284066000.0,383000.0,2141149000.0,828815000.0,138166594000.0,87917850000.0,95469511000.0,50248744000.0,148909110000.0,63692764000.0,138166594000.0,42697083000.0,13444020000.0,74473830000.0,,74434897000.0,6047027000.0,8428095000.0,,,3383144000.0,25982064000.0,6693522000.0,,87917850000.0,74473830000.0,1225914000.0,605180000.0,20588047000.0,8749298000.0,1957597000.0,5441114000.0,1125372000.0,9203829000.0,868305000.0,1528806000.0,,3553300000.0,1370280000.0,3952282000.0
2019-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2019-06-30 00:00:00,48799255000.0,7099923000.0,154556000.0,34921028000.0,46443150000.0,,18778550000.0,649707000.0,384000.0,6679136000.0,615083000.0,158254673000.0,89047717000.0,115650106000.0,69206956000.0,153538344000.0,81408223000.0,158254673000.0,42604567000.0,12201267000.0,76846450000.0,,76691510000.0,7006271000.0,9454872000.0,,,,26675009000.0,7337191000.0,,89047717000.0,,1439122000.0,753026000.0,19195544000.0,13122294000.0,1803026000.0,5891124000.0,2433226000.0,11733101000.0,758583000.0,1560637000.0,,3589735000.0,4699364000.0,4668089000.0
2019-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2019-09-30 00:00:00,49549418000.0,5332565000.0,159483000.0,35539164000.0,46692814000.0,,20089650000.0,1526943000.0,385000.0,10202977000.0,757811000.0,168192279000.0,90419928000.0,124465165000.0,77772351000.0,160043517000.0,88090779000.0,168192279000.0,43727114000.0,10318428000.0,80101500000.0,,79941632000.0,9031595000.0,9503927000.0,,,,26241171000.0,9795520000.0,,90419928000.0,80101500000.0,1721598000.0,897138000.0,19198085000.0,14702051000.0,1696073000.0,7157506000.0,4314497000.0,12256169000.0,515307000.0,1216489000.0,,3573418000.0,4955034000.0,6508952000.0
