REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,受限制存款及现金增加(减少),吸收投资所得,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,贷款和垫款(增加)减少,除税前溢利(业务利润),预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2015-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2015-01-01 00:00:00,1390492000.0,,9264955000.0,,-1159533000.0,2524356000.0,398000.0,8394078000.0,206461000.0,,,,568383000.0,873395000.0,-2601311000.0,,,-2293755000.0,,355611000.0,307556000.0,4001826000.0,3246800000.0,,,279000.0,37682000.0,303940000.0,-506528000.0,-5412445000.0,1230298000.0,123549000.0,690742000.0,,,,364740000.0,14534000.0,-777398000.0,67083000.0,198285000.0,7510000.0,1601403000.0,-529748000.0,76337522000.0,79514546000.0,288656000.0,109055000.0,,-102927000.0,-7472511000.0,-878739000.0,-2435752000.0
2016-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2016-01-01 00:00:00,,,8394078000.0,,723856000.0,1826245000.0,49855000.0,9230320000.0,240031000.0,,,,-72141000.0,-3735267000.0,4531264000.0,,,4714517000.0,,2979604000.0,183253000.0,50000000.0,740000000.0,,,11170000.0,89233000.0,51063000.0,-54291000.0,114418000.0,728948000.0,175479000.0,871230000.0,-624330000.0,,,57426000.0,299204000.0,-15204000.0,137811000.0,106983000.0,104255000.0,3352162000.0,-628852000.0,55971490000.0,53502171000.0,112386000.0,484597000.0,,-1522238000.0,1175509000.0,-418981000.0,426003000.0
2017-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2017-01-01 00:00:00,,,9230320000.0,,2750305000.0,178284000.0,472000.0,11912571000.0,73720000.0,,,,1337144000.0,2659857000.0,-1246696000.0,,,-1134445000.0,,1197475000.0,112251000.0,300000000.0,1664000000.0,,,470000.0,27526000.0,-49821000.0,-76654000.0,-8284775000.0,86781000.0,39647000.0,136176000.0,,,,-3027000.0,345779000.0,-1062089000.0,26856000.0,25449000.0,2704000.0,1152468000.0,-1058867000.0,13831156000.0,16294893000.0,-68054000.0,191915000.0,,-1034595000.0,-7522103000.0,-825739000.0,308014000.0
2017-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2017-01-01 00:00:00,,,9230320000.0,,3088417000.0,430315000.0,1741000.0,12080573000.0,,-28997000.0,,,2967113000.0,-1817334000.0,1938638000.0,121304000.0,,2386430000.0,,,447792000.0,300000000.0,3144092000.0,,,,,,,,,,,152018000.0,,,,325322000.0,,,78110000.0,128454000.0,,,39168528000.0,37247882000.0,-238164000.0,,,,,,
2017-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2017-01-01 00:00:00,,,9230320000.0,,2236014000.0,,,11255005000.0,,,,,4410662000.0,-5469570000.0,3294922000.0,-2174648000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211329000.0,,,,,,
2017-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2017-01-01 00:00:00,67573000.0,,9230320000.0,,2541547000.0,1217806000.0,1531000.0,11563282000.0,360956000.0,-207384000.0,,,6214930000.0,-2677714000.0,-995669000.0,-3673383000.0,,527321000.0,909155000.0,7810504000.0,1522990000.0,4531248000.0,11174861000.0,,,513000.0,242518000.0,375723000.0,-144265000.0,-47700505000.0,927995000.0,215734000.0,,-288872000.0,,,-1788284000.0,193428000.0,-8617146000.0,,266054000.0,141548000.0,15476486000.0,-3396954000.0,115894726000.0,113832257000.0,-208585000.0,912603000.0,,-6856767000.0,-41829352000.0,-5070104000.0,2056983000.0
2018-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2018-01-01 00:00:00,,,11563282000.0,,2520441000.0,,,14027013000.0,,,,,3337476000.0,460647000.0,-1277682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56710000.0,,,,,,
2018-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2018-01-01 00:00:00,,,11563282000.0,,3488996000.0,1014684000.0,32204000.0,14894150000.0,,-136958000.0,,,1193182000.0,-3825729000.0,6121543000.0,2295814000.0,34907000.0,7050130000.0,,,928587000.0,3066095000.0,4834739000.0,-25655000.0,,,,,,,,,,-3049504000.0,2631000000.0,,,203102000.0,,,201874000.0,119975000.0,,,65536949000.0,62229311000.0,-158128000.0,,20000000.0,,,,
2018-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2018-01-01 00:00:00,,,11563282000.0,,22927967000.0,,,35208793000.0,,,,,24195630000.0,-6053909000.0,4786246000.0,-1267663000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717544000.0,,,,,,
2018-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2018-01-01 00:00:00,23340587000.0,,11563282000.0,,17651561000.0,3785259000.0,27367000.0,30230147000.0,748216000.0,-53093000.0,,,26574172000.0,-7508040000.0,-1414571000.0,-8922611000.0,34936000.0,122171000.0,12380668000.0,13518600000.0,1536742000.0,10505637000.0,10269415000.0,-25655000.0,,10295000.0,601065000.0,-99046000.0,-14550000.0,17071252000.0,3646916000.0,384692000.0,,906900000.0,2781000000.0,,,-1157295000.0,-16114975000.0,,489816000.0,131804000.0,12627385000.0,-91003000.0,147248747000.0,144094865000.0,1015304000.0,229297000.0,165000000.0,-2752183000.0,13927124000.0,-8413008000.0,1118058000.0
2019-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2019-01-01 00:00:00,,,30230147000.0,,-2975691000.0,,,26473131000.0,,,,,-485696000.0,-2372212000.0,-117783000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-781325000.0,,,,,,
2019-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2019-01-01 00:00:00,464124000.0,,30230147000.0,982910000.0,4776869000.0,1484780000.0,63469000.0,34921028000.0,,-116517000.0,,,1891999000.0,-8030554000.0,10915424000.0,2884870000.0,,11977895000.0,,,1062471000.0,3568042000.0,6400670000.0,,293517000.0,,,,,,,,,95000.0,155496000.0,,,-1285477000.0,,,439415000.0,124284000.0,,,58594199000.0,52706734000.0,-85988000.0,,167400000.0,,,,
2019-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2019-01-01 00:00:00,,,30230147000.0,,4716107000.0,,,35539164000.0,,,,,2576968000.0,-11768862000.0,13908001000.0,2139139000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592910000.0,,,,,,
2019-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2019-01-01 00:00:00,,,30230147000.0,2932111000.0,-4638544000.0,3405163000.0,67735000.0,25919861000.0,1381059000.0,-32156000.0,,,3121238000.0,-31570136000.0,23810354000.0,-7759782000.0,,25952239000.0,2201722000.0,16399628000.0,2141885000.0,10417425000.0,17036724000.0,,578063000.0,-7467000.0,930889000.0,61844000.0,34632000.0,3813012000.0,4958651000.0,528460000.0,,75773000.0,155496000.0,,-136394000.0,-20793124000.0,-6964428000.0,,864226000.0,347205000.0,13534575000.0,-1276714000.0,138596252000.0,129945237000.0,328258000.0,1083496000.0,187000000.0,-3448312000.0,12162646000.0,5715330000.0,1045058000.0
2020-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2020-01-01 00:00:00,,,25919861000.0,,-1226277000.0,,,25073687000.0,,,,,-1231329000.0,8210391000.0,-8205339000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380103000.0,,,,,,
2020-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2020-01-01 00:00:00,,,25919861000.0,454872000.0,-3344633000.0,1129238000.0,4368000.0,22843316000.0,,-32770000.0,,,4793374000.0,-4211760000.0,-3926247000.0,-8138007000.0,,-2592853000.0,,,1333394000.0,12245760000.0,17582749000.0,,257022000.0,,,,,,,,,170049000.0,31000000.0,,,-856072000.0,,,601361000.0,39765000.0,,,58790944000.0,55919000000.0,268088000.0,,,,,,
2020-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2020-01-01 00:00:00,,,25919861000.0,,5017833000.0,,,30257712000.0,,,,,3839898000.0,-7173063000.0,8350998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-679982000.0,,,,,,
2020-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2020-01-01 00:00:00,19907936000.0,,25919861000.0,454872000.0,30415216000.0,3025523000.0,63088000.0,54752443000.0,1708461000.0,-245235000.0,,5801022000.0,26215568000.0,-17678852000.0,21878500000.0,4199648000.0,-38517000.0,23831802000.0,2328319000.0,19511662000.0,1953302000.0,32586382000.0,30582175000.0,,493899000.0,6475000.0,963555000.0,1742322000.0,-693222000.0,13173479000.0,5669207000.0,3364852000.0,,275823000.0,3429000000.0,,-2407001000.0,-5456293000.0,-11602421000.0,,1052389000.0,119612000.0,10341399000.0,-4272814000.0,206241147000.0,195770505000.0,-1582634000.0,608647000.0,,727548000.0,21633432000.0,7390455000.0,3534327000.0
2021-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2021-01-01 00:00:00,,,54752443000.0,,-20509120000.0,,,34279506000.0,,,,,3583567000.0,-25546673000.0,1453986000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36183000.0,,,,,,
2021-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2021-01-01 00:00:00,,,54752443000.0,4165454000.0,-22632915000.0,1828851000.0,7237000.0,31881040000.0,,-234342000.0,,,1070090000.0,-31987329000.0,8284324000.0,-23703005000.0,,9533448000.0,,,1249124000.0,5447710000.0,7460286000.0,,413690000.0,,,,,,,,,500000000.0,3371000000.0,,,-21009718000.0,,,542012000.0,188327000.0,,,113987916000.0,104101580000.0,-238488000.0,,,,,,
2021-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2021-01-01 00:00:00,,,54752443000.0,,-21834057000.0,,,32649502000.0,,,,,5048736000.0,-24936419000.0,-1946374000.0,-26882793000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-268884000.0,,,,,,
2021-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2021-01-01 00:00:00,,,54752443000.0,7006824000.0,-30723971000.0,7169313000.0,35365000.0,23511579000.0,3061646000.0,-576973000.0,,,4498686000.0,-45007945000.0,9785288000.0,-35222657000.0,1086477000.0,12227783000.0,2035569000.0,27952874000.0,2442495000.0,13301236000.0,22528578000.0,,1115859000.0,4336000.0,1229826000.0,2634379000.0,-483287000.0,7722876000.0,6705299000.0,2841457000.0,,500000000.0,3471000000.0,,1007208000.0,-22278586000.0,-13746697000.0,,1228830000.0,229612000.0,2456421000.0,-7548686000.0,188124750000.0,172157374000.0,-516893000.0,1414983000.0,,3706922000.0,24417033000.0,-7083938000.0,4068696000.0
2022-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2022-01-01 00:00:00,,,23511579000.0,,11240418000.0,,,34714164000.0,,,,,2351588000.0,17569436000.0,-8680606000.0,8888830000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37833000.0,,,,,,
