日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,流通股本
2020-07-06,14.44,14.98,15.0,14.3,370651600,5494360320.0,4.91,5.05,0.72,2.11,
2020-07-07,15.2,14.78,15.54,14.7,365705120,5546597120.0,5.61,-1.34,-0.2,2.08,
2020-07-08,14.88,16.1,16.1,14.88,336440240,5266226176.0,8.25,8.93,1.32,1.91,
2020-07-09,16.4,16.84,16.98,16.3,408893200,6820423680.0,4.22,4.6,0.74,2.32,
2020-07-10,16.84,16.88,17.5,16.42,302829632,5143693312.0,6.41,0.24,0.04,1.72,
2020-07-13,17.1,17.04,17.34,16.66,192347140,3287663856.0,4.03,0.95,0.16,1.09,
2020-07-14,16.7,16.42,16.72,15.8,293987120,4791206912.0,5.4,-3.64,-0.62,1.67,
2020-07-15,16.7,16.36,16.98,15.92,211083375,3463768944.0,6.46,-0.37,-0.06,1.2,
2020-07-16,16.32,15.08,16.36,15.04,290634848,4505026304.0,8.07,-7.82,-1.28,1.65,
2020-07-17,15.32,15.5,15.84,15.28,155301899,2412957376.0,3.71,2.79,0.42,0.88,
2020-07-20,15.7,15.82,16.0,15.12,162417931,2543323552.0,5.68,2.06,0.32,0.92,
2020-07-21,16.4,16.6,16.84,16.4,199690117,3322989904.0,2.78,4.93,0.78,1.14,
2020-07-22,16.42,15.64,16.76,15.64,156082490,2533920080.0,6.75,-5.78,-0.96,0.89,
2020-07-23,15.78,15.94,16.14,15.46,181784152,2882706736.0,4.35,1.92,0.3,1.03,
2020-07-24,15.46,15.1,15.76,15.0,204179763,3120405696.0,4.77,-5.27,-0.84,1.16,
2020-07-27,15.3,14.64,15.46,14.42,174246423,2578842896.0,6.89,-3.05,-0.46,0.99,
2020-07-28,14.9,14.86,15.12,14.66,115779167,1726291312.0,3.14,1.5,0.22,0.66,
2020-07-29,14.72,14.9,15.1,14.7,92730606,1386984816.0,2.69,0.27,0.04,0.53,
2020-07-30,15.0,14.76,15.28,14.76,134931632,2025664064.0,3.49,-0.94,-0.14,0.77,
2020-07-31,15.0,14.82,15.2,14.66,93828659,1398086368.0,3.66,0.41,0.06,0.53,
2020-08-03,14.94,15.02,15.26,14.58,129893003,1941291296.0,4.59,1.35,0.2,0.74,
2020-08-04,15.3,15.5,15.56,14.94,185602859,2844845808.0,4.13,3.2,0.48,1.05,
2020-08-05,15.6,15.58,15.66,15.22,94468870,1461681856.0,2.84,0.52,0.08,0.54,
2020-08-06,15.64,15.92,15.92,15.46,140678890,2210035152.0,2.95,2.18,0.34,0.8,
2020-08-07,15.9,15.44,15.92,15.0,141007404,2169163568.0,5.78,-3.02,-0.48,0.8,
2020-08-10,15.2,15.14,15.3,15.0,82268121,1244346112.0,1.94,-1.94,-0.3,0.47,
2020-08-11,15.28,15.02,15.38,14.86,80588390,1216498768.0,3.43,-0.79,-0.12,0.46,
2020-08-12,15.02,15.06,15.18,14.54,132800401,1964738000.0,4.26,0.27,0.04,0.75,
2020-08-13,15.26,15.2,15.48,15.14,99393377,1518257840.0,2.26,0.93,0.14,0.56,
2020-08-14,15.24,15.34,15.62,15.1,97266725,1503827232.0,3.42,0.92,0.14,0.55,
2020-08-17,16.12,16.2,16.66,15.82,303820944,4949195520.0,5.48,5.61,0.86,1.73,
2020-08-18,16.68,17.24,17.24,16.42,326483888,5516325888.0,5.06,6.42,1.04,1.85,
2020-08-19,17.2,17.82,18.34,16.8,345139296,6181217280.0,8.93,3.36,0.58,1.96,
2020-08-20,18.1,18.18,18.46,17.64,274144208,4964835072.0,4.6,2.02,0.36,1.56,
2020-08-21,18.4,18.16,18.62,17.84,205198036,3729218288.0,4.29,-0.11,-0.02,1.17,
2020-08-24,18.34,18.44,18.76,18.2,193050708,3565326352.0,3.08,1.54,0.28,1.1,
2020-08-25,18.5,18.12,18.62,17.86,171797942,3123269104.0,4.12,-1.74,-0.32,0.98,
2020-08-26,18.32,19.16,19.18,18.2,381070816,7211916800.0,5.41,5.74,1.04,2.16,
2020-08-27,19.96,21.35,21.75,19.88,558134368,11680690432.0,9.76,11.43,2.19,3.17,
2020-08-28,21.5,22.5,23.85,21.15,608706928,13911769856.0,12.65,5.39,1.15,3.46,
2020-08-31,23.35,23.5,24.3,22.7,387218784,9134779392.0,7.11,4.44,1.0,2.2,
2020-09-01,23.8,25.6,25.6,23.55,385276912,9571527424.0,8.72,8.94,2.1,2.19,
2020-09-02,26.6,25.7,26.95,24.7,442666624,11348558336.0,8.79,0.39,0.1,2.51,
2020-09-03,25.45,23.9,25.75,23.55,399246224,9766151168.0,8.56,-7.0,-1.8,2.26,
2020-09-04,22.15,24.5,24.95,22.0,758759872,18217173504.0,12.34,2.51,0.6,4.3,
2020-09-07,24.3,24.15,25.0,23.65,443063168,10835667200.0,5.51,-1.43,-0.35,2.51,
2020-09-08,24.5,22.4,24.7,21.8,348240832,7971420672.0,12.01,-7.25,-1.75,1.98,
2020-09-09,21.8,22.1,22.65,20.95,253198719,5509250048.0,7.59,-1.34,-0.3,1.44,
2020-09-10,22.5,22.45,23.3,22.3,160519149,3653251376.0,4.52,1.58,0.35,0.91,
2020-09-11,22.65,23.25,23.35,22.3,162214747,3723553888.0,4.68,3.56,0.8,0.92,
2020-09-14,23.45,23.55,23.95,22.85,130446043,3046729456.0,4.73,1.29,0.3,0.74,
2020-09-15,22.5,22.35,22.85,22.1,644588432,14520666624.0,3.18,-5.1,-1.2,3.66,
2020-09-16,22.45,22.75,22.85,22.25,134731396,3033174416.0,2.68,1.79,0.4,0.76,
2020-09-17,22.55,21.3,22.65,21.2,231538441,5008534016.0,6.37,-6.37,-1.45,1.31,
2020-09-18,21.45,22.05,22.15,21.4,156724342,3431094064.0,3.52,3.52,0.75,0.89,
2020-09-21,22.2,20.6,22.3,20.6,187317195,3952688432.0,7.71,-6.58,-1.45,1.06,
2020-09-22,20.65,20.45,21.25,20.3,129288851,2681560080.0,4.61,-0.73,-0.15,0.73,
2020-09-23,20.65,20.85,21.1,20.45,101052347,2103181200.0,3.18,1.96,0.4,0.57,
2020-09-24,20.55,19.84,20.55,19.8,170832138,3423884784.0,3.6,-4.84,-1.01,0.97,
2020-09-25,20.15,19.72,20.3,19.4,136205279,2691917904.0,4.54,-0.6,-0.12,0.77,
2020-09-28,20.1,20.2,20.8,19.94,124411418,2534263424.0,4.36,2.43,0.48,0.71,
2020-09-29,20.8,20.05,20.8,20.0,89582316,1824430816.0,3.96,-0.74,-0.15,0.51,
2020-09-30,20.5,20.45,21.15,20.15,90010677,1855660560.0,4.99,2.0,0.4,0.51,
2020-10-05,21.1,20.8,21.15,20.25,70176501,1450752368.0,4.4,1.71,0.35,0.4,
2020-10-06,21.05,21.4,21.7,20.95,100924903,2161441904.0,3.61,2.88,0.6,0.57,
2020-10-07,21.4,21.7,21.8,20.9,79640419,1714673968.0,4.21,1.4,0.3,0.45,
2020-10-08,21.5,20.85,21.6,20.3,194565470,4047393216.0,5.99,-3.92,-0.85,1.1,
2020-10-09,21.3,20.95,21.45,20.85,115791835,2447587264.0,2.88,0.48,0.1,0.66,
2020-10-12,21.0,22.7,22.75,21.0,242412550,5371186176.0,8.35,8.35,1.75,1.37,
2020-10-14,22.9,23.25,23.25,22.15,209878991,4786778880.0,4.85,2.42,0.55,1.19,
2020-10-15,23.0,22.45,23.55,22.3,142249601,3267333632.0,5.38,-3.44,-0.8,0.81,
2020-10-16,22.65,23.15,23.5,22.6,130955995,3029852032.0,4.01,3.12,0.7,0.74,
2020-10-19,23.5,22.2,23.9,22.15,151731427,3446946816.0,7.56,-4.1,-0.95,0.86,
2020-10-20,22.1,22.2,22.65,21.75,92835745,2069431712.0,4.05,0.0,0.0,0.53,
2020-10-21,22.35,22.4,23.1,22.25,97681450,2216086768.0,3.83,0.9,0.2,0.55,
2020-10-22,22.35,22.35,22.7,21.85,77702113,1734897968.0,3.79,-0.22,-0.05,0.44,
2020-10-23,22.35,21.85,22.55,21.55,89578040,1966338576.0,4.47,-2.24,-0.5,0.51,
2020-10-27,21.25,21.1,21.8,21.0,135274965,2871573520.0,3.66,-3.43,-0.75,0.77,
2020-10-28,21.2,21.4,21.95,20.95,121067243,2602024544.0,4.74,1.42,0.3,0.69,
2020-10-29,20.95,21.8,22.2,20.75,121019750,2621321264.0,6.78,1.87,0.4,0.69,
2020-10-30,22.3,22.0,23.1,21.9,257486304,5801409536.0,5.5,0.92,0.2,1.46,
2020-11-02,22.2,22.1,22.5,21.45,139921666,3066056064.0,4.77,0.45,0.1,0.79,
2020-11-03,22.4,22.2,23.0,22.2,136541260,3075473664.0,3.62,0.45,0.1,0.77,
2020-11-04,22.2,23.95,24.45,21.9,373003392,8777314048.0,11.49,7.88,1.75,2.11,
2020-11-05,24.7,24.25,24.95,23.55,252325220,6077592576.0,5.85,1.25,0.3,1.43,
2020-11-06,24.4,25.1,25.45,24.0,255179544,6362544128.0,5.98,3.51,0.85,1.45,
2020-11-09,25.7,25.55,26.7,25.3,279888416,7267924480.0,5.58,1.79,0.45,1.59,
2020-11-10,25.2,24.45,25.3,23.8,226936331,5538414336.0,5.87,-4.31,-1.1,1.29,
2020-11-11,23.9,22.45,24.35,22.3,253065768,5867948800.0,8.38,-8.18,-2.0,1.43,
2020-11-12,23.25,23.25,24.0,22.95,140980555,3296511824.0,4.68,3.56,0.8,0.8,
2020-11-13,23.3,24.25,24.7,23.15,167273056,4034368544.0,6.67,4.3,1.0,0.95,
2020-11-16,24.75,25.2,25.25,24.45,146391550,3652616208.0,3.3,3.92,0.95,0.83,
2020-11-17,25.15,24.1,25.15,23.65,170353185,4112029456.0,5.95,-4.37,-1.1,0.97,
2020-11-18,24.3,24.0,24.6,23.65,109546725,2625504768.0,3.94,-0.41,-0.1,0.62,
2020-11-19,23.7,25.2,25.4,23.45,204024563,5043298560.0,8.13,5.0,1.2,1.16,
2020-11-20,25.25,25.55,26.15,25.1,218433915,5613579776.0,4.17,1.39,0.35,1.24,
2020-11-23,26.0,27.6,27.8,25.9,359170320,9679587840.0,7.44,8.02,2.05,2.04,
2020-11-24,28.4,27.15,28.4,26.45,286879872,7807287552.0,7.07,-1.63,-0.45,1.63,
2020-11-25,26.5,26.15,27.6,25.7,325589504,8557374976.0,7.0,-3.68,-1.0,1.85,
2020-11-26,26.2,26.6,26.95,25.85,143327836,3776278784.0,4.21,1.72,0.45,0.81,
2020-11-27,26.6,26.05,26.7,25.9,120578792,3155033968.0,3.01,-2.07,-0.55,0.62,
2020-11-30,26.0,26.5,26.9,25.3,247554834,6547802624.0,6.14,1.73,0.45,1.27,
2020-12-01,26.75,26.15,26.8,25.8,127771101,3355415568.0,3.77,-1.32,-0.35,0.66,
2020-12-02,23.75,24.3,24.8,23.1,1575804048,37646318080.0,6.5,-7.07,-1.85,8.1,
2020-12-03,24.65,25.3,25.5,24.45,269780528,6758562816.0,4.32,4.12,1.0,1.39,
2020-12-04,25.35,25.35,25.8,24.75,170605853,4316458752.0,4.15,0.2,0.05,0.88,
2020-12-07,25.65,25.15,25.8,24.8,134779278,3385462384.0,3.94,-0.79,-0.2,0.69,
2020-12-08,25.25,26.35,27.0,24.9,248170361,6558243328.0,8.35,4.77,1.2,1.28,
2020-12-09,26.7,27.5,28.1,26.65,286080976,7868756480.0,5.5,4.36,1.15,1.4,
2020-12-10,27.3,27.6,28.2,27.1,191064477,5267900160.0,4.0,0.36,0.1,0.93,
