日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-13,17.33,17.34,16.84,17.09,104911973.0,2161849708.0,19405754475.0,0.0054
2021-01-14,17.07,17.24,16.47,16.65,113015562.0,2306404547.0,19405754475.0,0.0058
2021-01-15,17.33,18.12,17.19,17.33,248068898.0,5311218075.0,19405754475.0,0.0128
2021-01-18,17.5,18.8,17.5,18.74,215730178.0,4792909448.0,19405754475.0,0.0111
2021-01-19,18.58,18.85,18.2,18.44,124208834.0,2790056611.0,19405754475.0,0.0064
2021-01-20,18.28,18.96,18.26,18.55,128079316.0,2889249850.0,19405754475.0,0.0066
2021-01-21,18.57,18.82,18.28,18.35,94477860.0,2114252732.0,19405754475.0,0.0049
2021-01-22,18.35,18.35,17.76,18.18,92443442.0,2025834762.0,19405754475.0,0.0048
2021-01-25,17.93,18.65,17.69,18.56,102836527.0,2269032821.0,19405754475.0,0.0053
2021-01-26,18.41,19.25,18.41,18.47,112672055.0,2558575512.0,19405754475.0,0.0058
2021-01-27,18.42,19.37,18.42,19.05,129415272.0,2976800956.0,19405754475.0,0.0067
2021-01-28,18.8,19.13,18.53,18.83,85747696.0,1948881147.0,19405754475.0,0.0044
2021-01-29,18.83,19.43,18.75,19.06,124025841.0,2864101419.0,19405754475.0,0.0064
2021-02-01,18.99,20.63,18.74,20.26,147523930.0,3529556987.0,19405754475.0,0.0076
2021-02-02,19.3,19.89,18.91,19.22,241616877.0,5679179942.0,19405754475.0,0.0125
2021-02-03,19.38,20.78,19.3,20.59,192327159.0,4690176486.0,19405754475.0,0.0099
2021-02-04,19.96,20.83,19.84,20.31,125524750.0,3084553751.0,19405754475.0,0.0065
2021-02-05,20.31,20.89,20.03,20.58,101557559.0,2517804160.0,19405754475.0,0.0052
2021-02-08,20.55,20.55,19.89,20.47,108426467.0,2650948251.0,19405754475.0,0.0056
2021-02-09,20.46,20.5,19.95,20.29,94209355.0,2302978158.0,19405754475.0,0.0049
2021-02-10,20.31,20.6,19.3,19.66,191886710.0,4569741960.0,19405754475.0,0.0099
2021-02-18,19.81,20.26,19.38,20.06,150523081.0,3619387652.0,19405754475.0,0.0078
2021-02-19,19.78,19.97,19.46,19.69,92258314.0,2197558287.0,19405754475.0,0.0048
2021-02-22,19.65,19.65,18.37,18.47,195684248.0,4445818548.0,19405754475.0,0.0101
2021-02-23,18.47,18.72,18.01,18.1,187046013.0,4160776611.0,19405754475.0,0.0096
2021-02-24,18.38,18.39,17.8,18.29,142849985.0,3144209052.0,19405754475.0,0.0074
2021-02-25,18.49,18.62,17.9,18.23,159340347.0,3524600794.0,19405754475.0,0.0082
2021-02-26,17.83,18.13,17.51,17.65,112497730.0,2424653753.0,19405754475.0,0.0058
2021-03-01,17.78,17.9,17.48,17.71,112538653.0,2408050906.0,19405754475.0,0.0058
2021-03-02,17.85,18.28,17.55,17.87,147342505.0,3196536981.0,19405754475.0,0.0076
2021-03-03,17.81,19.05,17.71,18.99,191963527.0,4320024431.0,19405754475.0,0.0099
2021-03-04,18.8,19.39,18.7,18.92,121357937.0,2799747146.0,19405754475.0,0.0063
2021-03-05,18.74,18.97,18.04,18.44,88017141.0,1960439115.0,19405754475.0,0.0045
2021-03-08,18.52,18.73,17.73,17.83,99377397.0,2189190958.0,19405754475.0,0.0051
2021-03-09,17.9,18.09,16.99,17.21,136189533.0,2882931928.0,19405754475.0,0.007
2021-03-10,17.2,17.26,16.74,16.84,114941657.0,2356185004.0,19405754475.0,0.0059
2021-03-11,16.99,17.65,16.97,17.56,104865939.0,2213107787.0,19405754475.0,0.0054
2021-03-12,17.64,17.91,17.5,17.73,69720060.0,1494219076.0,19405754475.0,0.0036
2021-03-15,17.66,18.26,17.43,17.83,95874870.0,2077984894.0,19405754475.0,0.0049
2021-03-16,17.83,18.25,17.56,17.88,93968432.0,2038470661.0,19405754475.0,0.0048
2021-03-17,17.71,17.79,17.25,17.5,82148865.0,1738185857.0,19405754475.0,0.0042
2021-03-18,17.58,17.94,17.33,17.94,69161019.0,1483801549.0,19405754475.0,0.0036
2021-03-19,17.77,17.87,16.81,16.9,152562227.0,3159181043.0,19405754475.0,0.0079
2021-03-22,16.96,17.79,16.95,17.79,145119008.0,3087549484.0,19405754475.0,0.0075
2021-03-23,17.8,17.87,17.3,17.52,68290338.0,1448043613.0,19405754475.0,0.0035
2021-03-24,17.51,17.57,16.88,16.95,85008507.0,1757688572.0,19405754475.0,0.0044
2021-03-25,16.99,17.19,16.84,17.13,49266574.0,1017166049.0,19405754475.0,0.0025
2021-03-26,17.2,17.66,17.14,17.45,82210806.0,1733412579.0,19405754475.0,0.0042
2021-03-29,17.57,17.87,17.5,17.74,78566668.0,1684397866.0,19405754475.0,0.004
