SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600312.SH,600312,平高电气,10002506,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-22 00:00:00,2025-10-22 00:00:00,CNY,9790962718.11,,,,,,,,,,,,15526265.03,79536067.35,,0.0,9886025050.49,8288241876.5,,,,,,676193980.38,313288258.11,477809045.17,,0.0,9755533160.16,,0.0,130491890.33,66783140.0,18102466.0,251722.0,2476600.0,,,,0.0,87613928.0,101021379.23,90721760.0,,,,,,0.0,191743139.23,,0.0,-104129211.23,,,,,,,,,,268658674.05,63120000.0,,924572.2,,,0.0,269583246.25,,0.0,-269583246.25,743078.25,,0.0,-242477488.9,7077270622.31,,0.0,6834793133.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8630986776,,,,,,,,,,,,-64.8311365892,-9.5338364331,,,22.0336057216,46.4836405547,,,,,,4.919401083,-32.898666036,11.3713241373,,,35.5210818513,,,-85.5415814077,,-43.1134161876,-98.7965665793,,,,,,66.1273455225,-11.7744541388,,,,,,,,67.4560697215,,,-68.5906303961,,,,,,,,,,-24.8769841066,-3.7511436414,,1073.9704911372,,,,-53.6160725469,,,52.8408615811,5.8169467604,,,-189.8650155846,43.7812343201,,,31.638995465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600312.SH,600312,平高电气,10002506,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,5831782593.31,,,,,,,,,,,,13832645.68,44918477.62,,0.0,5890533716.61,5388682702.08,,,,,,471330859.79,192927114.53,267200814.19,,0.0,6320141490.59,,0.0,-429607773.98,25029600.0,,227862.0,,,,,0.0,25257462.0,44092799.01,33372800.0,,,,,,0.0,77465599.01,,0.0,-52208137.01,,,,,,,,,,206879720.35,,,372423.6,,,0.0,207252143.95,,0.0,-207252143.95,724562.61,,0.0,-688343492.33,7077270622.31,,0.0,6388927129.98,717526556.88,6585942.77,104150131.61,104150131.61,,79698352.11,1500401.16,,,,53728.39,336661.04,1681650.03,1033517.42,-20406775.72,2256233.06,3789577.14,-1533344.08,,-692423632.29,-988408470.25,284747737.89,49212093.48,,0.0,-429607773.98,,,,,6388927129.98,7077270622.31,,,,,-688343492.33,15.4693560956,,,,,,,,,,,,2.360611756,-41.040988966,,,14.597320186,50.5382708388,,,,,,11.0632792808,-15.7665328939,1.3792124999,,,40.5539566399,,,-166.7499669044,,,-98.1284685758,,,,,,-12.0891357103,-43.480166915,,,,,,,,-0.7016378143,,,-5.9370973063,,,,,,,,,,2758.6460377547,,,372.882827975,,,,53.8250037849,,,-65.0873545216,7.9826066007,,,-246.6259705007,43.7812343201,,,18.4954975714,24.7128349908,405.8560295944,-2.9073345057,-2.9073345057,,7.1841774486,12.2875268531,,,,7279.5804102359,62.6095894249,,162.4942276372,-57.6849704053,271.8506433683,1125.6075713872,5.4718628132,,-63.7348918948,-592.1192657586,-18.1498788354,-46.8990564671,,,-166.7499669044,,,,,18.4954975714,43.7812343201,,,,,-246.6259705007,,,,,1686971.7,19.4417204581
600312.SH,600312,平高电气,10002506,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-11 00:00:00,2025-04-11 00:00:00,CNY,2448361025.1,,,,,,,,,,,,7561811.9,23272422.49,,0.0,2479195259.49,2596101132.26,,,,,,233117711.94,41241327.41,156416771.69,,0.0,3026876943.3,,0.0,-547681683.81,25231860.0,,,,,,,0.0,25231860.0,8694126.5,33699200.0,,,,,,0.0,42393326.5,,0.0,-17161466.5,,,,,,,,,,115338390.02,,,260526.6,,,0.0,115598916.62,,0.0,-115598916.62,360260.9,,0.0,-680081806.03,7077270622.31,,0.0,6397188816.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.283696987,,,,,,,,,,,,22.3793114068,-28.02621412,,,3.8927512615,40.4316849936,,,,,,10.7708469577,-57.116453248,10.8711457974,,,31.8120440522,,,-708.9137929336,,,,,,,,,52.4067989079,-43.4663350188,,,,,,,,175.6631293312,,,-1558.156828733,,,,,,,,,,4109.9628376349,,,,,,,137.1003883705,,,-152.6974651273,-47.9399331276,,,-1576.288211918,43.7812343201,,,28.7596960202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600312.SH,600312,平高电气,10002506,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-11 00:00:00,2025-04-11 00:00:00,CNY,13385512368.36,,,,,,,,,,,,80203119.12,122528789.75,,0.0,13588244277.23,8308020659.66,,,,,,1030601416.61,735118086.75,506347595.9,,0.0,10580087758.92,,0.0,3008156518.31,41995250.0,31822030.41,22270149.74,,,,,0.0,96087430.15,187497563.03,42417738.51,,,,,,0.0,229915301.54,,0.0,-133827871.39,,,50553872.15,,,,0.0,50553872.15,223495957.3,544481449.0,65580000.0,,2917885.79,,,0.0,770895292.09,,0.0,-720341419.94,1034218.81,,0.0,2155021445.79,4922249176.52,,0.0,7077270622.31,1118898348.97,65931530.01,211837300.38,211837300.38,,155399242.56,2816151.56,,,,-1702945.83,3531138.94,,1975561.48,-34321930.18,-3274217.7,-8358924.08,5084706.38,,-175897415.19,664088310.96,897613181.05,26916111.17,,0.0,3008156518.31,,,,,7077270622.31,4922249176.52,,,,,2155021445.79,27.773757982,,,,,,,,,,,,672.7420847375,-64.5906839461,,,25.4411894532,31.102705673,,,,,,9.9685464657,19.5901761231,15.2086279018,,,27.0360573247,,,20.1364818202,-4.6455602685,,820.6764152152,,,,,,106.8170926921,66.463151925,-88.6190774403,,,,,,,-52.6285015043,,,69.5073113859,,,37.5507223279,,,,,37.5507223279,22.8294884625,257.6507468584,7.244480785,,1.9477317489,,,,128.713818171,,,-139.870877751,-10.4083544466,,,22.0342911876,55.9482735533,,,43.7812343201,21.5154833373,-25.5203258358,-8.5969340322,-8.5969340322,,2.2832466672,42.6614340904,,,,-176.6188541027,-41.5674843666,,-10.0120120546,-108.0973304905,-5222.3040074592,-497.4273511129,247.5358235974,,-457.0812749664,177.0723329022,-44.4308892632,-89.6903777027,,,20.1364818202,,,,,43.7812343201,55.9482735533,,,,,22.0342911876,标准无保留意见,,,,3395148.13,21.3676408157
600312.SH,600312,平高电气,10002506,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-22 00:00:00,CNY,7969001940.77,,,,,,,,,,,,44147758.91,87918028.37,,0.0,8101067728.05,5658134823.19,,,,,,644488982.4,466888271.22,429023403.35,,0.0,7198535480.16,,0.0,902532247.89,,31822030.41,20916985.99,,,,,0.0,52739016.4,114503546.84,,,,,,,0.0,114503546.84,,0.0,-61764530.44,,,9553872.15,,,,0.0,9553872.15,223495957.3,357624984.64,65580000.0,,78756.0,,,0.0,581199697.94,,0.0,-571645825.79,702229.91,,0.0,269824121.57,4922249176.52,,0.0,5192073298.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.277874575,,,,,,,,,,,,627.2581756951,-64.6505449664,,,24.3279343026,30.9087181782,,,,,,5.1373873086,12.3558954609,67.4004781321,,,28.3842158324,,,-0.6964155629,,,787.482487091,,,,,,376.0358883958,49.2865513253,,,,,,,,-74.4957847587,,,85.8946610581,,,-71.0248237369,,,,,-71.0248237369,71.4506704663,141.6426344895,7.244480785,,-97.2099657038,,,,106.7031173269,,,-130.3134019256,-40.9493147898,,,20.4749826522,55.9482735533,,,53.5979375724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600312.SH,600312,平高电气,10002506,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-21 00:00:00,CNY,5050502393.45,,,,,,,,,,,,13513641.08,76185941.44,,0.0,5140201975.97,3579609804.24,,,,,,424380463.86,229038553.39,263565683.34,,0.0,4496594504.83,,0.0,643607471.14,,16555600.0,12175162.92,,,,,0.0,28730762.92,78012967.49,,,,,,,0.0,78012967.49,,0.0,-49282204.57,,,9191520.02,,,,0.0,9191520.02,127416677.22,7236982.74,2000000.0,,78756.0,,,0.0,134732415.96,,0.0,-125540895.94,670999.37,,0.0,469455370.0,4922249176.52,,0.0,5391704546.52,575342992.51,-2153281.98,107268794.28,107268794.28,,74356452.61,1336213.56,,,,-748.35,207036.4,,393729.58,-12941484.32,-1312903.47,309199.88,-1622103.35,,-422893144.08,-142808980.93,347889207.54,92676495.38,,0.0,643607471.14,,,,,5391704546.52,4922249176.52,,,,,469455370.0,32.0930648208,,,,,,,,,,,,126.4331482282,-61.9272605113,,,27.5637299778,24.8079667138,,,,,,8.4042384311,-18.3936677481,4.3625680346,,,18.5565542604,,,171.8712756127,,,564.6883469545,,,,,,1468.5213772923,78.4927031031,,,,,,,,-4.6208594286,,,38.3670234511,,,-69.15452188,,,,,-69.15452188,65.0311696633,-36.547557708,-16.3179916318,,75.0133333333,,,,51.9686917579,,,-113.2894203396,-63.4277413738,,,370.6462644098,55.9482735533,,,65.5887478671,50.1762518919,-271.8320202141,-7.3381136733,-7.3381136733,,-17.3967471852,37.9908500664,,,,99.857984704,-95.5821481215,,-51.1820066006,-53.3505570811,-39.5384909198,-53.3522254882,-1.1457051724,,-2004.187126105,86.1652811966,-43.7484437207,51.0028079517,,,171.8712756127,,,,,65.5887478671,55.9482735533,,,,,370.6462644098,,,,,1412380.61,2.3321160228
600312.SH,600312,平高电气,10002506,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-11 00:00:00,CNY,2347788864.26,,,,,,,,,,,,6178995.3,32334581.55,,0.0,2386302441.11,1848657681.76,,,,,,210450419.35,96170514.18,141079782.81,,0.0,2296358398.1,,0.0,89944043.01,,16555600.0,,,,,,0.0,16555600.0,15378671.28,,,,,,,0.0,15378671.28,,0.0,1176928.72,,,3009288.48,,,,0.0,3009288.48,46015609.05,2739653.4,,,,,,0.0,48755262.45,,0.0,-45745973.97,692010.06,,0.0,46067007.82,4922249176.52,,0.0,4968316184.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8878649373,,,,,,,,,,,,145.7886035888,-63.8847657628,,,37.5275922342,45.9612900133,,,,,,12.8851607734,-35.0506105996,46.3888137907,,,35.2858797935,,,138.37124227,,,,,,,,,1143.1835760038,-41.5519101108,,,,,,,,-75.9136114305,,,101.8825960342,,,-87.4336404899,,,,,-87.4336404899,-31.5321790508,-40.8730558938,,,,,,,-32.1558821032,,,4.5297622881,465.5406558232,,,163.2013354745,55.9482735533,,,61.1287322196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600312.SH,600312,平高电气,10002506,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-11 00:00:00,2025-04-11 00:00:00,CNY,10475947940.93,,,,,,,,,,,,10379028.23,346035460.17,,0.0,10832362429.33,6337032189.39,,,,,,937178356.66,614697720.65,439504926.95,,0.0,8328413193.65,,0.0,2503949235.68,44041211.0,,2418890.0,,,,,0.0,46460101.0,112636076.43,372709139.24,,,,,,0.0,485345215.67,,0.0,-438885114.67,,,36752894.71,,,,0.0,36752894.71,181956271.33,152238308.96,61150000.0,,2862139.0,,,0.0,337056719.29,,0.0,-300303824.58,1154369.7,,0.0,1765914666.13,3156334510.39,,0.0,4922249176.52,920786650.59,88522849.69,231761700.92,231761700.92,,151930299.07,1974010.41,,,,-615628.98,6043106.14,-3950.0,2195361.32,-16493210.22,63920.8,-1399153.23,1463074.03,,49259770.12,-861642934.57,1615309601.23,261077568.06,,0.0,2503949235.68,,,,,4922249176.52,3156334510.39,,,,,1765914666.13,10.2642616149,,,,,,,,,,,,-64.8089949364,-8.7451763074,,,9.3134034222,-7.2978555794,,,,,,14.4245185425,31.5913939219,12.5721551949,,,-2.1624299794,,,79.2420764723,34.133317242,,-54.3049674259,,,,,,-11.0149996116,62.2555696611,973.2611131284,,,,,,,366.0251272016,,,-745.0733589384,,,-84.1349539679,,,,,-84.7630849344,-64.926697639,81.8767425528,81.8699587746,,-6.4116972503,,,,-44.3388264688,,,17.5762362362,323.7452377297,,,80.1635169292,45.0413910827,,,55.9482735533,206.4448536895,-28.8358776775,-16.2542931505,-16.2542931505,,-16.2622597611,11.3277880206,,,,-45.9818225143,7.9729590074,48.9003880983,-93.2172504061,23.4309428955,100.1551808448,96.3082499172,144.4472397161,,-76.1504206962,-157.1627289257,211.0731318414,1.2617381652,,,79.2420764723,,,,,55.9482735533,45.0413910827,,,,,80.1635169292,标准无保留意见,,,,2797408.03,-15.0023959326
600312.SH,600312,平高电气,10002506,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-18 00:00:00,2024-10-22 00:00:00,CNY,6261105449.3,,,,,,,,,,,,6070438.31,248711128.04,,0.0,6515887015.65,4322198629.65,,,,,,612996954.65,415544079.2,256285649.92,,0.0,5607025313.42,,0.0,908861702.23,8721900.0,,2356890.0,,,,,0.0,11078790.0,76700510.41,372258792.03,,,,,,0.0,448959302.44,,0.0,-437880512.44,,,32972610.98,,,,0.0,32972610.98,130355837.45,147997469.65,61150000.0,,2822761.0,,,0.0,281176068.1,,0.0,-248203457.12,1189198.58,,0.0,223966931.25,3156334510.39,,0.0,3380301441.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5165244158,,,,,,,,,,,,-78.2692423876,-2.4701463597,,,7.6530948461,-10.2851815312,,,,,,12.4612077323,39.1473092673,-18.5998641447,,,-6.178445816,,,1089.5354417383,-73.0515277259,,1975.6165582223,,,,,,-65.8890084725,72.5373649172,475.4134588311,,,,,,,311.3285957189,,,-471.1242285607,,,-85.1329010749,,,,,-85.7466533455,-70.3865294808,112.6377277212,94.126984127,,-6.4509564982,,,,-45.169455989,,,11.8209814597,885.9863087695,,,179.5276879978,45.0413910827,,,78.4233443985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600312.SH,600312,平高电气,10002506,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-16 00:00:00,2024-08-30 00:00:00,CNY,3823442510.25,,,,,,,,,,,,5968048.93,200106276.73,,0.0,4029516835.91,2868093999.52,,,,,,391479586.04,280662721.96,252548100.63,,0.0,3792784408.15,,0.0,236732427.76,,,1831710.0,,,,,0.0,1831710.0,43706530.37,38085952.79,,,,,,0.0,81792483.16,,0.0,-79960773.16,,,29798597.98,,,,0.0,29798597.98,77207643.55,11405365.15,2390000.0,,45000.0,,,0.0,88658008.7,,0.0,-58859410.72,1834722.26,,0.0,99746966.14,3156334510.39,,0.0,3256081476.53,383111833.77,1253131.97,115763663.5,115763663.5,,90016373.54,968334.9,,,,-526950.28,4686359.02,-3950.0,806525.53,-8439150.51,-940889.83,662839.51,-1603729.34,,-20097696.58,-1032250694.5,618452591.45,61374021.21,,0.0,236732427.76,,,,,3256081476.53,3156334510.39,,,,,99746966.14,11.7254844855,,,,,,,,,,,,-75.6309258471,14.9735961019,,,11.2907461719,-8.3332904469,,,,,,8.9177339761,55.8022434249,23.4206091581,,,-2.0716417926,,,193.826759845,,,,,,,,,-92.3005691419,37.5327113624,-39.2511765349,,,,,,,-13.4225068229,,,-13.1259738852,,,-86.0893610492,,,,,-86.3849068662,-78.1318384913,-66.6932122368,,,-77.9390136288,,,,-77.1209239796,,,65.0981156292,939.9390354584,,,120.279878547,45.0413910827,,,93.3184964507,142.0736825531,-89.5898329953,-23.5066454863,-23.5066454863,,3.9937589077,12.6517751421,,,,,1437124.835158095,48.9003880983,-94.7670585096,39.1288105857,84.3132403438,123.4111836293,49.3563343221,,-1214.2641038875,-2281.8843822182,185.2656149731,190.3170081497,,,193.826759845,,,,,93.3184964507,45.0413910827,,,,,120.279878547,,,,,1380192.91,-20.9921243134
